aa	AA-2312-DFW-DTW	December 15, 2011               08:25 PM    	December 15, 2011     	 A34	December 15, 2011               11:50 PM    	December 15, 2011     	 D32    
boston	AA-2463-TUL-DFW	3:05 PMDec 15			4:10 PMDec 15		
travelocity	AA-2463-TUL-DFW	Dec 15 - 3:05pm	Dec 15 - Not Available	27	Dec 15 - 4:10pm	Dec 15 - Not Available	D29/D
orbitz	AA-2463-TUL-DFW	3:05pDec 15		 27	4:10pDec 15		 D29
weather	AA-2463-TUL-DFW	2011-12-15 03:05 PM			2011-12-15 04:10 PM		
mytripandmore	AA-2463-TUL-DFW	Dec 15 - 3:05pm	Dec 15 - Not Available	27	Dec 15 - 4:10pm	Dec 15 - Not Available	D29/D
flightarrival	AA-2463-TUL-DFW	2011-12-15 03:05 PM			2011-12-15 04:10 PM		
aa	AA-1929-SFO-LAX	December 15, 2011               07:00 AM    	December 15, 2011               07:00 AM    	 55	December 15, 2011               08:20 AM    	December 15, 2011               08:23 AM    	 210    
flightexplorer	AA-1929-SFO-LAX		12/15/2011 7:29AM PST			12/15/2011 8:17AM PST	
airtravelcenter	AA-1929-SFO-LAX		12/15/11 7:29 AM (-08:00)			12/15/11 8:17 AM (-08:00)	
myrateplan	AA-1929-SFO-LAX		12/15/11 7:29 AM (-08:00)			12/15/11 8:17 AM (-08:00)	
helloflight	AA-1929-SFO-LAX		12/15/11 7:29 AM (-08:00)			12/15/11 8:17 AM (-08:00)	
flytecomm	AA-1929-SFO-LAX		12/15/11 7:29 AM (-08:00)			12/15/11 8:17 AM (-08:00)	
flightaware	AA-1929-SFO-LAX	2011-12-15 07:00AM PST	2011-12-15 07:28AM PST	 55 	2011-12-15 08:10AM PST	2011-12-15 08:18AM PST	 210 
wunderground	AA-1929-SFO-LAX	2011-12-15 07:00AM PST	2011-12-15 07:28AM PST	 55 	2011-12-15 08:10AM PST	2011-12-15 08:18AM PST	 210 
flights	AA-1929-SFO-LAX	07:00 AM  Thu 15-Dec-2011	07:00 AM  Thu 15-Dec-2011	55	08:20 AM  Thu 15-Dec-2011	08:23 AM  Thu 15-Dec-2011	47B
businesstravellogue	AA-1929-SFO-LAX	07:00 AM  Thu 15-Dec-2011	07:00 AM  Thu 15-Dec-2011	55	08:20 AM  Thu 15-Dec-2011	08:23 AM  Thu 15-Dec-2011	47B
flylouisville	AA-1929-SFO-LAX	07:00 AM  Thu 15-Dec-2011	07:00 AM  Thu 15-Dec-2011	55	08:20 AM  Thu 15-Dec-2011	08:23 AM  Thu 15-Dec-2011	47B
flightstats	AA-1929-SFO-LAX	2011-12-15 7:00 AM	2011-12-15 7:00 AM		2011-12-15 8:20 AM	2011-12-15 8:23 AM	
quicktrip	AA-1929-SFO-LAX	2011-12-15 7:00 AM	2011-12-15 7:00 AM		2011-12-15 8:20 AM	2011-12-15 8:23 AM	
world-flight-tracker	AA-1929-SFO-LAX	2011-12-15 7:00 AM	2011-12-15 7:00 AM		2011-12-15 8:20 AM	2011-12-15 8:23 AM	
flightview	AA-1929-SFO-LAX	7:00 AM, Dec 15	7:29 AM, Dec 15	Terminal 2 - 55	8:20 AM, Dec 15	8:23 AM, Dec 15	Terminal 4 - 210
panynj	AA-1929-SFO-LAX	7:00 AM, Dec 15	7:29 AM, Dec 15	Terminal 2 - 55	8:20 AM, Dec 15	8:23 AM, Dec 15	Terminal 4 - 210
gofox	AA-1929-SFO-LAX	7:00 AM, Dec 15	7:29 AM, Dec 15		8:20 AM, Dec 15	8:23 AM, Dec 15	
foxbusiness	AA-1929-SFO-LAX	7:00 AM, Dec 15	7:29 AM, Dec 15	Terminal 2 - 55	8:20 AM, Dec 15	8:23 AM, Dec 15	Terminal 4 - 210
allegiantair	AA-1929-SFO-LAX	7:00 AM, Dec 15	7:29 AM, Dec 15	Terminal 2 - 55	8:20 AM, Dec 15	8:23 AM, Dec 15	Terminal 4 - 210
boston	AA-1929-SFO-LAX	7:00 AM, Dec 15	7:29 AM, Dec 15		8:20 AM, Dec 15	8:18 AM, Dec 15	
travelocity	AA-1929-SFO-LAX	Dec 15 - 7:00am	Dec 15 - 7:00am	55	Dec 15 - 8:20am	Dec 15 - 8:23am	40/T4
orbitz	AA-1929-SFO-LAX	7:00aDec 15	7:00aDec 15	 55	8:20aDec 15	8:23aDec 15	 210
weather	AA-1929-SFO-LAX	2011-12-15 07:00 AM	2011-12-15 07:29 AM		2011-12-15 08:20 AM	2011-12-15 08:22 AM	
ifly	AA-1929-SFO-LAX	2011-12-15 7:00 AM	2011-12-15 7:00 AM		2011-12-15 8:20 AM	2011-12-15 8:23 AM	
usatoday	AA-1929-SFO-LAX	7:00 AM, Dec 15	7:29 AM, Dec 15		8:20 AM, Dec 15	8:18 AM, Dec 15	
mytripandmore	AA-1929-SFO-LAX	7:00aDec 15	7:00aDec 15	 55	8:20aDec 15	8:23aDec 15	 210
aa	AA-3532-CLT-MIA	December 15, 2011               05:50 AM    	December 15, 2011               05:50 AM    	 A11	December 15, 2011               08:05 AM    	December 15, 2011               07:50 AM    	 D60J    
flightexplorer	AA-3532-CLT-MIA		12/15/2011 6:08AM EST			12/15/2011 7:49AM EST	
airtravelcenter	AA-3532-CLT-MIA		12/15/11 6:08 AM (-05:00)			12/15/11 7:49 AM (-05:00)	
myrateplan	AA-3532-CLT-MIA		12/15/11 6:08 AM (-05:00)			12/15/11 7:49 AM (-05:00)	
helloflight	AA-3532-CLT-MIA		12/15/11 6:08 AM (-05:00)			12/15/11 7:49 AM (-05:00)	
flytecomm	AA-3532-CLT-MIA		12/15/11 6:08 AM (-05:00)			12/15/11 7:49 AM (-05:00)	
flightaware	AA-3532-CLT-MIA	2011-12-15 05:50AM EST	2011-12-15 06:08AM EST	 A11 	2011-12-15 07:48AM EST	2011-12-15 07:46AM EST	 D60J 
wunderground	AA-3532-CLT-MIA	2011-12-15 05:50AM EST	2011-12-15 06:08AM EST	 A11 	2011-12-15 07:48AM EST	2011-12-15 07:46AM EST	 D60J 
flights	AA-3532-CLT-MIA	05:50 AM  Thu 15-Dec-2011	05:50 AM  Thu 15-Dec-2011	A11	08:05 AM  Thu 15-Dec-2011	07:50 AM  Thu 15-Dec-2011	D60
businesstravellogue	AA-3532-CLT-MIA	05:50 AM  Thu 15-Dec-2011	05:50 AM  Thu 15-Dec-2011	A11	08:05 AM  Thu 15-Dec-2011	07:50 AM  Thu 15-Dec-2011	D60
flylouisville	AA-3532-CLT-MIA	05:50 AM  Thu 15-Dec-2011	05:50 AM  Thu 15-Dec-2011	A11	08:05 AM  Thu 15-Dec-2011	07:50 AM  Thu 15-Dec-2011	D60
flightstats	AA-3532-CLT-MIA	2011-12-15 5:50 AM	2011-12-15 5:50 AM		2011-12-15 8:05 AM	2011-12-15 7:50 AM	
quicktrip	AA-3532-CLT-MIA	2011-12-15 5:50 AM	2011-12-15 5:50 AM		2011-12-15 8:05 AM	2011-12-15 7:50 AM	
world-flight-tracker	AA-3532-CLT-MIA	2011-12-15 5:50 AM	2011-12-15 5:50 AM		2011-12-15 8:05 AM	2011-12-15 7:50 AM	
flightview	AA-3532-CLT-MIA	5:50 AM, Dec 15	6:08 AM, Dec 15		8:05 AM, Dec 15	7:50 AM, Dec 15	
panynj	AA-3532-CLT-MIA	5:50 AM, Dec 15	6:08 AM, Dec 15		8:05 AM, Dec 15	7:50 AM, Dec 15	
gofox	AA-3532-CLT-MIA	5:50 AM, Dec 15	6:08 AM, Dec 15		8:05 AM, Dec 15	7:50 AM, Dec 15	
foxbusiness	AA-3532-CLT-MIA	5:50 AM, Dec 15	6:08 AM, Dec 15		8:05 AM, Dec 15	7:50 AM, Dec 15	
allegiantair	AA-3532-CLT-MIA	5:50 AM, Dec 15	6:08 AM, Dec 15		8:05 AM, Dec 15	7:50 AM, Dec 15	
boston	AA-3532-CLT-MIA	5:50 AM, Dec 15	6:08 AM, Dec 15		8:05 AM, Dec 15	7:47 AM, Dec 15	
travelocity	AA-3532-CLT-MIA	Dec 15 - 5:50am	Dec 15 - 5:50am	A11	Dec 15 - 8:05am	Dec 15 - 7:50am	D60
orbitz	AA-3532-CLT-MIA	5:50aDec 15	5:50aDec 15	 A11	8:05aDec 15	7:50aDec 15	 D60J
weather	AA-3532-CLT-MIA	2011-12-15 05:50 AM			2011-12-15 08:05 AM		
usatoday	AA-3532-CLT-MIA	2011-12-15 5:50 AM	2011-12-15 5:50 AM		2011-12-15 8:05 AM	2011-12-15 7:50 AM	
mytripandmore	AA-3532-CLT-MIA	5:50aDec 15	5:50aDec 15	 A11	8:05aDec 15	7:50aDec 15	 D60J
flightarrival	AA-3532-CLT-MIA	2011-12-15 5:50 AM	2011-12-15 5:50 AM		2011-12-15 8:05 AM	2011-12-15 7:50 AM	
aa	AA-451-ORD-SFO	December 15, 2011               10:05 AM    	December 15, 2011               10:16 AM    	 H12	December 15, 2011               12:50 PM    	December 15, 2011     	 58A    
flightexplorer	AA-451-ORD-SFO		12/15/2011 10:59AM CST			12/15/2011 1:03PM PST	
airtravelcenter	AA-451-ORD-SFO		12/15/11 10:59 AM (-06:00)			12/15/11 1:13 PM (-08:00)	
myrateplan	AA-451-ORD-SFO		12/15/11 10:59 AM (-06:00)			12/15/11 1:13 PM (-08:00)	
helloflight	AA-451-ORD-SFO		12/15/11 10:59 AM (-06:00)			12/15/11 1:13 PM (-08:00)	
flytecomm	AA-451-ORD-SFO		12/15/11 10:59 AM (-06:00)			12/15/11 1:13 PM (-08:00)	
flightaware	AA-451-ORD-SFO	2011-12-15 10:05AM CST	2011-12-15 10:58AM CST	 H12 	2011-12-15 12:04PM PST	2011-12-15 12:56PM PST	 58A 
wunderground	AA-451-ORD-SFO	2011-12-15 10:05AM CST	2011-12-15 10:58AM CST	 H12 	2011-12-15 12:04PM PST	2011-12-15 12:56PM PST	 58A 
flights	AA-451-ORD-SFO	10:05 AM  Thu 15-Dec-2011		H12	12:50 PM  Thu 15-Dec-2011		58A
businesstravellogue	AA-451-ORD-SFO	10:05 AM  Thu 15-Dec-2011		H12	12:50 PM  Thu 15-Dec-2011		58A
flylouisville	AA-451-ORD-SFO	10:05 AM  Thu 15-Dec-2011		H12	12:50 PM  Thu 15-Dec-2011		58A
world-flight-tracker	AA-451-ORD-SFO	2011-12-15 10:05 AM	2011-12-15 10:16 AM		2011-12-15 12:50 PM	2011-12-15 1:06 PM (Estimated)	
flightview	AA-451-ORD-SFO	10:05 AM, Dec 15	10:59 AM, Dec 15		12:50 PM, Dec 15		
panynj	AA-451-ORD-SFO	10:05 AM, Dec 15	10:59 AM, Dec 15		12:50 PM, Dec 15		
gofox	AA-451-ORD-SFO	10:05 AM, Dec 15	10:59 AM, Dec 15		12:50 PM, Dec 15		
foxbusiness	AA-451-ORD-SFO	10:05 AM, Dec 15	10:59 AM, Dec 15		12:50 PM, Dec 15		
allegiantair	AA-451-ORD-SFO	10:05 AM, Dec 15	10:59 AM, Dec 15		12:50 PM, Dec 15		
boston	AA-451-ORD-SFO	10:05 AM, Dec 15	10:59 AM, Dec 15		12:50 PM, Dec 15	1:03 PM, Dec 15&nbsp(Estimated)	
travelocity	AA-451-ORD-SFO	Dec 15 - 10:05am	Dec 15 - 10:16am	H12/T3	Dec 15 - 12:50pm	Dec 15 - 1:24pm	58A
travelocity	AA-451-ORD-SFO	Dec 15 - 10:05am	Dec 15 - 10:16am	H12/T3	Dec 15 - 12:50pm	Dec 15 - 1:06pm*	58A
orbitz	AA-451-ORD-SFO	10:05aDec 15	10:16aDec 15	 H12	1:22pDec 15		 58A
weather	AA-451-ORD-SFO	2011-12-15 10:05 AM	2011-12-15 10:59 AM		2011-12-15 12:50 PM	2011-12-15 01:13 PM	
ord	AA-451-ORD-SFO	2011-12-15 10:05 AM		H12	2011-12-15 12:50 PM		58A
mytripandmore	AA-451-ORD-SFO	10:05aDec 15	10:16aDec 15	 H12	1:22pDec 15		 58A
flightwise	AA-451-ORD-SFO	2011-12-15 10:05AM CST	2011-12-15 10:58AM CST	 H12 	2011-12-15 12:04PM PST	2011-12-15 12:56PM PST	 58A 
flightarrival	AA-451-ORD-SFO	2011-12-15 10:05 AM	2011-12-15 10:59 AM		2011-12-15 12:50 PM	2011-12-15 01:13 PM	
aa	AA-2385-DFW-IAH	December 15, 2011               07:05 AM    	December 15, 2011               07:02 AM    	 C24	December 15, 2011               08:15 AM    	December 15, 2011               08:30 AM    	 A27    
flightexplorer	AA-2385-DFW-IAH		12/15/2011 7:17AM CST			12/15/2011 8:10AM CST	
airtravelcenter	AA-2385-DFW-IAH		12/15/11 7:15 AM (-06:00)			12/15/11 7:55 AM (-06:00)	
myrateplan	AA-2385-DFW-IAH		12/15/11 7:15 AM (-06:00)			12/15/11 7:55 AM (-06:00)	
helloflight	AA-2385-DFW-IAH		12/15/11 7:15 AM (-06:00)			12/15/11 7:55 AM (-06:00)	
flytecomm	AA-2385-DFW-IAH		12/15/11 7:15 AM (-06:00)			12/15/11 7:55 AM (-06:00)	
flightaware	AA-2385-DFW-IAH	2011-12-15 07:05AM CST	2011-12-15 07:17AM CST	 C24 	2011-12-15 08:06AM CST	2011-12-15 07:55AM CST	 A27 
wunderground	AA-2385-DFW-IAH	2011-12-15 07:05AM CST	2011-12-15 07:17AM CST	 C24 	2011-12-15 08:06AM CST	2011-12-15 07:55AM CST	 A27 
flights	AA-2385-DFW-IAH	07:05 AM  Thu 15-Dec-2011	07:02 AM  Thu 15-Dec-2011	C24	08:15 AM  Thu 15-Dec-2011	08:30 AM  Thu 15-Dec-2011	27
businesstravellogue	AA-2385-DFW-IAH	07:05 AM  Thu 15-Dec-2011	07:02 AM  Thu 15-Dec-2011	C24	08:15 AM  Thu 15-Dec-2011	08:30 AM  Thu 15-Dec-2011	27
flylouisville	AA-2385-DFW-IAH	07:05 AM  Thu 15-Dec-2011	07:02 AM  Thu 15-Dec-2011	C24	08:15 AM  Thu 15-Dec-2011	08:30 AM  Thu 15-Dec-2011	27
flightstats	AA-2385-DFW-IAH	2011-12-15 7:05 AM	2011-12-15 7:02 AM		2011-12-15 8:15 AM	2011-12-15 8:30 AM	
quicktrip	AA-2385-DFW-IAH	2011-12-15 7:05 AM	2011-12-15 7:02 AM		2011-12-15 8:15 AM	2011-12-15 8:30 AM	
world-flight-tracker	AA-2385-DFW-IAH	2011-12-15 7:05 AM	2011-12-15 7:02 AM		2011-12-15 8:15 AM	2011-12-15 8:30 AM	
flightview	AA-2385-DFW-IAH	7:05 AM, Dec 15	7:17 AM, Dec 15	C24	8:15 AM, Dec 15	8:10 AM, Dec 15	A27
panynj	AA-2385-DFW-IAH	7:05 AM, Dec 15	7:17 AM, Dec 15	C24	8:15 AM, Dec 15	8:10 AM, Dec 15	A27
gofox	AA-2385-DFW-IAH	7:05 AM, Dec 15	7:17 AM, Dec 15		8:15 AM, Dec 15	8:10 AM, Dec 15	
foxbusiness	AA-2385-DFW-IAH	7:05 AM, Dec 15	7:17 AM, Dec 15	C24	8:15 AM, Dec 15	8:10 AM, Dec 15	A27
allegiantair	AA-2385-DFW-IAH	7:05 AM, Dec 15	7:17 AM, Dec 15	C24	8:15 AM, Dec 15	8:10 AM, Dec 15	A27
boston	AA-2385-DFW-IAH	7:05 AM, Dec 15	7:17 AM, Dec 15		8:15 AM, Dec 15	8:10 AM, Dec 15	
travelocity	AA-2385-DFW-IAH	Dec 15 - 7:05am	Dec 15 - 7:02am	C24/C	Dec 15 - 8:15am	Dec 15 - 8:30am	A27
orbitz	AA-2385-DFW-IAH	7:05aDec 15	7:02aDec 15	 C24	8:15aDec 15	8:30aDec 15	 A27
weather	AA-2385-DFW-IAH	2011-12-15 07:05 AM	2011-12-15 07:17 AM		2011-12-15 08:15 AM	2011-12-15 07:55 AM	
flightarrival	AA-2385-DFW-IAH	7:05 AM, Dec 15	7:17 AM, Dec 15		8:15 AM, Dec 15	8:10 AM, Dec 15	
ua	UA-6102-CLE-ORD	Thu, Dec 15 10:48 AM	Thu, Dec 15 10:46 AM	C23	Thu, Dec 15 11:15 AM	Thu, Dec 15 11:15 AM	F11A
airtravelcenter	UA-6102-CLE-ORD	12/15/11 10:48 AM (-05:00)			12/15/11 11:15 AM (-06:00)		
myrateplan	UA-6102-CLE-ORD	12/15/11 10:48 AM (-05:00)			12/15/11 11:15 AM (-06:00)		
helloflight	UA-6102-CLE-ORD	12/15/11 10:48 AM (-05:00)			12/15/11 11:15 AM (-06:00)		
flytecomm	UA-6102-CLE-ORD	12/15/11 10:48 AM (-05:00)			12/15/11 11:15 AM (-06:00)		
flightaware	UA-6102-CLE-ORD	2011-12-15 10:48AM EST	2011-12-15 10:59AM EST	 C23 	2011-12-15 11:10AM CST	2011-12-15 11:05AM CST	 F11A 
wunderground	UA-6102-CLE-ORD	2011-12-15 10:48AM EST	2011-12-15 10:59AM EST	 C23 	2011-12-15 11:10AM CST	2011-12-15 11:05AM CST	 F11A 
flights	UA-6102-CLE-ORD		2011-12-15 10:46 AM	C23		2011-12-15 11:15 AM	F11A
businesstravellogue	UA-6102-CLE-ORD		2011-12-15 10:46 AM	C23		2011-12-15 11:15 AM	F11A
flylouisville	UA-6102-CLE-ORD		2011-12-15 10:46 AM	C23		2011-12-15 11:15 AM	F11A
flightview	UA-6102-CLE-ORD		11:00 AMDec 15			10:57 AMDec 15	
panynj	UA-6102-CLE-ORD		11:00 AMDec 15			10:57 AMDec 15	
gofox	UA-6102-CLE-ORD		11:00 AMDec 15			10:57 AMDec 15	
foxbusiness	UA-6102-CLE-ORD		11:00 AMDec 15			10:57 AMDec 15	
allegiantair	UA-6102-CLE-ORD		11:00 AMDec 15			10:57 AMDec 15	
boston	UA-6102-CLE-ORD		11:00 AMDec 15			10:57 AMDec 15	
travelocity	UA-6102-CLE-ORD	Dec 15 - Not Available	Dec 15 - 10:59am	CHK	Dec 15 - 11:15am	Dec 15 - Not Available	F11A
orbitz	UA-6102-CLE-ORD	11:01aDec 15	10:59aDec 15	 -	11:15aDec 15		 F11
weather	UA-6102-CLE-ORD	2011-12-15 10:48 AM			2011-12-15 11:15 AM		
usatoday	UA-6102-CLE-ORD		11:00 AMDec 15			10:57 AMDec 15	
mytripandmore	UA-6102-CLE-ORD	11:01aDec 15	10:59aDec 15	 -	11:15aDec 15		 F11
flightarrival	UA-6102-CLE-ORD	2011-12-15 10:48 AM			2011-12-15 11:15 AM		
aa	AA-866-MIA-PHL	December 15, 2011               09:55 PM    	December 15, 2011     	 D39	December 16, 2011               12:25 AM    	December 16, 2011     	 A3    
flightexplorer	AA-866-MIA-PHL		12/14/2011 10:45PM EST			12/15/2011 12:59AM EST	
flightexplorer	AA-866-MIA-PHL	12/15/2011 9:55PM EST			12/16/2011 12:25AM EST		
airtravelcenter	AA-866-MIA-PHL		12/15/11 10:02 PM (-05:00)			12/16/11 12:23 AM (-05:00)	
myrateplan	AA-866-MIA-PHL		12/15/11 10:02 PM (-05:00)			12/16/11 12:23 AM (-05:00)	
helloflight	AA-866-MIA-PHL		12/15/11 10:02 PM (-05:00)			12/16/11 12:23 AM (-05:00)	
flytecomm	AA-866-MIA-PHL		12/15/11 10:02 PM (-05:00)			12/16/11 12:23 AM (-05:00)	
flightaware	AA-866-MIA-PHL	2011-12-15 09:55PM EST	2011-12-15 10:44PM EST	 D5 	2011-12-15 12:21AM EST	2011-12-15 12:59AM EST	 A3 
wunderground	AA-866-MIA-PHL	2011-12-15 09:55PM EST	2011-12-15 10:44PM EST	 D5 	2011-12-15 12:21AM EST	2011-12-15 12:59AM EST	 A3 
flights	AA-866-MIA-PHL	09:55 PM  Thu 15-Dec-2011		D39	12:25 AM  Fri 16-Dec-2011		3
businesstravellogue	AA-866-MIA-PHL	09:55 PM  Thu 15-Dec-2011		D39	12:25 AM  Fri 16-Dec-2011		3
flylouisville	AA-866-MIA-PHL	09:55 PM  Thu 15-Dec-2011		D39	12:25 AM  Fri 16-Dec-2011		3
flightstats	AA-866-MIA-PHL	2011-12-15 9:55 PM	2011-12-15 9:55 PM (Estimated)		2011-12-15 12:25 AM	2011-12-15 12:25 AM (Estimated)	
quicktrip	AA-866-MIA-PHL	2011-12-15 9:55 PM	2011-12-15 9:55 PM (Estimated)		2011-12-15 12:25 AM	2011-12-15 12:25 AM (Estimated)	
world-flight-tracker	AA-866-MIA-PHL	2011-12-15 9:55 PM	2011-12-15 9:55 PM (Estimated)		2011-12-15 12:25 AM	2011-12-15 12:25 AM (Estimated)	
flightview	AA-866-MIA-PHL	9:55 PM, Dec 15			12:25 AM, Dec 16		
panynj	AA-866-MIA-PHL	9:55 PM, Dec 15			12:25 AM, Dec 16		
gofox	AA-866-MIA-PHL	9:55 PM, Dec 15			12:25 AM, Dec 16		
foxbusiness	AA-866-MIA-PHL	9:55 PM, Dec 15			12:25 AM, Dec 16		
allegiantair	AA-866-MIA-PHL	9:55 PM, Dec 15			12:25 AM, Dec 16		
boston	AA-866-MIA-PHL	9:55 PM, Dec 15	Not Available		12:25 AM, Dec 16	Not Available	
travelocity	AA-866-MIA-PHL	Dec 15 - 9:55pm	Dec 15 - Not Available	D39	Dec 16 - 12:25am	Dec 16 - Not Available	A3/A
orbitz	AA-866-MIA-PHL	9:55pDec 15		 D39	12:25aDec 16		 A3
weather	AA-866-MIA-PHL	2011-12-15 09:55 PM	2011-12-15 10:45 PM		2011-12-15 12:25 AM	2011-12-15 01:00 AM	
usatoday	AA-866-MIA-PHL	9:55 PM, Dec 15	Not Available		12:25 AM, Dec 16	Not Available	
mytripandmore	AA-866-MIA-PHL	9:55pDec 15		 D39	12:25aDec 16		 A3
flightarrival	AA-866-MIA-PHL	2011-12-15 09:55 PM	2011-12-15 10:45 PM		2011-12-15 12:25 AM	2011-12-15 01:00 AM	
ua	UA-2802-MSP-PHX	Thu, Dec 15 7:20 AM	Thu, Dec 15 7:20 AM	E4	Thu, Dec 15 10:09 AM	Thu, Dec 15 9:48 AM	A24
airtravelcenter	UA-2802-MSP-PHX		12/15/11 7:50 AM (-06:00)			12/15/11 9:34 AM (-07:00)	
myrateplan	UA-2802-MSP-PHX		12/15/11 7:50 AM (-06:00)			12/15/11 9:34 AM (-07:00)	
helloflight	UA-2802-MSP-PHX		12/15/11 7:50 AM (-06:00)			12/15/11 9:34 AM (-07:00)	
flytecomm	UA-2802-MSP-PHX		12/15/11 7:50 AM (-06:00)			12/15/11 9:34 AM (-07:00)	
flightaware	UA-2802-MSP-PHX	2011-12-15 07:20AM CST	2011-12-15 07:49AM CST		2011-12-15 09:35AM MST	2011-12-15 09:34AM MST	
wunderground	UA-2802-MSP-PHX	2011-12-15 07:20AM CST	2011-12-15 07:49AM CST		2011-12-15 09:35AM MST	2011-12-15 09:34AM MST	
flights	UA-2802-MSP-PHX	07:20 AM  Thu 15-Dec-2011	07:14 AM  Thu 15-Dec-2011	E4	10:09 AM  Thu 15-Dec-2011	09:48 AM  Thu 15-Dec-2011	A24
businesstravellogue	UA-2802-MSP-PHX	07:20 AM  Thu 15-Dec-2011	07:14 AM  Thu 15-Dec-2011	E4	10:09 AM  Thu 15-Dec-2011	09:48 AM  Thu 15-Dec-2011	A24
flylouisville	UA-2802-MSP-PHX	07:20 AM  Thu 15-Dec-2011	07:14 AM  Thu 15-Dec-2011	E4	10:09 AM  Thu 15-Dec-2011	09:48 AM  Thu 15-Dec-2011	A24
flightstats	UA-2802-MSP-PHX	2011-12-15 7:20 AM	2011-12-15 7:14 AM		2011-12-15 10:09 AM	2011-12-15 9:48 AM	
quicktrip	UA-2802-MSP-PHX	2011-12-15 7:20 AM	2011-12-15 7:14 AM		2011-12-15 10:09 AM	2011-12-15 9:48 AM	
world-flight-tracker	UA-2802-MSP-PHX	2011-12-15 7:20 AM	2011-12-15 7:14 AM		2011-12-15 10:09 AM	2011-12-15 9:48 AM	
flightview	UA-2802-MSP-PHX	7:20 AM, Dec 15	7:51 AM, Dec 15	E4	10:09 AM, Dec 15	9:43 AM, Dec 15	Terminal 4
panynj	UA-2802-MSP-PHX	7:20 AM, Dec 15	7:51 AM, Dec 15	E4	10:09 AM, Dec 15	9:43 AM, Dec 15	Terminal 4
gofox	UA-2802-MSP-PHX	7:20 AM, Dec 15	7:51 AM, Dec 15		10:09 AM, Dec 15	9:43 AM, Dec 15	
foxbusiness	UA-2802-MSP-PHX	7:20 AM, Dec 15	7:51 AM, Dec 15	E4	10:09 AM, Dec 15	9:43 AM, Dec 15	Terminal 4
allegiantair	UA-2802-MSP-PHX	7:20 AM, Dec 15	7:51 AM, Dec 15	E4	10:09 AM, Dec 15	9:43 AM, Dec 15	Terminal 4
boston	UA-2802-MSP-PHX	7:20 AM, Dec 15	7:51 AM, Dec 15		10:09 AM, Dec 15	9:43 AM, Dec 15	
travelocity	UA-2802-MSP-PHX	Dec 15 - 7:20am	Dec 15 - Contact Airline	Not provided by airline	Dec 15 - 10:09am	Dec 15 - Contact Airline	Not provided by airline
orbitz	UA-2802-MSP-PHX	7:20aDec 15	7:14aDec 15	 -	10:09aDec 15	9:48aDec 15	 -
weather	UA-2802-MSP-PHX	2011-12-15 07:20 AM			2011-12-15 10:09 AM		
usatoday	UA-2802-MSP-PHX	2011-12-15 7:20 AM	2011-12-15 7:14 AM		2011-12-15 10:09 AM	2011-12-15 9:48 AM	
ua	UA-1545-AUS-IAH	Thu, Dec 15 6:45 AM	Thu, Dec 15 6:50 AM	16	Thu, Dec 15 7:45 AM	Thu, Dec 15 7:59 AM	E3
airtravelcenter	UA-1545-AUS-IAH		12/15/11 7:09 AM (-06:00)			12/15/11 7:35 AM (-06:00)	
myrateplan	UA-1545-AUS-IAH		12/15/11 7:09 AM (-06:00)			12/15/11 7:35 AM (-06:00)	
helloflight	UA-1545-AUS-IAH		12/15/11 7:09 AM (-06:00)			12/15/11 7:35 AM (-06:00)	
flytecomm	UA-1545-AUS-IAH		12/15/11 7:09 AM (-06:00)			12/15/11 7:35 AM (-06:00)	
flights	UA-1545-AUS-IAH		2011-12-15 06:50 AM	16		2011-12-15 07:59 AM	3
businesstravellogue	UA-1545-AUS-IAH		2011-12-15 06:50 AM	16		2011-12-15 07:59 AM	3
flylouisville	UA-1545-AUS-IAH		2011-12-15 06:50 AM	16		2011-12-15 07:59 AM	3
flightview	UA-1545-AUS-IAH		7:09 AMDec 15			7:59 AMDec 15	
panynj	UA-1545-AUS-IAH		7:09 AMDec 15			7:59 AMDec 15	
gofox	UA-1545-AUS-IAH		7:09 AMDec 15			7:59 AMDec 15	
foxbusiness	UA-1545-AUS-IAH		7:09 AMDec 15			7:59 AMDec 15	
allegiantair	UA-1545-AUS-IAH		7:09 AMDec 15			7:59 AMDec 15	
boston	UA-1545-AUS-IAH		7:09 AMDec 15			7:55 AMDec 15	
travelocity	UA-1545-AUS-IAH	Dec 15 - 6:45am	Dec 15 - Contact Airline	Not provided by airline	Dec 15 - 7:45am	Dec 15 - Contact Airline	Not provided by airline
orbitz	UA-1545-AUS-IAH	6:45aDec 15	6:50aDec 15	 16	7:45aDec 15	7:59aDec 15	 E3
weather	UA-1545-AUS-IAH	2011-12-15 06:45 AM	2011-12-15 07:09 AM		2011-12-15 07:45 AM	2011-12-15 07:35 AM	
flightarrival	UA-1545-AUS-IAH	2011-12-15 06:45 AM	2011-12-15 07:09 AM		2011-12-15 07:45 AM	2011-12-15 07:35 AM	
aa	AA-3533-MIA-CLT	December 15, 2011               10:15 PM    	December 15, 2011     	 D60	December 16, 2011               12:15 AM    	December 16, 2011     	 A11    
flightexplorer	AA-3533-MIA-CLT		12/14/2011 10:32PM EST			12/15/2011 12:10AM EST	
flightexplorer	AA-3533-MIA-CLT	12/15/2011 10:15PM EST			12/16/2011 12:15AM EST		
airtravelcenter	AA-3533-MIA-CLT		12/15/11 10:32 PM (-05:00)			12/16/11 12:16 AM (-05:00)	
