ua	UA-3532-ORD-GRR	Wed, Dec 14 4:48 PM		C2	Wed, Dec 14 6:37 PM		--
boston	AA-618-SFO-ORD	5:50 PM, Dec 14	6:07 PM, Dec 14		11:50 PM, Dec 14	11:46 PM, Dec 14&nbsp(Estimated)	
travelocity	AA-618-SFO-ORD	Dec 14 - 5:50pm	Dec 14 - 5:49pm	57	Dec 14 - 11:50pm	Dec 14 - 11:53pm*	L1/T3
orbitz	AA-618-SFO-ORD	5:50pDec 14	5:49pDec 14	 57	12:04aDec 15		 L1
weather	AA-618-SFO-ORD	2011-12-14 05:50 PM			2011-12-14 11:50 PM		
ord	AA-618-SFO-ORD	2011-12-14 5:50 PM		57	2011-12-14 11:50 PM		L1
ifly	AA-618-SFO-ORD	2011-12-14 5:50 PM	2011-12-14 5:49 PM		2011-12-14 11:50 PM	2011-12-14 11:57 PM (Estimated)	
usatoday	AA-618-SFO-ORD	5:50 PM, Dec 14	6:07 PM, Dec 14		11:50 PM, Dec 14	11:46 PM, Dec 14&nbsp(Estimated)	
aa	AA-2407-DFW-LAX	December 14, 2011               07:45 AM    	December 14, 2011               07:42 AM    	 D29	December 14, 2011               09:05 AM    	December 14, 2011               08:58 AM    	 45    
flightexplorer	AA-2407-DFW-LAX		12/14/2011 7:56AM CST			12/14/2011 8:49AM PST	
airtravelcenter	AA-2407-DFW-LAX		12/14/11 7:56 AM (-06:00)			12/14/11 8:49 AM (-08:00)	
myrateplan	AA-2407-DFW-LAX		12/14/11 7:56 AM (-06:00)			12/14/11 8:49 AM (-08:00)	
helloflight	AA-2407-DFW-LAX		12/14/11 7:56 AM (-06:00)			12/14/11 8:49 AM (-08:00)	
flytecomm	AA-2407-DFW-LAX		12/14/11 7:56 AM (-06:00)			12/14/11 8:49 AM (-08:00)	
flightaware	AA-2407-DFW-LAX	2011-12-14 07:45AM CST	2011-12-14 07:55AM CST	 D29 	2011-12-14 08:56AM PST	2011-12-14 08:45AM PST	 45 
wunderground	AA-2407-DFW-LAX	2011-12-14 07:45AM CST	2011-12-14 07:55AM CST	 D29 	2011-12-14 08:56AM PST	2011-12-14 08:45AM PST	 45 
flights	AA-2407-DFW-LAX	07:45 AM  Wed 14-Dec-2011	07:42 AM  Wed 14-Dec-2011	D29	09:05 AM  Wed 14-Dec-2011	08:58 AM  Wed 14-Dec-2011	45
businesstravellogue	AA-2407-DFW-LAX	07:45 AM  Wed 14-Dec-2011	07:42 AM  Wed 14-Dec-2011	D29	09:05 AM  Wed 14-Dec-2011	08:58 AM  Wed 14-Dec-2011	45
flylouisville	AA-2407-DFW-LAX	07:45 AM  Wed 14-Dec-2011	07:42 AM  Wed 14-Dec-2011	D29	09:05 AM  Wed 14-Dec-2011	08:58 AM  Wed 14-Dec-2011	45
flightstats	AA-2407-DFW-LAX	2011-12-14 7:45 AM	2011-12-14 7:42 AM		2011-12-14 9:05 AM	2011-12-14 8:58 AM	
quicktrip	AA-2407-DFW-LAX	2011-12-14 7:45 AM	2011-12-14 7:42 AM		2011-12-14 9:05 AM	2011-12-14 8:58 AM	
world-flight-tracker	AA-2407-DFW-LAX	2011-12-14 7:45 AM	2011-12-14 7:42 AM		2011-12-14 9:05 AM	2011-12-14 8:58 AM	
flightview	AA-2407-DFW-LAX	7:45 AM, Dec 14	7:56 AM, Dec 14	Terminal D - D29	9:05 AM, Dec 14	8:58 AM, Dec 14	Terminal 4 - 45
panynj	AA-2407-DFW-LAX	7:45 AM, Dec 14	7:56 AM, Dec 14	Terminal D - D29	9:05 AM, Dec 14	8:58 AM, Dec 14	Terminal 4 - 45
gofox	AA-2407-DFW-LAX	7:45 AM, Dec 14	7:56 AM, Dec 14		9:05 AM, Dec 14	8:58 AM, Dec 14	
foxbusiness	AA-2407-DFW-LAX	7:45 AM, Dec 14	7:56 AM, Dec 14	Terminal D - D29	9:05 AM, Dec 14	8:58 AM, Dec 14	Terminal 4 - 45
allegiantair	AA-2407-DFW-LAX	7:45 AM, Dec 14	7:56 AM, Dec 14	Terminal D - D29	9:05 AM, Dec 14	8:58 AM, Dec 14	Terminal 4 - 45
boston	AA-2407-DFW-LAX	7:45 AM, Dec 14	7:56 AM, Dec 14		9:05 AM, Dec 14	8:49 AM, Dec 14	
travelocity	AA-2407-DFW-LAX	Dec 14 - 7:45am	Dec 14 - 7:42am	D29/D	Dec 14 - 9:05am	Dec 14 - 8:58am	45/T4
orbitz	AA-2407-DFW-LAX	7:45aDec 14	7:42aDec 14	 D29	9:05aDec 14	8:58aDec 14	 45
weather	AA-2407-DFW-LAX	2011-12-14 07:45 AM	2011-12-14 07:56 AM		2011-12-14 09:05 AM	2011-12-14 08:49 AM	
ifly	AA-2407-DFW-LAX	2011-12-14 7:45 AM	2011-12-14 7:42 AM		2011-12-14 9:05 AM	2011-12-14 8:58 AM	
mytripandmore	AA-2407-DFW-LAX	7:45aDec 14	7:42aDec 14	 D29	9:05aDec 14	8:58aDec 14	 45
flightarrival	AA-2407-DFW-LAX	7:45 AM, Dec 14	7:56 AM, Dec 14		9:05 AM, Dec 14	8:49 AM, Dec 14	
CO	CO-1091-IAH-ORD	Wed., Dec.14, 2011 7:00 p.m.	Wed., Dec.14, 2011 7:10 p.m.		Wed., Dec.14, 2011 9:35 p.m.	Wed., Dec.14, 2011 9:32 p.m.	
flightexplorer	CO-1091-IAH-ORD		12/14/2011 7:30PM CST			12/14/2011 9:27PM CST	
airtravelcenter	CO-1091-IAH-ORD	12/14/11 7:00 PM (-06:00)			12/14/11 9:35 PM (-06:00)		
myrateplan	CO-1091-IAH-ORD	12/14/11 7:00 PM (-06:00)			12/14/11 9:35 PM (-06:00)		
helloflight	CO-1091-IAH-ORD	12/14/11 7:00 PM (-06:00)			12/14/11 9:35 PM (-06:00)		
flytecomm	CO-1091-IAH-ORD	12/14/11 7:00 PM (-06:00)			12/14/11 9:35 PM (-06:00)		
flightaware	CO-1091-IAH-ORD	2011-12-14 07:00PM CST	2011-12-14 07:31PM CST	 40 	2011-12-14 09:10PM CST	2011-12-14 09:24PM CST	 B2 
wunderground	CO-1091-IAH-ORD	2011-12-14 07:00PM CST	2011-12-14 07:31PM CST	 40 	2011-12-14 09:10PM CST	2011-12-14 09:24PM CST	 B2 
flights	CO-1091-IAH-ORD		2011-12-14 07:10 PM	40		2011-12-14 09:32 PM	B2
businesstravellogue	CO-1091-IAH-ORD		2011-12-14 07:10 PM	40		2011-12-14 09:32 PM	B2
flylouisville	CO-1091-IAH-ORD		2011-12-14 07:10 PM	40		2011-12-14 09:32 PM	B2
flightstats	CO-1091-IAH-ORD	2011-12-14 7:00 PM	2011-12-14 7:10 PM		2011-12-14 9:35 PM	2011-12-14 9:32 PM	
quicktrip	CO-1091-IAH-ORD	2011-12-14 7:00 PM	2011-12-14 7:10 PM		2011-12-14 9:35 PM	2011-12-14 9:32 PM	
flightview	CO-1091-IAH-ORD		7:31 PMDec 14			9:32 PMDec 14	
panynj	CO-1091-IAH-ORD		7:31 PMDec 14			9:32 PMDec 14	
gofox	CO-1091-IAH-ORD		7:31 PMDec 14			9:32 PMDec 14	
foxbusiness	CO-1091-IAH-ORD		7:31 PMDec 14			9:32 PMDec 14	
allegiantair	CO-1091-IAH-ORD		7:31 PMDec 14			9:32 PMDec 14	
boston	CO-1091-IAH-ORD		7:31 PMDec 14			9:25 PMDec 14	
orbitz	CO-1091-IAH-ORD	7:00pDec 14	7:10pDec 14	 40	9:35pDec 14	9:32pDec 14	 B2
ord	CO-1091-IAH-ORD	2011-12-14 7:00 PM		40	2011-12-14 9:35 PM		B2
usatoday	CO-1091-IAH-ORD	2011-12-14 7:00 PM	2011-12-14 7:10 PM		2011-12-14 9:35 PM	2011-12-14 9:32 PM	
flightarrival	CO-1091-IAH-ORD		7:31 PMDec 14			9:25 PMDec 14	
ua	UA-386-SEA-DEN	Wed, Dec 14 7:30 AM	Wed, Dec 14 7:26 AM	N16	Wed, Dec 14 11:11 AM	Wed, Dec 14 10:50 AM	B45
flightexplorer	UA-386-SEA-DEN		12/14/2011 7:38AM PST			12/14/2011 10:42AM MST	
airtravelcenter	UA-386-SEA-DEN		12/14/11 7:30 AM (-08:00)			12/14/11 10:49 AM (-07:00)	
myrateplan	UA-386-SEA-DEN		12/14/11 7:30 AM (-08:00)			12/14/11 10:49 AM (-07:00)	
helloflight	UA-386-SEA-DEN		12/14/11 7:30 AM (-08:00)			12/14/11 10:49 AM (-07:00)	
flytecomm	UA-386-SEA-DEN		12/14/11 7:30 AM (-08:00)			12/14/11 10:49 AM (-07:00)	
flights	UA-386-SEA-DEN		2011-12-14 07:26 AM	16		2011-12-14 10:50 AM	B45
businesstravellogue	UA-386-SEA-DEN		2011-12-14 07:26 AM	16		2011-12-14 10:50 AM	B45
flylouisville	UA-386-SEA-DEN		2011-12-14 07:26 AM	16		2011-12-14 10:50 AM	B45
flightview	UA-386-SEA-DEN		7:39 AMDec 14			10:50 AMDec 14	
panynj	UA-386-SEA-DEN		7:39 AMDec 14			10:50 AMDec 14	
gofox	UA-386-SEA-DEN		7:39 AMDec 14			10:50 AMDec 14	
foxbusiness	UA-386-SEA-DEN		7:39 AMDec 14			10:50 AMDec 14	
allegiantair	UA-386-SEA-DEN		7:39 AMDec 14			10:50 AMDec 14	
boston	UA-386-SEA-DEN		7:39 AMDec 14			10:48 AMDec 14	
travelocity	UA-386-SEA-DEN	Dec 14 - Not Available	Dec 14 - 7:39am	CHK	Dec 14 - Not Available	Dec 14 - 10:50am	B45
orbitz	UA-386-SEA-DEN	7:30aDec 14	7:26aDec 14	 N16	11:11aDec 14	10:50aDec 14	 B45
weather	UA-386-SEA-DEN	2011-12-14 07:30 AM			2011-12-14 11:11 AM		
den	UA-386-SEA-DEN				2011-12-14 11:11 AM		B45
usatoday	UA-386-SEA-DEN	2011-12-14 07:30 AM			2011-12-14 11:11 AM		
mytripandmore	UA-386-SEA-DEN	Dec 14 - Not Available	Dec 14 - 7:39am	CHK	Dec 14 - Not Available	Dec 14 - 10:50am	B45
aa	AA-3735-CLE-ORD	December 14, 2011               04:35 PM    	December 14, 2011     	 A3	December 14, 2011               05:10 PM    	December 14, 2011     	 H4    
airtravelcenter	AA-3735-CLE-ORD		12/14/11 4:39 PM (-05:00)			12/14/11 4:34 PM (-06:00)	
myrateplan	AA-3735-CLE-ORD		12/14/11 4:39 PM (-05:00)			12/14/11 4:34 PM (-06:00)	
helloflight	AA-3735-CLE-ORD		12/14/11 4:39 PM (-05:00)			12/14/11 4:34 PM (-06:00)	
flytecomm	AA-3735-CLE-ORD		12/14/11 4:39 PM (-05:00)			12/14/11 4:34 PM (-06:00)	
flightaware	AA-3735-CLE-ORD	2011-12-14 04:35PM EST	2011-12-14 04:45PM EST	 A3 	2011-12-14 04:50PM CST	2011-12-14 05:00PM CST	 H4 
wunderground	AA-3735-CLE-ORD	2011-12-14 04:35PM EST	2011-12-14 04:45PM EST	 A3 	2011-12-14 04:50PM CST	2011-12-14 05:00PM CST	 H4 
flights	AA-3735-CLE-ORD	04:35 PM  Wed 14-Dec-2011		A3	05:10 PM  Wed 14-Dec-2011		H4
businesstravellogue	AA-3735-CLE-ORD	04:35 PM  Wed 14-Dec-2011		A3	05:10 PM  Wed 14-Dec-2011		H4
flylouisville	AA-3735-CLE-ORD	04:35 PM  Wed 14-Dec-2011		A3	05:10 PM  Wed 14-Dec-2011		H4
flightstats	AA-3735-CLE-ORD	2011-12-14 4:35 PM	2011-12-14 4:35 PM (Estimated)		2011-12-14 5:10 PM	2011-12-14 5:10 PM (Estimated)	
quicktrip	AA-3735-CLE-ORD	2011-12-14 4:35 PM	2011-12-14 4:35 PM (Estimated)		2011-12-14 5:10 PM	2011-12-14 5:10 PM (Estimated)	
world-flight-tracker	AA-3735-CLE-ORD	2011-12-14 4:35 PM	2011-12-14 4:35 PM (Estimated)		2011-12-14 5:10 PM	2011-12-14 5:10 PM (Estimated)	
flightview	AA-3735-CLE-ORD	4:35 PM, Dec 14			5:10 PM, Dec 14		
panynj	AA-3735-CLE-ORD	4:35 PM, Dec 14			5:10 PM, Dec 14		
gofox	AA-3735-CLE-ORD	4:35 PM, Dec 14			5:10 PM, Dec 14		
foxbusiness	AA-3735-CLE-ORD	4:35 PM, Dec 14			5:10 PM, Dec 14		
allegiantair	AA-3735-CLE-ORD	4:35 PM, Dec 14			5:10 PM, Dec 14		
boston	AA-3735-CLE-ORD	4:35 PM, Dec 14	Not Available		5:10 PM, Dec 14	Not Available	
travelocity	AA-3735-CLE-ORD	Dec 14 - 4:35pm	Dec 14 - Not Available	A3	Dec 14 - 5:10pm	Dec 14 - Not Available	H4/T3
orbitz	AA-3735-CLE-ORD	4:35pDec 14		 A3	5:10pDec 14		 H4
weather	AA-3735-CLE-ORD	2011-12-14 04:35 PM			2011-12-14 05:10 PM		
ord	AA-3735-CLE-ORD	2011-12-14 4:35 PM		A3	2011-12-14 5:10 PM		H4
usatoday	AA-3735-CLE-ORD	4:35 PM, Dec 14	Not Available		5:10 PM, Dec 14	Not Available	
mytripandmore	AA-3735-CLE-ORD	Dec 14 - 4:35pm	Dec 14 - Not Available	A3	Dec 14 - 5:10pm	Dec 14 - Not Available	H4/T3
flightarrival	AA-3735-CLE-ORD	2011-12-14 04:35 PM			2011-12-14 05:10 PM		
CO	CO-4626-IAH-JAN	Wed., Dec.14, 2011 4:00 p.m.	Wed., Dec.14, 2011 4:18 p.m.		Wed., Dec.14, 2011 5:14 p.m.	Wed., Dec.14, 2011 5:31 p.m.	
airtravelcenter	CO-4626-IAH-JAN	12/14/11 4:00 PM (-06:00)			12/14/11 5:14 PM (-06:00)		
myrateplan	CO-4626-IAH-JAN	12/14/11 4:00 PM (-06:00)			12/14/11 5:14 PM (-06:00)		
helloflight	CO-4626-IAH-JAN	12/14/11 4:00 PM (-06:00)			12/14/11 5:14 PM (-06:00)		
flytecomm	CO-4626-IAH-JAN	12/14/11 4:00 PM (-06:00)			12/14/11 5:14 PM (-06:00)		
flights	CO-4626-IAH-JAN		2011-12-14 04:18 PM	66		2011-12-14 05:31 PM	
businesstravellogue	CO-4626-IAH-JAN		2011-12-14 04:18 PM	66		2011-12-14 05:31 PM	
flylouisville	CO-4626-IAH-JAN		2011-12-14 04:18 PM	66		2011-12-14 05:31 PM	
flightstats	CO-4626-IAH-JAN	2011-12-14 4:00 PM	2011-12-14 4:18 PM		2011-12-14 5:14 PM	2011-12-14 5:31 PM	
quicktrip	CO-4626-IAH-JAN	2011-12-14 4:00 PM	2011-12-14 4:18 PM		2011-12-14 5:14 PM	2011-12-14 5:31 PM	
flightview	CO-4626-IAH-JAN		4:32 PMDec 14			5:31 PMDec 14	
panynj	CO-4626-IAH-JAN		4:32 PMDec 14			5:31 PMDec 14	
gofox	CO-4626-IAH-JAN		4:32 PMDec 14			5:31 PMDec 14	
foxbusiness	CO-4626-IAH-JAN		4:32 PMDec 14			5:31 PMDec 14	
allegiantair	CO-4626-IAH-JAN		4:32 PMDec 14			5:31 PMDec 14	
boston	CO-4626-IAH-JAN		4:32 PMDec 14			5:26 PMDec 14	
orbitz	CO-4626-IAH-JAN	4:00pDec 14	4:18pDec 14	 -	5:14pDec 14	5:31pDec 14	 -
weather	CO-4626-IAH-JAN	2011-12-14 04:00 PM			2011-12-14 05:14 PM		
usatoday	CO-4626-IAH-JAN		4:32 PMDec 14			5:26 PMDec 14	
flightarrival	CO-4626-IAH-JAN	2011-12-14 04:00 PM			2011-12-14 05:14 PM		
ua	UA-521-ORD-SAN	Wed, Dec 14 11:57 AM	Wed, Dec 14 2:16 PM            Delayed	B8	Wed, Dec 14 2:18 PM	Wed, Dec 14 4:33 PM	13
flightexplorer	UA-521-ORD-SAN		12/14/2011 2:32PM CST			12/14/2011 4:34PM PST	
airtravelcenter	UA-521-ORD-SAN		12/14/11 2:34 PM (-06:00)			12/14/11 4:31 PM (-08:00)	
myrateplan	UA-521-ORD-SAN		12/14/11 2:34 PM (-06:00)			12/14/11 4:31 PM (-08:00)	
helloflight	UA-521-ORD-SAN		12/14/11 2:34 PM (-06:00)			12/14/11 4:31 PM (-08:00)	
flytecomm	UA-521-ORD-SAN		12/14/11 2:34 PM (-06:00)			12/14/11 4:31 PM (-08:00)	
flightaware	UA-521-ORD-SAN	2011-12-14 11:57AM CST	2011-12-14 02:34PM CST	 B8 	2011-12-14 02:03PM PST	2011-12-14 04:33PM PST	 13 
wunderground	UA-521-ORD-SAN	2011-12-14 11:57AM CST	2011-12-14 02:34PM CST	 B8 	2011-12-14 02:03PM PST	2011-12-14 04:33PM PST	 13 
flights	UA-521-ORD-SAN		2011-12-14 02:16 PM	B8		2011-12-14 02:18 PM	13
businesstravellogue	UA-521-ORD-SAN		2011-12-14 02:16 PM	B8		2011-12-14 02:18 PM	13
flylouisville	UA-521-ORD-SAN		2011-12-14 02:16 PM	B8		2011-12-14 02:18 PM	13
flightstats	UA-521-ORD-SAN	2011-12-14 11:57 AM	2011-12-14 2:16 PM		2011-12-14 2:18 PM	2011-12-14 4:33 PM (Estimated)	
quicktrip	UA-521-ORD-SAN	2011-12-14 11:57 AM	2011-12-14 2:16 PM		2011-12-14 2:18 PM	2011-12-14 4:33 PM (Estimated)	
flightview	UA-521-ORD-SAN		2:34 PMDec 14			4:33 PMDec 14	
panynj	UA-521-ORD-SAN		2:34 PMDec 14			4:33 PMDec 14	
gofox	UA-521-ORD-SAN		2:34 PMDec 14			4:33 PMDec 14	
foxbusiness	UA-521-ORD-SAN		2:34 PMDec 14			4:33 PMDec 14	
allegiantair	UA-521-ORD-SAN		2:34 PMDec 14			4:33 PMDec 14	
boston	UA-521-ORD-SAN		2:34 PMDec 14			4:33 PMDec 14	
orbitz	UA-521-ORD-SAN	12:14pDec 14	2:33pDec 14	 B8	6:48pDec 14		 -
ord	UA-521-ORD-SAN	2011-12-14 11:57 AM		B8	2011-12-14 2:18 PM		13
usatoday	UA-521-ORD-SAN		2:34 PMDec 14			4:33 PMDec 14	
mytripandmore	UA-521-ORD-SAN	12:14pDec 14	2:33pDec 14	 B8	6:48pDec 14		 -
flightarrival	UA-521-ORD-SAN		2:34 PMDec 14			4:33 PMDec 14	
ua	UA-567-IAH-SFO	Wed, Dec 14 7:48 AM	Wed, Dec 14 7:52 AM	C20	Wed, Dec 14 10:05 AM	Wed, Dec 14 9:57 AM	69
flightexplorer	UA-567-IAH-SFO		12/14/2011 8:11AM CST			12/14/2011 9:44AM PST	
airtravelcenter	UA-567-IAH-SFO		12/14/11 8:12 AM (-06:00)			12/14/11 9:44 AM (-08:00)	
myrateplan	UA-567-IAH-SFO		12/14/11 8:12 AM (-06:00)			12/14/11 9:44 AM (-08:00)	
helloflight	UA-567-IAH-SFO		12/14/11 8:12 AM (-06:00)			12/14/11 9:44 AM (-08:00)	
flytecomm	UA-567-IAH-SFO		12/14/11 8:12 AM (-06:00)			12/14/11 9:44 AM (-08:00)	
flightaware	UA-567-IAH-SFO	2011-12-14 07:48AM CST	2011-12-14 08:12AM CST	 C20 	2011-12-14 09:41AM PST	2011-12-14 09:49AM PST	 69 
wunderground	UA-567-IAH-SFO	2011-12-14 07:48AM CST	2011-12-14 08:12AM CST	 C20 	2011-12-14 09:41AM PST	2011-12-14 09:49AM PST	 69 
flights	UA-567-IAH-SFO		2011-12-14 07:52 AM	20		2011-12-14 09:57 AM	69
businesstravellogue	UA-567-IAH-SFO		2011-12-14 07:52 AM	20		2011-12-14 09:57 AM	69
flylouisville	UA-567-IAH-SFO		2011-12-14 07:52 AM	20		2011-12-14 09:57 AM	69
flightview	UA-567-IAH-SFO		8:12 AMDec 14			9:57 AMDec 14	
panynj	UA-567-IAH-SFO		8:12 AMDec 14			9:57 AMDec 14	
gofox	UA-567-IAH-SFO		8:12 AMDec 14			9:57 AMDec 14	
foxbusiness	UA-567-IAH-SFO		8:12 AMDec 14			9:57 AMDec 14	
allegiantair	UA-567-IAH-SFO		8:12 AMDec 14			9:57 AMDec 14	
boston	UA-567-IAH-SFO		8:12 AMDec 14			9:50 AMDec 14	
travelocity	UA-567-IAH-SFO	Dec 14 - Not Available	Dec 14 - 8:12am	C20	Dec 14 - Not Available	Dec 14 - 9:57am	69
orbitz	UA-567-IAH-SFO	7:48aDec 14	7:52aDec 14	 C20	10:05aDec 14	9:57aDec 14	 69
weather	UA-567-IAH-SFO	2011-12-14 07:48 AM	2011-12-14 08:12 AM		2011-12-14 10:05 AM	2011-12-14 09:44 AM	
sfo	UA-567-IAH-SFO				2011-12-14 10:05 AM		69
ua	UA-1134-ORD-CLE	Wed, Dec 14 7:00 AM	Wed, Dec 14 6:53 AM	B3	Wed, Dec 14 9:17 AM	Wed, Dec 14 9:06 AM	C03
flightexplorer	UA-1134-ORD-CLE		12/14/2011 7:08AM CST			12/14/2011 8:59AM EST	
airtravelcenter	UA-1134-ORD-CLE	12/14/11 7:00 AM (-06:00)			12/14/11 9:17 AM (-05:00)		
myrateplan	UA-1134-ORD-CLE	12/14/11 7:00 AM (-06:00)			12/14/11 9:17 AM (-05:00)		
helloflight	UA-1134-ORD-CLE	12/14/11 7:00 AM (-06:00)			12/14/11 9:17 AM (-05:00)		
flytecomm	UA-1134-ORD-CLE	12/14/11 7:00 AM (-06:00)			12/14/11 9:17 AM (-05:00)		
flights	UA-1134-ORD-CLE	07:00 AM  Wed 14-Dec-2011	06:53 AM  Wed 14-Dec-2011	B3	09:17 AM  Wed 14-Dec-2011	09:06 AM  Wed 14-Dec-2011	C3
businesstravellogue	UA-1134-ORD-CLE	07:00 AM  Wed 14-Dec-2011	06:53 AM  Wed 14-Dec-2011	B3	09:17 AM  Wed 14-Dec-2011	09:06 AM  Wed 14-Dec-2011	C3
flylouisville	UA-1134-ORD-CLE	07:00 AM  Wed 14-Dec-2011	06:53 AM  Wed 14-Dec-2011	B3	09:17 AM  Wed 14-Dec-2011	09:06 AM  Wed 14-Dec-2011	C3
world-flight-tracker	UA-1134-ORD-CLE	2011-12-14 7:00 AM	2011-12-14 6:53 AM		2011-12-14 9:17 AM	2011-12-14 9:06 AM	
flightview	UA-1134-ORD-CLE	7:00 AM, Dec 14	7:10 AM, Dec 14	Term 1 - B3	9:17 AM, Dec 14	9:06 AM, Dec 14	Main Term - C3
panynj	UA-1134-ORD-CLE	7:00 AM, Dec 14	7:10 AM, Dec 14	Term 1 - B3	9:17 AM, Dec 14	9:06 AM, Dec 14	Main Term - C3
gofox	UA-1134-ORD-CLE	7:00 AM, Dec 14	7:10 AM, Dec 14		9:17 AM, Dec 14	9:06 AM, Dec 14	
foxbusiness	UA-1134-ORD-CLE	7:00 AM, Dec 14	7:10 AM, Dec 14	Term 1 - B3	9:17 AM, Dec 14	9:06 AM, Dec 14	Main Term - C3
allegiantair	UA-1134-ORD-CLE	7:00 AM, Dec 14	7:10 AM, Dec 14	Term 1 - B3	9:17 AM, Dec 14	9:06 AM, Dec 14	Main Term - C3
boston	UA-1134-ORD-CLE	7:00 AM, Dec 14	7:10 AM, Dec 14		9:17 AM, Dec 14	9:03 AM, Dec 14	
travelocity	UA-1134-ORD-CLE	Dec 14 - 7:00am	Dec 14 - Contact Airline	Not provided by airline	Dec 14 - 9:17am	Dec 14 - Contact Airline	Not provided by airline
orbitz	UA-1134-ORD-CLE	7:00aDec 14	6:53aDec 14	 B3	9:17aDec 14	9:06aDec 14	 C03
weather	UA-1134-ORD-CLE	2011-12-14 07:00 AM			2011-12-14 09:17 AM		
flightarrival	UA-1134-ORD-CLE	2011-12-14 07:00 AM			2011-12-14 09:17 AM		
aa	AA-3825-SLC-ORD	December 14, 2011               07:00 AM    	December 14, 2011               07:06 AM    	 A1	December 14, 2011               11:15 AM    	December 14, 2011               11:47 AM    	 H4    
flightexplorer	AA-3825-SLC-ORD		12/14/2011 8:15AM MST			12/14/2011 11:44AM CST	
airtravelcenter	AA-3825-SLC-ORD		12/14/11 8:14 AM (-07:00)			12/14/11 11:44 AM (-06:00)	
myrateplan	AA-3825-SLC-ORD		12/14/11 8:14 AM (-07:00)			12/14/11 11:44 AM (-06:00)	
helloflight	AA-3825-SLC-ORD		12/14/11 8:14 AM (-07:00)			12/14/11 11:44 AM (-06:00)	
flytecomm	AA-3825-SLC-ORD		12/14/11 8:14 AM (-07:00)			12/14/11 11:44 AM (-06:00)	
flightaware	AA-3825-SLC-ORD	2011-12-14 07:00AM MST	2011-12-14 08:14AM MST	 A1 	2011-12-14 10:28AM CST	2011-12-14 11:40AM CST	 H4 
wunderground	AA-3825-SLC-ORD	2011-12-14 07:00AM MST	2011-12-14 08:14AM MST	 A1 	2011-12-14 10:28AM CST	2011-12-14 11:40AM CST	 H4 
flights	AA-3825-SLC-ORD	07:00 AM  Wed 14-Dec-2011	07:06 AM  Wed 14-Dec-2011	A1	11:15 AM  Wed 14-Dec-2011	11:47 AM  Wed 14-Dec-2011	H4
businesstravellogue	AA-3825-SLC-ORD	07:00 AM  Wed 14-Dec-2011	07:06 AM  Wed 14-Dec-2011	A1	11:15 AM  Wed 14-Dec-2011	11:47 AM  Wed 14-Dec-2011	H4
flylouisville	AA-3825-SLC-ORD	07:00 AM  Wed 14-Dec-2011	07:06 AM  Wed 14-Dec-2011	A1	11:15 AM  Wed 14-Dec-2011	11:47 AM  Wed 14-Dec-2011	H4
flightstats	AA-3825-SLC-ORD	2011-12-14 7:00 AM	2011-12-14 7:06 AM		2011-12-14 11:15 AM	2011-12-14 11:47 AM	
quicktrip	AA-3825-SLC-ORD	2011-12-14 7:00 AM	2011-12-14 7:06 AM		2011-12-14 11:15 AM	2011-12-14 11:47 AM	
world-flight-tracker	AA-3825-SLC-ORD	2011-12-14 7:00 AM	2011-12-14 7:06 AM		2011-12-14 11:15 AM	2011-12-14 11:47 AM	
flightview	AA-3825-SLC-ORD	7:00 AM, Dec 14	8:15 AM, Dec 14	A1	11:15 AM, Dec 14	11:46 AM, Dec 14	H4
panynj	AA-3825-SLC-ORD	7:00 AM, Dec 14	8:15 AM, Dec 14	A1	11:15 AM, Dec 14	11:46 AM, Dec 14	H4
gofox	AA-3825-SLC-ORD	7:00 AM, Dec 14	8:15 AM, Dec 14		11:15 AM, Dec 14	11:46 AM, Dec 14	
foxbusiness	AA-3825-SLC-ORD	7:00 AM, Dec 14	8:15 AM, Dec 14	A1	11:15 AM, Dec 14	11:46 AM, Dec 14	H4
allegiantair	AA-3825-SLC-ORD	7:00 AM, Dec 14	8:15 AM, Dec 14	A1	11:15 AM, Dec 14	11:46 AM, Dec 14	H4
boston	AA-3825-SLC-ORD	7:00 AM, Dec 14	8:15 AM, Dec 14		11:15 AM, Dec 14	11:46 AM, Dec 14	
travelocity	AA-3825-SLC-ORD	Dec 14 - 7:00am	Dec 14 - 7:06am	A3	Dec 14 - 11:15am	Dec 14 - 11:47am	H4/T3
orbitz	AA-3825-SLC-ORD	7:00aDec 14	7:06aDec 14	 A1	11:15aDec 14	11:47aDec 14	 H4
weather	AA-3825-SLC-ORD	2011-12-14 07:00 AM			2011-12-14 11:15 AM		
ord	AA-3825-SLC-ORD	2011-12-14 7:00 AM		A1	2011-12-14 11:15 AM		H4
ifly	AA-3825-SLC-ORD	2011-12-14 7:00 AM	2011-12-14 7:06 AM		2011-12-14 11:15 AM	2011-12-14 11:47 AM	
mytripandmore	AA-3825-SLC-ORD	7:00aDec 14	7:06aDec 14	 A1	11:15aDec 14	11:47aDec 14	 H4
flightarrival	AA-3825-SLC-ORD	7:00 AM, Dec 14	8:15 AM, Dec 14		11:15 AM, Dec 14	11:46 AM, Dec 14	
ua	UA-270-MCO-IAD	Wed, Dec 14 6:51 PM	Wed, Dec 14 6:47 PM            On Time	44	Wed, Dec 14 9:00 PM	Wed, Dec 14 8:52 PM	C17
flightexplorer	UA-270-MCO-IAD		12/14/2011 7:00PM EST			12/14/2011 8:46PM EST	
