CO	CO-4237-EWR-DTW	Tue., Dec.27, 2011 12:17 p.m.	Tue., Dec.27, 2011 12:20 p.m.		Tue., Dec.27, 2011 2:24 p.m.	Tue., Dec.27, 2011 2:07 p.m.	
airtravelcenter	AA-942-SAP-MIA		12/27/11 2:55 PM (-06:00)			12/27/11 5:43 PM (-05:00)	
myrateplan	AA-942-SAP-MIA		12/27/11 2:55 PM (-06:00)			12/27/11 5:43 PM (-05:00)	
helloflight	AA-942-SAP-MIA		12/27/11 2:55 PM (-06:00)			12/27/11 5:43 PM (-05:00)	
flytecomm	AA-942-SAP-MIA		12/27/11 2:55 PM (-06:00)			12/27/11 5:43 PM (-05:00)	
flights	AA-942-SAP-MIA	02:40 PM  Tue 27-Dec-2011	02:39 PM  Tue 27-Dec-2011	-6	05:50 PM  Tue 27-Dec-2011	05:46 PM  Tue 27-Dec-2011	D46
businesstravellogue	AA-942-SAP-MIA	02:40 PM  Tue 27-Dec-2011	02:39 PM  Tue 27-Dec-2011	-6	05:50 PM  Tue 27-Dec-2011	05:46 PM  Tue 27-Dec-2011	D46
flylouisville	AA-942-SAP-MIA	02:40 PM  Tue 27-Dec-2011	02:39 PM  Tue 27-Dec-2011	-6	05:50 PM  Tue 27-Dec-2011	05:46 PM  Tue 27-Dec-2011	D46
world-flight-tracker	AA-942-SAP-MIA	2011-12-27 2:40 PM	2011-12-27 2:39 PM		2011-12-27 5:50 PM	2011-12-27 5:46 PM	
flightview	AA-942-SAP-MIA	2:40 PM, Dec 27	2:56 PM, Dec 27		5:50 PM, Dec 27	5:46 PM, Dec 27	
panynj	AA-942-SAP-MIA	2:40 PM, Dec 27	2:56 PM, Dec 27		5:50 PM, Dec 27	5:46 PM, Dec 27	
gofox	AA-942-SAP-MIA	2:40 PM, Dec 27	2:56 PM, Dec 27		5:50 PM, Dec 27	5:46 PM, Dec 27	
foxbusiness	AA-942-SAP-MIA	2:40 PM, Dec 27	2:56 PM, Dec 27		5:50 PM, Dec 27	5:46 PM, Dec 27	
allegiantair	AA-942-SAP-MIA	2:40 PM, Dec 27	2:56 PM, Dec 27		5:50 PM, Dec 27	5:46 PM, Dec 27	
boston	AA-942-SAP-MIA	2:40 PM, Dec 27	2:56 PM, Dec 27		5:50 PM, Dec 27	5:41 PM, Dec 27	
travelocity	AA-942-SAP-MIA	Dec 27 - 2:40pm	Dec 27 - 2:39pm	Not provided by airline	Dec 27 - 5:50pm	Dec 27 - 5:46pm	D46
orbitz	AA-942-SAP-MIA	2:40pDec 27	2:39pDec 27	 6	5:50pDec 27	5:46pDec 27	 D46
usatoday	AA-942-SAP-MIA	2:40 PM, Dec 27	2:56 PM, Dec 27		5:50 PM, Dec 27	5:41 PM, Dec 27	
mytripandmore	AA-942-SAP-MIA	2:40pDec 27	2:39pDec 27	 6	5:50pDec 27	5:46pDec 27	 D46
aa	AA-1221-MCO-ORD	December 27, 2011               08:00 PM    	December 27, 2011               07:54 PM    	 15	December 27, 2011               09:50 PM    	December 27, 2011               09:45 PM    	 K5    
flightexplorer	AA-1221-MCO-ORD		12/27/2011 8:09PM EST			12/27/2011 9:41PM CST	
airtravelcenter	AA-1221-MCO-ORD		12/27/11 8:08 PM (-05:00)			12/27/11 9:41 PM (-06:00)	
myrateplan	AA-1221-MCO-ORD		12/27/11 8:08 PM (-05:00)			12/27/11 9:41 PM (-06:00)	
helloflight	AA-1221-MCO-ORD		12/27/11 8:08 PM (-05:00)			12/27/11 9:41 PM (-06:00)	
flytecomm	AA-1221-MCO-ORD		12/27/11 8:08 PM (-05:00)			12/27/11 9:41 PM (-06:00)	
flightaware	AA-1221-MCO-ORD	2011-12-27 08:00PM EST	2011-12-27 08:09PM EST	 15 	2011-12-27 09:40PM CST	2011-12-27 09:38PM CST	 K5 
wunderground	AA-1221-MCO-ORD	2011-12-27 08:00PM EST	2011-12-27 08:09PM EST	 15 	2011-12-27 09:40PM CST	2011-12-27 09:38PM CST	 K5 
flights	AA-1221-MCO-ORD	08:00 PM  Tue 27-Dec-2011	07:54 PM  Tue 27-Dec-2011	15	09:50 PM  Tue 27-Dec-2011	09:45 PM  Tue 27-Dec-2011	K5
businesstravellogue	AA-1221-MCO-ORD	08:00 PM  Tue 27-Dec-2011	07:54 PM  Tue 27-Dec-2011	15	09:50 PM  Tue 27-Dec-2011	09:45 PM  Tue 27-Dec-2011	K5
flylouisville	AA-1221-MCO-ORD	08:00 PM  Tue 27-Dec-2011	07:54 PM  Tue 27-Dec-2011	15	09:50 PM  Tue 27-Dec-2011	09:45 PM  Tue 27-Dec-2011	K5
flightstats	AA-1221-MCO-ORD	2011-12-27 8:00 PM	2011-12-27 7:54 PM		2011-12-27 9:50 PM	2011-12-27 9:45 PM	
quicktrip	AA-1221-MCO-ORD	2011-12-27 8:00 PM	2011-12-27 7:54 PM		2011-12-27 9:50 PM	2011-12-27 9:45 PM	
world-flight-tracker	AA-1221-MCO-ORD	2011-12-27 8:00 PM	2011-12-27 7:54 PM		2011-12-27 9:50 PM	2011-12-27 9:45 PM	
flightview	AA-1221-MCO-ORD	8:00 PM, Dec 27	8:09 PM, Dec 27	Terminal A - 15	9:50 PM, Dec 27	9:41 PM, Dec 27	Terminal 3
panynj	AA-1221-MCO-ORD	8:00 PM, Dec 27	8:09 PM, Dec 27	Terminal A - 15	9:50 PM, Dec 27	9:41 PM, Dec 27	Terminal 3
gofox	AA-1221-MCO-ORD	8:00 PM, Dec 27	8:09 PM, Dec 27		9:50 PM, Dec 27	9:41 PM, Dec 27	
foxbusiness	AA-1221-MCO-ORD	8:00 PM, Dec 27	8:09 PM, Dec 27	Terminal A - 15	9:50 PM, Dec 27	9:41 PM, Dec 27	Terminal 3
allegiantair	AA-1221-MCO-ORD	8:00 PM, Dec 27	8:09 PM, Dec 27	Terminal A - 15	9:50 PM, Dec 27	9:41 PM, Dec 27	Terminal 3
boston	AA-1221-MCO-ORD	8:00 PM, Dec 27	8:09 PM, Dec 27		9:50 PM, Dec 27	9:41 PM, Dec 27	
travelocity	AA-1221-MCO-ORD	Dec 27 - 8:00pm	Dec 27 - 7:54pm	15	Dec 27 - 9:50pm	Dec 27 - 9:45pm	K5/T3
orbitz	AA-1221-MCO-ORD	8:00pDec 27	7:54pDec 27	 15	9:50pDec 27	9:45pDec 27	 K5
weather	AA-1221-MCO-ORD	2011-12-27 08:00 PM			2011-12-27 09:50 PM		
ord	AA-1221-MCO-ORD	2011-12-27 8:00 PM		15	2011-12-27 9:50 PM		K5
mco	AA-1221-MCO-ORD	2011-12-27 Tue  20:00		15?			
usatoday	AA-1221-MCO-ORD	8:00 PM, Dec 27	8:09 PM, Dec 27		9:50 PM, Dec 27	9:41 PM, Dec 27	
flightwise	AA-1221-MCO-ORD	2011-12-27 08:00PM EST	2011-12-27 08:09PM EST	 15 	2011-12-27 09:40PM CST	2011-12-27 09:38PM CST	 K5 
flightarrival	AA-1221-MCO-ORD	8:00 PM, Dec 27	8:09 PM, Dec 27		9:50 PM, Dec 27	9:41 PM, Dec 27	
aa	AA-685-MIA-IAH	December 27, 2011               02:50 PM    	December 27, 2011               02:52 PM    	 D17	December 27, 2011               04:40 PM    	December 27, 2011               04:48 PM    	 A27    
flightexplorer	AA-685-MIA-IAH		12/27/2011 3:10PM EST			12/27/2011 4:42PM CST	
airtravelcenter	AA-685-MIA-IAH		12/27/11 3:10 PM (-05:00)			12/27/11 4:42 PM (-06:00)	
myrateplan	AA-685-MIA-IAH		12/27/11 3:10 PM (-05:00)			12/27/11 4:42 PM (-06:00)	
helloflight	AA-685-MIA-IAH		12/27/11 3:10 PM (-05:00)			12/27/11 4:42 PM (-06:00)	
flytecomm	AA-685-MIA-IAH		12/27/11 3:10 PM (-05:00)			12/27/11 4:42 PM (-06:00)	
flightaware	AA-685-MIA-IAH	2011-12-27 02:50PM EST	2011-12-27 03:10PM EST	 D17 	2011-12-27 04:32PM CST	2011-12-27 04:39PM CST	 A27 
wunderground	AA-685-MIA-IAH	2011-12-27 02:50PM EST	2011-12-27 03:10PM EST	 D17 	2011-12-27 04:32PM CST	2011-12-27 04:39PM CST	 A27 
flights	AA-685-MIA-IAH	02:50 PM  Tue 27-Dec-2011	02:52 PM  Tue 27-Dec-2011	D17	04:40 PM  Tue 27-Dec-2011	04:48 PM  Tue 27-Dec-2011	27
businesstravellogue	AA-685-MIA-IAH	02:50 PM  Tue 27-Dec-2011	02:52 PM  Tue 27-Dec-2011	D17	04:40 PM  Tue 27-Dec-2011	04:48 PM  Tue 27-Dec-2011	27
flylouisville	AA-685-MIA-IAH	02:50 PM  Tue 27-Dec-2011	02:52 PM  Tue 27-Dec-2011	D17	04:40 PM  Tue 27-Dec-2011	04:48 PM  Tue 27-Dec-2011	27
flightstats	AA-685-MIA-IAH	2011-12-27 2:50 PM	2011-12-27 2:52 PM		2011-12-27 4:40 PM	2011-12-27 4:48 PM	
quicktrip	AA-685-MIA-IAH	2011-12-27 2:50 PM	2011-12-27 2:52 PM		2011-12-27 4:40 PM	2011-12-27 4:48 PM	
world-flight-tracker	AA-685-MIA-IAH	2011-12-27 2:50 PM	2011-12-27 2:52 PM		2011-12-27 4:40 PM	2011-12-27 4:48 PM	
flightview	AA-685-MIA-IAH	2:50 PM, Dec 27	3:10 PM, Dec 27	Terminal D - D17	4:40 PM, Dec 27	4:40 PM, Dec 27	A27
panynj	AA-685-MIA-IAH	2:50 PM, Dec 27	3:10 PM, Dec 27	Terminal D - D17	4:40 PM, Dec 27	4:40 PM, Dec 27	A27
gofox	AA-685-MIA-IAH	2:50 PM, Dec 27	3:10 PM, Dec 27		4:40 PM, Dec 27	4:40 PM, Dec 27	
foxbusiness	AA-685-MIA-IAH	2:50 PM, Dec 27	3:10 PM, Dec 27	Terminal D - D17	4:40 PM, Dec 27	4:40 PM, Dec 27	A27
allegiantair	AA-685-MIA-IAH	2:50 PM, Dec 27	3:10 PM, Dec 27	Terminal D - D17	4:40 PM, Dec 27	4:40 PM, Dec 27	A27
boston	AA-685-MIA-IAH	2:50 PM, Dec 27	3:10 PM, Dec 27		4:40 PM, Dec 27	4:40 PM, Dec 27	
travelocity	AA-685-MIA-IAH	Dec 27 - 2:50pm	Dec 27 - 2:52pm	D17	Dec 27 - 4:40pm	Dec 27 - 4:48pm	A27
orbitz	AA-685-MIA-IAH	2:50pDec 27	2:52pDec 27	 D17	4:40pDec 27	4:48pDec 27	 A27
weather	AA-685-MIA-IAH	2011-12-27 02:50 PM			2011-12-27 04:40 PM		
usatoday	AA-685-MIA-IAH	2:50 PM, Dec 27	3:10 PM, Dec 27		4:40 PM, Dec 27	4:40 PM, Dec 27	
mytripandmore	AA-685-MIA-IAH	Dec 27 - 2:50pm	Dec 27 - 2:52pm	D17	Dec 27 - 4:40pm	Dec 27 - 4:48pm	A27
flightwise	AA-685-MIA-IAH	2011-12-27 02:50PM EST	2011-12-27 03:10PM EST	 D17 	2011-12-27 04:32PM CST	2011-12-27 04:39PM CST	 A27 
aa	AA-3877-PHL-ORD	December 27, 2011               09:50 AM    	December 27, 2011               09:49 AM    	 A7	December 27, 2011               11:15 AM    	December 27, 2011               11:04 AM    	 G13    
flightexplorer	AA-3877-PHL-ORD		12/27/2011 10:16AM EST			12/27/2011 10:59AM CST	
airtravelcenter	AA-3877-PHL-ORD		12/27/11 10:15 AM (-05:00)			12/27/11 10:59 AM (-06:00)	
myrateplan	AA-3877-PHL-ORD		12/27/11 10:15 AM (-05:00)			12/27/11 10:59 AM (-06:00)	
helloflight	AA-3877-PHL-ORD		12/27/11 10:15 AM (-05:00)			12/27/11 10:59 AM (-06:00)	
flytecomm	AA-3877-PHL-ORD		12/27/11 10:15 AM (-05:00)			12/27/11 10:59 AM (-06:00)	
flightaware	AA-3877-PHL-ORD	2011-12-27 09:50AM EST	2011-12-27 10:15AM EST	 A7 	2011-12-27 10:52AM CST	2011-12-27 10:56AM CST	 G13 
wunderground	AA-3877-PHL-ORD	2011-12-27 09:50AM EST	2011-12-27 10:15AM EST	 A7 	2011-12-27 10:52AM CST	2011-12-27 10:56AM CST	 G13 
flights	AA-3877-PHL-ORD	09:50 AM  Tue 27-Dec-2011	09:49 AM  Tue 27-Dec-2011	7	11:15 AM  Tue 27-Dec-2011	11:04 AM  Tue 27-Dec-2011	G13
businesstravellogue	AA-3877-PHL-ORD	09:50 AM  Tue 27-Dec-2011	09:49 AM  Tue 27-Dec-2011	7	11:15 AM  Tue 27-Dec-2011	11:04 AM  Tue 27-Dec-2011	G13
flylouisville	AA-3877-PHL-ORD	09:50 AM  Tue 27-Dec-2011	09:49 AM  Tue 27-Dec-2011	7	11:15 AM  Tue 27-Dec-2011	11:04 AM  Tue 27-Dec-2011	G13
flightstats	AA-3877-PHL-ORD	2011-12-27 9:50 AM	2011-12-27 9:49 AM		2011-12-27 11:15 AM	2011-12-27 11:04 AM	
quicktrip	AA-3877-PHL-ORD	2011-12-27 9:50 AM	2011-12-27 9:49 AM		2011-12-27 11:15 AM	2011-12-27 11:04 AM	
world-flight-tracker	AA-3877-PHL-ORD	2011-12-27 9:50 AM	2011-12-27 9:49 AM		2011-12-27 11:15 AM	2011-12-27 11:04 AM	
flightview	AA-3877-PHL-ORD	9:50 AM, Dec 27	10:16 AM, Dec 27	A7	11:15 AM, Dec 27	10:58 AM, Dec 27	G13
panynj	AA-3877-PHL-ORD	9:50 AM, Dec 27	10:16 AM, Dec 27	A7	11:15 AM, Dec 27	10:58 AM, Dec 27	G13
gofox	AA-3877-PHL-ORD	9:50 AM, Dec 27	10:16 AM, Dec 27		11:15 AM, Dec 27	10:58 AM, Dec 27	
foxbusiness	AA-3877-PHL-ORD	9:50 AM, Dec 27	10:16 AM, Dec 27	A7	11:15 AM, Dec 27	10:58 AM, Dec 27	G13
allegiantair	AA-3877-PHL-ORD	9:50 AM, Dec 27	10:16 AM, Dec 27	A7	11:15 AM, Dec 27	10:58 AM, Dec 27	G13
boston	AA-3877-PHL-ORD	9:50 AM, Dec 27	10:16 AM, Dec 27		11:15 AM, Dec 27	10:58 AM, Dec 27	
travelocity	AA-3877-PHL-ORD	Dec 27 - 9:50am	Dec 27 - 9:49am	A7/A	Dec 27 - 11:15am	Dec 27 - 11:04am	G13/T3
orbitz	AA-3877-PHL-ORD	9:50aDec 27	9:49aDec 27	 A7	11:15aDec 27	11:04aDec 27	 G13
weather	AA-3877-PHL-ORD	2011-12-27 09:50 AM			2011-12-27 11:15 AM		
ord	AA-3877-PHL-ORD	2011-12-27 9:50 AM		7	2011-12-27 11:15 AM		G13
phl	AA-3877-PHL-ORD	2011-12-27 9:50 AM		A7			
flightwise	AA-3877-PHL-ORD	2011-12-27 09:50AM EST	2011-12-27 10:15AM EST	 A7 	2011-12-27 10:52AM CST	2011-12-27 10:56AM CST	 G13 
flightarrival	AA-3877-PHL-ORD	2011-12-27 09:50 AM			2011-12-27 11:15 AM		
aa	AA-1556-DFW-ICT	December 27, 2011               08:10 PM    	December 27, 2011     	 A39	December 27, 2011               09:20 PM    	December 27, 2011     	 5    
flightexplorer	AA-1556-DFW-ICT	12/27/2011 11:12PM CST			12/28/2011 12:04AM CST		
airtravelcenter	AA-1556-DFW-ICT		12/27/11 11:12 PM (-06:00)			12/28/11 12:04 AM (-06:00)	
myrateplan	AA-1556-DFW-ICT		12/27/11 11:12 PM (-06:00)			12/28/11 12:04 AM (-06:00)	
helloflight	AA-1556-DFW-ICT		12/27/11 11:12 PM (-06:00)			12/28/11 12:04 AM (-06:00)	
flytecomm	AA-1556-DFW-ICT		12/27/11 11:12 PM (-06:00)			12/28/11 12:04 AM (-06:00)	
flightaware	AA-1556-DFW-ICT	2011-12-27 08:10PM CST	2011-12-27 11:45PM CST	 A39 	2011-12-27 09:00PM CST	2011-12-27 12:33AM CST	 5 
wunderground	AA-1556-DFW-ICT	2011-12-27 08:10PM CST	2011-12-27 11:45PM CST	 A39 	2011-12-27 09:00PM CST	2011-12-27 12:33AM CST	 5 
flights	AA-1556-DFW-ICT	2011-12-27 08:10 PM		A39	2011-12-27 09:20 PM		5
businesstravellogue	AA-1556-DFW-ICT	2011-12-27 08:10 PM		A39	2011-12-27 09:20 PM		5
flylouisville	AA-1556-DFW-ICT	2011-12-27 08:10 PM		A39	2011-12-27 09:20 PM		5
flightstats	AA-1556-DFW-ICT	2011-12-27 8:10 PM	2011-12-27 11:35 PM (Estimated)		2011-12-27 9:20 PM	2011-12-27 12:43 AM (Estimated)	
quicktrip	AA-1556-DFW-ICT	2011-12-27 8:10 PM	2011-12-27 11:35 PM (Estimated)		2011-12-27 9:20 PM	2011-12-27 12:43 AM (Estimated)	
flightview	AA-1556-DFW-ICT	10:20 PMDec 27			12:12 AMDec 28		
panynj	AA-1556-DFW-ICT	10:20 PMDec 27			12:12 AMDec 28		
gofox	AA-1556-DFW-ICT	10:20 PMDec 27			12:12 AMDec 28		
foxbusiness	AA-1556-DFW-ICT	10:20 PMDec 27			12:12 AMDec 28		
allegiantair	AA-1556-DFW-ICT	10:20 PMDec 27			12:12 AMDec 28		
boston	AA-1556-DFW-ICT	11:20 PMDec 27			12:12 AMDec 28		
orbitz	AA-1556-DFW-ICT	8:10pDec 27		 A39	4:06aDec 28		 5
dfw	AA-1556-DFW-ICT	2011-12-27 8:10 pm		A34			
mytripandmore	AA-1556-DFW-ICT	8:10pDec 27		 A39	4:06aDec 28		 5
aa	AA-4180-ORD-CLT	December 27, 2011               10:45 AM    	December 27, 2011               10:43 AM    	 G3	December 27, 2011               01:35 PM    	December 27, 2011               01:42 PM    	 A11    
airtravelcenter	AA-4180-ORD-CLT		12/27/11 10:58 AM (-06:00)			12/27/11 1:34 PM (-05:00)	
myrateplan	AA-4180-ORD-CLT		12/27/11 10:58 AM (-06:00)			12/27/11 1:34 PM (-05:00)	
helloflight	AA-4180-ORD-CLT		12/27/11 10:58 AM (-06:00)			12/27/11 1:34 PM (-05:00)	
flytecomm	AA-4180-ORD-CLT		12/27/11 10:58 AM (-06:00)			12/27/11 1:34 PM (-05:00)	
flightaware	AA-4180-ORD-CLT	2011-12-27 10:45AM CST	2011-12-27 10:58AM CST	 G3 	2011-12-27 01:39PM EST	2011-12-27 01:32PM EST	 A11 
wunderground	AA-4180-ORD-CLT	2011-12-27 10:45AM CST	2011-12-27 10:58AM CST	 G3 	2011-12-27 01:39PM EST	2011-12-27 01:32PM EST	 A11 
flights	AA-4180-ORD-CLT	10:45 AM  Tue 27-Dec-2011	10:43 AM  Tue 27-Dec-2011	G3	01:35 PM  Tue 27-Dec-2011	01:42 PM  Tue 27-Dec-2011	A11
businesstravellogue	AA-4180-ORD-CLT	10:45 AM  Tue 27-Dec-2011	10:43 AM  Tue 27-Dec-2011	G3	01:35 PM  Tue 27-Dec-2011	01:42 PM  Tue 27-Dec-2011	A11
flylouisville	AA-4180-ORD-CLT	10:45 AM  Tue 27-Dec-2011	10:43 AM  Tue 27-Dec-2011	G3	01:35 PM  Tue 27-Dec-2011	01:42 PM  Tue 27-Dec-2011	A11
flightstats	AA-4180-ORD-CLT	2011-12-27 10:45 AM	2011-12-27 10:43 AM		2011-12-27 1:35 PM	2011-12-27 1:42 PM	
quicktrip	AA-4180-ORD-CLT	2011-12-27 10:45 AM	2011-12-27 10:43 AM		2011-12-27 1:35 PM	2011-12-27 1:42 PM	
world-flight-tracker	AA-4180-ORD-CLT	2011-12-27 10:45 AM	2011-12-27 10:43 AM		2011-12-27 1:35 PM	2011-12-27 1:42 PM	
flightview	AA-4180-ORD-CLT	10:45 AM, Dec 27	10:58 AM, Dec 27		1:35 PM, Dec 27	1:32 PM, Dec 27	
panynj	AA-4180-ORD-CLT	10:45 AM, Dec 27	10:58 AM, Dec 27		1:35 PM, Dec 27	1:32 PM, Dec 27	
gofox	AA-4180-ORD-CLT	10:45 AM, Dec 27	10:58 AM, Dec 27		1:35 PM, Dec 27	1:32 PM, Dec 27	
foxbusiness	AA-4180-ORD-CLT	10:45 AM, Dec 27	10:58 AM, Dec 27		1:35 PM, Dec 27	1:32 PM, Dec 27	
allegiantair	AA-4180-ORD-CLT	10:45 AM, Dec 27	10:58 AM, Dec 27		1:35 PM, Dec 27	1:32 PM, Dec 27	
boston	AA-4180-ORD-CLT	10:45 AM, Dec 27	10:58 AM, Dec 27		1:35 PM, Dec 27	1:32 PM, Dec 27	
travelocity	AA-4180-ORD-CLT	Dec 27 - 10:45am	Dec 27 - 10:43am	G3/T3	Dec 27 - 1:35pm	Dec 27 - 1:42pm	A11
orbitz	AA-4180-ORD-CLT	10:45aDec 27	10:43aDec 27	 G3	1:35pDec 27	1:42pDec 27	 A11
weather	AA-4180-ORD-CLT	2011-12-27 10:45 AM			2011-12-27 01:35 PM		
ord	AA-4180-ORD-CLT	2011-12-27 10:45 AM		G3	2011-12-27 1:35 PM		A11
usatoday	AA-4180-ORD-CLT	2011-12-27 10:45 AM			2011-12-27 01:35 PM		
mytripandmore	AA-4180-ORD-CLT	10:45aDec 27	10:43aDec 27	 G3	1:35pDec 27	1:42pDec 27	 A11
aa	AA-271-MIA-LAX	December 27, 2011               11:35 AM    	December 27, 2011               11:40 AM    	 D10	December 27, 2011               02:25 PM    	December 27, 2011               02:17 PM    	 42A    
flightexplorer	AA-271-MIA-LAX		12/27/2011 11:55AM EST			12/27/2011 2:15PM PST	
airtravelcenter	AA-271-MIA-LAX		12/27/11 11:55 AM (-05:00)			12/27/11 2:15 PM (-08:00)	
myrateplan	AA-271-MIA-LAX		12/27/11 11:55 AM (-05:00)			12/27/11 2:15 PM (-08:00)	
helloflight	AA-271-MIA-LAX		12/27/11 11:55 AM (-05:00)			12/27/11 2:15 PM (-08:00)	
flytecomm	AA-271-MIA-LAX		12/27/11 11:55 AM (-05:00)			12/27/11 2:15 PM (-08:00)	
flightaware	AA-271-MIA-LAX	2011-12-27 11:35AM EST	2011-12-27 11:54AM EST	 D10 	2011-12-27 02:18PM PST	2011-12-27 02:11PM PST	 42A 
wunderground	AA-271-MIA-LAX	2011-12-27 11:35AM EST	2011-12-27 11:54AM EST	 D10 	2011-12-27 02:18PM PST	2011-12-27 02:11PM PST	 42A 
flights	AA-271-MIA-LAX	11:35 AM  Tue 27-Dec-2011	11:40 AM  Tue 27-Dec-2011	D10	02:25 PM  Tue 27-Dec-2011	02:17 PM  Tue 27-Dec-2011	42A
businesstravellogue	AA-271-MIA-LAX	11:35 AM  Tue 27-Dec-2011	11:40 AM  Tue 27-Dec-2011	D10	02:25 PM  Tue 27-Dec-2011	02:17 PM  Tue 27-Dec-2011	42A
flylouisville	AA-271-MIA-LAX	11:35 AM  Tue 27-Dec-2011	11:40 AM  Tue 27-Dec-2011	D10	02:25 PM  Tue 27-Dec-2011	02:17 PM  Tue 27-Dec-2011	42A
flightstats	AA-271-MIA-LAX	2011-12-27 11:35 AM	2011-12-27 11:40 AM		2011-12-27 2:25 PM	2011-12-27 2:17 PM	
quicktrip	AA-271-MIA-LAX	2011-12-27 11:35 AM	2011-12-27 11:40 AM		2011-12-27 2:25 PM	2011-12-27 2:17 PM	
world-flight-tracker	AA-271-MIA-LAX	2011-12-27 11:35 AM	2011-12-27 11:40 AM		2011-12-27 2:25 PM	2011-12-27 2:17 PM	
flightview	AA-271-MIA-LAX	11:35 AM, Dec 27	11:55 AM, Dec 27	D10	2:25 PM, Dec 27	2:17 PM, Dec 27	Terminal 4 - 42A
panynj	AA-271-MIA-LAX	11:35 AM, Dec 27	11:55 AM, Dec 27	D10	2:25 PM, Dec 27	2:17 PM, Dec 27	Terminal 4 - 42A
gofox	AA-271-MIA-LAX	11:35 AM, Dec 27	11:55 AM, Dec 27		2:25 PM, Dec 27	2:17 PM, Dec 27	
foxbusiness	AA-271-MIA-LAX	11:35 AM, Dec 27	11:55 AM, Dec 27	D10	2:25 PM, Dec 27	2:17 PM, Dec 27	Terminal 4 - 42A
allegiantair	AA-271-MIA-LAX	11:35 AM, Dec 27	11:55 AM, Dec 27	D10	2:25 PM, Dec 27	2:17 PM, Dec 27	Terminal 4 - 42A
boston	AA-271-MIA-LAX	11:35 AM, Dec 27	11:55 AM, Dec 27		2:25 PM, Dec 27	2:11 PM, Dec 27	
travelocity	AA-271-MIA-LAX	Dec 27 - 11:35am	Dec 27 - 11:40am	D10	Dec 27 - 2:25pm	Dec 27 - 2:17pm	42A/T4
orbitz	AA-271-MIA-LAX	11:35aDec 27	11:40aDec 27	 D10	2:25pDec 27	2:17pDec 27	 42A
weather	AA-271-MIA-LAX	2011-12-27 11:35 AM	2011-12-27 11:55 AM		2011-12-27 02:25 PM	2011-12-27 02:15 PM	
usatoday	AA-271-MIA-LAX	11:35 AM, Dec 27	11:55 AM, Dec 27		2:25 PM, Dec 27	2:11 PM, Dec 27	
mytripandmore	AA-271-MIA-LAX	11:35aDec 27	11:40aDec 27	 D10	2:25pDec 27	2:17pDec 27	 42A
flightarrival	AA-271-MIA-LAX	11:35 AM, Dec 27	11:55 AM, Dec 27		2:25 PM, Dec 27	2:11 PM, Dec 27	
ua	UA-3496-DEN-OMA	Tue, Dec 27 9:52 PM	Tue, Dec 27 9:49 PM	B50	Wed, Dec 28 12:15 AM	Wed, Dec 28 12:15 AM	--
airtravelcenter	UA-3496-DEN-OMA		12/27/11 10:03 PM (-07:00)			12/28/11 12:16 AM (-06:00)	
myrateplan	UA-3496-DEN-OMA		12/27/11 10:03 PM (-07:00)			12/28/11 12:16 AM (-06:00)	
helloflight	UA-3496-DEN-OMA		12/27/11 10:03 PM (-07:00)			12/28/11 12:16 AM (-06:00)	
flytecomm	UA-3496-DEN-OMA		12/27/11 10:03 PM (-07:00)			12/28/11 12:16 AM (-06:00)	
flightaware	UA-3496-DEN-OMA	2011-12-27 09:52PM MST	2011-12-27 10:03PM MST	 B50 	2011-12-27 12:11AM CST	2011-12-27 12:08AM CST	
wunderground	UA-3496-DEN-OMA	2011-12-27 09:52PM MST	2011-12-27 10:03PM MST	 B50 	2011-12-27 12:11AM CST	2011-12-27 12:08AM CST	
flights	UA-3496-DEN-OMA	09:52 PM  Tue 27-Dec-2011			12:15 AM  Wed 28-Dec-2011		
businesstravellogue	UA-3496-DEN-OMA	09:52 PM  Tue 27-Dec-2011			12:15 AM  Wed 28-Dec-2011		
flylouisville	UA-3496-DEN-OMA	09:52 PM  Tue 27-Dec-2011			12:15 AM  Wed 28-Dec-2011		
flightstats	UA-3496-DEN-OMA	2011-12-27 9:52 PM	2011-12-27 9:49 PM		2011-12-27 12:15 AM	2011-12-27 12:18 AM (Estimated)	
quicktrip	UA-3496-DEN-OMA	2011-12-27 9:52 PM	2011-12-27 9:49 PM		2011-12-27 12:15 AM	2011-12-27 12:18 AM (Estimated)	
world-flight-tracker	UA-3496-DEN-OMA	2011-12-27 9:52 PM	2011-12-27 9:49 PM		2011-12-27 12:15 AM	2011-12-27 12:18 AM (Estimated)	
flightview	UA-3496-DEN-OMA	9:52 PM, Dec 27	10:03 PM, Dec 27		12:15 AM, Dec 28		
panynj	UA-3496-DEN-OMA	9:52 PM, Dec 27	10:03 PM, Dec 27		12:15 AM, Dec 28		
gofox	UA-3496-DEN-OMA	9:52 PM, Dec 27	10:03 PM, Dec 27		12:15 AM, Dec 28		
foxbusiness	UA-3496-DEN-OMA	9:52 PM, Dec 27	10:03 PM, Dec 27		12:15 AM, Dec 28		
allegiantair	UA-3496-DEN-OMA	9:52 PM, Dec 27	10:03 PM, Dec 27		12:15 AM, Dec 28		
boston	UA-3496-DEN-OMA	9:52 PM, Dec 27	10:03 PM, Dec 27		12:15 AM, Dec 28	12:10 AM, Dec 28&nbsp(Estimated)	
travelocity	UA-3496-DEN-OMA	Dec 27 - Not Available	Dec 27 - 10:02pm	B50	Dec 27 - Not Available	Dec 27 - 12:18am*	CHK
