CO	CO-4237-EWR-DTW	Sun., Dec.18, 2011 12:09 p.m.	Sun., Dec.18, 2011 12:04 p.m.		Sun., Dec.18, 2011 2:16 p.m.	Sun., Dec.18, 2011 1:48 p.m.	
wunderground	CO-1204-IAH-LGA	2011-12-18 11:39AM CST	2011-12-18 11:50AM CST	 33 	2011-12-18 03:40PM EST	2011-12-18 03:45PM EST	 A2 
flights	CO-1204-IAH-LGA		2011-12-18 11:39 AM	33		2011-12-18 03:49 PM	A2
businesstravellogue	CO-1204-IAH-LGA		2011-12-18 11:39 AM	33		2011-12-18 03:49 PM	A2
flylouisville	CO-1204-IAH-LGA		2011-12-18 11:39 AM	33		2011-12-18 03:49 PM	A2
flightstats	CO-1204-IAH-LGA	2011-12-18 11:39 AM	2011-12-18 11:39 AM		2011-12-18 4:07 PM	2011-12-18 3:49 PM	
quicktrip	CO-1204-IAH-LGA	2011-12-18 11:39 AM	2011-12-18 11:39 AM		2011-12-18 4:07 PM	2011-12-18 3:49 PM	
flightview	CO-1204-IAH-LGA		11:50 AMDec 18			3:49 PMDec 18	
panynj	CO-1204-IAH-LGA		11:50 AMDec 18			3:49 PMDec 18	
gofox	CO-1204-IAH-LGA		11:50 AMDec 18			3:49 PMDec 18	
foxbusiness	CO-1204-IAH-LGA		11:50 AMDec 18			3:49 PMDec 18	
allegiantair	CO-1204-IAH-LGA		11:50 AMDec 18			3:49 PMDec 18	
boston	CO-1204-IAH-LGA		11:50 AMDec 18			3:46 PMDec 18	
orbitz	CO-1204-IAH-LGA	11:39aDec 18	11:39aDec 18	 33	4:07pDec 18	3:49pDec 18	 A2
usatoday	CO-1204-IAH-LGA		11:50 AMDec 18			3:46 PMDec 18	
flightarrival	CO-1204-IAH-LGA		11:50 AMDec 18			3:46 PMDec 18	
ua	UA-1196-LGA-CLE	Sun, Dec 18 4:00 PM	Sun, Dec 18 3:59 PM            On Time	A4	Sun, Dec 18 5:52 PM	Sun, Dec 18 5:41 PM	C14
flightexplorer	UA-1196-LGA-CLE		12/18/2011 4:20PM EST			12/18/2011 5:36PM EST	
airtravelcenter	UA-1196-LGA-CLE	12/18/11 4:00 PM (-05:00)			12/18/11 5:52 PM (-05:00)		
airtravelcenter	UA-1196-LGA-CLE		12/18/11 4:21 PM (-05:00)			12/18/11 5:36 PM (-05:00)	
myrateplan	UA-1196-LGA-CLE	12/18/11 4:00 PM (-05:00)			12/18/11 5:52 PM (-05:00)		
myrateplan	UA-1196-LGA-CLE		12/18/11 4:21 PM (-05:00)			12/18/11 5:36 PM (-05:00)	
helloflight	UA-1196-LGA-CLE	12/18/11 4:00 PM (-05:00)			12/18/11 5:52 PM (-05:00)		
helloflight	UA-1196-LGA-CLE		12/18/11 4:21 PM (-05:00)			12/18/11 5:36 PM (-05:00)	
flytecomm	UA-1196-LGA-CLE	12/18/11 4:00 PM (-05:00)			12/18/11 5:52 PM (-05:00)		
flytecomm	UA-1196-LGA-CLE		12/18/11 4:21 PM (-05:00)			12/18/11 5:36 PM (-05:00)	
flightaware	UA-1196-LGA-CLE	2011-12-18 04:00PM EST	2011-12-18 04:21PM EST	 A4 	2011-12-18 05:42PM EST	2011-12-18 05:34PM EST	 C14 
wunderground	UA-1196-LGA-CLE	2011-12-18 04:00PM EST	2011-12-18 04:21PM EST	 A4 	2011-12-18 05:42PM EST	2011-12-18 05:34PM EST	 C14 
flights	UA-1196-LGA-CLE		2011-12-18 03:59 PM	A4		2011-12-18 05:41 PM	C14
businesstravellogue	UA-1196-LGA-CLE		2011-12-18 03:59 PM	A4		2011-12-18 05:41 PM	C14
flylouisville	UA-1196-LGA-CLE		2011-12-18 03:59 PM	A4		2011-12-18 05:41 PM	C14
flightview	UA-1196-LGA-CLE		4:21 PMDec 18			5:41 PMDec 18	
panynj	UA-1196-LGA-CLE		4:21 PMDec 18			5:41 PMDec 18	
gofox	UA-1196-LGA-CLE		4:21 PMDec 18			5:41 PMDec 18	
foxbusiness	UA-1196-LGA-CLE		4:21 PMDec 18			5:41 PMDec 18	
allegiantair	UA-1196-LGA-CLE		4:21 PMDec 18			5:41 PMDec 18	
boston	UA-1196-LGA-CLE		4:21 PMDec 18			5:38 PMDec 18	
orbitz	UA-1196-LGA-CLE	4:00pDec 18	3:59pDec 18	 A4	5:52pDec 18	5:41pDec 18	 C14
flightwise	UA-1196-LGA-CLE	2011-12-18 04:00PM EST	2011-12-18 04:21PM EST	 A4 	2011-12-18 05:42PM EST	2011-12-18 05:34PM EST	 C14 
flightarrival	UA-1196-LGA-CLE		4:21 PMDec 18			5:38 PMDec 18	
ua	UA-3373-IAD-PHL	Sun, Dec 18 8:30 AM	Sun, Dec 18 8:28 AM	C20	Sun, Dec 18 9:25 AM	Sun, Dec 18 9:26 AM	D7
flightexplorer	UA-3373-IAD-PHL		12/18/2011 8:49AM EST			12/18/2011 9:22AM EST	
airtravelcenter	UA-3373-IAD-PHL		12/18/11 8:49 AM (-05:00)			12/18/11 9:22 AM (-05:00)	
myrateplan	UA-3373-IAD-PHL		12/18/11 8:49 AM (-05:00)			12/18/11 9:22 AM (-05:00)	
helloflight	UA-3373-IAD-PHL		12/18/11 8:49 AM (-05:00)			12/18/11 9:22 AM (-05:00)	
flytecomm	UA-3373-IAD-PHL		12/18/11 8:49 AM (-05:00)			12/18/11 9:22 AM (-05:00)	
flights	UA-3373-IAD-PHL		2011-12-18 08:28 AM	C20		2011-12-18 09:26 AM	D7
businesstravellogue	UA-3373-IAD-PHL		2011-12-18 08:28 AM	C20		2011-12-18 09:26 AM	D7
flylouisville	UA-3373-IAD-PHL		2011-12-18 08:28 AM	C20		2011-12-18 09:26 AM	D7
flightstats	UA-3373-IAD-PHL	2011-12-18 8:30 AM	2011-12-18 8:28 AM		2011-12-18 9:25 AM	2011-12-18 9:26 AM	
quicktrip	UA-3373-IAD-PHL	2011-12-18 8:30 AM	2011-12-18 8:28 AM		2011-12-18 9:25 AM	2011-12-18 9:26 AM	
flightview	UA-3373-IAD-PHL		8:49 AMDec 18			9:26 AMDec 18	
panynj	UA-3373-IAD-PHL		8:49 AMDec 18			9:26 AMDec 18	
gofox	UA-3373-IAD-PHL		8:49 AMDec 18			9:26 AMDec 18	
foxbusiness	UA-3373-IAD-PHL		8:49 AMDec 18			9:26 AMDec 18	
allegiantair	UA-3373-IAD-PHL		8:49 AMDec 18			9:26 AMDec 18	
boston	UA-3373-IAD-PHL		8:49 AMDec 18			9:19 AMDec 18	
travelocity	UA-3373-IAD-PHL	Dec 18 - Not Available	Dec 18 - 8:48am	C20	Dec 18 - Not Available	Dec 18 - 9:26am	D7
orbitz	UA-3373-IAD-PHL	8:30aDec 18	8:28aDec 18	 C20	9:25aDec 18	9:26aDec 18	 D7
weather	UA-3373-IAD-PHL	2011-12-18 08:30 AM			2011-12-18 09:25 AM		
phl	UA-3373-IAD-PHL				2011-12-18 9:25 AM		D7
usatoday	UA-3373-IAD-PHL	2011-12-18 08:30 AM			2011-12-18 09:25 AM		
mytripandmore	UA-3373-IAD-PHL	8:30aDec 18	8:28aDec 18	 C20	9:25aDec 18	9:26aDec 18	 D7
aa	AA-1412-MIA-JFK	December 18, 2011               08:40 PM    	December 18, 2011               08:41 PM    	 D3	December 18, 2011               11:25 PM    	December 18, 2011               11:32 PM    	 2    
flightexplorer	AA-1412-MIA-JFK		12/18/2011 8:58PM EST			12/18/2011 11:23PM EST	
airtravelcenter	AA-1412-MIA-JFK		12/18/11 8:58 PM (-05:00)			12/18/11 11:23 PM (-05:00)	
myrateplan	AA-1412-MIA-JFK		12/18/11 8:58 PM (-05:00)			12/18/11 11:23 PM (-05:00)	
helloflight	AA-1412-MIA-JFK		12/18/11 8:58 PM (-05:00)			12/18/11 11:23 PM (-05:00)	
flytecomm	AA-1412-MIA-JFK		12/18/11 8:58 PM (-05:00)			12/18/11 11:23 PM (-05:00)	
flightaware	AA-1412-MIA-JFK	2011-12-18 08:40PM EST	2011-12-18 08:58PM EST	 D3 	2011-12-18 11:21PM EST	2011-12-18 11:18PM EST	 2 
wunderground	AA-1412-MIA-JFK	2011-12-18 08:40PM EST	2011-12-18 08:58PM EST	 D3 	2011-12-18 11:21PM EST	2011-12-18 11:18PM EST	 2 
flights	AA-1412-MIA-JFK	08:40 PM  Sun 18-Dec-2011	08:41 PM  Sun 18-Dec-2011	D3	11:25 PM  Sun 18-Dec-2011	11:32 PM  Sun 18-Dec-2011	B2
businesstravellogue	AA-1412-MIA-JFK	08:40 PM  Sun 18-Dec-2011	08:41 PM  Sun 18-Dec-2011	D3	11:25 PM  Sun 18-Dec-2011	11:32 PM  Sun 18-Dec-2011	B2
flylouisville	AA-1412-MIA-JFK	08:40 PM  Sun 18-Dec-2011	08:41 PM  Sun 18-Dec-2011	D3	11:25 PM  Sun 18-Dec-2011	11:32 PM  Sun 18-Dec-2011	B2
flightstats	AA-1412-MIA-JFK	2011-12-18 8:40 PM	2011-12-18 8:41 PM		2011-12-18 11:25 PM	2011-12-18 11:32 PM	
quicktrip	AA-1412-MIA-JFK	2011-12-18 8:40 PM	2011-12-18 8:41 PM		2011-12-18 11:25 PM	2011-12-18 11:32 PM	
world-flight-tracker	AA-1412-MIA-JFK	2011-12-18 8:40 PM	2011-12-18 8:41 PM		2011-12-18 11:25 PM	2011-12-18 11:32 PM	
flightview	AA-1412-MIA-JFK	8:40 PM, Dec 18	8:58 PM, Dec 18	Terminal D - D3	11:25 PM, Dec 18	11:32 PM, Dec 18	Terminal 8 - 2
panynj	AA-1412-MIA-JFK	8:40 PM, Dec 18	8:58 PM, Dec 18	Terminal D - D3	11:25 PM, Dec 18	11:32 PM, Dec 18	Terminal 8 - 2
gofox	AA-1412-MIA-JFK	8:40 PM, Dec 18	8:58 PM, Dec 18		11:25 PM, Dec 18	11:32 PM, Dec 18	
foxbusiness	AA-1412-MIA-JFK	8:40 PM, Dec 18	8:58 PM, Dec 18	Terminal D - D3	11:25 PM, Dec 18	11:32 PM, Dec 18	Terminal 8 - 2
allegiantair	AA-1412-MIA-JFK	8:40 PM, Dec 18	8:58 PM, Dec 18	Terminal D - D3	11:25 PM, Dec 18	11:32 PM, Dec 18	Terminal 8 - 2
boston	AA-1412-MIA-JFK	8:40 PM, Dec 18	8:58 PM, Dec 18		11:25 PM, Dec 18	11:19 PM, Dec 18	
travelocity	AA-1412-MIA-JFK	Dec 18 - 8:40pm	Dec 18 - 8:41pm	D3	Dec 18 - 11:25pm	Dec 18 - 11:32pm	2/8
orbitz	AA-1412-MIA-JFK	8:40pDec 18	8:41pDec 18	 D3	11:25pDec 18	11:32pDec 18	 2
weather	AA-1412-MIA-JFK	2011-12-18 08:40 PM			2011-12-18 11:25 PM		
flightarrival	AA-1412-MIA-JFK	2011-12-18 08:40 PM			2011-12-18 11:25 PM		
aa	AA-309-LGA-ORD	December 18, 2011               08:30 AM    	December 18, 2011               08:33 AM    	 D8	December 18, 2011               10:20 AM    	December 18, 2011               10:13 AM    	 K2    
flightexplorer	AA-309-LGA-ORD		12/18/2011 8:50AM EST			12/18/2011 9:52AM CST	
airtravelcenter	AA-309-LGA-ORD		12/18/11 8:50 AM (-05:00)			12/18/11 9:52 AM (-06:00)	
myrateplan	AA-309-LGA-ORD		12/18/11 8:50 AM (-05:00)			12/18/11 9:52 AM (-06:00)	
helloflight	AA-309-LGA-ORD		12/18/11 8:50 AM (-05:00)			12/18/11 9:52 AM (-06:00)	
flytecomm	AA-309-LGA-ORD		12/18/11 8:50 AM (-05:00)			12/18/11 9:52 AM (-06:00)	
flights	AA-309-LGA-ORD		2011-12-18 08:33 AM	D8		2011-12-18 10:13 AM	K2
businesstravellogue	AA-309-LGA-ORD		2011-12-18 08:33 AM	D8		2011-12-18 10:13 AM	K2
flylouisville	AA-309-LGA-ORD		2011-12-18 08:33 AM	D8		2011-12-18 10:13 AM	K2
flightview	AA-309-LGA-ORD		8:50 AMDec 18			9:54 AMDec 18	
panynj	AA-309-LGA-ORD		8:50 AMDec 18			9:54 AMDec 18	
gofox	AA-309-LGA-ORD		8:50 AMDec 18			9:54 AMDec 18	
foxbusiness	AA-309-LGA-ORD		8:50 AMDec 18			9:54 AMDec 18	
allegiantair	AA-309-LGA-ORD		8:50 AMDec 18			9:54 AMDec 18	
boston	AA-309-LGA-ORD		8:50 AMDec 18			9:54 AMDec 18	
travelocity	AA-309-LGA-ORD	Dec 18 - 8:30am	Dec 18 - 8:33am	D8	Dec 18 - 10:20am	Dec 18 - 10:13am	K2/T3
orbitz	AA-309-LGA-ORD	8:30aDec 18	8:33aDec 18	 D8	10:20aDec 18	10:13aDec 18	 K2
weather	AA-309-LGA-ORD	2011-12-18 08:30 AM			2011-12-18 10:20 AM		
ord	AA-309-LGA-ORD	2011-12-18 8:30 AM		D8	2011-12-18 10:20 AM		K2
ua	UA-2891-PHL-MCO	Sun, Dec 18 8:40 PM	Sun, Dec 18 8:50 PM	A12	Sun, Dec 18 11:13 PM	Sun, Dec 18 11:02 PM	57
airtravelcenter	UA-2891-PHL-MCO		12/18/11 9:11 PM (-05:00)			12/18/11 10:50 PM (-05:00)	
myrateplan	UA-2891-PHL-MCO		12/18/11 9:11 PM (-05:00)			12/18/11 10:50 PM (-05:00)	
helloflight	UA-2891-PHL-MCO		12/18/11 9:11 PM (-05:00)			12/18/11 10:50 PM (-05:00)	
flytecomm	UA-2891-PHL-MCO		12/18/11 9:11 PM (-05:00)			12/18/11 10:50 PM (-05:00)	
flightaware	UA-2891-PHL-MCO	2011-12-18 08:40PM EST	2011-12-18 09:12PM EST		2011-12-18 11:03PM EST	2011-12-18 10:57PM EST	
wunderground	UA-2891-PHL-MCO	2011-12-18 08:40PM EST	2011-12-18 09:12PM EST		2011-12-18 11:03PM EST	2011-12-18 10:57PM EST	
flights	UA-2891-PHL-MCO	08:40 PM  Sun 18-Dec-2011	08:50 PM  Sun 18-Dec-2011	12	11:13 PM  Sun 18-Dec-2011	11:02 PM  Sun 18-Dec-2011	57
businesstravellogue	UA-2891-PHL-MCO	08:40 PM  Sun 18-Dec-2011	08:50 PM  Sun 18-Dec-2011	12	11:13 PM  Sun 18-Dec-2011	11:02 PM  Sun 18-Dec-2011	57
flylouisville	UA-2891-PHL-MCO	08:40 PM  Sun 18-Dec-2011	08:50 PM  Sun 18-Dec-2011	12	11:13 PM  Sun 18-Dec-2011	11:02 PM  Sun 18-Dec-2011	57
flightstats	UA-2891-PHL-MCO	2011-12-18 8:40 PM	2011-12-18 8:50 PM		2011-12-18 11:13 PM	2011-12-18 11:02 PM	
quicktrip	UA-2891-PHL-MCO	2011-12-18 8:40 PM	2011-12-18 8:50 PM		2011-12-18 11:13 PM	2011-12-18 11:02 PM	
world-flight-tracker	UA-2891-PHL-MCO	2011-12-18 8:40 PM	2011-12-18 8:50 PM		2011-12-18 11:13 PM	2011-12-18 11:02 PM	
flightview	UA-2891-PHL-MCO	8:40 PM, Dec 18	9:13 PM, Dec 18	A12	11:13 PM, Dec 18	10:57 PM, Dec 18	57
panynj	UA-2891-PHL-MCO	8:40 PM, Dec 18	9:13 PM, Dec 18	A12	11:13 PM, Dec 18	10:57 PM, Dec 18	57
gofox	UA-2891-PHL-MCO	8:40 PM, Dec 18	9:13 PM, Dec 18		11:13 PM, Dec 18	10:57 PM, Dec 18	
foxbusiness	UA-2891-PHL-MCO	8:40 PM, Dec 18	9:13 PM, Dec 18	A12	11:13 PM, Dec 18	10:57 PM, Dec 18	57
allegiantair	UA-2891-PHL-MCO	8:40 PM, Dec 18	9:13 PM, Dec 18	A12	11:13 PM, Dec 18	10:57 PM, Dec 18	57
boston	UA-2891-PHL-MCO	8:40 PM, Dec 18	9:13 PM, Dec 18		11:13 PM, Dec 18	10:57 PM, Dec 18	
travelocity	UA-2891-PHL-MCO	Dec 18 - 8:40pm	Dec 18 - Contact Airline	Not provided by airline	Dec 18 - 11:13pm	Dec 18 - Contact Airline	Not provided by airline
orbitz	UA-2891-PHL-MCO	8:40pDec 18	8:50pDec 18	 -	11:13pDec 18	11:02pDec 18	 -
weather	UA-2891-PHL-MCO	2011-12-18 08:40 PM			2011-12-18 11:13 PM		
usatoday	UA-2891-PHL-MCO	2011-12-18 08:40 PM			2011-12-18 11:13 PM		
CO	CO-1237-PHX-IAH	Sun., Dec.18, 2011 5:50 a.m.	Sun., Dec.18, 2011 5:48 a.m.		Sun., Dec.18, 2011 9:25 a.m.	Sun., Dec.18, 2011 9:25 a.m.	
flightexplorer	CO-1237-PHX-IAH		12/18/2011 5:59AM MST			12/18/2011 9:14AM CST	
airtravelcenter	CO-1237-PHX-IAH	12/18/11 5:50 AM (-07:00)			12/18/11 9:25 AM (-06:00)		
myrateplan	CO-1237-PHX-IAH	12/18/11 5:50 AM (-07:00)			12/18/11 9:25 AM (-06:00)		
helloflight	CO-1237-PHX-IAH	12/18/11 5:50 AM (-07:00)			12/18/11 9:25 AM (-06:00)		
flytecomm	CO-1237-PHX-IAH	12/18/11 5:50 AM (-07:00)			12/18/11 9:25 AM (-06:00)		
flights	CO-1237-PHX-IAH		2011-12-18 05:48 AM	6A		2011-12-18 09:25 AM	40
businesstravellogue	CO-1237-PHX-IAH		2011-12-18 05:48 AM	6A		2011-12-18 09:25 AM	40
flylouisville	CO-1237-PHX-IAH		2011-12-18 05:48 AM	6A		2011-12-18 09:25 AM	40
flightstats	CO-1237-PHX-IAH	2011-12-18 5:50 AM	2011-12-18 5:48 AM		2011-12-18 9:25 AM	2011-12-18 9:25 AM	
quicktrip	CO-1237-PHX-IAH	2011-12-18 5:50 AM	2011-12-18 5:48 AM		2011-12-18 9:25 AM	2011-12-18 9:25 AM	
flightview	CO-1237-PHX-IAH		6:00 AMDec 18			9:25 AMDec 18	
panynj	CO-1237-PHX-IAH		6:00 AMDec 18			9:25 AMDec 18	
gofox	CO-1237-PHX-IAH		6:00 AMDec 18			9:25 AMDec 18	
foxbusiness	CO-1237-PHX-IAH		6:00 AMDec 18			9:25 AMDec 18	
allegiantair	CO-1237-PHX-IAH		6:00 AMDec 18			9:25 AMDec 18	
boston	CO-1237-PHX-IAH		6:00 AMDec 18			9:16 AMDec 18	
travelocity	CO-1237-PHX-IAH	Dec 18 - 5:50am	Dec 18 - 5:48am	6A	Dec 18 - 9:25am	Dec 18 - 9:25am	C-40
orbitz	CO-1237-PHX-IAH	5:50aDec 18	5:48aDec 18	 6A	9:25aDec 18	9:25aDec 18	 C-40
orbitz	CO-1237-PHX-IAH	5:50aDec 18	5:48aDec 18	 6A	9:25aDec 18	9:25aDec 18	 40
weather	CO-1237-PHX-IAH	2011-12-18 05:50 AM			2011-12-18 09:25 AM		
ifly	CO-1237-PHX-IAH	2011-12-18 5:50 AM	2011-12-18 5:48 AM		2011-12-18 9:25 AM	2011-12-18 9:25 AM	
mytripandmore	CO-1237-PHX-IAH	5:50aDec 18	5:48aDec 18	 6A	9:25aDec 18	9:25aDec 18	 40
flightarrival	CO-1237-PHX-IAH	2011-12-18 05:50 AM			2011-12-18 09:25 AM		
aa	AA-2907-DFW-CVG	December 18, 2011               03:35 PM    	December 18, 2011               03:31 PM    	 B14	December 18, 2011               06:40 PM    	December 18, 2011               06:35 PM    	 3    
airtravelcenter	AA-2907-DFW-CVG		12/18/11 3:46 PM (-06:00)			12/18/11 6:35 PM (-05:00)	
myrateplan	AA-2907-DFW-CVG		12/18/11 3:46 PM (-06:00)			12/18/11 6:35 PM (-05:00)	
helloflight	AA-2907-DFW-CVG		12/18/11 3:46 PM (-06:00)			12/18/11 6:35 PM (-05:00)	
flytecomm	AA-2907-DFW-CVG		12/18/11 3:46 PM (-06:00)			12/18/11 6:35 PM (-05:00)	
flightaware	AA-2907-DFW-CVG	2011-12-18 03:35PM CST	2011-12-18 03:46PM CST	 B14 	2011-12-18 06:40PM EST	2011-12-18 06:32PM EST	 3 
wunderground	AA-2907-DFW-CVG	2011-12-18 03:35PM CST	2011-12-18 03:46PM CST	 B14 	2011-12-18 06:40PM EST	2011-12-18 06:32PM EST	 3 
flights	AA-2907-DFW-CVG	03:35 PM  Sun 18-Dec-2011	03:31 PM  Sun 18-Dec-2011	B14	06:40 PM  Sun 18-Dec-2011	06:35 PM  Sun 18-Dec-2011	3
businesstravellogue	AA-2907-DFW-CVG	03:35 PM  Sun 18-Dec-2011	03:31 PM  Sun 18-Dec-2011	B14	06:40 PM  Sun 18-Dec-2011	06:35 PM  Sun 18-Dec-2011	3
flylouisville	AA-2907-DFW-CVG	03:35 PM  Sun 18-Dec-2011	03:31 PM  Sun 18-Dec-2011	B14	06:40 PM  Sun 18-Dec-2011	06:35 PM  Sun 18-Dec-2011	3
flightstats	AA-2907-DFW-CVG	2011-12-18 3:35 PM	2011-12-18 3:31 PM		2011-12-18 6:40 PM	2011-12-18 6:35 PM	
quicktrip	AA-2907-DFW-CVG	2011-12-18 3:35 PM	2011-12-18 3:31 PM		2011-12-18 6:40 PM	2011-12-18 6:35 PM	
world-flight-tracker	AA-2907-DFW-CVG	2011-12-18 3:35 PM	2011-12-18 3:31 PM		2011-12-18 6:40 PM	2011-12-18 6:35 PM	
flightview	AA-2907-DFW-CVG	3:35 PM, Dec 18	3:46 PM, Dec 18	B14	6:40 PM, Dec 18	6:37 PM, Dec 18	Terminal 2
panynj	AA-2907-DFW-CVG	3:35 PM, Dec 18	3:46 PM, Dec 18	B14	6:40 PM, Dec 18	6:37 PM, Dec 18	Terminal 2
gofox	AA-2907-DFW-CVG	3:35 PM, Dec 18	3:46 PM, Dec 18		6:40 PM, Dec 18	6:37 PM, Dec 18	
foxbusiness	AA-2907-DFW-CVG	3:35 PM, Dec 18	3:46 PM, Dec 18	B14	6:40 PM, Dec 18	6:37 PM, Dec 18	Terminal 2
allegiantair	AA-2907-DFW-CVG	3:35 PM, Dec 18	3:46 PM, Dec 18	B14	6:40 PM, Dec 18	6:37 PM, Dec 18	Terminal 2
boston	AA-2907-DFW-CVG	3:35 PM, Dec 18	3:46 PM, Dec 18		6:40 PM, Dec 18	6:37 PM, Dec 18	
travelocity	AA-2907-DFW-CVG	Dec 18 - 3:35pm	Dec 18 - 3:31pm	B14/B	Dec 18 - 6:40pm	Dec 18 - 6:35pm	3
orbitz	AA-2907-DFW-CVG	3:35pDec 18	3:31pDec 18	 B14	6:40pDec 18	6:35pDec 18	 3
weather	AA-2907-DFW-CVG	2011-12-18 03:35 PM			2011-12-18 06:40 PM		
dfw	AA-2907-DFW-CVG	2011-12-18 3:35 pm		B14			
usatoday	AA-2907-DFW-CVG	3:35 PM, Dec 18	3:46 PM, Dec 18		6:40 PM, Dec 18	6:37 PM, Dec 18	
mytripandmore	AA-2907-DFW-CVG	3:35pDec 18	3:31pDec 18	 B14	6:40pDec 18	6:35pDec 18	 3
flightwise	AA-2907-DFW-CVG	2011-12-18 03:35PM CST	2011-12-18 03:46PM CST	 B14 	2011-12-18 06:40PM EST	2011-12-18 06:32PM EST	 3 
CO	CO-17-EWR-LAX	Sun., Dec.18, 2011 1:10 p.m.	Sun., Dec.18, 2011 2:38 p.m.		Sun., Dec.18, 2011 4:27 p.m.	Sun., Dec.18, 2011 5:31 p.m.	
airtravelcenter	CO-17-EWR-LAX	12/18/11 1:10 PM (-05:00)			12/18/11 4:27 PM (-08:00)		
myrateplan	CO-17-EWR-LAX	12/18/11 1:10 PM (-05:00)			12/18/11 4:27 PM (-08:00)		
helloflight	CO-17-EWR-LAX	12/18/11 1:10 PM (-05:00)			12/18/11 4:27 PM (-08:00)		
flytecomm	CO-17-EWR-LAX	12/18/11 1:10 PM (-05:00)			12/18/11 4:27 PM (-08:00)		
flightaware	CO-17-EWR-LAX	2011-12-18 01:10PM EST	2011-12-18 02:54PM EST	 C95 	2011-12-18 03:58PM PST	2011-12-18 05:28PM PST	 61 
wunderground	CO-17-EWR-LAX	2011-12-18 01:10PM EST	2011-12-18 02:54PM EST	 C95 	2011-12-18 03:58PM PST	2011-12-18 05:28PM PST	 61 
flights	CO-17-EWR-LAX		2011-12-18 02:38 PM	95		2011-12-18 04:27 PM	61
businesstravellogue	CO-17-EWR-LAX		2011-12-18 02:38 PM	95		2011-12-18 04:27 PM	61
flylouisville	CO-17-EWR-LAX		2011-12-18 02:38 PM	95		2011-12-18 04:27 PM	61
flightstats	CO-17-EWR-LAX	2011-12-18 1:10 PM	2011-12-18 2:38 PM		2011-12-18 4:27 PM	2011-12-18 5:31 PM (Estimated)	
quicktrip	CO-17-EWR-LAX	2011-12-18 1:10 PM	2011-12-18 2:38 PM		2011-12-18 4:27 PM	2011-12-18 5:31 PM (Estimated)	
flightview	CO-17-EWR-LAX		2:55 PMDec 18			5:24 PMDec 18	
panynj	CO-17-EWR-LAX		2:55 PMDec 18			5:24 PMDec 18	
gofox	CO-17-EWR-LAX		2:55 PMDec 18			5:24 PMDec 18	
foxbusiness	CO-17-EWR-LAX		2:55 PMDec 18			5:24 PMDec 18	
allegiantair	CO-17-EWR-LAX		2:55 PMDec 18			5:24 PMDec 18	
boston	CO-17-EWR-LAX		2:55 PMDec 18			5:24 PMDec 18	
orbitz	CO-17-EWR-LAX	1:10pDec 18	2:38pDec 18	 C95	6:49pDec 18		 61
ifly	CO-17-EWR-LAX	2011-12-18 1:10 PM	2011-12-18 2:38 PM		2011-12-18 4:27 PM	2011-12-18 5:31 PM (Estimated)	
usatoday	CO-17-EWR-LAX	2011-12-18 1:10 PM	2011-12-18 2:38 PM		2011-12-18 4:27 PM	2011-12-18 5:31 PM (Estimated)	
flightarrival	CO-17-EWR-LAX		2:55 PMDec 18			5:24 PMDec 18	
ua	UA-1006-IAH-ORD	Sun, Dec 18 7:20 AM	Sun, Dec 18 7:23 AM            Delayed	C-30	Sun, Dec 18 10:00 AM	Sun, Dec 18 9:59 AM	B2
flightexplorer	UA-1006-IAH-ORD		12/18/2011 7:39AM CST			12/18/2011 9:56AM CST	
airtravelcenter	UA-1006-IAH-ORD	12/18/11 7:20 AM (-06:00)			12/18/11 10:00 AM (-06:00)		
myrateplan	UA-1006-IAH-ORD	12/18/11 7:20 AM (-06:00)			12/18/11 10:00 AM (-06:00)		
helloflight	UA-1006-IAH-ORD	12/18/11 7:20 AM (-06:00)			12/18/11 10:00 AM (-06:00)		
flytecomm	UA-1006-IAH-ORD	12/18/11 7:20 AM (-06:00)			12/18/11 10:00 AM (-06:00)		
flightaware	UA-1006-IAH-ORD	2011-12-18 07:20AM CST	2011-12-18 07:40AM CST	 30 	2011-12-18 09:50AM CST	2011-12-18 09:53AM CST	 B2 
wunderground	UA-1006-IAH-ORD	2011-12-18 07:20AM CST	2011-12-18 07:40AM CST	 30 	2011-12-18 09:50AM CST	2011-12-18 09:53AM CST	 B2 
flights	UA-1006-IAH-ORD		2011-12-18 07:23 AM	30		2011-12-18 09:59 AM	B2
businesstravellogue	UA-1006-IAH-ORD		2011-12-18 07:23 AM	30		2011-12-18 09:59 AM	B2
flylouisville	UA-1006-IAH-ORD		2011-12-18 07:23 AM	30		2011-12-18 09:59 AM	B2
flightstats	UA-1006-IAH-ORD	2011-12-18 7:20 AM	2011-12-18 7:23 AM		2011-12-18 10:00 AM	2011-12-18 9:59 AM	
quicktrip	UA-1006-IAH-ORD	2011-12-18 7:20 AM	2011-12-18 7:23 AM		2011-12-18 10:00 AM	2011-12-18 9:59 AM	
flightview	UA-1006-IAH-ORD		7:40 AMDec 18			9:59 AMDec 18	
panynj	UA-1006-IAH-ORD		7:40 AMDec 18			9:59 AMDec 18	
gofox	UA-1006-IAH-ORD		7:40 AMDec 18			9:59 AMDec 18	
foxbusiness	UA-1006-IAH-ORD		7:40 AMDec 18			9:59 AMDec 18	
allegiantair	UA-1006-IAH-ORD		7:40 AMDec 18			9:59 AMDec 18	
boston	UA-1006-IAH-ORD		7:40 AMDec 18			9:58 AMDec 18	
