ua	UA-1534-RTB-IAH	Sat, Dec 10 2:05 PM	Sat, Dec 10 5:00 PM	--	Sat, Dec 10 5:01 PM	Sat, Dec 10 7:44 PM	E24
aa	AA-3735-CLE-ORD	December 10, 2011               04:35 PM    	December 10, 2011     	 A3	December 10, 2011               05:10 PM    	December 10, 2011     	 G6A    
airtravelcenter	AA-3735-CLE-ORD		12/10/11 4:39 PM (-05:00)			12/10/11 4:34 PM (-06:00)	
myrateplan	AA-3735-CLE-ORD		12/10/11 4:39 PM (-05:00)			12/10/11 4:34 PM (-06:00)	
helloflight	AA-3735-CLE-ORD		12/10/11 4:39 PM (-05:00)			12/10/11 4:34 PM (-06:00)	
flytecomm	AA-3735-CLE-ORD		12/10/11 4:39 PM (-05:00)			12/10/11 4:34 PM (-06:00)	
flightaware	AA-3735-CLE-ORD	2011-12-10 04:35PM EST	2011-12-10 04:45PM EST	 A3 	2011-12-10 04:50PM CST	2011-12-10 05:00PM CST	 H1A 
wunderground	AA-3735-CLE-ORD	2011-12-10 04:35PM EST	2011-12-10 04:45PM EST	 A3 	2011-12-10 04:50PM CST	2011-12-10 05:00PM CST	 H1A 
flights	AA-3735-CLE-ORD	04:35 PM  Sat 10-Dec-2011		A3	05:10 PM  Sat 10-Dec-2011		H1A
businesstravellogue	AA-3735-CLE-ORD	04:35 PM  Sat 10-Dec-2011		A3	05:10 PM  Sat 10-Dec-2011		H1A
flylouisville	AA-3735-CLE-ORD	04:35 PM  Sat 10-Dec-2011		A3	05:10 PM  Sat 10-Dec-2011		H1A
flightstats	AA-3735-CLE-ORD	2011-12-10 4:35 PM	2011-12-10 4:35 PM (Estimated)		2011-12-10 5:10 PM	2011-12-10 5:10 PM (Estimated)	
quicktrip	AA-3735-CLE-ORD	2011-12-10 4:35 PM	2011-12-10 4:35 PM (Estimated)		2011-12-10 5:10 PM	2011-12-10 5:10 PM (Estimated)	
world-flight-tracker	AA-3735-CLE-ORD	2011-12-10 4:35 PM	2011-12-10 4:35 PM (Estimated)		2011-12-10 5:10 PM	2011-12-10 5:10 PM (Estimated)	
flightview	AA-3735-CLE-ORD	4:35 PM, Dec 10			5:10 PM, Dec 10		
panynj	AA-3735-CLE-ORD	4:35 PM, Dec 10			5:10 PM, Dec 10		
gofox	AA-3735-CLE-ORD	4:35 PM, Dec 10			5:10 PM, Dec 10		
foxbusiness	AA-3735-CLE-ORD	4:35 PM, Dec 10			5:10 PM, Dec 10		
allegiantair	AA-3735-CLE-ORD	4:35 PM, Dec 10			5:10 PM, Dec 10		
boston	AA-3735-CLE-ORD	4:35 PM, Dec 10	Not Available		5:10 PM, Dec 10	Not Available	
travelocity	AA-3735-CLE-ORD	Dec 10 - 4:35pm	Dec 10 - Not Available	A3	Dec 10 - 5:10pm	Dec 10 - Not Available	G6A/T3
orbitz	AA-3735-CLE-ORD	4:35pDec 10		 A3	5:10pDec 10		 H1A
weather	AA-3735-CLE-ORD	2011-12-10 04:35 PM			2011-12-10 05:10 PM		
ord	AA-3735-CLE-ORD	2011-12-10 4:35 PM		A3	2011-12-10 5:10 PM		H1A
usatoday	AA-3735-CLE-ORD	4:35 PM, Dec 10	Not Available		5:10 PM, Dec 10	Not Available	
flightarrival	AA-3735-CLE-ORD	2011-12-10 04:35 PM			2011-12-10 05:10 PM		
CO	CO-4626-IAH-JAN	Sat., Dec.10, 2011 4:00 p.m.	Sat., Dec.10, 2011 3:56 p.m.		Sat., Dec.10, 2011 5:12 p.m.	Sat., Dec.10, 2011 5:03 p.m.	
airtravelcenter	CO-4626-IAH-JAN	12/10/11 4:00 PM (-06:00)			12/10/11 5:12 PM (-06:00)		
myrateplan	CO-4626-IAH-JAN	12/10/11 4:00 PM (-06:00)			12/10/11 5:12 PM (-06:00)		
helloflight	CO-4626-IAH-JAN	12/10/11 4:00 PM (-06:00)			12/10/11 5:12 PM (-06:00)		
flytecomm	CO-4626-IAH-JAN	12/10/11 4:00 PM (-06:00)			12/10/11 5:12 PM (-06:00)		
flightaware	CO-4626-IAH-JAN	2011-12-10 04:00PM CST	2011-12-10 04:05PM CST		2011-12-10 05:06PM CST	2011-12-10 04:58PM CST	
wunderground	CO-4626-IAH-JAN	2011-12-10 04:00PM CST	2011-12-10 04:05PM CST		2011-12-10 05:06PM CST	2011-12-10 04:58PM CST	
flights	CO-4626-IAH-JAN	04:00 PM  Sat 10-Dec-2011	03:56 PM  Sat 10-Dec-2011	72A	05:12 PM  Sat 10-Dec-2011	05:03 PM  Sat 10-Dec-2011	2
businesstravellogue	CO-4626-IAH-JAN	04:00 PM  Sat 10-Dec-2011	03:56 PM  Sat 10-Dec-2011	72A	05:12 PM  Sat 10-Dec-2011	05:03 PM  Sat 10-Dec-2011	2
flylouisville	CO-4626-IAH-JAN	04:00 PM  Sat 10-Dec-2011	03:56 PM  Sat 10-Dec-2011	72A	05:12 PM  Sat 10-Dec-2011	05:03 PM  Sat 10-Dec-2011	2
flightstats	CO-4626-IAH-JAN	2011-12-10 4:00 PM	2011-12-10 3:56 PM		2011-12-10 5:12 PM	2011-12-10 5:03 PM	
quicktrip	CO-4626-IAH-JAN	2011-12-10 4:00 PM	2011-12-10 3:56 PM		2011-12-10 5:12 PM	2011-12-10 5:03 PM	
world-flight-tracker	CO-4626-IAH-JAN	2011-12-10 4:00 PM	2011-12-10 3:56 PM		2011-12-10 5:12 PM	2011-12-10 5:03 PM	
flightview	CO-4626-IAH-JAN	4:00 PM, Dec 10	4:05 PM, Dec 10	Term B - B72A	5:12 PM, Dec 10	5:03 PM, Dec 10	Main Term - 2
panynj	CO-4626-IAH-JAN	4:00 PM, Dec 10	4:05 PM, Dec 10	Term B - B72A	5:12 PM, Dec 10	5:03 PM, Dec 10	Main Term - 2
gofox	CO-4626-IAH-JAN	4:00 PM, Dec 10	4:05 PM, Dec 10		5:12 PM, Dec 10	5:03 PM, Dec 10	
foxbusiness	CO-4626-IAH-JAN	4:00 PM, Dec 10	4:05 PM, Dec 10	Term B - B72A	5:12 PM, Dec 10	5:03 PM, Dec 10	Main Term - 2
allegiantair	CO-4626-IAH-JAN	4:00 PM, Dec 10	4:05 PM, Dec 10	Term B - B72A	5:12 PM, Dec 10	5:03 PM, Dec 10	Main Term - 2
boston	CO-4626-IAH-JAN	4:00 PM, Dec 10	4:05 PM, Dec 10		5:12 PM, Dec 10	4:58 PM, Dec 10	
travelocity	CO-4626-IAH-JAN	Dec 10 - 4:00pm	Dec 10 - 3:56pm	B72A	Dec 10 - 5:12pm	Dec 10 - 5:03pm	2
orbitz	CO-4626-IAH-JAN	4:00pDec 10	3:56pDec 10	 -	5:12pDec 10	5:03pDec 10	 -
weather	CO-4626-IAH-JAN	2011-12-10 04:00 PM			2011-12-10 05:12 PM		
mytripandmore	CO-4626-IAH-JAN	4:00pDec 10	3:56pDec 10	 -	5:12pDec 10	5:03pDec 10	 -
ua	UA-1134-ORD-CLE	Sat, Dec 10 7:00 AM	Sat, Dec 10 6:53 AM	B4	Sat, Dec 10 9:17 AM	Sat, Dec 10 8:56 AM	C11
airtravelcenter	UA-1134-ORD-CLE	12/10/11 7:00 AM (-06:00)			12/10/11 9:17 AM (-05:00)		
airtravelcenter	UA-1134-ORD-CLE		12/10/11 7:02 AM (-06:00)			12/10/11 8:49 AM (-05:00)	
myrateplan	UA-1134-ORD-CLE	12/10/11 7:00 AM (-06:00)			12/10/11 9:17 AM (-05:00)		
myrateplan	UA-1134-ORD-CLE		12/10/11 7:02 AM (-06:00)			12/10/11 8:49 AM (-05:00)	
helloflight	UA-1134-ORD-CLE	12/10/11 7:00 AM (-06:00)			12/10/11 9:17 AM (-05:00)		
helloflight	UA-1134-ORD-CLE		12/10/11 7:02 AM (-06:00)			12/10/11 8:49 AM (-05:00)	
flytecomm	UA-1134-ORD-CLE	12/10/11 7:00 AM (-06:00)			12/10/11 9:17 AM (-05:00)		
flytecomm	UA-1134-ORD-CLE		12/10/11 7:02 AM (-06:00)			12/10/11 8:49 AM (-05:00)	
flightaware	UA-1134-ORD-CLE	2011-12-10 07:00AM CST	2011-12-10 07:02AM CST	 B4 	2011-12-10 08:56AM EST	2011-12-10 08:49AM EST	 C11 
wunderground	UA-1134-ORD-CLE	2011-12-10 07:00AM CST	2011-12-10 07:02AM CST	 B4 	2011-12-10 08:56AM EST	2011-12-10 08:49AM EST	 C11 
flights	UA-1134-ORD-CLE	07:00 AM  Sat 10-Dec-2011	06:53 AM  Sat 10-Dec-2011	B4	09:17 AM  Sat 10-Dec-2011	08:56 AM  Sat 10-Dec-2011	C11
businesstravellogue	UA-1134-ORD-CLE	07:00 AM  Sat 10-Dec-2011	06:53 AM  Sat 10-Dec-2011	B4	09:17 AM  Sat 10-Dec-2011	08:56 AM  Sat 10-Dec-2011	C11
flylouisville	UA-1134-ORD-CLE	07:00 AM  Sat 10-Dec-2011	06:53 AM  Sat 10-Dec-2011	B4	09:17 AM  Sat 10-Dec-2011	08:56 AM  Sat 10-Dec-2011	C11
world-flight-tracker	UA-1134-ORD-CLE	2011-12-10 7:00 AM	2011-12-10 6:53 AM		2011-12-10 9:17 AM	2011-12-10 8:56 AM	
flightview	UA-1134-ORD-CLE	7:00 AM, Dec 10	7:02 AM, Dec 10	Term 1 - B4	9:17 AM, Dec 10	8:56 AM, Dec 10	Main Term - C11
panynj	UA-1134-ORD-CLE	7:00 AM, Dec 10	7:02 AM, Dec 10	Term 1 - B4	9:17 AM, Dec 10	8:56 AM, Dec 10	Main Term - C11
gofox	UA-1134-ORD-CLE	7:00 AM, Dec 10	7:02 AM, Dec 10		9:17 AM, Dec 10	8:56 AM, Dec 10	
foxbusiness	UA-1134-ORD-CLE	7:00 AM, Dec 10	7:02 AM, Dec 10	Term 1 - B4	9:17 AM, Dec 10	8:56 AM, Dec 10	Main Term - C11
allegiantair	UA-1134-ORD-CLE	7:00 AM, Dec 10	7:02 AM, Dec 10	Term 1 - B4	9:17 AM, Dec 10	8:56 AM, Dec 10	Main Term - C11
boston	UA-1134-ORD-CLE	7:00 AM, Dec 10	7:02 AM, Dec 10		9:17 AM, Dec 10	8:54 AM, Dec 10	
travelocity	UA-1134-ORD-CLE	Dec 10 - 7:00am	Dec 10 - Contact Airline	Not provided by airline	Dec 10 - 9:17am	Dec 10 - Contact Airline	Not provided by airline
orbitz	UA-1134-ORD-CLE	7:00aDec 10	6:53aDec 10	 B4	9:17aDec 10	8:56aDec 10	 C11
weather	UA-1134-ORD-CLE	2011-12-10 07:00 AM			2011-12-10 09:17 AM		
usatoday	UA-1134-ORD-CLE	2011-12-10 07:00 AM			2011-12-10 09:17 AM		
mytripandmore	UA-1134-ORD-CLE	Dec 10 - 7:00am	Dec 10 - Contact Airline	Not provided by airline	Dec 10 - 9:17am	Dec 10 - Contact Airline	Not provided by airline
flightarrival	UA-1134-ORD-CLE	2011-12-10 07:00 AM			2011-12-10 09:17 AM		
aa	AA-3825-SLC-ORD	December 10, 2011               07:00 AM    	December 10, 2011               06:55 AM    	 A3	December 10, 2011               11:15 AM    	December 10, 2011               10:53 AM    	 G5    
airtravelcenter	AA-3825-SLC-ORD		12/10/11 7:14 AM (-07:00)			12/10/11 10:51 AM (-06:00)	
myrateplan	AA-3825-SLC-ORD		12/10/11 7:14 AM (-07:00)			12/10/11 10:51 AM (-06:00)	
helloflight	AA-3825-SLC-ORD		12/10/11 7:14 AM (-07:00)			12/10/11 10:51 AM (-06:00)	
flytecomm	AA-3825-SLC-ORD		12/10/11 7:14 AM (-07:00)			12/10/11 10:51 AM (-06:00)	
flightaware	AA-3825-SLC-ORD	2011-12-10 07:00AM MST	2011-12-10 07:14AM MST	 A3 	2011-12-10 11:02AM CST	2011-12-10 10:47AM CST	 G5 
wunderground	AA-3825-SLC-ORD	2011-12-10 07:00AM MST	2011-12-10 07:14AM MST	 A3 	2011-12-10 11:02AM CST	2011-12-10 10:47AM CST	 G5 
flights	AA-3825-SLC-ORD	07:00 AM  Sat 10-Dec-2011	06:55 AM  Sat 10-Dec-2011	A3	11:15 AM  Sat 10-Dec-2011	10:53 AM  Sat 10-Dec-2011	G5
businesstravellogue	AA-3825-SLC-ORD	07:00 AM  Sat 10-Dec-2011	06:55 AM  Sat 10-Dec-2011	A3	11:15 AM  Sat 10-Dec-2011	10:53 AM  Sat 10-Dec-2011	G5
flylouisville	AA-3825-SLC-ORD	07:00 AM  Sat 10-Dec-2011	06:55 AM  Sat 10-Dec-2011	A3	11:15 AM  Sat 10-Dec-2011	10:53 AM  Sat 10-Dec-2011	G5
flightstats	AA-3825-SLC-ORD	2011-12-10 7:00 AM	2011-12-10 6:55 AM		2011-12-10 11:15 AM	2011-12-10 10:53 AM	
quicktrip	AA-3825-SLC-ORD	2011-12-10 7:00 AM	2011-12-10 6:55 AM		2011-12-10 11:15 AM	2011-12-10 10:53 AM	
world-flight-tracker	AA-3825-SLC-ORD	2011-12-10 7:00 AM	2011-12-10 6:55 AM		2011-12-10 11:15 AM	2011-12-10 10:53 AM	
flightview	AA-3825-SLC-ORD	7:00 AM, Dec 10	7:14 AM, Dec 10	A3	11:15 AM, Dec 10	10:53 AM, Dec 10	G5
panynj	AA-3825-SLC-ORD	7:00 AM, Dec 10	7:14 AM, Dec 10	A3	11:15 AM, Dec 10	10:53 AM, Dec 10	G5
gofox	AA-3825-SLC-ORD	7:00 AM, Dec 10	7:14 AM, Dec 10		11:15 AM, Dec 10	10:53 AM, Dec 10	
foxbusiness	AA-3825-SLC-ORD	7:00 AM, Dec 10	7:14 AM, Dec 10	A3	11:15 AM, Dec 10	10:53 AM, Dec 10	G5
allegiantair	AA-3825-SLC-ORD	7:00 AM, Dec 10	7:14 AM, Dec 10	A3	11:15 AM, Dec 10	10:53 AM, Dec 10	G5
boston	AA-3825-SLC-ORD	7:00 AM, Dec 10	7:14 AM, Dec 10		11:15 AM, Dec 10	10:53 AM, Dec 10	
travelocity	AA-3825-SLC-ORD	Dec 10 - 7:00am	Dec 10 - 6:55am	A3	Dec 10 - 11:15am	Dec 10 - 10:53am	G5/T3
orbitz	AA-3825-SLC-ORD	7:00aDec 10	6:55aDec 10	 A3	11:15aDec 10	10:53aDec 10	 G5
weather	AA-3825-SLC-ORD	2011-12-10 07:00 AM			2011-12-10 11:15 AM		
ord	AA-3825-SLC-ORD	2011-12-10 7:00 AM		A3	2011-12-10 11:15 AM		G5
ifly	AA-3825-SLC-ORD	2011-12-10 7:00 AM	2011-12-10 6:55 AM		2011-12-10 11:15 AM	2011-12-10 10:53 AM	
mytripandmore	AA-3825-SLC-ORD	7:00aDec 10	6:55aDec 10	 A3	11:15aDec 10	10:53aDec 10	 G5
flightarrival	AA-3825-SLC-ORD	2011-12-10 7:00 AM	2011-12-10 6:55 AM		2011-12-10 11:15 AM	2011-12-10 10:53 AM	
aa	AA-2459-RSW-DFW	December 10, 2011               01:55 PM    	December 10, 2011               01:50 PM    	 D10	December 10, 2011               03:50 PM    	December 10, 2011               03:51 PM    	 C35    
flightexplorer	AA-2459-RSW-DFW		12/10/2011 2:08PM EST			12/10/2011 3:43PM CST	
airtravelcenter	AA-2459-RSW-DFW		12/10/11 2:08 PM (-05:00)			12/10/11 3:43 PM (-06:00)	
myrateplan	AA-2459-RSW-DFW		12/10/11 2:08 PM (-05:00)			12/10/11 3:43 PM (-06:00)	
helloflight	AA-2459-RSW-DFW		12/10/11 2:08 PM (-05:00)			12/10/11 3:43 PM (-06:00)	
flytecomm	AA-2459-RSW-DFW		12/10/11 2:08 PM (-05:00)			12/10/11 3:43 PM (-06:00)	
flights	AA-2459-RSW-DFW		2011-12-10 01:50 PM	D10		2011-12-10 03:51 PM	C35
businesstravellogue	AA-2459-RSW-DFW		2011-12-10 01:50 PM	D10		2011-12-10 03:51 PM	C35
flylouisville	AA-2459-RSW-DFW		2011-12-10 01:50 PM	D10		2011-12-10 03:51 PM	C35
flightview	AA-2459-RSW-DFW		2:08 PMDec 10			3:41 PMDec 10	
panynj	AA-2459-RSW-DFW		2:08 PMDec 10			3:41 PMDec 10	
gofox	AA-2459-RSW-DFW		2:08 PMDec 10			3:41 PMDec 10	
foxbusiness	AA-2459-RSW-DFW		2:08 PMDec 10			3:41 PMDec 10	
allegiantair	AA-2459-RSW-DFW		2:08 PMDec 10			3:41 PMDec 10	
boston	AA-2459-RSW-DFW		2:08 PMDec 10			3:41 PMDec 10	
travelocity	AA-2459-RSW-DFW	Dec 10 - 1:55pm	Dec 10 - 1:50pm	D10	Dec 10 - 3:50pm	Dec 10 - 3:51pm	C35/C
orbitz	AA-2459-RSW-DFW	1:55pDec 10	1:50pDec 10	 D10	3:50pDec 10	3:51pDec 10	 C35
weather	AA-2459-RSW-DFW	2011-12-10 01:55 PM			2011-12-10 03:50 PM		
dfw	AA-2459-RSW-DFW				2011-12-10 3:50 pm		C35
usatoday	AA-2459-RSW-DFW	2011-12-10 01:55 PM			2011-12-10 03:50 PM		
mytripandmore	AA-2459-RSW-DFW	1:55pDec 10	1:50pDec 10	 D10	3:50pDec 10	3:51pDec 10	 C35
ua	UA-3469-BUF-IAD	Sat, Dec 10 2:30 PM	Sat, Dec 10 2:20 PM	--	Sat, Dec 10 3:43 PM	Sat, Dec 10 3:29 PM	D8
airtravelcenter	UA-3469-BUF-IAD		12/10/11 2:29 PM (-05:00)			12/10/11 3:14 PM (-05:00)	
myrateplan	UA-3469-BUF-IAD		12/10/11 2:29 PM (-05:00)			12/10/11 3:14 PM (-05:00)	
helloflight	UA-3469-BUF-IAD		12/10/11 2:29 PM (-05:00)			12/10/11 3:14 PM (-05:00)	
flytecomm	UA-3469-BUF-IAD		12/10/11 2:29 PM (-05:00)			12/10/11 3:14 PM (-05:00)	
flights	UA-3469-BUF-IAD		2011-12-10 02:20 PM			2011-12-10 03:29 PM	D8
businesstravellogue	UA-3469-BUF-IAD		2011-12-10 02:20 PM			2011-12-10 03:29 PM	D8
flylouisville	UA-3469-BUF-IAD		2011-12-10 02:20 PM			2011-12-10 03:29 PM	D8
flightview	UA-3469-BUF-IAD		2:29 PMDec 10			3:29 PMDec 10	
panynj	UA-3469-BUF-IAD		2:29 PMDec 10			3:29 PMDec 10	
gofox	UA-3469-BUF-IAD		2:29 PMDec 10			3:29 PMDec 10	
foxbusiness	UA-3469-BUF-IAD		2:29 PMDec 10			3:29 PMDec 10	
allegiantair	UA-3469-BUF-IAD		2:29 PMDec 10			3:29 PMDec 10	
boston	UA-3469-BUF-IAD		2:29 PMDec 10			3:24 PMDec 10	
travelocity	UA-3469-BUF-IAD	Dec 10 - Not Available	Dec 10 - 2:29pm	CHK	Dec 10 - Not Available	Dec 10 - 3:29pm	D8
orbitz	UA-3469-BUF-IAD	2:39pDec 10	2:29pDec 10	 -	3:43pDec 10	3:29pDec 10	 -
weather	UA-3469-BUF-IAD	2011-12-10 02:30 PM			2011-12-10 03:43 PM		
iad	UA-3469-BUF-IAD				2011-12-10 15:43 	2011-12-10 15:26 	
usatoday	UA-3469-BUF-IAD	2011-12-10 02:30 PM			2011-12-10 03:43 PM		
mytripandmore	UA-3469-BUF-IAD	2:39pDec 10	2:29pDec 10	 -	3:43pDec 10	3:29pDec 10	 -
flightarrival	UA-3469-BUF-IAD	2011-12-10 02:30 PM			2011-12-10 03:43 PM		
ua	UA-1543-EWR-SFO	Sat, Dec 10 1:15 PM	Sat, Dec 10 1:18 PM	C82	Sat, Dec 10 4:36 PM	Sat, Dec 10 4:23 PM	88
flightexplorer	UA-1543-EWR-SFO		12/10/2011 1:28PM EST			12/10/2011 4:09PM PST	
airtravelcenter	UA-1543-EWR-SFO	12/10/11 1:15 PM (-05:00)			12/10/11 4:36 PM (-08:00)		
myrateplan	UA-1543-EWR-SFO	12/10/11 1:15 PM (-05:00)			12/10/11 4:36 PM (-08:00)		
helloflight	UA-1543-EWR-SFO	12/10/11 1:15 PM (-05:00)			12/10/11 4:36 PM (-08:00)		
flytecomm	UA-1543-EWR-SFO	12/10/11 1:15 PM (-05:00)			12/10/11 4:36 PM (-08:00)		
flightaware	UA-1543-EWR-SFO	2011-12-10 01:15PM EST	2011-12-10 01:29PM EST	 C82 	2011-12-10 04:26PM PST	2011-12-10 04:15PM PST	 88 
wunderground	UA-1543-EWR-SFO	2011-12-10 01:15PM EST	2011-12-10 01:29PM EST	 C82 	2011-12-10 04:26PM PST	2011-12-10 04:15PM PST	 88 
flights	UA-1543-EWR-SFO	01:15 PM  Sat 10-Dec-2011	01:18 PM  Sat 10-Dec-2011	82	04:36 PM  Sat 10-Dec-2011	04:23 PM  Sat 10-Dec-2011	88
businesstravellogue	UA-1543-EWR-SFO	01:15 PM  Sat 10-Dec-2011	01:18 PM  Sat 10-Dec-2011	82	04:36 PM  Sat 10-Dec-2011	04:23 PM  Sat 10-Dec-2011	88
flylouisville	UA-1543-EWR-SFO	01:15 PM  Sat 10-Dec-2011	01:18 PM  Sat 10-Dec-2011	82	04:36 PM  Sat 10-Dec-2011	04:23 PM  Sat 10-Dec-2011	88
world-flight-tracker	UA-1543-EWR-SFO	2011-12-10 1:15 PM	2011-12-10 1:18 PM		2011-12-10 4:36 PM	2011-12-10 4:23 PM	
flightview	UA-1543-EWR-SFO	1:15 PM, Dec 10	1:30 PM, Dec 10	Term C - C82	4:36 PM, Dec 10	4:23 PM, Dec 10	Terminal 3 - 88
panynj	UA-1543-EWR-SFO	1:15 PM, Dec 10	1:30 PM, Dec 10	Term C - C82	4:36 PM, Dec 10	4:23 PM, Dec 10	Terminal 3 - 88
gofox	UA-1543-EWR-SFO	1:15 PM, Dec 10	1:30 PM, Dec 10		4:36 PM, Dec 10	4:23 PM, Dec 10	
foxbusiness	UA-1543-EWR-SFO	1:15 PM, Dec 10	1:30 PM, Dec 10	Term C - C82	4:36 PM, Dec 10	4:23 PM, Dec 10	Terminal 3 - 88
allegiantair	UA-1543-EWR-SFO	1:15 PM, Dec 10	1:30 PM, Dec 10	Term C - C82	4:36 PM, Dec 10	4:23 PM, Dec 10	Terminal 3 - 88
boston	UA-1543-EWR-SFO	1:15 PM, Dec 10	1:30 PM, Dec 10		4:36 PM, Dec 10	4:15 PM, Dec 10	
travelocity	UA-1543-EWR-SFO	Dec 10 - 1:15pm	Dec 10 - Contact Airline	Not provided by airline	Dec 10 - 4:36pm	Dec 10 - Contact Airline	Not provided by airline
orbitz	UA-1543-EWR-SFO	1:15pDec 10	1:18pDec 10	 C82	4:36pDec 10	4:23pDec 10	 88
weather	UA-1543-EWR-SFO	2011-12-10 01:15 PM			2011-12-10 04:36 PM		
usatoday	UA-1543-EWR-SFO	2011-12-10 01:15 PM			2011-12-10 04:36 PM		
flightarrival	UA-1543-EWR-SFO	2011-12-10 01:15 PM			2011-12-10 04:36 PM		
ua	UA-4272-EWR-MEM	Sat, Dec 10 4:40 PM	Sat, Dec 10 4:56 PM	A24A	Sat, Dec 10 6:35 PM	Sat, Dec 10 6:49 PM	--
airtravelcenter	UA-4272-EWR-MEM	12/10/11 4:40 PM (-05:00)			12/10/11 6:35 PM (-06:00)		
myrateplan	UA-4272-EWR-MEM	12/10/11 4:40 PM (-05:00)			12/10/11 6:35 PM (-06:00)		
helloflight	UA-4272-EWR-MEM	12/10/11 4:40 PM (-05:00)			12/10/11 6:35 PM (-06:00)		
flytecomm	UA-4272-EWR-MEM	12/10/11 4:40 PM (-05:00)			12/10/11 6:35 PM (-06:00)		
flights	UA-4272-EWR-MEM	04:40 PM  Sat 10-Dec-2011	04:56 PM  Sat 10-Dec-2011	24A	06:35 PM  Sat 10-Dec-2011	06:49 PM  Sat 10-Dec-2011	C14
businesstravellogue	UA-4272-EWR-MEM	04:40 PM  Sat 10-Dec-2011	04:56 PM  Sat 10-Dec-2011	24A	06:35 PM  Sat 10-Dec-2011	06:49 PM  Sat 10-Dec-2011	C14
flylouisville	UA-4272-EWR-MEM	04:40 PM  Sat 10-Dec-2011	04:56 PM  Sat 10-Dec-2011	24A	06:35 PM  Sat 10-Dec-2011	06:49 PM  Sat 10-Dec-2011	C14
flightstats	UA-4272-EWR-MEM	2011-12-10 4:40 PM	2011-12-10 4:56 PM		2011-12-10 6:35 PM	2011-12-10 6:49 PM	
quicktrip	UA-4272-EWR-MEM	2011-12-10 4:40 PM	2011-12-10 4:56 PM		2011-12-10 6:35 PM	2011-12-10 6:49 PM	
world-flight-tracker	UA-4272-EWR-MEM	2011-12-10 4:40 PM	2011-12-10 4:56 PM		2011-12-10 6:35 PM	2011-12-10 6:49 PM	
flightview	UA-4272-EWR-MEM	4:40 PM, Dec 10	5:15 PM, Dec 10	Term A - A24A	6:35 PM, Dec 10	6:49 PM, Dec 10	Term B - C14
panynj	UA-4272-EWR-MEM	4:40 PM, Dec 10	5:15 PM, Dec 10	Term A - A24A	6:35 PM, Dec 10	6:49 PM, Dec 10	Term B - C14
gofox	UA-4272-EWR-MEM	4:40 PM, Dec 10	5:15 PM, Dec 10		6:35 PM, Dec 10	6:49 PM, Dec 10	
foxbusiness	UA-4272-EWR-MEM	4:40 PM, Dec 10	5:15 PM, Dec 10	Term A - A24A	6:35 PM, Dec 10	6:49 PM, Dec 10	Term B - C14
allegiantair	UA-4272-EWR-MEM	4:40 PM, Dec 10	5:15 PM, Dec 10	Term A - A24A	6:35 PM, Dec 10	6:49 PM, Dec 10	Term B - C14
boston	UA-4272-EWR-MEM	4:40 PM, Dec 10	5:15 PM, Dec 10		6:35 PM, Dec 10	6:47 PM, Dec 10	
travelocity	UA-4272-EWR-MEM	Dec 10 - 4:40pm	Dec 10 - Contact Airline	Not provided by airline	Dec 10 - 6:35pm	Dec 10 - Contact Airline	Not provided by airline
orbitz	UA-4272-EWR-MEM	4:40pDec 10	4:56pDec 10	 A24A	6:35pDec 10	6:49pDec 10	 -
weather	UA-4272-EWR-MEM	2011-12-10 04:40 PM			2011-12-10 06:35 PM		
ifly	UA-4272-EWR-MEM	2011-12-10 4:40 PM	2011-12-10 4:56 PM		2011-12-10 6:35 PM	2011-12-10 6:49 PM	
mytripandmore	UA-4272-EWR-MEM	4:40pDec 10	4:56pDec 10	 A24A	6:35pDec 10	6:49pDec 10	 -
flightarrival	UA-4272-EWR-MEM	4:40 PM, Dec 10	5:15 PM, Dec 10		6:35 PM, Dec 10	6:47 PM, Dec 10	
aa	AA-436-SAN-DFW	December 10, 2011               10:05 AM    	December 10, 2011               10:01 AM    	 29	December 10, 2011               03:05 PM    	December 10, 2011               02:44 PM    	 A28    
flightexplorer	AA-436-SAN-DFW		12/10/2011 10:14AM PST			12/10/2011 2:39PM CST	
airtravelcenter	AA-436-SAN-DFW		12/10/11 10:14 AM (-08:00)			12/10/11 2:39 PM (-06:00)	
myrateplan	AA-436-SAN-DFW		12/10/11 10:14 AM (-08:00)			12/10/11 2:39 PM (-06:00)	
helloflight	AA-436-SAN-DFW		12/10/11 10:14 AM (-08:00)			12/10/11 2:39 PM (-06:00)	
flytecomm	AA-436-SAN-DFW		12/10/11 10:14 AM (-08:00)			12/10/11 2:39 PM (-06:00)	
flightaware	AA-436-SAN-DFW	2011-12-10 10:05AM PST	2011-12-10 10:14AM PST	 29 	2011-12-10 02:45PM CST	2011-12-10 02:36PM CST	 A28 
wunderground	AA-436-SAN-DFW	2011-12-10 10:05AM PST	2011-12-10 10:14AM PST	 29 	2011-12-10 02:45PM CST	2011-12-10 02:36PM CST	 A28 
flights	AA-436-SAN-DFW	10:05 AM  Sat 10-Dec-2011	10:01 AM  Sat 10-Dec-2011	29	03:05 PM  Sat 10-Dec-2011	02:44 PM  Sat 10-Dec-2011	A28
businesstravellogue	AA-436-SAN-DFW	10:05 AM  Sat 10-Dec-2011	10:01 AM  Sat 10-Dec-2011	29	03:05 PM  Sat 10-Dec-2011	02:44 PM  Sat 10-Dec-2011	A28
