CO	CO-4237-EWR-DTW	Mon., Jan.02, 2012 12:17 p.m.	Mon., Jan.02, 2012 12:17 p.m.		Mon., Jan.02, 2012 2:24 p.m.	Mon., Jan.02, 2012 2:24 p.m.	
ord	AA-4344-ORD-DTW	2012-01-02 11:45 AM		G10	2012-01-02 2:00 PM		D28
usatoday	AA-4344-ORD-DTW	2012-01-02 11:45 AM			2012-01-02 02:00 PM		
ua	UA-330-SFO-SAN	Mon, Jan 2 6:05 AM	Mon, Jan 2 7:49 AM	69	Mon, Jan 2 7:36 AM	Mon, Jan 2 9:29 AM	12
flightexplorer	UA-330-SFO-SAN		1/2/2012 8:11AM PST			1/2/2012 9:31AM PST	
airtravelcenter	UA-330-SFO-SAN		1/2/12 8:12 AM (-08:00)			1/2/12 9:28 AM (-08:00)	
myrateplan	UA-330-SFO-SAN		1/2/12 8:12 AM (-08:00)			1/2/12 9:28 AM (-08:00)	
helloflight	UA-330-SFO-SAN		1/2/12 8:12 AM (-08:00)			1/2/12 9:28 AM (-08:00)	
flytecomm	UA-330-SFO-SAN		1/2/12 8:12 AM (-08:00)			1/2/12 9:28 AM (-08:00)	
flights	UA-330-SFO-SAN		2012-01-02 07:49 AM	69		2012-01-02 09:29 AM	12
businesstravellogue	UA-330-SFO-SAN		2012-01-02 07:49 AM	69		2012-01-02 09:29 AM	12
flylouisville	UA-330-SFO-SAN		2012-01-02 07:49 AM	69		2012-01-02 09:29 AM	12
flightview	UA-330-SFO-SAN		8:12 AMJan 02			9:29 AMJan 02	
panynj	UA-330-SFO-SAN		8:12 AMJan 02			9:29 AMJan 02	
gofox	UA-330-SFO-SAN		8:12 AMJan 02			9:29 AMJan 02	
foxbusiness	UA-330-SFO-SAN		8:12 AMJan 02			9:29 AMJan 02	
allegiantair	UA-330-SFO-SAN		8:12 AMJan 02			9:29 AMJan 02	
boston	UA-330-SFO-SAN		8:12 AMJan 02			9:27 AMJan 02	
orbitz	UA-330-SFO-SAN	6:05aJan 2		 73A	7:36aJan 2		 13
weather	UA-330-SFO-SAN	2012-01-02 06:05 AM			2012-01-02 07:36 AM		
flightarrival	UA-330-SFO-SAN	2012-01-02 06:05 AM			2012-01-02 07:36 AM		
ua	UA-398-DEN-GRR	Mon, Jan 2 9:57 AM	Mon, Jan 2 10:16 AM	B48	Mon, Jan 2 2:30 PM	Mon, Jan 2 2:44 PM	HOLD
flightexplorer	UA-398-DEN-GRR		1/2/2012 10:28AM MST			1/2/2012 2:44PM EST	
airtravelcenter	UA-398-DEN-GRR		1/2/12 10:29 AM (-07:00)			1/2/12 2:44 PM (-05:00)	
myrateplan	UA-398-DEN-GRR		1/2/12 10:29 AM (-07:00)			1/2/12 2:44 PM (-05:00)	
helloflight	UA-398-DEN-GRR		1/2/12 10:29 AM (-07:00)			1/2/12 2:44 PM (-05:00)	
flytecomm	UA-398-DEN-GRR		1/2/12 10:29 AM (-07:00)			1/2/12 2:44 PM (-05:00)	
flights	UA-398-DEN-GRR		2012-01-02 10:16 AM	B48		2012-01-02 02:44 PM	
businesstravellogue	UA-398-DEN-GRR		2012-01-02 10:16 AM	B48		2012-01-02 02:44 PM	
flylouisville	UA-398-DEN-GRR		2012-01-02 10:16 AM	B48		2012-01-02 02:44 PM	
flightview	UA-398-DEN-GRR		10:29 AMJan 02			2:44 PMJan 02	
panynj	UA-398-DEN-GRR		10:29 AMJan 02			2:44 PMJan 02	
gofox	UA-398-DEN-GRR		10:29 AMJan 02			2:44 PMJan 02	
foxbusiness	UA-398-DEN-GRR		10:29 AMJan 02			2:44 PMJan 02	
allegiantair	UA-398-DEN-GRR		10:29 AMJan 02			2:44 PMJan 02	
boston	UA-398-DEN-GRR		10:29 AMJan 02			2:45 PMJan 02	
orbitz	UA-398-DEN-GRR	9:57aJan 2		 B22	2:30pJan 2		 -
weather	UA-398-DEN-GRR	2012-01-02 09:57 AM			2012-01-02 02:30 PM		
den	UA-398-DEN-GRR	2012-01-02 9:57 AM		B48			
usatoday	UA-398-DEN-GRR		10:29 AMJan 02			2:45 PMJan 02	
flightarrival	UA-398-DEN-GRR	2012-01-02 09:57 AM			2012-01-02 02:30 PM		
ua	UA-1447-IAH-SNA	Mon, Jan 2 9:05 PM	Mon, Jan 2 9:05 PM            On Time	C-45	Mon, Jan 2 10:49 PM	Mon, Jan 2 10:49 PM	--
flightexplorer	UA-1447-IAH-SNA	1/2/2012 9:05PM CST			1/2/2012 10:49PM PST		
airtravelcenter	UA-1447-IAH-SNA	1/2/12 9:05 PM (-06:00)			1/2/12 10:49 PM (-08:00)		
airtravelcenter	UA-1447-IAH-SNA		1/2/12 9:23 PM (-06:00)			1/2/12 10:17 PM (-08:00)	
myrateplan	UA-1447-IAH-SNA	1/2/12 9:05 PM (-06:00)			1/2/12 10:49 PM (-08:00)		
myrateplan	UA-1447-IAH-SNA		1/2/12 9:23 PM (-06:00)			1/2/12 10:17 PM (-08:00)	
helloflight	UA-1447-IAH-SNA	1/2/12 9:05 PM (-06:00)			1/2/12 10:49 PM (-08:00)		
helloflight	UA-1447-IAH-SNA		1/2/12 9:23 PM (-06:00)			1/2/12 10:17 PM (-08:00)	
flytecomm	UA-1447-IAH-SNA	1/2/12 9:05 PM (-06:00)			1/2/12 10:49 PM (-08:00)		
flytecomm	UA-1447-IAH-SNA		1/2/12 9:23 PM (-06:00)			1/2/12 10:17 PM (-08:00)	
flights	UA-1447-IAH-SNA	2012-01-02 09:05 PM		45	2012-01-02 10:49 PM		5
businesstravellogue	UA-1447-IAH-SNA	2012-01-02 09:05 PM		45	2012-01-02 10:49 PM		5
flylouisville	UA-1447-IAH-SNA	2012-01-02 09:05 PM		45	2012-01-02 10:49 PM		5
flightstats	UA-1447-IAH-SNA	2012-01-02 9:05 PM	2012-01-02 9:05 PM (Estimated)		2012-01-02 10:49 PM	2012-01-02 10:49 PM (Estimated)	
quicktrip	UA-1447-IAH-SNA	2012-01-02 9:05 PM	2012-01-02 9:05 PM (Estimated)		2012-01-02 10:49 PM	2012-01-02 10:49 PM (Estimated)	
flightview	UA-1447-IAH-SNA	9:05 PMJan 02			10:49 PMJan 02		
panynj	UA-1447-IAH-SNA	9:05 PMJan 02			10:49 PMJan 02		
gofox	UA-1447-IAH-SNA	9:05 PMJan 02			10:49 PMJan 02		
foxbusiness	UA-1447-IAH-SNA	9:05 PMJan 02			10:49 PMJan 02		
allegiantair	UA-1447-IAH-SNA	9:05 PMJan 02			10:49 PMJan 02		
boston	UA-1447-IAH-SNA	9:05 PMJan 02			10:49 PMJan 02		
orbitz	UA-1447-IAH-SNA	9:05pJan 2		 C-45	10:49pJan 2		 -
mytripandmore	UA-1447-IAH-SNA	9:05pJan 2		 C-45	10:49pJan 2		 -
aa	AA-205-MCO-LAX	January 2, 2012               08:50 AM    	January 2, 2012               09:26 AM    	 16	January 2, 2012               11:30 AM    	January 2, 2012               11:31 AM    	 40    
flightexplorer	AA-205-MCO-LAX		1/2/2012 9:38AM EST			1/2/2012 11:20AM PST	
airtravelcenter	AA-205-MCO-LAX		1/2/12 9:38 AM (-05:00)			1/2/12 11:24 AM (-08:00)	
myrateplan	AA-205-MCO-LAX		1/2/12 9:38 AM (-05:00)			1/2/12 11:24 AM (-08:00)	
helloflight	AA-205-MCO-LAX		1/2/12 9:38 AM (-05:00)			1/2/12 11:24 AM (-08:00)	
flytecomm	AA-205-MCO-LAX		1/2/12 9:38 AM (-05:00)			1/2/12 11:24 AM (-08:00)	
flightaware	AA-205-MCO-LAX	2012-01-02 08:50AM EST	2012-01-02 09:38AM EST	 16 	2012-01-02 11:08AM PST	2012-01-02 11:20AM PST	 40 
wunderground	AA-205-MCO-LAX	2012-01-02 08:50AM EST	2012-01-02 09:38AM EST	 16 	2012-01-02 11:08AM PST	2012-01-02 11:20AM PST	 40 
flights	AA-205-MCO-LAX	08:50 AM  Mon 02-Jan-2012	09:26 AM  Mon 02-Jan-2012	16	11:30 AM  Mon 02-Jan-2012	11:31 AM  Mon 02-Jan-2012	40
businesstravellogue	AA-205-MCO-LAX	08:50 AM  Mon 02-Jan-2012	09:26 AM  Mon 02-Jan-2012	16	11:30 AM  Mon 02-Jan-2012	11:31 AM  Mon 02-Jan-2012	40
flylouisville	AA-205-MCO-LAX	08:50 AM  Mon 02-Jan-2012	09:26 AM  Mon 02-Jan-2012	16	11:30 AM  Mon 02-Jan-2012	11:31 AM  Mon 02-Jan-2012	40
flightstats	AA-205-MCO-LAX	2012-01-02 8:50 AM	2012-01-02 9:26 AM		2012-01-02 11:30 AM	2012-01-02 11:31 AM	
quicktrip	AA-205-MCO-LAX	2012-01-02 8:50 AM	2012-01-02 9:26 AM		2012-01-02 11:30 AM	2012-01-02 11:31 AM	
world-flight-tracker	AA-205-MCO-LAX	2012-01-02 8:50 AM	2012-01-02 9:26 AM		2012-01-02 11:30 AM	2012-01-02 11:31 AM	
flightview	AA-205-MCO-LAX	8:50 AM, Jan 02	9:38 AM, Jan 02	16	11:30 AM, Jan 02	11:31 AM, Jan 02	Terminal 4 - 40
panynj	AA-205-MCO-LAX	8:50 AM, Jan 02	9:38 AM, Jan 02	16	11:30 AM, Jan 02	11:31 AM, Jan 02	Terminal 4 - 40
gofox	AA-205-MCO-LAX	8:50 AM, Jan 02	9:38 AM, Jan 02		11:30 AM, Jan 02	11:31 AM, Jan 02	
foxbusiness	AA-205-MCO-LAX	8:50 AM, Jan 02	9:38 AM, Jan 02	16	11:30 AM, Jan 02	11:31 AM, Jan 02	Terminal 4 - 40
allegiantair	AA-205-MCO-LAX	8:50 AM, Jan 02	9:38 AM, Jan 02	16	11:30 AM, Jan 02	11:31 AM, Jan 02	Terminal 4 - 40
boston	AA-205-MCO-LAX	8:50 AM, Jan 02	9:38 AM, Jan 02		11:30 AM, Jan 02	11:21 AM, Jan 02	
orbitz	AA-205-MCO-LAX	9:30aJan 2	9:26aJan 2	 16	11:30aJan 2	11:31aJan 2	 40
weather	AA-205-MCO-LAX	2012-01-02 08:50 AM	2012-01-02 09:38 AM		2012-01-02 11:30 AM	2012-01-02 11:22 AM	
mco	AA-205-MCO-LAX	2012-01-02 Mon  08:50		16?			
ifly	AA-205-MCO-LAX	2012-01-02 8:50 AM	2012-01-02 9:26 AM		2012-01-02 11:30 AM	2012-01-02 11:31 AM	
usatoday	AA-205-MCO-LAX	8:50 AM, Jan 02	9:38 AM, Jan 02		11:30 AM, Jan 02	11:21 AM, Jan 02	
mytripandmore	AA-205-MCO-LAX	9:30aJan 2	9:26aJan 2	 16	11:30aJan 2	11:31aJan 2	 40
flightwise	AA-205-MCO-LAX	2012-01-02 08:50AM EST	2012-01-02 09:38AM EST	 16 	2012-01-02 11:08AM PST	2012-01-02 11:20AM PST	 40 
flightarrival	AA-205-MCO-LAX	2012-01-02 08:50 AM	2012-01-02 09:38 AM		2012-01-02 11:30 AM	2012-01-02 11:22 AM	
aa	AA-4315-CLE-ORD	January 2, 2012               01:40 PM    	January 2, 2012               02:32 PM    	 A3	January 2, 2012               02:15 PM    	January 2, 2012               02:57 PM    	 G14    
flightexplorer	AA-4315-CLE-ORD		1/2/2012 2:56PM EST			1/2/2012 2:55PM CST	
airtravelcenter	AA-4315-CLE-ORD		1/2/12 2:56 PM (-05:00)			1/2/12 2:55 PM (-06:00)	
myrateplan	AA-4315-CLE-ORD		1/2/12 2:56 PM (-05:00)			1/2/12 2:55 PM (-06:00)	
helloflight	AA-4315-CLE-ORD		1/2/12 2:56 PM (-05:00)			1/2/12 2:55 PM (-06:00)	
flytecomm	AA-4315-CLE-ORD		1/2/12 2:56 PM (-05:00)			1/2/12 2:55 PM (-06:00)	
flightaware	AA-4315-CLE-ORD	2012-01-02 01:40PM EST	2012-01-02 02:56PM EST	 A3 	2012-01-02 01:55PM CST	2012-01-02 02:52PM CST	 G14 
wunderground	AA-4315-CLE-ORD	2012-01-02 01:40PM EST	2012-01-02 02:56PM EST	 A3 	2012-01-02 01:55PM CST	2012-01-02 02:52PM CST	 G14 
flights	AA-4315-CLE-ORD	01:40 PM  Mon 02-Jan-2012	02:32 PM  Mon 02-Jan-2012	A3	02:15 PM  Mon 02-Jan-2012	02:57 PM  Mon 02-Jan-2012	G14
businesstravellogue	AA-4315-CLE-ORD	01:40 PM  Mon 02-Jan-2012	02:32 PM  Mon 02-Jan-2012	A3	02:15 PM  Mon 02-Jan-2012	02:57 PM  Mon 02-Jan-2012	G14
flylouisville	AA-4315-CLE-ORD	01:40 PM  Mon 02-Jan-2012	02:32 PM  Mon 02-Jan-2012	A3	02:15 PM  Mon 02-Jan-2012	02:57 PM  Mon 02-Jan-2012	G14
flightstats	AA-4315-CLE-ORD	2012-01-02 1:40 PM	2012-01-02 2:32 PM		2012-01-02 2:15 PM	2012-01-02 2:57 PM	
quicktrip	AA-4315-CLE-ORD	2012-01-02 1:40 PM	2012-01-02 2:32 PM		2012-01-02 2:15 PM	2012-01-02 2:57 PM	
world-flight-tracker	AA-4315-CLE-ORD	2012-01-02 1:40 PM	2012-01-02 2:32 PM		2012-01-02 2:15 PM	2012-01-02 2:57 PM	
flightview	AA-4315-CLE-ORD	1:40 PM, Jan 02	2:56 PM, Jan 02		2:15 PM, Jan 02	2:53 PM, Jan 02	
panynj	AA-4315-CLE-ORD	1:40 PM, Jan 02	2:56 PM, Jan 02		2:15 PM, Jan 02	2:53 PM, Jan 02	
gofox	AA-4315-CLE-ORD	1:40 PM, Jan 02	2:56 PM, Jan 02		2:15 PM, Jan 02	2:53 PM, Jan 02	
foxbusiness	AA-4315-CLE-ORD	1:40 PM, Jan 02	2:56 PM, Jan 02		2:15 PM, Jan 02	2:53 PM, Jan 02	
allegiantair	AA-4315-CLE-ORD	1:40 PM, Jan 02	2:56 PM, Jan 02		2:15 PM, Jan 02	2:53 PM, Jan 02	
boston	AA-4315-CLE-ORD	1:40 PM, Jan 02	2:56 PM, Jan 02		2:15 PM, Jan 02	2:53 PM, Jan 02	
orbitz	AA-4315-CLE-ORD	2:30pJan 2	2:32pJan 2	 A3	2:15pJan 2	2:57pJan 2	 G14
weather	AA-4315-CLE-ORD	2012-01-02 01:40 PM			2012-01-02 02:15 PM		
ord	AA-4315-CLE-ORD	2012-01-02 1:40 PM		A3	2012-01-02 2:15 PM		G14
usatoday	AA-4315-CLE-ORD	2012-01-02 01:40 PM			2012-01-02 02:15 PM		
flightwise	AA-4315-CLE-ORD	2012-01-02 01:40PM EST	2012-01-02 02:56PM EST	 A3 	2012-01-02 01:55PM CST	2012-01-02 02:52PM CST	 G14 
aa	AA-530-MIA-JFK	January 2, 2012               03:20 PM    	January 2, 2012               03:17 PM    	 D10	January 2, 2012               06:25 PM    	January 2, 2012               06:00 PM    	 33    
flightexplorer	AA-530-MIA-JFK		1/2/2012 3:34PM EST			1/2/2012 5:52PM EST	
airtravelcenter	AA-530-MIA-JFK		1/2/12 3:34 PM (-05:00)			1/2/12 5:52 PM (-05:00)	
myrateplan	AA-530-MIA-JFK		1/2/12 3:34 PM (-05:00)			1/2/12 5:52 PM (-05:00)	
helloflight	AA-530-MIA-JFK		1/2/12 3:34 PM (-05:00)			1/2/12 5:52 PM (-05:00)	
flytecomm	AA-530-MIA-JFK		1/2/12 3:34 PM (-05:00)			1/2/12 5:52 PM (-05:00)	
flightaware	AA-530-MIA-JFK	2012-01-02 03:20PM EST	2012-01-02 03:34PM EST	 D10 	2012-01-02 05:51PM EST	2012-01-02 05:48PM EST	 33 
wunderground	AA-530-MIA-JFK	2012-01-02 03:20PM EST	2012-01-02 03:34PM EST	 D10 	2012-01-02 05:51PM EST	2012-01-02 05:48PM EST	 33 
flights	AA-530-MIA-JFK	03:20 PM  Mon 02-Jan-2012	03:17 PM  Mon 02-Jan-2012	D10	06:25 PM  Mon 02-Jan-2012	06:00 PM  Mon 02-Jan-2012	C33
businesstravellogue	AA-530-MIA-JFK	03:20 PM  Mon 02-Jan-2012	03:17 PM  Mon 02-Jan-2012	D10	06:25 PM  Mon 02-Jan-2012	06:00 PM  Mon 02-Jan-2012	C33
flylouisville	AA-530-MIA-JFK	03:20 PM  Mon 02-Jan-2012	03:17 PM  Mon 02-Jan-2012	D10	06:25 PM  Mon 02-Jan-2012	06:00 PM  Mon 02-Jan-2012	C33
flightstats	AA-530-MIA-JFK	2012-01-02 3:20 PM	2012-01-02 3:17 PM		2012-01-02 6:25 PM	2012-01-02 6:00 PM	
quicktrip	AA-530-MIA-JFK	2012-01-02 3:20 PM	2012-01-02 3:17 PM		2012-01-02 6:25 PM	2012-01-02 6:00 PM	
world-flight-tracker	AA-530-MIA-JFK	2012-01-02 3:20 PM	2012-01-02 3:17 PM		2012-01-02 6:25 PM	2012-01-02 6:00 PM	
flightview	AA-530-MIA-JFK	3:20 PM, Jan 02	3:34 PM, Jan 02	Terminal D - D10	6:25 PM, Jan 02	6:00 PM, Jan 02	Terminal 8 - 33
panynj	AA-530-MIA-JFK	3:20 PM, Jan 02	3:34 PM, Jan 02	Terminal D - D10	6:25 PM, Jan 02	6:00 PM, Jan 02	Terminal 8 - 33
gofox	AA-530-MIA-JFK	3:20 PM, Jan 02	3:34 PM, Jan 02		6:25 PM, Jan 02	6:00 PM, Jan 02	
foxbusiness	AA-530-MIA-JFK	3:20 PM, Jan 02	3:34 PM, Jan 02	Terminal D - D10	6:25 PM, Jan 02	6:00 PM, Jan 02	Terminal 8 - 33
allegiantair	AA-530-MIA-JFK	3:20 PM, Jan 02	3:34 PM, Jan 02	Terminal D - D10	6:25 PM, Jan 02	6:00 PM, Jan 02	Terminal 8 - 33
boston	AA-530-MIA-JFK	3:20 PM, Jan 02	3:34 PM, Jan 02		6:25 PM, Jan 02	5:48 PM, Jan 02	
orbitz	AA-530-MIA-JFK	3:20pJan 2	3:17pJan 2	 D10	6:25pJan 2	6:00pJan 2	 33
weather	AA-530-MIA-JFK	2012-01-02 03:20 PM			2012-01-02 06:25 PM		
ifly	AA-530-MIA-JFK	2012-01-02 3:20 PM	2012-01-02 3:17 PM		2012-01-02 6:25 PM	2012-01-02 6:00 PM	
mytripandmore	AA-530-MIA-JFK	3:20pJan 2	3:17pJan 2	 D10	6:25pJan 2	6:00pJan 2	 33
flightarrival	AA-530-MIA-JFK	2012-01-02 03:20 PM			2012-01-02 06:25 PM		
ua	UA-2635-CLT-TPA	Mon, Jan 2 5:50 PM	Mon, Jan 2 5:50 PM            Delayed	C12	Mon, Jan 2 7:30 PM	Mon, Jan 2 7:29 PM	F88
airtravelcenter	UA-2635-CLT-TPA		1/2/12 6:00 PM (-05:00)			1/2/12 7:27 PM (-05:00)	
myrateplan	UA-2635-CLT-TPA		1/2/12 6:00 PM (-05:00)			1/2/12 7:27 PM (-05:00)	
helloflight	UA-2635-CLT-TPA		1/2/12 6:00 PM (-05:00)			1/2/12 7:27 PM (-05:00)	
flytecomm	UA-2635-CLT-TPA		1/2/12 6:00 PM (-05:00)			1/2/12 7:27 PM (-05:00)	
flights	UA-2635-CLT-TPA		2012-01-02 05:48 PM	C12		2012-01-02 07:29 PM	F88
businesstravellogue	UA-2635-CLT-TPA		2012-01-02 05:48 PM	C12		2012-01-02 07:29 PM	F88
flylouisville	UA-2635-CLT-TPA		2012-01-02 05:48 PM	C12		2012-01-02 07:29 PM	F88
flightview	UA-2635-CLT-TPA		6:00 PMJan 02			7:24 PMJan 02	
panynj	UA-2635-CLT-TPA		6:00 PMJan 02			7:24 PMJan 02	
gofox	UA-2635-CLT-TPA		6:00 PMJan 02			7:24 PMJan 02	
foxbusiness	UA-2635-CLT-TPA		6:00 PMJan 02			7:24 PMJan 02	
allegiantair	UA-2635-CLT-TPA		6:00 PMJan 02			7:24 PMJan 02	
boston	UA-2635-CLT-TPA		6:00 PMJan 02			7:24 PMJan 02	
orbitz	UA-2635-CLT-TPA	5:50pJan 2	5:48pJan 2	 -	7:30pJan 2	7:29pJan 2	 -
flightarrival	UA-2635-CLT-TPA		6:00 PMJan 02			7:24 PMJan 02	
ua	UA-6162-CLT-IAD	Mon, Jan 2 6:00 AM	Mon, Jan 2 5:57 AM	A4	Mon, Jan 2 7:20 AM	Mon, Jan 2 7:07 AM	A6B
airtravelcenter	UA-6162-CLT-IAD	1/2/12 6:00 AM (-05:00)			1/2/12 7:20 AM (-05:00)		
myrateplan	UA-6162-CLT-IAD	1/2/12 6:00 AM (-05:00)			1/2/12 7:20 AM (-05:00)		
helloflight	UA-6162-CLT-IAD	1/2/12 6:00 AM (-05:00)			1/2/12 7:20 AM (-05:00)		
flytecomm	UA-6162-CLT-IAD	1/2/12 6:00 AM (-05:00)			1/2/12 7:20 AM (-05:00)		
flights	UA-6162-CLT-IAD		2012-01-02 05:57 AM	A4		2012-01-02 07:07 AM	A6
businesstravellogue	UA-6162-CLT-IAD		2012-01-02 05:57 AM	A4		2012-01-02 07:07 AM	A6
flylouisville	UA-6162-CLT-IAD		2012-01-02 05:57 AM	A4		2012-01-02 07:07 AM	A6
flightview	UA-6162-CLT-IAD		6:10 AMJan 02			7:07 AMJan 02	
panynj	UA-6162-CLT-IAD		6:10 AMJan 02			7:07 AMJan 02	
gofox	UA-6162-CLT-IAD		6:10 AMJan 02			7:07 AMJan 02	
foxbusiness	UA-6162-CLT-IAD		6:10 AMJan 02			7:07 AMJan 02	
allegiantair	UA-6162-CLT-IAD		6:10 AMJan 02			7:07 AMJan 02	
boston	UA-6162-CLT-IAD		6:10 AMJan 02			7:05 AMJan 02	
orbitz	UA-6162-CLT-IAD	6:00aJan 2		 -	7:20aJan 2		 -
weather	UA-6162-CLT-IAD	2012-01-02 06:00 AM			2012-01-02 07:20 AM		
usatoday	UA-6162-CLT-IAD		6:10 AMJan 02			7:05 AMJan 02	
mytripandmore	UA-6162-CLT-IAD	6:00aJan 2		 -	7:20aJan 2		 -
flightarrival	UA-6162-CLT-IAD	2012-01-02 06:00 AM			2012-01-02 07:20 AM		
ua	UA-996-SEA-DEN	Mon, Jan 2 5:40 PM	Mon, Jan 2 5:30 PM	N10	Mon, Jan 2 9:12 PM	Mon, Jan 2 8:56 PM	B45
flightexplorer	UA-996-SEA-DEN		1/2/2012 5:42PM PST			1/2/2012 8:47PM MST	
airtravelcenter	UA-996-SEA-DEN		1/2/12 5:44 PM (-08:00)			1/2/12 8:54 PM (-07:00)	
myrateplan	UA-996-SEA-DEN		1/2/12 5:44 PM (-08:00)			1/2/12 8:54 PM (-07:00)	
helloflight	UA-996-SEA-DEN		1/2/12 5:44 PM (-08:00)			1/2/12 8:54 PM (-07:00)	
flytecomm	UA-996-SEA-DEN		1/2/12 5:44 PM (-08:00)			1/2/12 8:54 PM (-07:00)	
flightaware	UA-996-SEA-DEN	2012-01-02 05:40PM PST	2012-01-02 05:44PM PST	 N10 	2012-01-02 08:58PM MST	2012-01-02 08:46PM MST	 B45 
wunderground	UA-996-SEA-DEN	2012-01-02 05:40PM PST	2012-01-02 05:44PM PST	 N10 	2012-01-02 08:58PM MST	2012-01-02 08:46PM MST	 B45 
flights	UA-996-SEA-DEN	05:40 PM  Mon 02-Jan-2012		10	09:12 PM  Mon 02-Jan-2012		B45
businesstravellogue	UA-996-SEA-DEN	05:40 PM  Mon 02-Jan-2012		10	09:12 PM  Mon 02-Jan-2012		B45
flylouisville	UA-996-SEA-DEN	05:40 PM  Mon 02-Jan-2012		10	09:12 PM  Mon 02-Jan-2012		B45
world-flight-tracker	UA-996-SEA-DEN	2012-01-02 5:40 PM	2012-01-02 5:30 PM		2012-01-02 9:12 PM	2012-01-02 8:56 PM (Estimated)	
flightview	UA-996-SEA-DEN	5:40 PM, Jan 02	5:44 PM, Jan 02		9:12 PM, Jan 02		
panynj	UA-996-SEA-DEN	5:40 PM, Jan 02	5:44 PM, Jan 02		9:12 PM, Jan 02		
gofox	UA-996-SEA-DEN	5:40 PM, Jan 02	5:44 PM, Jan 02		9:12 PM, Jan 02		
foxbusiness	UA-996-SEA-DEN	5:40 PM, Jan 02	5:44 PM, Jan 02		9:12 PM, Jan 02		
allegiantair	UA-996-SEA-DEN	5:40 PM, Jan 02	5:44 PM, Jan 02		9:12 PM, Jan 02		
boston	UA-996-SEA-DEN	5:40 PM, Jan 02	5:44 PM, Jan 02		9:12 PM, Jan 02	8:54 PM, Jan 02&nbsp(Estimated)	
orbitz	UA-996-SEA-DEN	5:40pJan 2		 N10	9:12pJan 2		 B33
weather	UA-996-SEA-DEN	2012-01-02 05:40 PM			2012-01-02 09:12 PM		
usatoday	UA-996-SEA-DEN	2012-01-02 05:40 PM			2012-01-02 09:12 PM		
flightwise	UA-996-SEA-DEN	2012-01-02 05:40PM PST	2012-01-02 05:44PM PST	 N10 	2012-01-02 08:58PM MST	2012-01-02 08:46PM MST	 B45 
CO	CO-88-EWR-IAH	Mon., Jan.02, 2012 7:00 p.m.	Mon., Jan.02, 2012 8:03 p.m.		Mon., Jan.02, 2012 9:58 p.m.	Mon., Jan.02, 2012 10:18 p.m.	
airtravelcenter	CO-88-EWR-IAH	1/2/12 7:00 PM (-05:00)			1/2/12 9:58 PM (-06:00)		
myrateplan	CO-88-EWR-IAH	1/2/12 7:00 PM (-05:00)			1/2/12 9:58 PM (-06:00)		
helloflight	CO-88-EWR-IAH	1/2/12 7:00 PM (-05:00)			1/2/12 9:58 PM (-06:00)		
flytecomm	CO-88-EWR-IAH	1/2/12 7:00 PM (-05:00)			1/2/12 9:58 PM (-06:00)		
flightaware	CO-88-EWR-IAH	2012-01-02 06:59PM EST	2012-01-02 08:17PM EST	 128 	2012-01-02 09:20PM CST	2012-01-02 10:12PM CST	 35 
wunderground	CO-88-EWR-IAH	2012-01-02 06:59PM EST	2012-01-02 08:17PM EST	 128 	2012-01-02 09:20PM CST	2012-01-02 10:12PM CST	 35 
flights	CO-88-EWR-IAH		2012-01-02 08:03 PM	128		2012-01-02 10:18 PM	32
businesstravellogue	CO-88-EWR-IAH		2012-01-02 08:03 PM	128		2012-01-02 10:18 PM	32
flylouisville	CO-88-EWR-IAH		2012-01-02 08:03 PM	128		2012-01-02 10:18 PM	32
flightstats	CO-88-EWR-IAH	2012-01-02 7:00 PM	2012-01-02 8:03 PM		2012-01-02 9:58 PM	2012-01-02 10:18 PM	
quicktrip	CO-88-EWR-IAH	2012-01-02 7:00 PM	2012-01-02 8:03 PM		2012-01-02 9:58 PM	2012-01-02 10:18 PM	
flightview	CO-88-EWR-IAH		8:18 PMJan 02			10:13 PMJan 02	
panynj	CO-88-EWR-IAH		8:18 PMJan 02			10:13 PMJan 02	
gofox	CO-88-EWR-IAH		8:18 PMJan 02			10:13 PMJan 02	
foxbusiness	CO-88-EWR-IAH		8:18 PMJan 02			10:13 PMJan 02	
allegiantair	CO-88-EWR-IAH		8:18 PMJan 02			10:13 PMJan 02	
boston	CO-88-EWR-IAH		8:18 PMJan 02			10:13 PMJan 02	
orbitz	CO-88-EWR-IAH	7:00pJan 2	8:03pJan 2	 C128	9:58pJan 2	10:18pJan 2	 C-32
usatoday	CO-88-EWR-IAH		8:18 PMJan 02			10:13 PMJan 02	
flightwise	CO-88-EWR-IAH	2012-01-02 06:59PM EST	2012-01-02 08:17PM EST	 128 	2012-01-02 09:20PM CST	2012-01-02 10:12PM CST	 35 
flightarrival	CO-88-EWR-IAH		8:18 PMJan 02			10:13 PMJan 02	
ua	UA-257-JFK-SFO	Mon, Jan 2 2:30 PM	Mon, Jan 2 4:49 PM	7	Mon, Jan 2 6:14 PM	Mon, Jan 2 8:08 PM	86
flightexplorer	UA-257-JFK-SFO		1/2/2012 5:19PM EST			1/2/2012 7:55PM PST	
airtravelcenter	UA-257-JFK-SFO		1/2/12 5:21 PM (-05:00)			1/2/12 7:53 PM (-08:00)	
myrateplan	UA-257-JFK-SFO		1/2/12 5:21 PM (-05:00)			1/2/12 7:53 PM (-08:00)	
