CO	CO-4237-EWR-DTW	Fri., Dec.16, 2011 12:17 p.m.	Fri., Dec.16, 2011 12:11 p.m.		Fri., Dec.16, 2011 2:24 p.m.	Fri., Dec.16, 2011 2:17 p.m.	
myrateplan	UA-6219-MFR-DEN	12/16/11 2:45 PM (-08:00)			12/16/11 6:20 PM (-07:00)		
helloflight	UA-6219-MFR-DEN	12/16/11 2:45 PM (-08:00)			12/16/11 6:20 PM (-07:00)		
flytecomm	UA-6219-MFR-DEN	12/16/11 2:45 PM (-08:00)			12/16/11 6:20 PM (-07:00)		
flightaware	UA-6219-MFR-DEN	2011-12-16 02:45PM PST	2011-12-16 02:56PM PST		2011-12-16 06:11PM MST	2011-12-16 06:07PM MST	 B92 
wunderground	UA-6219-MFR-DEN	2011-12-16 02:45PM PST	2011-12-16 02:56PM PST		2011-12-16 06:11PM MST	2011-12-16 06:07PM MST	 B92 
flights	UA-6219-MFR-DEN		2011-12-16 02:44 PM			2011-12-16 06:20 PM	B92
businesstravellogue	UA-6219-MFR-DEN		2011-12-16 02:44 PM			2011-12-16 06:20 PM	B92
flylouisville	UA-6219-MFR-DEN		2011-12-16 02:44 PM			2011-12-16 06:20 PM	B92
flightview	UA-6219-MFR-DEN		2:56 PMDec 16			6:12 PMDec 16	
panynj	UA-6219-MFR-DEN		2:56 PMDec 16			6:12 PMDec 16	
gofox	UA-6219-MFR-DEN		2:56 PMDec 16			6:12 PMDec 16	
foxbusiness	UA-6219-MFR-DEN		2:56 PMDec 16			6:12 PMDec 16	
allegiantair	UA-6219-MFR-DEN		2:56 PMDec 16			6:12 PMDec 16	
boston	UA-6219-MFR-DEN		2:56 PMDec 16			6:12 PMDec 16	
travelocity	UA-6219-MFR-DEN	Dec 16 - Not Available	Dec 16 - 2:55pm	CHK	Dec 16 - Not Available	Dec 16 - 6:17pm	B92
orbitz	UA-6219-MFR-DEN	2:56pDec 16	2:55pDec 16	 -	6:20pDec 16	6:17pDec 16	 -
flightarrival	UA-6219-MFR-DEN		2:56 PMDec 16			6:12 PMDec 16	
ua	UA-855-LIM-IAH	Fri, Dec 16 12:05 AM	Fri, Dec 16 12:27 AM	16	Fri, Dec 16 5:40 AM	Fri, Dec 16 6:07 AM	D04
airtravelcenter	UA-855-LIM-IAH		12/16/11 12:52 AM (-05:00)			12/16/11 6:05 AM (-06:00)	
myrateplan	UA-855-LIM-IAH		12/16/11 12:52 AM (-05:00)			12/16/11 6:05 AM (-06:00)	
helloflight	UA-855-LIM-IAH		12/16/11 12:52 AM (-05:00)			12/16/11 6:05 AM (-06:00)	
flytecomm	UA-855-LIM-IAH		12/16/11 12:52 AM (-05:00)			12/16/11 6:05 AM (-06:00)	
flights	UA-855-LIM-IAH		2011-12-16 12:27 AM	16		2011-12-16 06:07 AM	4
businesstravellogue	UA-855-LIM-IAH		2011-12-16 12:27 AM	16		2011-12-16 06:07 AM	4
flylouisville	UA-855-LIM-IAH		2011-12-16 12:27 AM	16		2011-12-16 06:07 AM	4
flightview	UA-855-LIM-IAH		12:22 AMDec 16			6:07 AMDec 16	
panynj	UA-855-LIM-IAH		12:22 AMDec 16			6:07 AMDec 16	
gofox	UA-855-LIM-IAH		12:22 AMDec 16			6:07 AMDec 16	
foxbusiness	UA-855-LIM-IAH		12:22 AMDec 16			6:07 AMDec 16	
allegiantair	UA-855-LIM-IAH		12:22 AMDec 16			6:07 AMDec 16	
boston	UA-855-LIM-IAH		12:22 AMDec 16			6:03 AMDec 16	
travelocity	UA-855-LIM-IAH	Dec 16 - Not Available	Dec 16 - 12:52am	16	Dec 16 - Not Available	Dec 16 - 6:07am	D04
orbitz	UA-855-LIM-IAH	12:05aDec 16	12:27aDec 16	 16	5:40aDec 16	6:07aDec 16	 D04
weather	UA-855-LIM-IAH	2011-12-16 12:05 AM			2011-12-16 05:40 AM		
usatoday	UA-855-LIM-IAH		12:22 AMDec 16			6:03 AMDec 16	
mytripandmore	UA-855-LIM-IAH	Dec 16 - Not Available	Dec 16 - 12:52am	16	Dec 16 - Not Available	Dec 16 - 6:07am	D04
ua	UA-2607-CLT-RDU	Fri, Dec 16 10:40 PM	Fri, Dec 16 10:40 PM            Delayed	B10	Fri, Dec 16 11:33 PM	Fri, Dec 16 11:24 PM	D13
airtravelcenter	UA-2607-CLT-RDU		12/16/11 10:52 PM (-05:00)			12/16/11 11:22 PM (-05:00)	
myrateplan	UA-2607-CLT-RDU		12/16/11 10:52 PM (-05:00)			12/16/11 11:22 PM (-05:00)	
helloflight	UA-2607-CLT-RDU		12/16/11 10:52 PM (-05:00)			12/16/11 11:22 PM (-05:00)	
flytecomm	UA-2607-CLT-RDU		12/16/11 10:52 PM (-05:00)			12/16/11 11:22 PM (-05:00)	
flightaware	UA-2607-CLT-RDU	2011-12-16 10:40PM EST	2011-12-16 10:52PM EST		2011-12-16 11:19PM EST	2011-12-16 11:19PM EST	
wunderground	UA-2607-CLT-RDU	2011-12-16 10:40PM EST	2011-12-16 10:52PM EST		2011-12-16 11:19PM EST	2011-12-16 11:19PM EST	
flights	UA-2607-CLT-RDU		2011-12-16 10:34 PM	B10		2011-12-16 11:24 PM	D13
businesstravellogue	UA-2607-CLT-RDU		2011-12-16 10:34 PM	B10		2011-12-16 11:24 PM	D13
flylouisville	UA-2607-CLT-RDU		2011-12-16 10:34 PM	B10		2011-12-16 11:24 PM	D13
flightview	UA-2607-CLT-RDU		10:52 PMDec 16			11:20 PMDec 16	
panynj	UA-2607-CLT-RDU		10:52 PMDec 16			11:20 PMDec 16	
gofox	UA-2607-CLT-RDU		10:52 PMDec 16			11:20 PMDec 16	
foxbusiness	UA-2607-CLT-RDU		10:52 PMDec 16			11:20 PMDec 16	
allegiantair	UA-2607-CLT-RDU		10:52 PMDec 16			11:20 PMDec 16	
boston	UA-2607-CLT-RDU		10:52 PMDec 16			11:20 PMDec 16	
orbitz	UA-2607-CLT-RDU	10:40pDec 16	10:34pDec 16	 -	11:33pDec 16	11:24pDec 16	 -
usatoday	UA-2607-CLT-RDU		10:52 PMDec 16			11:20 PMDec 16	
CO	CO-1174-IAH-LAS	Fri., Dec.16, 2011 2:45 p.m.	Fri., Dec.16, 2011 2:45 p.m.		Fri., Dec.16, 2011 4:16 p.m.	Fri., Dec.16, 2011 4:16 p.m.	
flightexplorer	CO-1174-IAH-LAS	12/16/2011 2:57PM CST			12/16/2011 3:43PM PST		
airtravelcenter	CO-1174-IAH-LAS	12/16/11 2:45 PM (-06:00)			12/16/11 4:16 PM (-08:00)		
myrateplan	CO-1174-IAH-LAS	12/16/11 2:45 PM (-06:00)			12/16/11 4:16 PM (-08:00)		
helloflight	CO-1174-IAH-LAS	12/16/11 2:45 PM (-06:00)			12/16/11 4:16 PM (-08:00)		
flytecomm	CO-1174-IAH-LAS	12/16/11 2:45 PM (-06:00)			12/16/11 4:16 PM (-08:00)		
flightaware	CO-1174-IAH-LAS	2011-12-16 02:45PM CST	2011-12-16 02:55PM CST	 E9 	2011-12-16 03:56PM PST	2011-12-16 04:06PM PST	 D50 
wunderground	CO-1174-IAH-LAS	2011-12-16 02:45PM CST	2011-12-16 02:55PM CST	 E9 	2011-12-16 03:56PM PST	2011-12-16 04:06PM PST	 D50 
flights	CO-1174-IAH-LAS	02:45 PM  Fri 16-Dec-2011		9	04:16 PM  Fri 16-Dec-2011		D50
businesstravellogue	CO-1174-IAH-LAS	02:45 PM  Fri 16-Dec-2011		9	04:16 PM  Fri 16-Dec-2011		D50
flylouisville	CO-1174-IAH-LAS	02:45 PM  Fri 16-Dec-2011		9	04:16 PM  Fri 16-Dec-2011		D50
flightstats	CO-1174-IAH-LAS	2011-12-16 2:45 PM	2011-12-16 2:45 PM (Estimated)		2011-12-16 4:16 PM	2011-12-16 4:16 PM (Estimated)	
quicktrip	CO-1174-IAH-LAS	2011-12-16 2:45 PM	2011-12-16 2:45 PM (Estimated)		2011-12-16 4:16 PM	2011-12-16 4:16 PM (Estimated)	
world-flight-tracker	CO-1174-IAH-LAS	2011-12-16 2:45 PM	2011-12-16 2:45 PM (Estimated)		2011-12-16 4:16 PM	2011-12-16 4:16 PM (Estimated)	
flightview	CO-1174-IAH-LAS	2:45 PM, Dec 16		Term C - E9	4:16 PM, Dec 16		Term 1 - D50
panynj	CO-1174-IAH-LAS	2:45 PM, Dec 16		Term C - E9	4:16 PM, Dec 16		Term 1 - D50
gofox	CO-1174-IAH-LAS	2:45 PM, Dec 16			4:16 PM, Dec 16		
foxbusiness	CO-1174-IAH-LAS	2:45 PM, Dec 16		Term C - E9	4:16 PM, Dec 16		Term 1 - D50
allegiantair	CO-1174-IAH-LAS	2:45 PM, Dec 16		Term C - E9	4:16 PM, Dec 16		Term 1 - D50
boston	CO-1174-IAH-LAS	2:45 PM, Dec 16	Not Available		4:16 PM, Dec 16	Not Available	
travelocity	CO-1174-IAH-LAS	Dec 16 - 2:45pm	Dec 16 - Contact Airline	E9	Dec 16 - 4:16pm	Dec 16 - Contact Airline	D50
orbitz	CO-1174-IAH-LAS	2:45pDec 16		 E9	4:16pDec 16		 D50
weather	CO-1174-IAH-LAS	2011-12-16 02:45 PM			2011-12-16 04:16 PM		
usatoday	CO-1174-IAH-LAS	2:45 PM, Dec 16	Not Available		4:16 PM, Dec 16	Not Available	
flightarrival	CO-1174-IAH-LAS	2011-12-16 02:45 PM			2011-12-16 04:16 PM		
aa	AA-3740-ORD-EWR	December 16, 2011               04:55 PM    	December 16, 2011               05:38 PM    	 G11	December 16, 2011               08:00 PM    	December 16, 2011               08:48 PM    	 30    
airtravelcenter	AA-3740-ORD-EWR		12/16/11 6:06 PM (-06:00)			12/16/11 8:40 PM (-05:00)	
myrateplan	AA-3740-ORD-EWR		12/16/11 6:06 PM (-06:00)			12/16/11 8:40 PM (-05:00)	
helloflight	AA-3740-ORD-EWR		12/16/11 6:06 PM (-06:00)			12/16/11 8:40 PM (-05:00)	
flytecomm	AA-3740-ORD-EWR		12/16/11 6:06 PM (-06:00)			12/16/11 8:40 PM (-05:00)	
flightaware	AA-3740-ORD-EWR	2011-12-16 04:55PM CST	2011-12-16 06:06PM CST	 G11 	2011-12-16 07:16PM EST	2011-12-16 08:36PM EST	 30 
wunderground	AA-3740-ORD-EWR	2011-12-16 04:55PM CST	2011-12-16 06:06PM CST	 G11 	2011-12-16 07:16PM EST	2011-12-16 08:36PM EST	 30 
flights	AA-3740-ORD-EWR	04:55 PM  Fri 16-Dec-2011	05:38 PM  Fri 16-Dec-2011	G11	08:00 PM  Fri 16-Dec-2011	08:48 PM  Fri 16-Dec-2011	30
businesstravellogue	AA-3740-ORD-EWR	04:55 PM  Fri 16-Dec-2011	05:38 PM  Fri 16-Dec-2011	G11	08:00 PM  Fri 16-Dec-2011	08:48 PM  Fri 16-Dec-2011	30
flylouisville	AA-3740-ORD-EWR	04:55 PM  Fri 16-Dec-2011	05:38 PM  Fri 16-Dec-2011	G11	08:00 PM  Fri 16-Dec-2011	08:48 PM  Fri 16-Dec-2011	30
flightstats	AA-3740-ORD-EWR	2011-12-16 4:55 PM	2011-12-16 5:38 PM		2011-12-16 8:00 PM	2011-12-16 8:48 PM	
quicktrip	AA-3740-ORD-EWR	2011-12-16 4:55 PM	2011-12-16 5:38 PM		2011-12-16 8:00 PM	2011-12-16 8:48 PM	
world-flight-tracker	AA-3740-ORD-EWR	2011-12-16 4:55 PM	2011-12-16 5:38 PM		2011-12-16 8:00 PM	2011-12-16 8:48 PM	
flightview	AA-3740-ORD-EWR	4:55 PM, Dec 16	6:06 PM, Dec 16	G11	8:00 PM, Dec 16	8:48 PM, Dec 16	30
panynj	AA-3740-ORD-EWR	4:55 PM, Dec 16	6:06 PM, Dec 16	G11	8:00 PM, Dec 16	8:48 PM, Dec 16	30
gofox	AA-3740-ORD-EWR	4:55 PM, Dec 16	6:06 PM, Dec 16		8:00 PM, Dec 16	8:48 PM, Dec 16	
foxbusiness	AA-3740-ORD-EWR	4:55 PM, Dec 16	6:06 PM, Dec 16	G11	8:00 PM, Dec 16	8:48 PM, Dec 16	30
allegiantair	AA-3740-ORD-EWR	4:55 PM, Dec 16	6:06 PM, Dec 16	G11	8:00 PM, Dec 16	8:48 PM, Dec 16	30
boston	AA-3740-ORD-EWR	4:55 PM, Dec 16	6:06 PM, Dec 16		8:00 PM, Dec 16	8:36 PM, Dec 16	
travelocity	AA-3740-ORD-EWR	Dec 16 - 4:55pm	Dec 16 - 5:38pm	G11/T3	Dec 16 - 8:00pm	Dec 16 - 8:48pm	30/A
orbitz	AA-3740-ORD-EWR	4:55pDec 16	5:38pDec 16	 G11	8:00pDec 16	8:48pDec 16	 30
weather	AA-3740-ORD-EWR	2011-12-16 04:55 PM			2011-12-16 08:00 PM		
ord	AA-3740-ORD-EWR	2011-12-16 4:55 PM		G11	2011-12-16 8:00 PM		30
usatoday	AA-3740-ORD-EWR	2011-12-16 04:55 PM			2011-12-16 08:00 PM		
flightarrival	AA-3740-ORD-EWR	4:55 PM, Dec 16	6:06 PM, Dec 16		8:00 PM, Dec 16	8:36 PM, Dec 16	
aa	AA-1084-DFW-FLL	December 16, 2011               07:30 PM    	December 16, 2011               07:34 PM    	 D34	December 16, 2011               11:05 PM    	December 16, 2011               11:08 PM    	 E6    
flightexplorer	AA-1084-DFW-FLL		12/16/2011 7:53PM CST			12/16/2011 11:06PM EST	
airtravelcenter	AA-1084-DFW-FLL		12/16/11 7:53 PM (-06:00)			12/16/11 11:06 PM (-05:00)	
myrateplan	AA-1084-DFW-FLL		12/16/11 7:53 PM (-06:00)			12/16/11 11:06 PM (-05:00)	
helloflight	AA-1084-DFW-FLL		12/16/11 7:53 PM (-06:00)			12/16/11 11:06 PM (-05:00)	
flytecomm	AA-1084-DFW-FLL		12/16/11 7:53 PM (-06:00)			12/16/11 11:06 PM (-05:00)	
flightaware	AA-1084-DFW-FLL	2011-12-16 07:30PM CST	2011-12-16 07:53PM CST	 D34 	2011-12-16 10:55PM EST	2011-12-16 11:04PM EST	 E6 
wunderground	AA-1084-DFW-FLL	2011-12-16 07:30PM CST	2011-12-16 07:53PM CST	 D34 	2011-12-16 10:55PM EST	2011-12-16 11:04PM EST	 E6 
flights	AA-1084-DFW-FLL	07:30 PM  Fri 16-Dec-2011	07:34 PM  Fri 16-Dec-2011	D34	11:05 PM  Fri 16-Dec-2011	11:08 PM  Fri 16-Dec-2011	E6
businesstravellogue	AA-1084-DFW-FLL	07:30 PM  Fri 16-Dec-2011	07:34 PM  Fri 16-Dec-2011	D34	11:05 PM  Fri 16-Dec-2011	11:08 PM  Fri 16-Dec-2011	E6
flylouisville	AA-1084-DFW-FLL	07:30 PM  Fri 16-Dec-2011	07:34 PM  Fri 16-Dec-2011	D34	11:05 PM  Fri 16-Dec-2011	11:08 PM  Fri 16-Dec-2011	E6
flightstats	AA-1084-DFW-FLL	2011-12-16 7:30 PM	2011-12-16 7:34 PM		2011-12-16 11:05 PM	2011-12-16 11:08 PM	
quicktrip	AA-1084-DFW-FLL	2011-12-16 7:30 PM	2011-12-16 7:34 PM		2011-12-16 11:05 PM	2011-12-16 11:08 PM	
world-flight-tracker	AA-1084-DFW-FLL	2011-12-16 7:30 PM	2011-12-16 7:34 PM		2011-12-16 11:05 PM	2011-12-16 11:08 PM	
flightview	AA-1084-DFW-FLL	7:30 PM, Dec 16	7:53 PM, Dec 16	D34	11:05 PM, Dec 16	11:04 PM, Dec 16	NO
panynj	AA-1084-DFW-FLL	7:30 PM, Dec 16	7:53 PM, Dec 16	D34	11:05 PM, Dec 16	11:04 PM, Dec 16	NO
gofox	AA-1084-DFW-FLL	7:30 PM, Dec 16	7:53 PM, Dec 16		11:05 PM, Dec 16	11:04 PM, Dec 16	
foxbusiness	AA-1084-DFW-FLL	7:30 PM, Dec 16	7:53 PM, Dec 16	D34	11:05 PM, Dec 16	11:04 PM, Dec 16	NO
allegiantair	AA-1084-DFW-FLL	7:30 PM, Dec 16	7:53 PM, Dec 16	D34	11:05 PM, Dec 16	11:04 PM, Dec 16	NO
boston	AA-1084-DFW-FLL	7:30 PM, Dec 16	7:53 PM, Dec 16		11:05 PM, Dec 16	11:04 PM, Dec 16	
travelocity	AA-1084-DFW-FLL	Dec 16 - 7:30pm	Dec 16 - 7:34pm	D34/D	Dec 16 - 11:05pm	Dec 16 - 11:08pm	E6
orbitz	AA-1084-DFW-FLL	7:30pDec 16	7:34pDec 16	 D34	11:05pDec 16	11:08pDec 16	 E6
weather	AA-1084-DFW-FLL	2011-12-16 07:30 PM			2011-12-16 11:05 PM		
dfw	AA-1084-DFW-FLL	2011-12-16 7:30 pm		D34			
ifly	AA-1084-DFW-FLL	2011-12-16 7:30 PM	2011-12-16 7:34 PM		2011-12-16 11:05 PM	2011-12-16 11:08 PM	
usatoday	AA-1084-DFW-FLL	7:30 PM, Dec 16	7:53 PM, Dec 16		11:05 PM, Dec 16	11:04 PM, Dec 16	
mytripandmore	AA-1084-DFW-FLL	Dec 16 - 7:30pm	Dec 16 - 7:34pm	D34/D	Dec 16 - 11:05pm	Dec 16 - 11:08pm	E6
flightarrival	AA-1084-DFW-FLL	7:30 PM, Dec 16	7:53 PM, Dec 16		11:05 PM, Dec 16	11:04 PM, Dec 16	
ua	UA-2465-CLT-DFW	Fri, Dec 16 1:06 PM	Fri, Dec 16 1:06 PM	B15	Fri, Dec 16 2:58 PM	Fri, Dec 16 3:13 PM	E36
airtravelcenter	UA-2465-CLT-DFW		12/16/11 1:34 PM (-05:00)			12/16/11 3:03 PM (-06:00)	
myrateplan	UA-2465-CLT-DFW		12/16/11 1:34 PM (-05:00)			12/16/11 3:03 PM (-06:00)	
helloflight	UA-2465-CLT-DFW		12/16/11 1:34 PM (-05:00)			12/16/11 3:03 PM (-06:00)	
flytecomm	UA-2465-CLT-DFW		12/16/11 1:34 PM (-05:00)			12/16/11 3:03 PM (-06:00)	
flightaware	UA-2465-CLT-DFW	2011-12-16 01:06PM EST	2011-12-16 01:34PM EST		2011-12-16 02:48PM CST	2011-12-16 03:06PM CST	
wunderground	UA-2465-CLT-DFW	2011-12-16 01:06PM EST	2011-12-16 01:34PM EST		2011-12-16 02:48PM CST	2011-12-16 03:06PM CST	
flights	UA-2465-CLT-DFW	01:06 PM  Fri 16-Dec-2011	01:05 PM  Fri 16-Dec-2011	B15	02:58 PM  Fri 16-Dec-2011	03:13 PM  Fri 16-Dec-2011	E36
businesstravellogue	UA-2465-CLT-DFW	01:06 PM  Fri 16-Dec-2011	01:05 PM  Fri 16-Dec-2011	B15	02:58 PM  Fri 16-Dec-2011	03:13 PM  Fri 16-Dec-2011	E36
flylouisville	UA-2465-CLT-DFW	01:06 PM  Fri 16-Dec-2011	01:05 PM  Fri 16-Dec-2011	B15	02:58 PM  Fri 16-Dec-2011	03:13 PM  Fri 16-Dec-2011	E36
flightstats	UA-2465-CLT-DFW	2011-12-16 1:06 PM	2011-12-16 1:05 PM		2011-12-16 2:58 PM	2011-12-16 3:13 PM	
quicktrip	UA-2465-CLT-DFW	2011-12-16 1:06 PM	2011-12-16 1:05 PM		2011-12-16 2:58 PM	2011-12-16 3:13 PM	
world-flight-tracker	UA-2465-CLT-DFW	2011-12-16 1:06 PM	2011-12-16 1:05 PM		2011-12-16 2:58 PM	2011-12-16 3:13 PM	
flightview	UA-2465-CLT-DFW	1:06 PM, Dec 16	1:34 PM, Dec 16		2:58 PM, Dec 16	3:07 PM, Dec 16	
panynj	UA-2465-CLT-DFW	1:06 PM, Dec 16	1:34 PM, Dec 16		2:58 PM, Dec 16	3:07 PM, Dec 16	
gofox	UA-2465-CLT-DFW	1:06 PM, Dec 16	1:34 PM, Dec 16		2:58 PM, Dec 16	3:07 PM, Dec 16	
foxbusiness	UA-2465-CLT-DFW	1:06 PM, Dec 16	1:34 PM, Dec 16		2:58 PM, Dec 16	3:07 PM, Dec 16	
allegiantair	UA-2465-CLT-DFW	1:06 PM, Dec 16	1:34 PM, Dec 16		2:58 PM, Dec 16	3:07 PM, Dec 16	
boston	UA-2465-CLT-DFW	1:06 PM, Dec 16	1:34 PM, Dec 16		2:58 PM, Dec 16	3:07 PM, Dec 16	
travelocity	UA-2465-CLT-DFW	Dec 16 - 1:06pm	Dec 16 - Contact Airline	Not provided by airline	Dec 16 - 2:58pm	Dec 16 - Contact Airline	Not provided by airline
orbitz	UA-2465-CLT-DFW	1:06pDec 16	1:05pDec 16	 -	2:58pDec 16	3:13pDec 16	 -
weather	UA-2465-CLT-DFW	2011-12-16 01:06 PM			2011-12-16 02:58 PM		
flightarrival	UA-2465-CLT-DFW	2011-12-16 01:06 PM			2011-12-16 02:58 PM		
ua	UA-1070-SEA-EWR	Fri, Dec 16 7:45 AM	Fri, Dec 16 7:37 AM	B9	Fri, Dec 16 3:59 PM	Fri, Dec 16 3:34 PM	C80
airtravelcenter	UA-1070-SEA-EWR		12/16/11 7:52 AM (-08:00)			12/16/11 3:30 PM (-05:00)	
myrateplan	UA-1070-SEA-EWR		12/16/11 7:52 AM (-08:00)			12/16/11 3:30 PM (-05:00)	
helloflight	UA-1070-SEA-EWR		12/16/11 7:52 AM (-08:00)			12/16/11 3:30 PM (-05:00)	
flytecomm	UA-1070-SEA-EWR		12/16/11 7:52 AM (-08:00)			12/16/11 3:30 PM (-05:00)	
flights	UA-1070-SEA-EWR		2011-12-16 07:37 AM	9		2011-12-16 03:34 PM	80
businesstravellogue	UA-1070-SEA-EWR		2011-12-16 07:37 AM	9		2011-12-16 03:34 PM	80
flylouisville	UA-1070-SEA-EWR		2011-12-16 07:37 AM	9		2011-12-16 03:34 PM	80
flightview	UA-1070-SEA-EWR		7:52 AMDec 16			3:34 PMDec 16	
panynj	UA-1070-SEA-EWR		7:52 AMDec 16			3:34 PMDec 16	
gofox	UA-1070-SEA-EWR		7:52 AMDec 16			3:34 PMDec 16	
foxbusiness	UA-1070-SEA-EWR		7:52 AMDec 16			3:34 PMDec 16	
allegiantair	UA-1070-SEA-EWR		7:52 AMDec 16			3:34 PMDec 16	
boston	UA-1070-SEA-EWR		7:52 AMDec 16			3:27 PMDec 16	
travelocity	UA-1070-SEA-EWR	Dec 16 - 7:45am	Dec 16 - Contact Airline	Not provided by airline	Dec 16 - 3:59pm	Dec 16 - Contact Airline	Not provided by airline
orbitz	UA-1070-SEA-EWR	7:45aDec 16	7:37aDec 16	 B9	3:59pDec 16	3:34pDec 16	 C80
weather	UA-1070-SEA-EWR	2011-12-16 07:45 AM	2011-12-16 07:52 AM		2011-12-16 03:59 PM	2011-12-16 03:30 PM	
usatoday	UA-1070-SEA-EWR	2011-12-16 07:45 AM	2011-12-16 07:52 AM		2011-12-16 03:59 PM	2011-12-16 03:30 PM	
mytripandmore	UA-1070-SEA-EWR	Dec 16 - 7:45am	Dec 16 - Contact Airline	Not provided by airline	Dec 16 - 3:59pm	Dec 16 - Contact Airline	Not provided by airline
flightarrival	UA-1070-SEA-EWR		7:52 AMDec 16			3:27 PMDec 16	
ua	UA-2688-DEN-PHX	Fri, Dec 16 12:15 PM	Fri, Dec 16 12:15 PM	B17	Fri, Dec 16 2:07 PM	Fri, Dec 16 2:05 PM	A25
airtravelcenter	UA-2688-DEN-PHX		12/16/11 12:32 PM (-07:00)			12/16/11 1:52 PM (-07:00)	
flights	UA-2688-DEN-PHX		2011-12-16 12:17 PM	B17		2011-12-16 02:05 PM	A25
businesstravellogue	UA-2688-DEN-PHX		2011-12-16 12:17 PM	B17		2011-12-16 02:05 PM	A25
flylouisville	UA-2688-DEN-PHX		2011-12-16 12:17 PM	B17		2011-12-16 02:05 PM	A25
flightview	UA-2688-DEN-PHX		12:32 PMDec 16			2:01 PMDec 16	
panynj	UA-2688-DEN-PHX		12:32 PMDec 16			2:01 PMDec 16	
gofox	UA-2688-DEN-PHX		12:32 PMDec 16			2:01 PMDec 16	
foxbusiness	UA-2688-DEN-PHX		12:32 PMDec 16			2:01 PMDec 16	
allegiantair	UA-2688-DEN-PHX		12:32 PMDec 16			2:01 PMDec 16	
boston	UA-2688-DEN-PHX		12:32 PMDec 16			2:01 PMDec 16	
travelocity	UA-2688-DEN-PHX	Dec 16 - 12:15pm	Dec 16 - Contact Airline	Not provided by airline	Dec 16 - 2:07pm	Dec 16 - Contact Airline	Not provided by airline
orbitz	UA-2688-DEN-PHX	12:15pDec 16	12:17pDec 16	 -	2:07pDec 16	2:05pDec 16	 -
weather	UA-2688-DEN-PHX	2011-12-16 12:15 PM			2011-12-16 02:07 PM		
ua	UA-843-LAX-ORD	Fri, Dec 16 2:10 PM	Fri, Dec 16 2:27 PM	73	Fri, Dec 16 8:12 PM	Fri, Dec 16 8:17 PM	C15
airtravelcenter	UA-843-LAX-ORD		12/16/11 2:39 PM (-08:00)			12/16/11 8:15 PM (-06:00)	
myrateplan	UA-843-LAX-ORD		12/16/11 2:39 PM (-08:00)			12/16/11 8:15 PM (-06:00)	
helloflight	UA-843-LAX-ORD		12/16/11 2:39 PM (-08:00)			12/16/11 8:15 PM (-06:00)	
flytecomm	UA-843-LAX-ORD		12/16/11 2:39 PM (-08:00)			12/16/11 8:15 PM (-06:00)	
flights	UA-843-LAX-ORD		2011-12-16 02:27 PM	73		2011-12-16 08:17 PM	C15
businesstravellogue	UA-843-LAX-ORD		2011-12-16 02:27 PM	73		2011-12-16 08:17 PM	C15
flylouisville	UA-843-LAX-ORD		2011-12-16 02:27 PM	73		2011-12-16 08:17 PM	C15
flightstats	UA-843-LAX-ORD	2011-12-16 2:10 PM	2011-12-16 2:27 PM		2011-12-16 8:12 PM	2011-12-16 8:17 PM	
quicktrip	UA-843-LAX-ORD	2011-12-16 2:10 PM	2011-12-16 2:27 PM		2011-12-16 8:12 PM	2011-12-16 8:17 PM	
flightview	UA-843-LAX-ORD		2:39 PMDec 16			8:17 PMDec 16	
panynj	UA-843-LAX-ORD		2:39 PMDec 16			8:17 PMDec 16	
gofox	UA-843-LAX-ORD		2:39 PMDec 16			8:17 PMDec 16	
foxbusiness	UA-843-LAX-ORD		2:39 PMDec 16			8:17 PMDec 16	
allegiantair	UA-843-LAX-ORD		2:39 PMDec 16			8:17 PMDec 16	
boston	UA-843-LAX-ORD		2:39 PMDec 16			8:13 PMDec 16	
travelocity	UA-843-LAX-ORD	Dec 16 - Not Available	Dec 16 - 2:38pm	73	Dec 16 - Not Available	Dec 16 - 8:17pm	C15
orbitz	UA-843-LAX-ORD	2:10pDec 16	2:27pDec 16	 73	8:12pDec 16	8:17pDec 16	 C15
weather	UA-843-LAX-ORD	2011-12-16 02:10 PM			2011-12-16 08:12 PM		
ord	UA-843-LAX-ORD	2011-12-16 2:10 PM		73	2011-12-16 8:12 PM		C15
ifly	UA-843-LAX-ORD	2011-12-16 2:10 PM	2011-12-16 2:27 PM		2011-12-16 8:12 PM	2011-12-16 8:17 PM	
aa	AA-613-JFK-MIA	December 16, 2011               05:45 PM    	December 16, 2011               05:48 PM    	 8	December 16, 2011               09:10 PM    	December 16, 2011               08:58 PM    	 D50    
flightexplorer	AA-613-JFK-MIA		12/16/2011 6:12PM EST			12/16/2011 8:41PM EST	
airtravelcenter	AA-613-JFK-MIA		12/16/11 6:11 PM (-05:00)			12/16/11 9:06 PM (-05:00)	
myrateplan	AA-613-JFK-MIA		12/16/11 6:11 PM (-05:00)			12/16/11 9:06 PM (-05:00)	
helloflight	AA-613-JFK-MIA		12/16/11 6:11 PM (-05:00)			12/16/11 9:06 PM (-05:00)	
flytecomm	AA-613-JFK-MIA		12/16/11 6:11 PM (-05:00)			12/16/11 9:06 PM (-05:00)	
flightaware	AA-613-JFK-MIA	2011-12-16 05:45PM EST	2011-12-16 06:12PM EST	 8 	2011-12-16 08:55PM EST	2011-12-16 08:51PM EST	 D50 
