CO	CO-4237-EWR-DTW	Mon., Dec.19, 2011 12:17 p.m.	Mon., Dec.19, 2011 12:16 p.m.		Mon., Dec.19, 2011 2:24 p.m.	Mon., Dec.19, 2011 2:17 p.m.	
world-flight-tracker	AA-1578-SEA-DFW	2011-12-19 1:40 PM	2011-12-19 1:37 PM		2011-12-19 7:35 PM	2011-12-19 7:38 PM	
flightview	AA-1578-SEA-DFW	1:40 PM, Dec 19	1:54 PM, Dec 19	A8	7:35 PM, Dec 19	7:25 PM, Dec 19	C39
panynj	AA-1578-SEA-DFW	1:40 PM, Dec 19	1:54 PM, Dec 19	A8	7:35 PM, Dec 19	7:25 PM, Dec 19	C39
gofox	AA-1578-SEA-DFW	1:40 PM, Dec 19	1:54 PM, Dec 19		7:35 PM, Dec 19	7:25 PM, Dec 19	
foxbusiness	AA-1578-SEA-DFW	1:40 PM, Dec 19	1:54 PM, Dec 19	A8	7:35 PM, Dec 19	7:25 PM, Dec 19	C39
allegiantair	AA-1578-SEA-DFW	1:40 PM, Dec 19	1:54 PM, Dec 19	A8	7:35 PM, Dec 19	7:25 PM, Dec 19	C39
boston	AA-1578-SEA-DFW	1:40 PM, Dec 19	1:54 PM, Dec 19		7:35 PM, Dec 19	7:25 PM, Dec 19	
travelocity	AA-1578-SEA-DFW	Dec 19 - 1:40pm	Dec 19 - 1:37pm	A8/1	Dec 19 - 7:35pm	Dec 19 - 7:38pm	C39/C
orbitz	AA-1578-SEA-DFW	1:40pDec 19	1:37pDec 19	 A8	7:35pDec 19	7:38pDec 19	 C39
weather	AA-1578-SEA-DFW	2011-12-19 01:40 PM			2011-12-19 07:35 PM		
dfw	AA-1578-SEA-DFW				2011-12-19 7:35 pm		C39
usatoday	AA-1578-SEA-DFW	2011-12-19 01:40 PM			2011-12-19 07:35 PM		
ua	UA-5748-ORD-SBN	Mon, Dec 19 7:00 AM	Mon, Dec 19 6:53 AM	F2C	Mon, Dec 19 8:44 AM	Mon, Dec 19 8:31 AM	A7
flightexplorer	UA-5748-ORD-SBN		12/18/2011 6:00PM CST			12/19/2011 7:00PM EST	
flightexplorer	UA-5748-ORD-SBN		12/19/2011 7:09AM CST			12/19/2011 8:24AM EST	
airtravelcenter	UA-5748-ORD-SBN	12/19/11 7:00 AM (-06:00)			12/19/11 8:44 AM (-05:00)		
myrateplan	UA-5748-ORD-SBN	12/19/11 7:00 AM (-06:00)			12/19/11 8:44 AM (-05:00)		
helloflight	UA-5748-ORD-SBN	12/19/11 7:00 AM (-06:00)			12/19/11 8:44 AM (-05:00)		
flytecomm	UA-5748-ORD-SBN	12/19/11 7:00 AM (-06:00)			12/19/11 8:44 AM (-05:00)		
flights	UA-5748-ORD-SBN		2011-12-19 06:53 AM	F2C		2011-12-19 08:31 AM	
businesstravellogue	UA-5748-ORD-SBN		2011-12-19 06:53 AM	F2C		2011-12-19 08:31 AM	
flylouisville	UA-5748-ORD-SBN		2011-12-19 06:53 AM	F2C		2011-12-19 08:31 AM	
flightview	UA-5748-ORD-SBN		7:09 AMDec 19			8:31 AMDec 19	
panynj	UA-5748-ORD-SBN		7:09 AMDec 19			8:31 AMDec 19	
gofox	UA-5748-ORD-SBN		7:09 AMDec 19			8:31 AMDec 19	
foxbusiness	UA-5748-ORD-SBN		7:09 AMDec 19			8:31 AMDec 19	
allegiantair	UA-5748-ORD-SBN		7:09 AMDec 19			8:31 AMDec 19	
boston	UA-5748-ORD-SBN		7:09 AMDec 19			8:35 AMDec 19	
travelocity	UA-5748-ORD-SBN	Dec 19 - Not Available	Dec 19 - 7:08am	F2C	Dec 19 - Not Available	Dec 19 - 8:31am	A7
orbitz	UA-5748-ORD-SBN	7:00aDec 19	6:53aDec 19	 F2C	8:44aDec 19	8:31aDec 19	 A7
weather	UA-5748-ORD-SBN	2011-12-19 07:00 AM			2011-12-19 08:44 AM		
ord	UA-5748-ORD-SBN	2011-12-19 7:00 AM		F2C	2011-12-19 8:44 AM		 
usatoday	UA-5748-ORD-SBN	2011-12-19 07:00 AM			2011-12-19 08:44 AM		
ua	UA-2486-RDU-CLT	Mon, Dec 19 11:15 AM	Mon, Dec 19 11:15 AM	D13	Mon, Dec 19 12:23 PM	Mon, Dec 19 12:02 PM	B11
airtravelcenter	UA-2486-RDU-CLT		12/19/11 11:26 AM (-05:00)			12/19/11 12:02 PM (-05:00)	
myrateplan	UA-2486-RDU-CLT		12/19/11 11:26 AM (-05:00)			12/19/11 12:02 PM (-05:00)	
helloflight	UA-2486-RDU-CLT		12/19/11 11:26 AM (-05:00)			12/19/11 12:02 PM (-05:00)	
flytecomm	UA-2486-RDU-CLT		12/19/11 11:26 AM (-05:00)			12/19/11 12:02 PM (-05:00)	
flights	UA-2486-RDU-CLT		2011-12-19 11:11 AM	D13		2011-12-19 12:02 PM	B11
businesstravellogue	UA-2486-RDU-CLT		2011-12-19 11:11 AM	D13		2011-12-19 12:02 PM	B11
flylouisville	UA-2486-RDU-CLT		2011-12-19 11:11 AM	D13		2011-12-19 12:02 PM	B11
flightview	UA-2486-RDU-CLT		11:27 AMDec 19			12:02 PMDec 19	
panynj	UA-2486-RDU-CLT		11:27 AMDec 19			12:02 PMDec 19	
gofox	UA-2486-RDU-CLT		11:27 AMDec 19			12:02 PMDec 19	
foxbusiness	UA-2486-RDU-CLT		11:27 AMDec 19			12:02 PMDec 19	
allegiantair	UA-2486-RDU-CLT		11:27 AMDec 19			12:02 PMDec 19	
boston	UA-2486-RDU-CLT		11:27 AMDec 19			12:02 PMDec 19	
travelocity	UA-2486-RDU-CLT	Dec 19 - 11:15am	Dec 19 - Contact Airline	Not provided by airline	Dec 19 - 12:23pm	Dec 19 - Contact Airline	Not provided by airline
orbitz	UA-2486-RDU-CLT	11:15aDec 19	11:11aDec 19	 -	12:23pDec 19	12:02pDec 19	 -
weather	UA-2486-RDU-CLT	2011-12-19 11:15 AM			2011-12-19 12:23 PM		
ua	UA-3515-MSP-IAD	Mon, Dec 19 12:30 PM	Mon, Dec 19 12:18 PM            On Time	E6	Mon, Dec 19 3:53 PM	Mon, Dec 19 3:33 PM	D2
airtravelcenter	UA-3515-MSP-IAD		12/19/11 12:34 PM (-06:00)			12/19/11 3:25 PM (-05:00)	
myrateplan	UA-3515-MSP-IAD		12/19/11 12:34 PM (-06:00)			12/19/11 3:25 PM (-05:00)	
helloflight	UA-3515-MSP-IAD		12/19/11 12:34 PM (-06:00)			12/19/11 3:25 PM (-05:00)	
flytecomm	UA-3515-MSP-IAD		12/19/11 12:34 PM (-06:00)			12/19/11 3:25 PM (-05:00)	
flightaware	UA-3515-MSP-IAD	2011-12-19 12:30PM CST	2011-12-19 12:34PM CST	 E6 	2011-12-19 03:35PM EST	2011-12-19 03:24PM EST	 D2 
wunderground	UA-3515-MSP-IAD	2011-12-19 12:30PM CST	2011-12-19 12:34PM CST	 E6 	2011-12-19 03:35PM EST	2011-12-19 03:24PM EST	 D2 
flights	UA-3515-MSP-IAD		2011-12-19 12:18 PM	E6		2011-12-19 03:53 PM	D2
businesstravellogue	UA-3515-MSP-IAD		2011-12-19 12:18 PM	E6		2011-12-19 03:53 PM	D2
flylouisville	UA-3515-MSP-IAD		2011-12-19 12:18 PM	E6		2011-12-19 03:53 PM	D2
flightview	UA-3515-MSP-IAD		12:34 PMDec 19			3:27 PMDec 19	
panynj	UA-3515-MSP-IAD		12:34 PMDec 19			3:27 PMDec 19	
gofox	UA-3515-MSP-IAD		12:34 PMDec 19			3:27 PMDec 19	
foxbusiness	UA-3515-MSP-IAD		12:34 PMDec 19			3:27 PMDec 19	
allegiantair	UA-3515-MSP-IAD		12:34 PMDec 19			3:27 PMDec 19	
boston	UA-3515-MSP-IAD		12:34 PMDec 19			3:27 PMDec 19	
orbitz	UA-3515-MSP-IAD	12:30pDec 19	12:18pDec 19	 E6	3:13pDec 19		 D2
iad	UA-3515-MSP-IAD				2011-12-19 15:53 	2011-12-19 15:53 	
usatoday	UA-3515-MSP-IAD		12:34 PMDec 19			3:27 PMDec 19	
flightwise	UA-3515-MSP-IAD	2011-12-19 12:30PM CST	2011-12-19 12:34PM CST	 E6 	2011-12-19 03:35PM EST	2011-12-19 03:24PM EST	 D2 
flightarrival	UA-3515-MSP-IAD		12:34 PMDec 19			3:27 PMDec 19	
ua	UA-414-SFO-EWR	Mon, Dec 19 9:11 AM	Mon, Dec 19 9:14 AM            Delayed	73	Mon, Dec 19 5:40 PM	Mon, Dec 19 5:41 PM	17
ua	UA-414-SFO-EWR	Mon, Dec 19 9:11 AM	Mon, Dec 19 9:11 AM            On Time	73	Mon, Dec 19 5:40 PM	Mon, Dec 19 5:22 PM	16
flightexplorer	UA-414-SFO-EWR	12/19/2011 9:47AM PST			12/19/2011 5:30PM EST		
flightexplorer	UA-414-SFO-EWR		12/19/2011 9:40AM PST			12/19/2011 5:22PM EST	
airtravelcenter	UA-414-SFO-EWR		12/19/11 9:42 AM (-08:00)			12/19/11 5:22 PM (-05:00)	
airtravelcenter	UA-414-SFO-EWR		12/19/11 9:30 AM (-08:00)			12/19/11 5:13 PM (-05:00)	
myrateplan	UA-414-SFO-EWR		12/19/11 9:42 AM (-08:00)			12/19/11 5:22 PM (-05:00)	
myrateplan	UA-414-SFO-EWR		12/19/11 9:30 AM (-08:00)			12/19/11 5:13 PM (-05:00)	
helloflight	UA-414-SFO-EWR		12/19/11 9:42 AM (-08:00)			12/19/11 5:22 PM (-05:00)	
helloflight	UA-414-SFO-EWR		12/19/11 9:30 AM (-08:00)			12/19/11 5:13 PM (-05:00)	
flytecomm	UA-414-SFO-EWR		12/19/11 9:42 AM (-08:00)			12/19/11 5:22 PM (-05:00)	
flytecomm	UA-414-SFO-EWR		12/19/11 9:30 AM (-08:00)			12/19/11 5:13 PM (-05:00)	
flightaware	UA-414-SFO-EWR	2011-12-19 09:11AM PST	2011-12-19 09:21AM PST	 73 	2011-12-19 05:02PM EST	2011-12-19 05:12PM EST	 16 
flightaware	UA-414-SFO-EWR	2011-12-19 09:11AM PST	2011-12-19 09:41AM PST	 73 	2011-12-19 05:19PM EST	2011-12-19 05:22PM EST	 17 
wunderground	UA-414-SFO-EWR	2011-12-19 09:11AM PST	2011-12-19 09:21AM PST	 73 	2011-12-19 05:02PM EST	2011-12-19 05:12PM EST	 16 
wunderground	UA-414-SFO-EWR	2011-12-19 09:11AM PST	2011-12-19 09:41AM PST	 73 	2011-12-19 05:19PM EST	2011-12-19 05:22PM EST	 17 
flights	UA-414-SFO-EWR		2011-12-19 09:14 AM	73		2011-12-19 05:41 PM	17
flights	UA-414-SFO-EWR	2011-12-19 09:11 AM		73	2011-12-19 05:40 PM		16
businesstravellogue	UA-414-SFO-EWR		2011-12-19 09:14 AM	73		2011-12-19 05:41 PM	17
businesstravellogue	UA-414-SFO-EWR	2011-12-19 09:11 AM		73	2011-12-19 05:40 PM		16
flylouisville	UA-414-SFO-EWR		2011-12-19 09:14 AM	73		2011-12-19 05:41 PM	17
flylouisville	UA-414-SFO-EWR	2011-12-19 09:11 AM		73	2011-12-19 05:40 PM		16
flightstats	UA-414-SFO-EWR	2011-12-19 9:11 AM	2011-12-19 9:14 AM		2011-12-19 5:40 PM	2011-12-19 5:41 PM	
quicktrip	UA-414-SFO-EWR	2011-12-19 9:11 AM	2011-12-19 9:14 AM		2011-12-19 5:40 PM	2011-12-19 5:41 PM	
flightview	UA-414-SFO-EWR		9:42 AMDec 19			5:41 PMDec 19	
flightview	UA-414-SFO-EWR	9:11 AMDec 19			5:22 PMDec 19		
panynj	UA-414-SFO-EWR		9:42 AMDec 19			5:41 PMDec 19	
panynj	UA-414-SFO-EWR	9:11 AMDec 19			5:22 PMDec 19		
gofox	UA-414-SFO-EWR		9:42 AMDec 19			5:41 PMDec 19	
gofox	UA-414-SFO-EWR	9:11 AMDec 19			5:22 PMDec 19		
foxbusiness	UA-414-SFO-EWR		9:42 AMDec 19			5:41 PMDec 19	
foxbusiness	UA-414-SFO-EWR	9:11 AMDec 19			5:22 PMDec 19		
allegiantair	UA-414-SFO-EWR		9:42 AMDec 19			5:41 PMDec 19	
allegiantair	UA-414-SFO-EWR	9:11 AMDec 19			5:22 PMDec 19		
boston	UA-414-SFO-EWR	9:11 AMDec 19			4:54 PMDec 19		
boston	UA-414-SFO-EWR		9:42 AMDec 19			5:18 PMDec 19	
orbitz	UA-414-SFO-EWR	9:11aDec 19	9:14aDec 19	 73	5:40pDec 19	5:41pDec 19	 17
orbitz	UA-414-SFO-EWR	9:11aDec 19		 73	5:04pDec 19		 16
usatoday	UA-414-SFO-EWR		9:42 AMDec 19			5:18 PMDec 19	
mytripandmore	UA-414-SFO-EWR	9:11aDec 19		 73	5:04pDec 19		 16
aa	AA-1544-ORD-DCA	December 19, 2011               06:20 PM    	December 19, 2011               06:23 PM    	 H6	December 19, 2011               09:00 PM    	December 19, 2011     	 28    
flightexplorer	AA-1544-ORD-DCA		12/19/2011 7:26PM CST			12/19/2011 9:44PM EST	
airtravelcenter	AA-1544-ORD-DCA		12/19/11 7:26 PM (-06:00)			12/19/11 9:42 PM (-05:00)	
myrateplan	AA-1544-ORD-DCA		12/19/11 7:26 PM (-06:00)			12/19/11 9:42 PM (-05:00)	
helloflight	AA-1544-ORD-DCA		12/19/11 7:26 PM (-06:00)			12/19/11 9:42 PM (-05:00)	
flytecomm	AA-1544-ORD-DCA		12/19/11 7:26 PM (-06:00)			12/19/11 9:42 PM (-05:00)	
flightaware	AA-1544-ORD-DCA	2011-12-19 06:20PM CST	2011-12-19 07:25PM CST	 H6 	2011-12-19 08:30PM EST	2011-12-19 09:34PM EST	 28 
wunderground	AA-1544-ORD-DCA	2011-12-19 06:20PM CST	2011-12-19 07:25PM CST	 H6 	2011-12-19 08:30PM EST	2011-12-19 09:34PM EST	 28 
flights	AA-1544-ORD-DCA		2011-12-19 06:23 PM	H6		2011-12-19 09:00 PM	28
businesstravellogue	AA-1544-ORD-DCA		2011-12-19 06:23 PM	H6		2011-12-19 09:00 PM	28
flylouisville	AA-1544-ORD-DCA		2011-12-19 06:23 PM	H6		2011-12-19 09:00 PM	28
flightview	AA-1544-ORD-DCA		7:26 PMDec 19			9:41 PMDec 19	
panynj	AA-1544-ORD-DCA		7:26 PMDec 19			9:41 PMDec 19	
gofox	AA-1544-ORD-DCA		7:26 PMDec 19			9:41 PMDec 19	
foxbusiness	AA-1544-ORD-DCA		7:26 PMDec 19			9:41 PMDec 19	
allegiantair	AA-1544-ORD-DCA		7:26 PMDec 19			9:41 PMDec 19	
boston	AA-1544-ORD-DCA		7:26 PMDec 19			9:41 PMDec 19	
orbitz	AA-1544-ORD-DCA	6:20pDec 19	6:23pDec 19	 H6	10:28pDec 19		 28
ord	AA-1544-ORD-DCA	2011-12-19 6:20 PM		H6	2011-12-19 9:00 PM		28
aa	AA-415-BOS-ORD	December 19, 2011               08:35 AM    	December 19, 2011               08:28 AM    	 B32	December 19, 2011               10:40 AM    	December 19, 2011               10:33 AM    	 K8    
airtravelcenter	AA-415-BOS-ORD		12/19/11 8:53 AM (-05:00)			12/19/11 10:20 AM (-06:00)	
myrateplan	AA-415-BOS-ORD		12/19/11 8:53 AM (-05:00)			12/19/11 10:20 AM (-06:00)	
helloflight	AA-415-BOS-ORD		12/19/11 8:53 AM (-05:00)			12/19/11 10:20 AM (-06:00)	
flytecomm	AA-415-BOS-ORD		12/19/11 8:53 AM (-05:00)			12/19/11 10:20 AM (-06:00)	
flights	AA-415-BOS-ORD		2011-12-19 08:28 AM	B32		2011-12-19 10:33 AM	K8
businesstravellogue	AA-415-BOS-ORD		2011-12-19 08:28 AM	B32		2011-12-19 10:33 AM	K8
flylouisville	AA-415-BOS-ORD		2011-12-19 08:28 AM	B32		2011-12-19 10:33 AM	K8
flightstats	AA-415-BOS-ORD	2011-12-19 8:35 AM	2011-12-19 8:28 AM		2011-12-19 10:40 AM	2011-12-19 10:33 AM	
quicktrip	AA-415-BOS-ORD	2011-12-19 8:35 AM	2011-12-19 8:28 AM		2011-12-19 10:40 AM	2011-12-19 10:33 AM	
flightview	AA-415-BOS-ORD		8:53 AMDec 19			10:22 AMDec 19	
panynj	AA-415-BOS-ORD		8:53 AMDec 19			10:22 AMDec 19	
gofox	AA-415-BOS-ORD		8:53 AMDec 19			10:22 AMDec 19	
foxbusiness	AA-415-BOS-ORD		8:53 AMDec 19			10:22 AMDec 19	
allegiantair	AA-415-BOS-ORD		8:53 AMDec 19			10:22 AMDec 19	
boston	AA-415-BOS-ORD		8:53 AMDec 19			10:22 AMDec 19	
travelocity	AA-415-BOS-ORD	Dec 19 - 8:35am	Dec 19 - 8:28am	B32	Dec 19 - 10:40am	Dec 19 - 10:33am	K8/T3
orbitz	AA-415-BOS-ORD	8:35aDec 19	8:28aDec 19	 B32	10:40aDec 19	10:33aDec 19	 K8
weather	AA-415-BOS-ORD	2011-12-19 08:35 AM			2011-12-19 10:40 AM		
ord	AA-415-BOS-ORD	2011-12-19 8:35 AM		B32	2011-12-19 10:40 AM		K8
usatoday	AA-415-BOS-ORD	2011-12-19 08:35 AM			2011-12-19 10:40 AM		
mytripandmore	AA-415-BOS-ORD	Dec 19 - 8:35am	Dec 19 - 8:28am	B32	Dec 19 - 10:40am	Dec 19 - 10:33am	K8/T3
aa	AA-1868-DFW-ATL	December 19, 2011               09:45 AM    	December 19, 2011               09:41 AM    	 A29	December 19, 2011               12:45 PM    	December 19, 2011               12:39 PM    	 T12    
flightexplorer	AA-1868-DFW-ATL		12/19/2011 9:53AM CST			12/19/2011 12:32PM EST	
airtravelcenter	AA-1868-DFW-ATL		12/19/11 9:52 AM (-06:00)			12/19/11 12:32 PM (-05:00)	
myrateplan	AA-1868-DFW-ATL		12/19/11 9:52 AM (-06:00)			12/19/11 12:32 PM (-05:00)	
helloflight	AA-1868-DFW-ATL		12/19/11 9:52 AM (-06:00)			12/19/11 12:32 PM (-05:00)	
flytecomm	AA-1868-DFW-ATL		12/19/11 9:52 AM (-06:00)			12/19/11 12:32 PM (-05:00)	
flightaware	AA-1868-DFW-ATL	2011-12-19 09:45AM CST	2011-12-19 09:53AM CST	 A29 	2011-12-19 12:40PM EST	2011-12-19 12:28PM EST	 T12 
wunderground	AA-1868-DFW-ATL	2011-12-19 09:45AM CST	2011-12-19 09:53AM CST	 A29 	2011-12-19 12:40PM EST	2011-12-19 12:28PM EST	 T12 
flights	AA-1868-DFW-ATL	09:45 AM  Mon 19-Dec-2011	09:41 AM  Mon 19-Dec-2011	A29	12:45 PM  Mon 19-Dec-2011	12:39 PM  Mon 19-Dec-2011	T12
businesstravellogue	AA-1868-DFW-ATL	09:45 AM  Mon 19-Dec-2011	09:41 AM  Mon 19-Dec-2011	A29	12:45 PM  Mon 19-Dec-2011	12:39 PM  Mon 19-Dec-2011	T12
flylouisville	AA-1868-DFW-ATL	09:45 AM  Mon 19-Dec-2011	09:41 AM  Mon 19-Dec-2011	A29	12:45 PM  Mon 19-Dec-2011	12:39 PM  Mon 19-Dec-2011	T12
flightstats	AA-1868-DFW-ATL	2011-12-19 9:45 AM	2011-12-19 9:41 AM		2011-12-19 12:45 PM	2011-12-19 12:39 PM	
quicktrip	AA-1868-DFW-ATL	2011-12-19 9:45 AM	2011-12-19 9:41 AM		2011-12-19 12:45 PM	2011-12-19 12:39 PM	
world-flight-tracker	AA-1868-DFW-ATL	2011-12-19 9:45 AM	2011-12-19 9:41 AM		2011-12-19 12:45 PM	2011-12-19 12:39 PM	
flightview	AA-1868-DFW-ATL	9:45 AM, Dec 19	9:53 AM, Dec 19	A29	12:45 PM, Dec 19	12:33 PM, Dec 19	T12
panynj	AA-1868-DFW-ATL	9:45 AM, Dec 19	9:53 AM, Dec 19	A29	12:45 PM, Dec 19	12:33 PM, Dec 19	T12
gofox	AA-1868-DFW-ATL	9:45 AM, Dec 19	9:53 AM, Dec 19		12:45 PM, Dec 19	12:33 PM, Dec 19	
foxbusiness	AA-1868-DFW-ATL	9:45 AM, Dec 19	9:53 AM, Dec 19	A29	12:45 PM, Dec 19	12:33 PM, Dec 19	T12
allegiantair	AA-1868-DFW-ATL	9:45 AM, Dec 19	9:53 AM, Dec 19	A29	12:45 PM, Dec 19	12:33 PM, Dec 19	T12
boston	AA-1868-DFW-ATL	9:45 AM, Dec 19	9:53 AM, Dec 19		12:45 PM, Dec 19	12:33 PM, Dec 19	
travelocity	AA-1868-DFW-ATL	Dec 19 - 9:45am	Dec 19 - 9:41am	A29/A	Dec 19 - 12:45pm	Dec 19 - 12:39pm	T12
orbitz	AA-1868-DFW-ATL	9:45aDec 19	9:41aDec 19	 A29	12:45pDec 19	12:39pDec 19	 T12
weather	AA-1868-DFW-ATL	2011-12-19 09:45 AM	2011-12-19 09:53 AM		2011-12-19 12:45 PM	2011-12-19 12:32 PM	
dfw	AA-1868-DFW-ATL	2011-12-19 9:45 am		A29			
mytripandmore	AA-1868-DFW-ATL	9:45aDec 19	9:41aDec 19	 A29	12:45pDec 19	12:39pDec 19	 T12
flightwise	AA-1868-DFW-ATL	2011-12-19 09:45AM CST	2011-12-19 09:53AM CST	 A29 	2011-12-19 12:40PM EST	2011-12-19 12:28PM EST	 T12 
flightarrival	AA-1868-DFW-ATL	9:45 AM, Dec 19	9:53 AM, Dec 19		12:45 PM, Dec 19	12:33 PM, Dec 19	
ua	UA-1144-EWR-FLL	Mon, Dec 19 12:00 PM	Mon, Dec 19 11:54 AM	C81	Mon, Dec 19 3:05 PM	Mon, Dec 19 2:44 PM	C1
flightexplorer	UA-1144-EWR-FLL		12/19/2011 12:17PM EST			12/19/2011 2:43PM EST	
airtravelcenter	UA-1144-EWR-FLL		12/19/11 12:18 PM (-05:00)			12/19/11 2:43 PM (-05:00)	
airtravelcenter	UA-1144-EWR-FLL	12/19/11 12:00 PM (-05:00)			12/19/11 3:05 PM (-05:00)		
myrateplan	UA-1144-EWR-FLL		12/19/11 12:18 PM (-05:00)			12/19/11 2:43 PM (-05:00)	
myrateplan	UA-1144-EWR-FLL	12/19/11 12:00 PM (-05:00)			12/19/11 3:05 PM (-05:00)		
helloflight	UA-1144-EWR-FLL		12/19/11 12:18 PM (-05:00)			12/19/11 2:43 PM (-05:00)	
helloflight	UA-1144-EWR-FLL	12/19/11 12:00 PM (-05:00)			12/19/11 3:05 PM (-05:00)		
flytecomm	UA-1144-EWR-FLL		12/19/11 12:18 PM (-05:00)			12/19/11 2:43 PM (-05:00)	
flytecomm	UA-1144-EWR-FLL	12/19/11 12:00 PM (-05:00)			12/19/11 3:05 PM (-05:00)		
flights	UA-1144-EWR-FLL		2011-12-19 11:54 AM	81		2011-12-19 02:44 PM	C1
businesstravellogue	UA-1144-EWR-FLL		2011-12-19 11:54 AM	81		2011-12-19 02:44 PM	C1
flylouisville	UA-1144-EWR-FLL		2011-12-19 11:54 AM	81		2011-12-19 02:44 PM	C1
flightview	UA-1144-EWR-FLL		12:18 PMDec 19			2:44 PMDec 19	
panynj	UA-1144-EWR-FLL		12:18 PMDec 19			2:44 PMDec 19	
gofox	UA-1144-EWR-FLL		12:18 PMDec 19			2:44 PMDec 19	
foxbusiness	UA-1144-EWR-FLL		12:18 PMDec 19			2:44 PMDec 19	
allegiantair	UA-1144-EWR-FLL		12:18 PMDec 19			2:44 PMDec 19	
boston	UA-1144-EWR-FLL		12:18 PMDec 19			2:41 PMDec 19	
travelocity	UA-1144-EWR-FLL	Dec 19 - 12:00noon	Dec 19 - Contact Airline	Not provided by airline	Dec 19 - 3:05pm	Dec 19 - Contact Airline	Not provided by airline
orbitz	UA-1144-EWR-FLL	12:00pDec 19	11:54aDec 19	 C81	3:05pDec 19	2:44pDec 19	 C1
weather	UA-1144-EWR-FLL	2011-12-19 12:00 PM			2011-12-19 03:05 PM		
mytripandmore	UA-1144-EWR-FLL	12:00pDec 19	11:54aDec 19	 C81	3:05pDec 19	2:44pDec 19	 C1
ua	UA-1081-SJO-EWR	Mon, Dec 19 12:45 PM	Mon, Dec 19 12:40 PM	2	Mon, Dec 19 6:49 PM	Mon, Dec 19 6:34 PM	C120
airtravelcenter	UA-1081-SJO-EWR	12/19/11 12:45 PM (-06:00)			12/19/11 6:49 PM (-05:00)		
myrateplan	UA-1081-SJO-EWR	12/19/11 12:45 PM (-06:00)			12/19/11 6:49 PM (-05:00)		
helloflight	UA-1081-SJO-EWR	12/19/11 12:45 PM (-06:00)			12/19/11 6:49 PM (-05:00)		
flytecomm	UA-1081-SJO-EWR	12/19/11 12:45 PM (-06:00)			12/19/11 6:49 PM (-05:00)		
flights	UA-1081-SJO-EWR	12:45 PM  Mon 19-Dec-2011		2	06:49 PM  Mon 19-Dec-2011		120
businesstravellogue	UA-1081-SJO-EWR	12:45 PM  Mon 19-Dec-2011		2	06:49 PM  Mon 19-Dec-2011		120
flylouisville	UA-1081-SJO-EWR	12:45 PM  Mon 19-Dec-2011		2	06:49 PM  Mon 19-Dec-2011		120
flightview	UA-1081-SJO-EWR	12:45 PM, Dec 19		Main Term - 2	6:49 PM, Dec 19		Term C - C120
panynj	UA-1081-SJO-EWR	12:45 PM, Dec 19		Main Term - 2	6:49 PM, Dec 19		Term C - C120
gofox	UA-1081-SJO-EWR	12:45 PM, Dec 19			6:49 PM, Dec 19		
foxbusiness	UA-1081-SJO-EWR	12:45 PM, Dec 19		Main Term - 2	6:49 PM, Dec 19		Term C - C120
allegiantair	UA-1081-SJO-EWR	12:45 PM, Dec 19		Main Term - 2	6:49 PM, Dec 19		Term C - C120
boston	UA-1081-SJO-EWR	12:45 PM, Dec 19	12:47 PM, Dec 19&nbsp(Estimated)		6:49 PM, Dec 19	6:09 PM, Dec 19&nbsp(Estimated)	
travelocity	UA-1081-SJO-EWR	Dec 19 - 12:45pm	Dec 19 - Contact Airline	Not provided by airline	Dec 19 - 6:49pm	Dec 19 - Contact Airline	Not provided by airline
orbitz	UA-1081-SJO-EWR	12:45pDec 19	12:40pDec 19	 2	6:11pDec 19		 128
weather	UA-1081-SJO-EWR	2011-12-19 12:45 PM			2011-12-19 06:49 PM		
mytripandmore	UA-1081-SJO-EWR	Dec 19 - 12:45pm	Dec 19 - Contact Airline	Not provided by airline	Dec 19 - 6:49pm	Dec 19 - Contact Airline	Not provided by airline
ua	UA-303-JFK-SFO	Mon, Dec 19 6:06 AM	Mon, Dec 19 5:58 AM	8	Mon, Dec 19 9:49 AM	Mon, Dec 19 9:08 AM	80
flightexplorer	UA-303-JFK-SFO		12/19/2011 6:13AM EST			12/19/2011 9:04AM PST	
airtravelcenter	UA-303-JFK-SFO		12/19/11 6:14 AM (-05:00)			12/19/11 8:53 AM (-08:00)	
myrateplan	UA-303-JFK-SFO		12/19/11 6:14 AM (-05:00)			12/19/11 8:53 AM (-08:00)	
helloflight	UA-303-JFK-SFO		12/19/11 6:14 AM (-05:00)			12/19/11 8:53 AM (-08:00)	
flytecomm	UA-303-JFK-SFO		12/19/11 6:14 AM (-05:00)			12/19/11 8:53 AM (-08:00)	
flightaware	UA-303-JFK-SFO	2011-12-19 06:06AM EST	2011-12-19 06:13AM EST	 8 	2011-12-19 09:07AM PST	2011-12-19 08:53AM PST	 80 
wunderground	UA-303-JFK-SFO	2011-12-19 06:06AM EST	2011-12-19 06:13AM EST	 8 	2011-12-19 09:07AM PST	2011-12-19 08:53AM PST	 80 
flights	UA-303-JFK-SFO	06:06 AM  Mon 19-Dec-2011	05:58 AM  Mon 19-Dec-2011	8	09:49 AM  Mon 19-Dec-2011	09:08 AM  Mon 19-Dec-2011	80
businesstravellogue	UA-303-JFK-SFO	06:06 AM  Mon 19-Dec-2011	05:58 AM  Mon 19-Dec-2011	8	09:49 AM  Mon 19-Dec-2011	09:08 AM  Mon 19-Dec-2011	80
