CO	CO-4237-EWR-DTW	Thu., Dec.22, 2011 12:17 p.m.	Thu., Dec.22, 2011 12:16 p.m.		Thu., Dec.22, 2011 2:24 p.m.	Thu., Dec.22, 2011 2:20 p.m.	
foxbusiness	UA-721-DEN-SFO		12:31 PMDec 22			1:39 PMDec 22	
allegiantair	UA-721-DEN-SFO		12:31 PMDec 22			1:39 PMDec 22	
boston	UA-721-DEN-SFO		12:31 PMDec 22			1:33 PMDec 22	
orbitz	UA-721-DEN-SFO	11:47aDec 22	11:55aDec 22	 B38	1:34pDec 22	1:39pDec 22	 83
den	UA-721-DEN-SFO	2011-12-22 11:47 AM		B38			
sfo	UA-721-DEN-SFO				2011-12-22 1:34 PM		83
usatoday	UA-721-DEN-SFO		12:31 PMDec 22			1:33 PMDec 22	
mytripandmore	UA-721-DEN-SFO	11:47aDec 22	11:55aDec 22	 B38	1:34pDec 22	1:39pDec 22	 83
CO	CO-1281-CLE-TPA	Thu., Dec.22, 2011 3:45 p.m.	Thu., Dec.22, 2011 3:41 p.m.		Thu., Dec.22, 2011 6:21 p.m.	Thu., Dec.22, 2011 6:16 p.m.	
airtravelcenter	CO-1281-CLE-TPA	12/22/11 3:45 PM (-05:00)			12/22/11 6:21 PM (-05:00)		
myrateplan	CO-1281-CLE-TPA	12/22/11 3:45 PM (-05:00)			12/22/11 6:21 PM (-05:00)		
helloflight	CO-1281-CLE-TPA	12/22/11 3:45 PM (-05:00)			12/22/11 6:21 PM (-05:00)		
flytecomm	CO-1281-CLE-TPA	12/22/11 3:45 PM (-05:00)			12/22/11 6:21 PM (-05:00)		
flights	CO-1281-CLE-TPA		2011-12-22 03:41 PM	C11		2011-12-22 06:16 PM	A5
businesstravellogue	CO-1281-CLE-TPA		2011-12-22 03:41 PM	C11		2011-12-22 06:16 PM	A5
flylouisville	CO-1281-CLE-TPA		2011-12-22 03:41 PM	C11		2011-12-22 06:16 PM	A5
flightstats	CO-1281-CLE-TPA	2011-12-22 3:45 PM	2011-12-22 3:41 PM		2011-12-22 6:21 PM	2011-12-22 6:16 PM	
quicktrip	CO-1281-CLE-TPA	2011-12-22 3:45 PM	2011-12-22 3:41 PM		2011-12-22 6:21 PM	2011-12-22 6:16 PM	
flightview	CO-1281-CLE-TPA		3:52 PMDec 22			6:16 PMDec 22	
panynj	CO-1281-CLE-TPA		3:52 PMDec 22			6:16 PMDec 22	
gofox	CO-1281-CLE-TPA		3:52 PMDec 22			6:16 PMDec 22	
foxbusiness	CO-1281-CLE-TPA		3:52 PMDec 22			6:16 PMDec 22	
allegiantair	CO-1281-CLE-TPA		3:52 PMDec 22			6:16 PMDec 22	
boston	CO-1281-CLE-TPA		3:52 PMDec 22			6:11 PMDec 22	
orbitz	CO-1281-CLE-TPA	3:45pDec 22	3:41pDec 22	 C11	6:21pDec 22	6:16pDec 22	 A5
weather	CO-1281-CLE-TPA	2011-12-22 03:45 PM			2011-12-22 06:21 PM		
usatoday	CO-1281-CLE-TPA		3:52 PMDec 22			6:11 PMDec 22	
flightarrival	CO-1281-CLE-TPA	2011-12-22 03:45 PM			2011-12-22 06:21 PM		
CO	CO-1235-IAH-DTW	Thu., Dec.22, 2011 7:10 p.m.	Thu., Dec.22, 2011 7:14 p.m.		Thu., Dec.22, 2011 11:02 p.m.	Thu., Dec.22, 2011 10:53 p.m.	
airtravelcenter	CO-1235-IAH-DTW	12/22/11 7:10 PM (-06:00)			12/22/11 11:02 PM (-05:00)		
myrateplan	CO-1235-IAH-DTW	12/22/11 7:10 PM (-06:00)			12/22/11 11:02 PM (-05:00)		
helloflight	CO-1235-IAH-DTW	12/22/11 7:10 PM (-06:00)			12/22/11 11:02 PM (-05:00)		
flytecomm	CO-1235-IAH-DTW	12/22/11 7:10 PM (-06:00)			12/22/11 11:02 PM (-05:00)		
flightaware	CO-1235-IAH-DTW	2011-12-22 07:10PM CST	2011-12-22 07:44PM CST	 E23 	2011-12-22 10:52PM EST	2011-12-22 10:42PM EST	 D-1 
wunderground	CO-1235-IAH-DTW	2011-12-22 07:10PM CST	2011-12-22 07:44PM CST	 E23 	2011-12-22 10:52PM EST	2011-12-22 10:42PM EST	 D-1 
flights	CO-1235-IAH-DTW	07:10 PM  Thu 22-Dec-2011	07:14 PM  Thu 22-Dec-2011	23	11:02 PM  Thu 22-Dec-2011	10:53 PM  Thu 22-Dec-2011	D1
businesstravellogue	CO-1235-IAH-DTW	07:10 PM  Thu 22-Dec-2011	07:14 PM  Thu 22-Dec-2011	23	11:02 PM  Thu 22-Dec-2011	10:53 PM  Thu 22-Dec-2011	D1
flylouisville	CO-1235-IAH-DTW	07:10 PM  Thu 22-Dec-2011	07:14 PM  Thu 22-Dec-2011	23	11:02 PM  Thu 22-Dec-2011	10:53 PM  Thu 22-Dec-2011	D1
flightstats	CO-1235-IAH-DTW	2011-12-22 7:10 PM	2011-12-22 7:14 PM		2011-12-22 11:02 PM	2011-12-22 10:53 PM	
quicktrip	CO-1235-IAH-DTW	2011-12-22 7:10 PM	2011-12-22 7:14 PM		2011-12-22 11:02 PM	2011-12-22 10:53 PM	
world-flight-tracker	CO-1235-IAH-DTW	2011-12-22 7:10 PM	2011-12-22 7:14 PM		2011-12-22 11:02 PM	2011-12-22 10:53 PM	
flightview	CO-1235-IAH-DTW	7:10 PM, Dec 22	7:44 PM, Dec 22	Term C - E23	11:02 PM, Dec 22	10:53 PM, Dec 22	North Term - D1
panynj	CO-1235-IAH-DTW	7:10 PM, Dec 22	7:44 PM, Dec 22	Term C - E23	11:02 PM, Dec 22	10:53 PM, Dec 22	North Term - D1
gofox	CO-1235-IAH-DTW	7:10 PM, Dec 22	7:44 PM, Dec 22		11:02 PM, Dec 22	10:53 PM, Dec 22	
foxbusiness	CO-1235-IAH-DTW	7:10 PM, Dec 22	7:44 PM, Dec 22	Term C - E23	11:02 PM, Dec 22	10:53 PM, Dec 22	North Term - D1
allegiantair	CO-1235-IAH-DTW	7:10 PM, Dec 22	7:44 PM, Dec 22	Term C - E23	11:02 PM, Dec 22	10:53 PM, Dec 22	North Term - D1
boston	CO-1235-IAH-DTW	7:10 PM, Dec 22	7:44 PM, Dec 22		11:02 PM, Dec 22	10:44 PM, Dec 22	
travelocity	CO-1235-IAH-DTW	Dec 22 - 7:10pm	Dec 22 - 7:14pm	E23	Dec 22 - 11:02pm	Dec 22 - 10:53pm	D-1
orbitz	CO-1235-IAH-DTW	7:10pDec 22	7:14pDec 22	 E23	11:02pDec 22	10:53pDec 22	 D1
weather	CO-1235-IAH-DTW	2011-12-22 07:10 PM			2011-12-22 11:02 PM		
ua	UA-1173-IAH-DEN	Thu, Dec 22 8:45 AM	Thu, Dec 22 8:44 AM	C-41	Thu, Dec 22 10:23 AM	Thu, Dec 22 10:22 AM	B22
flightexplorer	UA-1173-IAH-DEN		12/22/2011 9:12AM CST			12/22/2011 10:10AM MST	
airtravelcenter	UA-1173-IAH-DEN	12/22/11 8:45 AM (-06:00)			12/22/11 10:23 AM (-07:00)		
myrateplan	UA-1173-IAH-DEN	12/22/11 8:45 AM (-06:00)			12/22/11 10:23 AM (-07:00)		
helloflight	UA-1173-IAH-DEN	12/22/11 8:45 AM (-06:00)			12/22/11 10:23 AM (-07:00)		
flytecomm	UA-1173-IAH-DEN	12/22/11 8:45 AM (-06:00)			12/22/11 10:23 AM (-07:00)		
flightaware	UA-1173-IAH-DEN	2011-12-22 08:45AM CST	2011-12-22 09:13AM CST	 41 	2011-12-22 10:00AM MST	2011-12-22 10:11AM MST	 B22 
wunderground	UA-1173-IAH-DEN	2011-12-22 08:45AM CST	2011-12-22 09:13AM CST	 41 	2011-12-22 10:00AM MST	2011-12-22 10:11AM MST	 B22 
flights	UA-1173-IAH-DEN	08:45 AM  Thu 22-Dec-2011	08:44 AM  Thu 22-Dec-2011	41	10:23 AM  Thu 22-Dec-2011	10:22 AM  Thu 22-Dec-2011	B22
businesstravellogue	UA-1173-IAH-DEN	08:45 AM  Thu 22-Dec-2011	08:44 AM  Thu 22-Dec-2011	41	10:23 AM  Thu 22-Dec-2011	10:22 AM  Thu 22-Dec-2011	B22
flylouisville	UA-1173-IAH-DEN	08:45 AM  Thu 22-Dec-2011	08:44 AM  Thu 22-Dec-2011	41	10:23 AM  Thu 22-Dec-2011	10:22 AM  Thu 22-Dec-2011	B22
flightstats	UA-1173-IAH-DEN	2011-12-22 8:45 AM	2011-12-22 8:44 AM		2011-12-22 10:23 AM	2011-12-22 10:22 AM	
quicktrip	UA-1173-IAH-DEN	2011-12-22 8:45 AM	2011-12-22 8:44 AM		2011-12-22 10:23 AM	2011-12-22 10:22 AM	
world-flight-tracker	UA-1173-IAH-DEN	2011-12-22 8:45 AM	2011-12-22 8:44 AM		2011-12-22 10:23 AM	2011-12-22 10:22 AM	
flightview	UA-1173-IAH-DEN	8:45 AM, Dec 22	9:13 AM, Dec 22	Term C - C41	10:23 AM, Dec 22	10:22 AM, Dec 22	Terminal Conc B - B22
panynj	UA-1173-IAH-DEN	8:45 AM, Dec 22	9:13 AM, Dec 22	Term C - C41	10:23 AM, Dec 22	10:22 AM, Dec 22	Terminal Conc B - B22
gofox	UA-1173-IAH-DEN	8:45 AM, Dec 22	9:13 AM, Dec 22		10:23 AM, Dec 22	10:22 AM, Dec 22	
foxbusiness	UA-1173-IAH-DEN	8:45 AM, Dec 22	9:13 AM, Dec 22	Term C - C41	10:23 AM, Dec 22	10:22 AM, Dec 22	Terminal Conc B - B22
allegiantair	UA-1173-IAH-DEN	8:45 AM, Dec 22	9:13 AM, Dec 22	Term C - C41	10:23 AM, Dec 22	10:22 AM, Dec 22	Terminal Conc B - B22
boston	UA-1173-IAH-DEN	8:45 AM, Dec 22	9:13 AM, Dec 22		10:23 AM, Dec 22	10:16 AM, Dec 22	
travelocity	UA-1173-IAH-DEN	Dec 22 - 8:45am	Dec 22 - Contact Airline	Not provided by airline	Dec 22 - 10:23am	Dec 22 - Contact Airline	Not provided by airline
orbitz	UA-1173-IAH-DEN	8:45aDec 22	8:44aDec 22	 41	10:23aDec 22	10:22aDec 22	 B22
weather	UA-1173-IAH-DEN	2011-12-22 08:45 AM	2011-12-22 09:13 AM		2011-12-22 10:23 AM	2011-12-22 10:17 AM	
den	UA-1173-IAH-DEN				2011-12-22 10:23 AM		 
usatoday	UA-1173-IAH-DEN	8:45 AM, Dec 22	9:13 AM, Dec 22		10:23 AM, Dec 22	10:16 AM, Dec 22	
mytripandmore	UA-1173-IAH-DEN	8:45aDec 22	8:44aDec 22	 41	10:23aDec 22	10:22aDec 22	 B22
aa	AA-297-MCO-LAX	December 22, 2011               01:00 PM    	December 22, 2011               12:56 PM    	 14	December 22, 2011               03:35 PM    	December 22, 2011               03:26 PM    	 49A    
flightexplorer	AA-297-MCO-LAX		12/22/2011 1:07PM EST			12/22/2011 3:25PM PST	
airtravelcenter	AA-297-MCO-LAX		12/22/11 1:07 PM (-05:00)			12/22/11 3:25 PM (-08:00)	
myrateplan	AA-297-MCO-LAX		12/22/11 1:07 PM (-05:00)			12/22/11 3:25 PM (-08:00)	
helloflight	AA-297-MCO-LAX		12/22/11 1:07 PM (-05:00)			12/22/11 3:25 PM (-08:00)	
flytecomm	AA-297-MCO-LAX		12/22/11 1:07 PM (-05:00)			12/22/11 3:25 PM (-08:00)	
flightaware	AA-297-MCO-LAX	2011-12-22 01:00PM EST	2011-12-22 01:07PM EST	 14 	2011-12-22 03:26PM PST	2011-12-22 03:24PM PST	 49A 
wunderground	AA-297-MCO-LAX	2011-12-22 01:00PM EST	2011-12-22 01:07PM EST	 14 	2011-12-22 03:26PM PST	2011-12-22 03:24PM PST	 49A 
flights	AA-297-MCO-LAX	01:00 PM  Thu 22-Dec-2011	12:56 PM  Thu 22-Dec-2011	14	03:35 PM  Thu 22-Dec-2011	03:26 PM  Thu 22-Dec-2011	49A
businesstravellogue	AA-297-MCO-LAX	01:00 PM  Thu 22-Dec-2011	12:56 PM  Thu 22-Dec-2011	14	03:35 PM  Thu 22-Dec-2011	03:26 PM  Thu 22-Dec-2011	49A
flylouisville	AA-297-MCO-LAX	01:00 PM  Thu 22-Dec-2011	12:56 PM  Thu 22-Dec-2011	14	03:35 PM  Thu 22-Dec-2011	03:26 PM  Thu 22-Dec-2011	49A
flightstats	AA-297-MCO-LAX	2011-12-22 1:00 PM	2011-12-22 12:56 PM		2011-12-22 3:35 PM	2011-12-22 3:26 PM	
quicktrip	AA-297-MCO-LAX	2011-12-22 1:00 PM	2011-12-22 12:56 PM		2011-12-22 3:35 PM	2011-12-22 3:26 PM	
world-flight-tracker	AA-297-MCO-LAX	2011-12-22 1:00 PM	2011-12-22 12:56 PM		2011-12-22 3:35 PM	2011-12-22 3:26 PM	
flightview	AA-297-MCO-LAX	1:00 PM, Dec 22	1:07 PM, Dec 22	14	3:35 PM, Dec 22	3:26 PM, Dec 22	Terminal 4 - 49A
panynj	AA-297-MCO-LAX	1:00 PM, Dec 22	1:07 PM, Dec 22	14	3:35 PM, Dec 22	3:26 PM, Dec 22	Terminal 4 - 49A
gofox	AA-297-MCO-LAX	1:00 PM, Dec 22	1:07 PM, Dec 22		3:35 PM, Dec 22	3:26 PM, Dec 22	
foxbusiness	AA-297-MCO-LAX	1:00 PM, Dec 22	1:07 PM, Dec 22	14	3:35 PM, Dec 22	3:26 PM, Dec 22	Terminal 4 - 49A
allegiantair	AA-297-MCO-LAX	1:00 PM, Dec 22	1:07 PM, Dec 22	14	3:35 PM, Dec 22	3:26 PM, Dec 22	Terminal 4 - 49A
boston	AA-297-MCO-LAX	1:00 PM, Dec 22	1:07 PM, Dec 22		3:35 PM, Dec 22	3:24 PM, Dec 22	
travelocity	AA-297-MCO-LAX	Dec 22 - 1:00pm	Dec 22 - 12:56pm	14	Dec 22 - 3:35pm	Dec 22 - 3:26pm	49A/T4
orbitz	AA-297-MCO-LAX	1:00pDec 22	12:56pDec 22	 14	3:35pDec 22	3:26pDec 22	 49A
weather	AA-297-MCO-LAX	2011-12-22 01:00 PM			2011-12-22 03:35 PM		
mco	AA-297-MCO-LAX	2011-12-22 Thu  13:00		14?			
usatoday	AA-297-MCO-LAX	1:00 PM, Dec 22	1:07 PM, Dec 22		3:35 PM, Dec 22	3:24 PM, Dec 22	
aa	AA-4362-DTW-ORD	December 22, 2011               12:30 PM    	December 22, 2011               12:27 PM    	 D30	December 22, 2011               01:00 PM    	December 22, 2011               12:36 PM    	 H4    
flightexplorer	AA-4362-DTW-ORD		12/22/2011 12:37PM EST			12/22/2011 12:30PM CST	
airtravelcenter	AA-4362-DTW-ORD		12/22/11 12:36 PM (-05:00)			12/22/11 12:30 PM (-06:00)	
myrateplan	AA-4362-DTW-ORD		12/22/11 12:36 PM (-05:00)			12/22/11 12:30 PM (-06:00)	
helloflight	AA-4362-DTW-ORD		12/22/11 12:36 PM (-05:00)			12/22/11 12:30 PM (-06:00)	
flytecomm	AA-4362-DTW-ORD		12/22/11 12:36 PM (-05:00)			12/22/11 12:30 PM (-06:00)	
flightaware	AA-4362-DTW-ORD	2011-12-22 12:30PM EST	2011-12-22 12:37PM EST	 D30 	2011-12-22 12:42PM CST	2011-12-22 12:27PM CST	 H4 
wunderground	AA-4362-DTW-ORD	2011-12-22 12:30PM EST	2011-12-22 12:37PM EST	 D30 	2011-12-22 12:42PM CST	2011-12-22 12:27PM CST	 H4 
flights	AA-4362-DTW-ORD	12:30 PM  Thu 22-Dec-2011	12:27 PM  Thu 22-Dec-2011	D30	01:00 PM  Thu 22-Dec-2011	12:36 PM  Thu 22-Dec-2011	H4
businesstravellogue	AA-4362-DTW-ORD	12:30 PM  Thu 22-Dec-2011	12:27 PM  Thu 22-Dec-2011	D30	01:00 PM  Thu 22-Dec-2011	12:36 PM  Thu 22-Dec-2011	H4
flylouisville	AA-4362-DTW-ORD	12:30 PM  Thu 22-Dec-2011	12:27 PM  Thu 22-Dec-2011	D30	01:00 PM  Thu 22-Dec-2011	12:36 PM  Thu 22-Dec-2011	H4
flightstats	AA-4362-DTW-ORD	2011-12-22 12:30 PM	2011-12-22 12:27 PM		2011-12-22 1:00 PM	2011-12-22 12:36 PM	
quicktrip	AA-4362-DTW-ORD	2011-12-22 12:30 PM	2011-12-22 12:27 PM		2011-12-22 1:00 PM	2011-12-22 12:36 PM	
world-flight-tracker	AA-4362-DTW-ORD	2011-12-22 12:30 PM	2011-12-22 12:27 PM		2011-12-22 1:00 PM	2011-12-22 12:36 PM	
flightview	AA-4362-DTW-ORD	12:30 PM, Dec 22	12:38 PM, Dec 22	Terminal N	1:00 PM, Dec 22	12:32 PM, Dec 22	Terminal 3
panynj	AA-4362-DTW-ORD	12:30 PM, Dec 22	12:38 PM, Dec 22	Terminal N	1:00 PM, Dec 22	12:32 PM, Dec 22	Terminal 3
gofox	AA-4362-DTW-ORD	12:30 PM, Dec 22	12:38 PM, Dec 22		1:00 PM, Dec 22	12:32 PM, Dec 22	
foxbusiness	AA-4362-DTW-ORD	12:30 PM, Dec 22	12:38 PM, Dec 22	Terminal N	1:00 PM, Dec 22	12:32 PM, Dec 22	Terminal 3
allegiantair	AA-4362-DTW-ORD	12:30 PM, Dec 22	12:38 PM, Dec 22	Terminal N	1:00 PM, Dec 22	12:32 PM, Dec 22	Terminal 3
boston	AA-4362-DTW-ORD	12:30 PM, Dec 22	12:38 PM, Dec 22		1:00 PM, Dec 22	12:32 PM, Dec 22	
travelocity	AA-4362-DTW-ORD	Dec 22 - 12:30pm	Dec 22 - 12:27pm	D30	Dec 22 - 1:00pm	Dec 22 - 12:36pm	H4/T3
orbitz	AA-4362-DTW-ORD	12:30pDec 22	12:27pDec 22	 D30	1:00pDec 22	12:36pDec 22	 H4
weather	AA-4362-DTW-ORD	2011-12-22 12:30 PM			2011-12-22 01:00 PM		
ord	AA-4362-DTW-ORD	2011-12-22 12:30 PM		D30	2011-12-22 1:00 PM		H4
usatoday	AA-4362-DTW-ORD	12:30 PM, Dec 22	12:38 PM, Dec 22		1:00 PM, Dec 22	12:32 PM, Dec 22	
flightarrival	AA-4362-DTW-ORD	12:30 PM, Dec 22	12:38 PM, Dec 22		1:00 PM, Dec 22	12:32 PM, Dec 22	
aa	AA-827-ORD-SJC	December 22, 2011               06:50 PM    	December 22, 2011               08:00 PM    	 K8	December 22, 2011               09:25 PM    	December 22, 2011     	 9    
flightexplorer	AA-827-ORD-SJC		12/22/2011 8:16PM CST			12/22/2011 10:15PM PST	
airtravelcenter	AA-827-ORD-SJC		12/22/11 8:16 PM (-06:00)			12/22/11 10:21 PM (-08:00)	
myrateplan	AA-827-ORD-SJC		12/22/11 8:16 PM (-06:00)			12/22/11 10:21 PM (-08:00)	
helloflight	AA-827-ORD-SJC		12/22/11 8:16 PM (-06:00)			12/22/11 10:21 PM (-08:00)	
flytecomm	AA-827-ORD-SJC		12/22/11 8:16 PM (-06:00)			12/22/11 10:21 PM (-08:00)	
flightaware	AA-827-ORD-SJC	2011-12-22 06:50PM CST	2011-12-22 08:15PM CST	 K8 	2011-12-22 09:03PM PST	2011-12-22 10:10PM PST	 9 
wunderground	AA-827-ORD-SJC	2011-12-22 06:50PM CST	2011-12-22 08:15PM CST	 K8 	2011-12-22 09:03PM PST	2011-12-22 10:10PM PST	 9 
flights	AA-827-ORD-SJC	06:50 PM  Thu 22-Dec-2011		K8	09:25 PM  Thu 22-Dec-2011		9
businesstravellogue	AA-827-ORD-SJC	06:50 PM  Thu 22-Dec-2011		K8	09:25 PM  Thu 22-Dec-2011		9
flylouisville	AA-827-ORD-SJC	06:50 PM  Thu 22-Dec-2011		K8	09:25 PM  Thu 22-Dec-2011		9
world-flight-tracker	AA-827-ORD-SJC	2011-12-22 6:50 PM	2011-12-22 8:00 PM		2011-12-22 9:25 PM	2011-12-22 10:23 PM (Estimated)	
flightview	AA-827-ORD-SJC	6:50 PM, Dec 22	8:16 PM, Dec 22		9:25 PM, Dec 22		
panynj	AA-827-ORD-SJC	6:50 PM, Dec 22	8:16 PM, Dec 22		9:25 PM, Dec 22		
gofox	AA-827-ORD-SJC	6:50 PM, Dec 22	8:16 PM, Dec 22		9:25 PM, Dec 22		
foxbusiness	AA-827-ORD-SJC	6:50 PM, Dec 22	8:16 PM, Dec 22		9:25 PM, Dec 22		
allegiantair	AA-827-ORD-SJC	6:50 PM, Dec 22	8:16 PM, Dec 22		9:25 PM, Dec 22		
boston	AA-827-ORD-SJC	6:50 PM, Dec 22	8:16 PM, Dec 22		9:25 PM, Dec 22	10:17 PM, Dec 22&nbsp(Estimated)	
travelocity	AA-827-ORD-SJC	Dec 22 - 6:50pm	Dec 22 - 8:00pm	K8/T3	Dec 22 - 9:25pm	Dec 22 - 10:20pm*	9
orbitz	AA-827-ORD-SJC	6:50pDec 22	8:00pDec 22	 K8	11:15pDec 22		 9
weather	AA-827-ORD-SJC	2011-12-22 06:50 PM			2011-12-22 09:25 PM		
ord	AA-827-ORD-SJC	2011-12-22 6:50 PM		K8	2011-12-22 9:25 PM		9
usatoday	AA-827-ORD-SJC	6:50 PM, Dec 22	8:16 PM, Dec 22		9:25 PM, Dec 22	10:17 PM, Dec 22&nbsp(Estimated)	
flightwise	AA-827-ORD-SJC	2011-12-22 06:50PM CST	2011-12-22 08:15PM CST	 K8 	2011-12-22 09:03PM PST	2011-12-22 10:10PM PST	 9 
CO	CO-1088-CLE-IAH	Thu., Dec.22, 2011 8:35 a.m.	Thu., Dec.22, 2011 8:57 a.m.		Thu., Dec.22, 2011 10:55 a.m.	Thu., Dec.22, 2011 11:28 a.m.	
flightexplorer	CO-1088-CLE-IAH		12/22/2011 9:08AM EST			12/22/2011 11:19AM CST	
airtravelcenter	CO-1088-CLE-IAH	12/22/11 8:35 AM (-05:00)			12/22/11 10:55 AM (-06:00)		
myrateplan	CO-1088-CLE-IAH	12/22/11 8:35 AM (-05:00)			12/22/11 10:55 AM (-06:00)		
helloflight	CO-1088-CLE-IAH	12/22/11 8:35 AM (-05:00)			12/22/11 10:55 AM (-06:00)		
flytecomm	CO-1088-CLE-IAH	12/22/11 8:35 AM (-05:00)			12/22/11 10:55 AM (-06:00)		
flights	CO-1088-CLE-IAH		2011-12-22 08:57 AM	C24		2011-12-22 11:28 AM	37
businesstravellogue	CO-1088-CLE-IAH		2011-12-22 08:57 AM	C24		2011-12-22 11:28 AM	37
flylouisville	CO-1088-CLE-IAH		2011-12-22 08:57 AM	C24		2011-12-22 11:28 AM	37
flightstats	CO-1088-CLE-IAH	2011-12-22 8:35 AM	2011-12-22 8:57 AM		2011-12-22 10:55 AM	2011-12-22 11:28 AM	
quicktrip	CO-1088-CLE-IAH	2011-12-22 8:35 AM	2011-12-22 8:57 AM		2011-12-22 10:55 AM	2011-12-22 11:28 AM	
flightview	CO-1088-CLE-IAH		9:09 AMDec 22			11:28 AMDec 22	
panynj	CO-1088-CLE-IAH		9:09 AMDec 22			11:28 AMDec 22	
gofox	CO-1088-CLE-IAH		9:09 AMDec 22			11:28 AMDec 22	
foxbusiness	CO-1088-CLE-IAH		9:09 AMDec 22			11:28 AMDec 22	
allegiantair	CO-1088-CLE-IAH		9:09 AMDec 22			11:28 AMDec 22	
boston	CO-1088-CLE-IAH		9:09 AMDec 22			11:20 AMDec 22	
travelocity	CO-1088-CLE-IAH	Dec 22 - 8:35am	Dec 22 - 8:57am	C24	Dec 22 - 10:55am	Dec 22 - 11:28am	C-37
orbitz	CO-1088-CLE-IAH	8:35aDec 22	8:57aDec 22	 C24	10:55aDec 22	11:28aDec 22	 37
weather	CO-1088-CLE-IAH	2011-12-22 08:35 AM			2011-12-22 10:55 AM		
mytripandmore	CO-1088-CLE-IAH	8:35aDec 22	8:57aDec 22	 C24	10:55aDec 22	11:28aDec 22	 37
aa	AA-3820-DEN-LAX		December 22, 2011     	 A47		December 22, 2011     	 44J    
airtravelcenter	AA-3820-DEN-LAX		12/22/11 11:37 AM (-07:00)			12/22/11 12:31 PM (-08:00)	
myrateplan	AA-3820-DEN-LAX		12/22/11 11:37 AM (-07:00)			12/22/11 12:31 PM (-08:00)	
helloflight	AA-3820-DEN-LAX		12/22/11 11:37 AM (-07:00)			12/22/11 12:31 PM (-08:00)	
flytecomm	AA-3820-DEN-LAX		12/22/11 11:37 AM (-07:00)			12/22/11 12:31 PM (-08:00)	
flightaware	AA-3820-DEN-LAX	2011-12-22 11:15AM MST	2011-12-22 Cancelled	 A47 	2011-12-22 12:09PM PST	2011-12-22 Cancelled	 44J 
wunderground	AA-3820-DEN-LAX	2011-12-22 11:15AM MST	2011-12-22 Cancelled	 A47 	2011-12-22 12:09PM PST	2011-12-22 Cancelled	 44J 
flights	AA-3820-DEN-LAX	11:15 AM  Thu 22-Dec-2011		A47	01:00 PM  Thu 22-Dec-2011		44
businesstravellogue	AA-3820-DEN-LAX	11:15 AM  Thu 22-Dec-2011		A47	01:00 PM  Thu 22-Dec-2011		44
flylouisville	AA-3820-DEN-LAX	11:15 AM  Thu 22-Dec-2011		A47	01:00 PM  Thu 22-Dec-2011		44
flightstats	AA-3820-DEN-LAX	2011-12-22 11:15 AM	2011-12-22 11:15 AM (Estimated)		2011-12-22 1:00 PM	2011-12-22 1:00 PM (Estimated)	
quicktrip	AA-3820-DEN-LAX	2011-12-22 11:15 AM	2011-12-22 11:15 AM (Estimated)		2011-12-22 1:00 PM	2011-12-22 1:00 PM (Estimated)	
world-flight-tracker	AA-3820-DEN-LAX	2011-12-22 11:15 AM	2011-12-22 11:15 AM (Estimated)		2011-12-22 1:00 PM	2011-12-22 1:00 PM (Estimated)	
flightview	AA-3820-DEN-LAX	11:15 AM, Dec 22			1:00 PM, Dec 22		
panynj	AA-3820-DEN-LAX	11:15 AM, Dec 22			1:00 PM, Dec 22		
gofox	AA-3820-DEN-LAX	11:15 AM, Dec 22			1:00 PM, Dec 22		
foxbusiness	AA-3820-DEN-LAX	11:15 AM, Dec 22			1:00 PM, Dec 22		
allegiantair	AA-3820-DEN-LAX	11:15 AM, Dec 22			1:00 PM, Dec 22		
boston	AA-3820-DEN-LAX	11:15 AM, Dec 22	Not Available		1:00 PM, Dec 22	Not Available	
travelocity	AA-3820-DEN-LAX	Dec 22 - 11:15am	Dec 22 - Canceled	A47	Dec 22 - 1:00pm	Dec 22 - Canceled	44J/T4
orbitz	AA-3820-DEN-LAX	11:15aDec 22		 A47	1:00pDec 22		 44J
weather	AA-3820-DEN-LAX	2011-12-22 11:15 AM			2011-12-22 01:00 PM		
den	AA-3820-DEN-LAX	2011-12-22 11:15 AM		A47			
ifly	AA-3820-DEN-LAX	2011-12-22 11:15 AM	2011-12-22 11:15 AM (Estimated)		2011-12-22 1:00 PM	2011-12-22 1:00 PM (Estimated)	
usatoday	AA-3820-DEN-LAX	2011-12-22 11:15 AM			2011-12-22 01:00 PM		
flightarrival	AA-3820-DEN-LAX	2011-12-22 11:15 AM	2011-12-22 11:15 AM (Estimated)		2011-12-22 1:00 PM	2011-12-22 1:00 PM (Estimated)	
aa	AA-1372-LAX-ORD	December 22, 2011               10:20 AM    	December 22, 2011               10:19 AM    	 43	December 22, 2011               04:30 PM    	December 22, 2011               04:15 PM    	 H17    
flightexplorer	AA-1372-LAX-ORD		12/22/2011 10:40AM PST			12/22/2011 4:14PM CST	
airtravelcenter	AA-1372-LAX-ORD		12/22/11 10:40 AM (-08:00)			12/22/11 4:14 PM (-06:00)	
myrateplan	AA-1372-LAX-ORD		12/22/11 10:40 AM (-08:00)			12/22/11 4:14 PM (-06:00)	
helloflight	AA-1372-LAX-ORD		12/22/11 10:40 AM (-08:00)			12/22/11 4:14 PM (-06:00)	
flytecomm	AA-1372-LAX-ORD		12/22/11 10:40 AM (-08:00)			12/22/11 4:14 PM (-06:00)	
