aa	AA-2446-LAX-DFW	12/07/2011 01:10 PM	12/07/2011 01:19 PM	42B	12/07/2011 06:10 PM	12/07/2011 06:08 PM	C2
flights	UA-1075-IAH-SLC	09:30 AM  Wed 07-Dec-2011	09:30 AM  Wed 07-Dec-2011	37	11:56 AM  Wed 07-Dec-2011	11:43 AM  Wed 07-Dec-2011	B5
businesstravellogue	UA-1075-IAH-SLC	09:30 AM  Wed 07-Dec-2011	09:30 AM  Wed 07-Dec-2011	37	11:56 AM  Wed 07-Dec-2011	11:43 AM  Wed 07-Dec-2011	B5
flylouisville	UA-1075-IAH-SLC	09:30 AM  Wed 07-Dec-2011	09:30 AM  Wed 07-Dec-2011	37	11:56 AM  Wed 07-Dec-2011	11:43 AM  Wed 07-Dec-2011	B5
flightstats	UA-1075-IAH-SLC	2011-12-07 9:30 AM	2011-12-07 9:30 AM		2011-12-07 11:56 AM	2011-12-07 11:43 AM	
quicktrip	UA-1075-IAH-SLC	2011-12-07 9:30 AM	2011-12-07 9:30 AM		2011-12-07 11:56 AM	2011-12-07 11:43 AM	
world-flight-tracker	UA-1075-IAH-SLC	2011-12-07 9:30 AM	2011-12-07 9:30 AM		2011-12-07 11:56 AM	2011-12-07 11:43 AM	
flightview	UA-1075-IAH-SLC	9:30 AM, Dec 07	9:54 AM, Dec 07	Term C - C37	11:56 AM, Dec 07	11:43 AM, Dec 07	Term 1 - B5
panynj	UA-1075-IAH-SLC	9:30 AM, Dec 07	9:54 AM, Dec 07	Term C - C37	11:56 AM, Dec 07	11:43 AM, Dec 07	Term 1 - B5
gofox	UA-1075-IAH-SLC	9:30 AM, Dec 07	9:54 AM, Dec 07		11:56 AM, Dec 07	11:43 AM, Dec 07	
foxbusiness	UA-1075-IAH-SLC	9:30 AM, Dec 07	9:54 AM, Dec 07	Term C - C37	11:56 AM, Dec 07	11:43 AM, Dec 07	Term 1 - B5
allegiantair	UA-1075-IAH-SLC	9:30 AM, Dec 07	9:54 AM, Dec 07	Term C - C37	11:56 AM, Dec 07	11:43 AM, Dec 07	Term 1 - B5
boston	UA-1075-IAH-SLC	9:30 AM, Dec 07	9:54 AM, Dec 07		11:56 AM, Dec 07	11:40 AM, Dec 07	
travelocity	UA-1075-IAH-SLC	Dec 07 - 9:30am	Dec 07 - Contact Airline	Not provided by airline	Dec 07 - 11:56am	Dec 07 - Contact Airline	Not provided by airline
orbitz	UA-1075-IAH-SLC	9:30aDec 7	9:30aDec 7	 37	11:56aDec 7	11:43aDec 7	 B5
weather	UA-1075-IAH-SLC	2011-12-07 09:30 AM			2011-12-07 11:56 AM		
ifly	UA-1075-IAH-SLC	2011-12-07 9:30 AM	2011-12-07 9:30 AM		2011-12-07 11:56 AM	2011-12-07 11:43 AM	
usatoday	UA-1075-IAH-SLC	9:30 AM, Dec 07	9:54 AM, Dec 07		11:56 AM, Dec 07	11:40 AM, Dec 07	
ua	UA-1712-IAH-SFO	Wed, Dec 7 8:55 PM	Wed, Dec 7 9:16 PM            Delayed	C-40	Wed, Dec 7 11:07 PM	Wed, Dec 7 11:23 PM	88
flightexplorer	UA-1712-IAH-SFO		12/7/2011 9:32PM CST			12/7/2011 11:07PM PST	
airtravelcenter	UA-1712-IAH-SFO	12/7/11 8:55 PM (-06:00)			12/7/11 11:07 PM (-08:00)		
myrateplan	UA-1712-IAH-SFO	12/7/11 8:55 PM (-06:00)			12/7/11 11:07 PM (-08:00)		
helloflight	UA-1712-IAH-SFO	12/7/11 8:55 PM (-06:00)			12/7/11 11:07 PM (-08:00)		
flytecomm	UA-1712-IAH-SFO	12/7/11 8:55 PM (-06:00)			12/7/11 11:07 PM (-08:00)		
flightaware	UA-1712-IAH-SFO	2011-12-07 08:55PM CST	2011-12-07 09:33PM CST	 40 	2011-12-07 10:41PM PST	2011-12-07 11:08PM PST	 88 
wunderground	UA-1712-IAH-SFO	2011-12-07 08:55PM CST	2011-12-07 09:33PM CST	 40 	2011-12-07 10:41PM PST	2011-12-07 11:08PM PST	 88 
flights	UA-1712-IAH-SFO		2011-12-07 09:16 PM	40		2011-12-07 11:07 PM	88
businesstravellogue	UA-1712-IAH-SFO		2011-12-07 09:16 PM	40		2011-12-07 11:07 PM	88
flylouisville	UA-1712-IAH-SFO		2011-12-07 09:16 PM	40		2011-12-07 11:07 PM	88
flightstats	UA-1712-IAH-SFO	2011-12-07 8:55 PM	2011-12-07 9:16 PM		2011-12-07 11:07 PM	2011-12-07 11:11 PM (Estimated)	
quicktrip	UA-1712-IAH-SFO	2011-12-07 8:55 PM	2011-12-07 9:16 PM		2011-12-07 11:07 PM	2011-12-07 11:11 PM (Estimated)	
flightview	UA-1712-IAH-SFO		9:33 PMDec 07			11:17 PMDec 07	
panynj	UA-1712-IAH-SFO		9:33 PMDec 07			11:17 PMDec 07	
gofox	UA-1712-IAH-SFO		9:33 PMDec 07			11:17 PMDec 07	
foxbusiness	UA-1712-IAH-SFO		9:33 PMDec 07			11:17 PMDec 07	
allegiantair	UA-1712-IAH-SFO		9:33 PMDec 07			11:17 PMDec 07	
boston	UA-1712-IAH-SFO		9:33 PMDec 07			11:17 PMDec 07	
orbitz	UA-1712-IAH-SFO	8:55pDec 7	9:16pDec 7	 40	11:39pDec 7		 88
sfo	UA-1712-IAH-SFO				2011-12-07 11:07 PM		88
flightwise	UA-1712-IAH-SFO	2011-12-07 08:55PM CST	2011-12-07 09:33PM CST	 40 	2011-12-07 10:41PM PST	2011-12-07 11:08PM PST	 88 
ua	UA-4658-IAH-BHM	Wed, Dec 7 6:10 PM	Wed, Dec 7 6:08 PM	B79A	Wed, Dec 7 7:48 PM	Wed, Dec 7 7:47 PM	--
airtravelcenter	UA-4658-IAH-BHM	12/7/11 6:10 PM (-06:00)			12/7/11 7:48 PM (-06:00)		
myrateplan	UA-4658-IAH-BHM	12/7/11 6:10 PM (-06:00)			12/7/11 7:48 PM (-06:00)		
helloflight	UA-4658-IAH-BHM	12/7/11 6:10 PM (-06:00)			12/7/11 7:48 PM (-06:00)		
flytecomm	UA-4658-IAH-BHM	12/7/11 6:10 PM (-06:00)			12/7/11 7:48 PM (-06:00)		
flights	UA-4658-IAH-BHM	06:10 PM  Wed 07-Dec-2011	06:08 PM  Wed 07-Dec-2011	79A	07:48 PM  Wed 07-Dec-2011	07:47 PM  Wed 07-Dec-2011	B2
businesstravellogue	UA-4658-IAH-BHM	06:10 PM  Wed 07-Dec-2011	06:08 PM  Wed 07-Dec-2011	79A	07:48 PM  Wed 07-Dec-2011	07:47 PM  Wed 07-Dec-2011	B2
flylouisville	UA-4658-IAH-BHM	06:10 PM  Wed 07-Dec-2011	06:08 PM  Wed 07-Dec-2011	79A	07:48 PM  Wed 07-Dec-2011	07:47 PM  Wed 07-Dec-2011	B2
flightstats	UA-4658-IAH-BHM	2011-12-07 6:10 PM	2011-12-07 6:08 PM		2011-12-07 7:48 PM	2011-12-07 7:47 PM	
quicktrip	UA-4658-IAH-BHM	2011-12-07 6:10 PM	2011-12-07 6:08 PM		2011-12-07 7:48 PM	2011-12-07 7:47 PM	
world-flight-tracker	UA-4658-IAH-BHM	2011-12-07 6:10 PM	2011-12-07 6:08 PM		2011-12-07 7:48 PM	2011-12-07 7:47 PM	
flightview	UA-4658-IAH-BHM	6:10 PM, Dec 07	6:30 PM, Dec 07	Term B - B79A	7:48 PM, Dec 07	7:47 PM, Dec 07	Main Term - B2
panynj	UA-4658-IAH-BHM	6:10 PM, Dec 07	6:30 PM, Dec 07	Term B - B79A	7:48 PM, Dec 07	7:47 PM, Dec 07	Main Term - B2
gofox	UA-4658-IAH-BHM	6:10 PM, Dec 07	6:30 PM, Dec 07		7:48 PM, Dec 07	7:47 PM, Dec 07	
foxbusiness	UA-4658-IAH-BHM	6:10 PM, Dec 07	6:30 PM, Dec 07	Term B - B79A	7:48 PM, Dec 07	7:47 PM, Dec 07	Main Term - B2
allegiantair	UA-4658-IAH-BHM	6:10 PM, Dec 07	6:30 PM, Dec 07	Term B - B79A	7:48 PM, Dec 07	7:47 PM, Dec 07	Main Term - B2
boston	UA-4658-IAH-BHM	6:10 PM, Dec 07	6:30 PM, Dec 07		7:48 PM, Dec 07	7:45 PM, Dec 07	
travelocity	UA-4658-IAH-BHM	Dec 07 - 6:10pm	Dec 07 - Contact Airline	Not provided by airline	Dec 07 - 7:48pm	Dec 07 - Contact Airline	Not provided by airline
orbitz	UA-4658-IAH-BHM	6:10pDec 7	6:08pDec 7	 -	7:48pDec 7	7:47pDec 7	 -
weather	UA-4658-IAH-BHM	2011-12-07 06:10 PM			2011-12-07 07:48 PM		
CO	CO-1144-FLL-EWR	Wed., Dec.07, 2011 4:54 p.m.	Wed., Dec.07, 2011 6:12 p.m.		Wed., Dec.07, 2011 8:00 p.m.	Wed., Dec.07, 2011 9:05 p.m.	
flightexplorer	CO-1144-FLL-EWR		12/7/2011 6:32PM EST			12/7/2011 9:03PM EST	
airtravelcenter	CO-1144-FLL-EWR	12/7/11 4:54 PM (-05:00)			12/7/11 8:00 PM (-05:00)		
myrateplan	CO-1144-FLL-EWR	12/7/11 4:54 PM (-05:00)			12/7/11 8:00 PM (-05:00)		
helloflight	CO-1144-FLL-EWR	12/7/11 4:54 PM (-05:00)			12/7/11 8:00 PM (-05:00)		
flytecomm	CO-1144-FLL-EWR	12/7/11 4:54 PM (-05:00)			12/7/11 8:00 PM (-05:00)		
flightaware	CO-1144-FLL-EWR	2011-12-07 04:54PM EST	2011-12-07 06:33PM EST	 C2 	2011-12-07 07:50PM EST	2011-12-07 09:03PM EST	 C71 
wunderground	CO-1144-FLL-EWR	2011-12-07 04:54PM EST	2011-12-07 06:33PM EST	 C2 	2011-12-07 07:50PM EST	2011-12-07 09:03PM EST	 C71 
flights	CO-1144-FLL-EWR		2011-12-07 06:12 PM	C2		2011-12-07 08:00 PM	71
businesstravellogue	CO-1144-FLL-EWR		2011-12-07 06:12 PM	C2		2011-12-07 08:00 PM	71
flylouisville	CO-1144-FLL-EWR		2011-12-07 06:12 PM	C2		2011-12-07 08:00 PM	71
flightstats	CO-1144-FLL-EWR	2011-12-07 4:54 PM	2011-12-07 6:12 PM		2011-12-07 8:00 PM	2011-12-07 9:05 PM (Estimated)	
quicktrip	CO-1144-FLL-EWR	2011-12-07 4:54 PM	2011-12-07 6:12 PM		2011-12-07 8:00 PM	2011-12-07 9:05 PM (Estimated)	
flightview	CO-1144-FLL-EWR		6:34 PMDec 07			9:11 PMDec 07	
panynj	CO-1144-FLL-EWR		6:34 PMDec 07			9:11 PMDec 07	
gofox	CO-1144-FLL-EWR		6:34 PMDec 07			9:11 PMDec 07	
foxbusiness	CO-1144-FLL-EWR		6:34 PMDec 07			9:11 PMDec 07	
allegiantair	CO-1144-FLL-EWR		6:34 PMDec 07			9:11 PMDec 07	
boston	CO-1144-FLL-EWR		6:34 PMDec 07			9:11 PMDec 07	
orbitz	CO-1144-FLL-EWR	4:54pDec 7	6:12pDec 7	 C2	10:10pDec 7		 C71
ifly	CO-1144-FLL-EWR	2011-12-07 4:54 PM	2011-12-07 6:12 PM		2011-12-07 8:00 PM	2011-12-07 9:05 PM (Estimated)	
mytripandmore	CO-1144-FLL-EWR	4:54pDec 7	6:12pDec 7	 C2	10:10pDec 7		 C71
flightarrival	CO-1144-FLL-EWR		6:34 PMDec 07			9:11 PMDec 07	
aa	AA-3535-MIA-CLT	12/07/2011 02:00 PM	12/07/2011 02:25 PM	D55	12/07/2011 04:05 PM	12/07/2011 04:19 PM	A9
flightexplorer	AA-3535-MIA-CLT		12/7/2011 2:26PM EST			12/7/2011 4:14PM EST	
airtravelcenter	AA-3535-MIA-CLT		12/7/11 2:26 PM (-05:00)			12/7/11 3:57 PM (-05:00)	
myrateplan	AA-3535-MIA-CLT		12/7/11 2:26 PM (-05:00)			12/7/11 3:57 PM (-05:00)	
helloflight	AA-3535-MIA-CLT		12/7/11 2:26 PM (-05:00)			12/7/11 3:57 PM (-05:00)	
flytecomm	AA-3535-MIA-CLT		12/7/11 2:26 PM (-05:00)			12/7/11 3:57 PM (-05:00)	
flightaware	AA-3535-MIA-CLT	2011-12-07 02:00PM EST	2011-12-07 02:25PM EST	 D55 	2011-12-07 03:55PM EST	2011-12-07 04:14PM EST	 A9 
wunderground	AA-3535-MIA-CLT	2011-12-07 02:00PM EST	2011-12-07 02:25PM EST	 D55 	2011-12-07 03:55PM EST	2011-12-07 04:14PM EST	 A9 
flights	AA-3535-MIA-CLT	02:00 PM  Wed 07-Dec-2011	02:25 PM  Wed 07-Dec-2011	D55	04:05 PM  Wed 07-Dec-2011	04:19 PM  Wed 07-Dec-2011	A9
businesstravellogue	AA-3535-MIA-CLT	02:00 PM  Wed 07-Dec-2011	02:25 PM  Wed 07-Dec-2011	D55	04:05 PM  Wed 07-Dec-2011	04:19 PM  Wed 07-Dec-2011	A9
flylouisville	AA-3535-MIA-CLT	02:00 PM  Wed 07-Dec-2011	02:25 PM  Wed 07-Dec-2011	D55	04:05 PM  Wed 07-Dec-2011	04:19 PM  Wed 07-Dec-2011	A9
flightstats	AA-3535-MIA-CLT	2011-12-07 2:00 PM	2011-12-07 2:25 PM		2011-12-07 4:05 PM	2011-12-07 4:19 PM	
quicktrip	AA-3535-MIA-CLT	2011-12-07 2:00 PM	2011-12-07 2:25 PM		2011-12-07 4:05 PM	2011-12-07 4:19 PM	
world-flight-tracker	AA-3535-MIA-CLT	2011-12-07 2:00 PM	2011-12-07 2:25 PM		2011-12-07 4:05 PM	2011-12-07 4:19 PM	
flightview	AA-3535-MIA-CLT	2:00 PM, Dec 07	2:26 PM, Dec 07		4:05 PM, Dec 07	4:13 PM, Dec 07	
panynj	AA-3535-MIA-CLT	2:00 PM, Dec 07	2:26 PM, Dec 07		4:05 PM, Dec 07	4:13 PM, Dec 07	
gofox	AA-3535-MIA-CLT	2:00 PM, Dec 07	2:26 PM, Dec 07		4:05 PM, Dec 07	4:13 PM, Dec 07	
foxbusiness	AA-3535-MIA-CLT	2:00 PM, Dec 07	2:26 PM, Dec 07		4:05 PM, Dec 07	4:13 PM, Dec 07	
allegiantair	AA-3535-MIA-CLT	2:00 PM, Dec 07	2:26 PM, Dec 07		4:05 PM, Dec 07	4:13 PM, Dec 07	
boston	AA-3535-MIA-CLT	2:00 PM, Dec 07	2:26 PM, Dec 07		4:05 PM, Dec 07	4:13 PM, Dec 07	
travelocity	AA-3535-MIA-CLT	Dec 07 - 2:00pm	Dec 07 - 2:11pm	D55	Dec 07 - 4:05pm	Dec 07 - 4:19pm	A9
orbitz	AA-3535-MIA-CLT	2:00pDec 7	2:11pDec 7	 D55	4:05pDec 7	4:19pDec 7	 A9
weather	AA-3535-MIA-CLT	2011-12-07 02:00 PM			2011-12-07 04:05 PM		
flightwise	AA-3535-MIA-CLT	2011-12-07 02:00PM EST	2011-12-07 02:25PM EST	 D55 	2011-12-07 03:55PM EST	2011-12-07 04:14PM EST	 A9 
flightarrival	AA-3535-MIA-CLT	2011-12-07 2:00 PM	2011-12-07 2:25 PM		2011-12-07 4:05 PM	2011-12-07 4:19 PM	
aa	AA-2493-DFW-LAX	12/07/2011 09:35 PM	12/07/2011 09:48 PM	D34	12/07/2011 11:00 PM		47A
flightexplorer	AA-2493-DFW-LAX		12/7/2011 9:49PM CST			12/7/2011 10:32PM PST	
airtravelcenter	AA-2493-DFW-LAX		12/7/11 9:49 PM (-06:00)			12/7/11 10:30 PM (-08:00)	
myrateplan	AA-2493-DFW-LAX		12/7/11 9:49 PM (-06:00)			12/7/11 10:30 PM (-08:00)	
helloflight	AA-2493-DFW-LAX		12/7/11 9:49 PM (-06:00)			12/7/11 10:30 PM (-08:00)	
flytecomm	AA-2493-DFW-LAX		12/7/11 9:49 PM (-06:00)			12/7/11 10:30 PM (-08:00)	
flightaware	AA-2493-DFW-LAX	2011-12-07 09:35PM CST	2011-12-07 09:49PM CST	 D34 	2011-12-07 10:27PM PST	2011-12-07 10:31PM PST	 47A 
wunderground	AA-2493-DFW-LAX	2011-12-07 09:35PM CST	2011-12-07 09:49PM CST	 D34 	2011-12-07 10:27PM PST	2011-12-07 10:31PM PST	 47A 
flights	AA-2493-DFW-LAX	09:35 PM  Wed 07-Dec-2011		D34	11:00 PM  Wed 07-Dec-2011		47A
businesstravellogue	AA-2493-DFW-LAX	09:35 PM  Wed 07-Dec-2011		D34	11:00 PM  Wed 07-Dec-2011		47A
flylouisville	AA-2493-DFW-LAX	09:35 PM  Wed 07-Dec-2011		D34	11:00 PM  Wed 07-Dec-2011		47A
flightstats	AA-2493-DFW-LAX	2011-12-07 9:35 PM	2011-12-07 9:48 PM		2011-12-07 11:00 PM	2011-12-07 10:50 PM (Estimated)	
quicktrip	AA-2493-DFW-LAX	2011-12-07 9:35 PM	2011-12-07 9:48 PM		2011-12-07 11:00 PM	2011-12-07 10:50 PM (Estimated)	
world-flight-tracker	AA-2493-DFW-LAX	2011-12-07 9:35 PM	2011-12-07 9:48 PM		2011-12-07 11:00 PM	2011-12-07 10:50 PM (Estimated)	
flightview	AA-2493-DFW-LAX	9:35 PM, Dec 07	9:49 PM, Dec 07		11:00 PM, Dec 07		
panynj	AA-2493-DFW-LAX	9:35 PM, Dec 07	9:49 PM, Dec 07		11:00 PM, Dec 07		
gofox	AA-2493-DFW-LAX	9:35 PM, Dec 07	9:49 PM, Dec 07		11:00 PM, Dec 07		
foxbusiness	AA-2493-DFW-LAX	9:35 PM, Dec 07	9:49 PM, Dec 07		11:00 PM, Dec 07		
allegiantair	AA-2493-DFW-LAX	9:35 PM, Dec 07	9:49 PM, Dec 07		11:00 PM, Dec 07		
boston	AA-2493-DFW-LAX	9:35 PM, Dec 07	9:49 PM, Dec 07		11:00 PM, Dec 07	10:33 PM, Dec 07&nbsp(Estimated)	
travelocity	AA-2493-DFW-LAX	Dec 07 - 9:35pm	Dec 07 - 9:38pm	D34/D	Dec 07 - 11:00pm	Dec 07 - 10:45pm*	47A/T4
orbitz	AA-2493-DFW-LAX	9:35pDec 7	9:38pDec 7	 D34	10:30pDec 7		 47A
weather	AA-2493-DFW-LAX	2011-12-07 09:35 PM			2011-12-07 11:00 PM		
ifly	AA-2493-DFW-LAX	2011-12-07 9:35 PM	2011-12-07 9:48 PM		2011-12-07 11:00 PM	2011-12-07 10:50 PM (Estimated)	
mytripandmore	AA-2493-DFW-LAX	Dec 07 - 9:35pm	Dec 07 - 9:38pm	D34/D	Dec 07 - 11:00pm	Dec 07 - 10:45pm*	47A/T4
ua	UA-432-ORD-CLT	Wed, Dec 7 1:10 PM	Wed, Dec 7 1:04 PM            On Time	C11	Wed, Dec 7 3:59 PM	Wed, Dec 7 3:58 PM	A4
flightexplorer	UA-432-ORD-CLT		12/7/2011 1:20PM CST			12/7/2011 3:55PM EST	
airtravelcenter	UA-432-ORD-CLT		12/7/11 1:21 PM (-06:00)			12/7/11 3:55 PM (-05:00)	
myrateplan	UA-432-ORD-CLT		12/7/11 1:21 PM (-06:00)			12/7/11 3:55 PM (-05:00)	
helloflight	UA-432-ORD-CLT		12/7/11 1:21 PM (-06:00)			12/7/11 3:55 PM (-05:00)	
flytecomm	UA-432-ORD-CLT		12/7/11 1:21 PM (-06:00)			12/7/11 3:55 PM (-05:00)	
flightaware	UA-432-ORD-CLT	2011-12-07 01:10PM CST	2011-12-07 01:21PM CST	 C11 	2011-12-07 03:55PM EST	2011-12-07 03:53PM EST	 A4 
wunderground	UA-432-ORD-CLT	2011-12-07 01:10PM CST	2011-12-07 01:21PM CST	 C11 	2011-12-07 03:55PM EST	2011-12-07 03:53PM EST	 A4 
flights	UA-432-ORD-CLT		2011-12-07 01:04 PM	C11		2011-12-07 03:58 PM	A4
businesstravellogue	UA-432-ORD-CLT		2011-12-07 01:04 PM	C11		2011-12-07 03:58 PM	A4
flylouisville	UA-432-ORD-CLT		2011-12-07 01:04 PM	C11		2011-12-07 03:58 PM	A4
flightstats	UA-432-ORD-CLT	2011-12-07 1:10 PM	2011-12-07 1:04 PM		2011-12-07 3:59 PM	2011-12-07 3:58 PM	
quicktrip	UA-432-ORD-CLT	2011-12-07 1:10 PM	2011-12-07 1:04 PM		2011-12-07 3:59 PM	2011-12-07 3:58 PM	
flightview	UA-432-ORD-CLT		1:21 PMDec 07			3:58 PMDec 07	
panynj	UA-432-ORD-CLT		1:21 PMDec 07			3:58 PMDec 07	
gofox	UA-432-ORD-CLT		1:21 PMDec 07			3:58 PMDec 07	
foxbusiness	UA-432-ORD-CLT		1:21 PMDec 07			3:58 PMDec 07	
allegiantair	UA-432-ORD-CLT		1:21 PMDec 07			3:58 PMDec 07	
boston	UA-432-ORD-CLT		1:21 PMDec 07			3:54 PMDec 07	
orbitz	UA-432-ORD-CLT	1:26pDec 7	1:20pDec 7	 C11	3:59pDec 7	3:58pDec 7	 -
ord	UA-432-ORD-CLT	2011-12-07 1:10 PM		C11	2011-12-07 3:59 PM		A4
usatoday	UA-432-ORD-CLT	2011-12-07 1:10 PM	2011-12-07 1:04 PM		2011-12-07 3:59 PM	2011-12-07 3:58 PM	
flightarrival	UA-432-ORD-CLT		1:21 PMDec 07			3:54 PMDec 07	
aa	AA-3823-LAX-DEN	12/07/2011 09:00 PM		44F	12/08/2011 12:15 AM		A49
flightexplorer	AA-3823-LAX-DEN		12/6/2011 9:10PM PST			12/7/2011 12:10AM MST	
flightexplorer	AA-3823-LAX-DEN	12/7/2011 9:00PM PST			12/8/2011 12:15AM MST		
airtravelcenter	AA-3823-LAX-DEN		12/7/11 9:07 PM (-08:00)			12/8/11 12:01 AM (-07:00)	
myrateplan	AA-3823-LAX-DEN		12/7/11 9:07 PM (-08:00)			12/8/11 12:01 AM (-07:00)	
helloflight	AA-3823-LAX-DEN		12/7/11 9:07 PM (-08:00)			12/8/11 12:01 AM (-07:00)	
flytecomm	AA-3823-LAX-DEN		12/7/11 9:07 PM (-08:00)			12/8/11 12:01 AM (-07:00)	
flightaware	AA-3823-LAX-DEN	2011-12-07 09:00PM PST	2011-12-07 09:10PM PST	 44E 	2011-12-07 12:09AM MST	2011-12-07 12:04AM MST	 A49 
wunderground	AA-3823-LAX-DEN	2011-12-07 09:00PM PST	2011-12-07 09:10PM PST	 44E 	2011-12-07 12:09AM MST	2011-12-07 12:04AM MST	 A49 
flights	AA-3823-LAX-DEN	09:00 PM  Wed 07-Dec-2011		44F	12:15 AM  Thu 08-Dec-2011		A49
businesstravellogue	AA-3823-LAX-DEN	09:00 PM  Wed 07-Dec-2011		44F	12:15 AM  Thu 08-Dec-2011		A49
flylouisville	AA-3823-LAX-DEN	09:00 PM  Wed 07-Dec-2011		44F	12:15 AM  Thu 08-Dec-2011		A49
flightstats	AA-3823-LAX-DEN	2011-12-07 9:00 PM	2011-12-07 9:07 PM (Estimated runway)		2011-12-07 12:15 AM	2011-12-07 12:01 AM (Estimated runway)	
quicktrip	AA-3823-LAX-DEN	2011-12-07 9:00 PM	2011-12-07 9:07 PM (Estimated runway)		2011-12-07 12:15 AM	2011-12-07 12:01 AM (Estimated runway)	
world-flight-tracker	AA-3823-LAX-DEN	2011-12-07 9:00 PM	2011-12-07 9:07 PM (Estimated runway)		2011-12-07 12:15 AM	2011-12-07 12:01 AM (Estimated runway)	
flightview	AA-3823-LAX-DEN	9:00 PM, Dec 07		Terminal 4 - 44F	12:15 AM, Dec 08		A49
panynj	AA-3823-LAX-DEN	9:00 PM, Dec 07		Terminal 4 - 44F	12:15 AM, Dec 08		A49
gofox	AA-3823-LAX-DEN	9:00 PM, Dec 07			12:15 AM, Dec 08		
foxbusiness	AA-3823-LAX-DEN	9:00 PM, Dec 07		Terminal 4 - 44F	12:15 AM, Dec 08		A49
allegiantair	AA-3823-LAX-DEN	9:00 PM, Dec 07		Terminal 4 - 44F	12:15 AM, Dec 08		A49
boston	AA-3823-LAX-DEN	9:00 PM, Dec 07	Not Available		12:15 AM, Dec 08	Not Available	
travelocity	AA-3823-LAX-DEN	Dec 07 - 9:00pm	Dec 07 - Not Available	44F/T4	Dec 08 - 12:15am	Dec 08 - Not Available	A49
orbitz	AA-3823-LAX-DEN	9:00pDec 7		 44F	12:15aDec 8		 A49
weather	AA-3823-LAX-DEN	2011-12-07 09:00 PM			2011-12-07 12:15 AM		
den	AA-3823-LAX-DEN				2011-12-07 12:15 AM		A49
mytripandmore	AA-3823-LAX-DEN	9:00pDec 7		 44F	12:15aDec 8		 A49
aa	AA-1472-DFW-ATL	12/07/2011 11:35 AM	12/07/2011 11:48 AM	C17	12/07/2011 02:35 PM	12/07/2011 02:37 PM	T12
flightexplorer	AA-1472-DFW-ATL		12/7/2011 11:49AM CST			12/7/2011 2:12PM EST	
airtravelcenter	AA-1472-DFW-ATL		12/7/11 11:49 AM (-06:00)			12/7/11 2:12 PM (-05:00)	
myrateplan	AA-1472-DFW-ATL		12/7/11 11:49 AM (-06:00)			12/7/11 2:12 PM (-05:00)	
helloflight	AA-1472-DFW-ATL		12/7/11 11:49 AM (-06:00)			12/7/11 2:12 PM (-05:00)	
flytecomm	AA-1472-DFW-ATL		12/7/11 11:49 AM (-06:00)			12/7/11 2:12 PM (-05:00)	
flightaware	AA-1472-DFW-ATL	2011-12-07 11:35AM CST	2011-12-07 11:48AM CST	 C17 	2011-12-07 02:12PM EST	2011-12-07 02:31PM EST	 T12 
wunderground	AA-1472-DFW-ATL	2011-12-07 11:35AM CST	2011-12-07 11:48AM CST	 C17 	2011-12-07 02:12PM EST	2011-12-07 02:31PM EST	 T12 
flights	AA-1472-DFW-ATL		2011-12-07 11:48 AM	C17		2011-12-07 02:37 PM	T12
businesstravellogue	AA-1472-DFW-ATL		2011-12-07 11:48 AM	C17		2011-12-07 02:37 PM	T12
flylouisville	AA-1472-DFW-ATL		2011-12-07 11:48 AM	C17		2011-12-07 02:37 PM	T12
flightstats	AA-1472-DFW-ATL	2011-12-07 11:35 AM	2011-12-07 11:48 AM		2011-12-07 2:35 PM	2011-12-07 2:37 PM	
quicktrip	AA-1472-DFW-ATL	2011-12-07 11:35 AM	2011-12-07 11:48 AM		2011-12-07 2:35 PM	2011-12-07 2:37 PM	
flightview	AA-1472-DFW-ATL		11:49 AMDec 07			2:30 PMDec 07	
panynj	AA-1472-DFW-ATL		11:49 AMDec 07			2:30 PMDec 07	
gofox	AA-1472-DFW-ATL		11:49 AMDec 07			2:30 PMDec 07	
foxbusiness	AA-1472-DFW-ATL		11:49 AMDec 07			2:30 PMDec 07	
allegiantair	AA-1472-DFW-ATL		11:49 AMDec 07			2:30 PMDec 07	
boston	AA-1472-DFW-ATL		11:49 AMDec 07			2:30 PMDec 07	
orbitz	AA-1472-DFW-ATL	11:35aDec 7	11:31aDec 7	 C17	2:35pDec 7	2:37pDec 7	 T12
usatoday	AA-1472-DFW-ATL	2011-12-07 11:35 AM	2011-12-07 11:48 AM		2011-12-07 2:35 PM	2011-12-07 2:37 PM	
flightarrival	AA-1472-DFW-ATL	2011-12-07 11:35 AM	2011-12-07 11:48 AM		2011-12-07 2:35 PM	2011-12-07 2:37 PM	
ua	UA-2465-ILM-CLT	Wed, Dec 7 11:10 AM	Wed, Dec 7 11:10 AM	6	Wed, Dec 7 12:21 PM	Wed, Dec 7 12:13 PM	C8
airtravelcenter	UA-2465-ILM-CLT		12/7/11 11:17 AM (-05:00)			12/7/11 11:48 AM (-05:00)	
myrateplan	UA-2465-ILM-CLT		12/7/11 11:17 AM (-05:00)			12/7/11 11:48 AM (-05:00)	
helloflight	UA-2465-ILM-CLT		12/7/11 11:17 AM (-05:00)			12/7/11 11:48 AM (-05:00)	
flytecomm	UA-2465-ILM-CLT		12/7/11 11:17 AM (-05:00)			12/7/11 11:48 AM (-05:00)	
