CO	CO-4237-EWR-DTW	Sun., Dec.25, 2011 12:09 p.m.	Sun., Dec.25, 2011 12:02 p.m.		Sun., Dec.25, 2011 2:16 p.m.	Sun., Dec.25, 2011 2:03 p.m.	
foxbusiness	UA-1547-LAX-CLE	3:50 PM, Dec 25	3:48 PM, Dec 25		11:12 PM, Dec 25		
allegiantair	UA-1547-LAX-CLE	3:50 PM, Dec 25	3:48 PM, Dec 25		11:12 PM, Dec 25		
boston	UA-1547-LAX-CLE	3:50 PM, Dec 25	3:48 PM, Dec 25		11:12 PM, Dec 25	11:08 PM, Dec 25&nbsp(Estimated)	
travelocity	UA-1547-LAX-CLE	Dec 25 - 3:50pm	Dec 25 - Contact Airline	Not provided by airline	Dec 25 - 11:14pm	Dec 25 - Contact Airline	Not provided by airline
orbitz	UA-1547-LAX-CLE	3:50pDec 25	3:36pDec 25	 64	10:52pDec 25		 C07
weather	UA-1547-LAX-CLE	2011-12-25 03:50 PM			2011-12-25 11:12 PM		
usatoday	UA-1547-LAX-CLE	2011-12-25 03:50 PM			2011-12-25 11:12 PM		
flightarrival	UA-1547-LAX-CLE	2011-12-25 03:50 PM			2011-12-25 11:12 PM		
CO	CO-1220-EWR-DFW	Sun., Dec.25, 2011 4:40 p.m.	Sun., Dec.25, 2011 5:26 p.m.		Sun., Dec.25, 2011 7:48 p.m.	Sun., Dec.25, 2011 8:55 p.m.	
flightexplorer	CO-1220-EWR-DFW		12/25/2011 5:42PM EST			12/25/2011 8:41PM CST	
airtravelcenter	CO-1220-EWR-DFW	12/25/11 4:40 PM (-05:00)			12/25/11 7:48 PM (-06:00)		
myrateplan	CO-1220-EWR-DFW	12/25/11 4:40 PM (-05:00)			12/25/11 7:48 PM (-06:00)		
helloflight	CO-1220-EWR-DFW	12/25/11 4:40 PM (-05:00)			12/25/11 7:48 PM (-06:00)		
flytecomm	CO-1220-EWR-DFW	12/25/11 4:40 PM (-05:00)			12/25/11 7:48 PM (-06:00)		
flights	CO-1220-EWR-DFW	04:40 PM  Sun 25-Dec-2011		85	07:48 PM  Sun 25-Dec-2011		E9
businesstravellogue	CO-1220-EWR-DFW	04:40 PM  Sun 25-Dec-2011		85	07:48 PM  Sun 25-Dec-2011		E9
flylouisville	CO-1220-EWR-DFW	04:40 PM  Sun 25-Dec-2011		85	07:48 PM  Sun 25-Dec-2011		E9
flightstats	CO-1220-EWR-DFW	2011-12-25 4:40 PM	2011-12-25 5:26 PM		2011-12-25 7:48 PM	2011-12-25 8:55 PM (Estimated)	
quicktrip	CO-1220-EWR-DFW	2011-12-25 4:40 PM	2011-12-25 5:26 PM		2011-12-25 7:48 PM	2011-12-25 8:55 PM (Estimated)	
world-flight-tracker	CO-1220-EWR-DFW	2011-12-25 4:40 PM	2011-12-25 5:26 PM		2011-12-25 7:48 PM	2011-12-25 8:55 PM (Estimated)	
flightview	CO-1220-EWR-DFW	4:40 PM, Dec 25	5:43 PM, Dec 25	Term C - C85	7:48 PM, Dec 25	8:38 PM, Dec 25	Term E - E9
panynj	CO-1220-EWR-DFW	4:40 PM, Dec 25	5:43 PM, Dec 25	Term C - C85	7:48 PM, Dec 25	8:38 PM, Dec 25	Term E - E9
gofox	CO-1220-EWR-DFW	4:40 PM, Dec 25	5:43 PM, Dec 25		7:48 PM, Dec 25	8:38 PM, Dec 25	
foxbusiness	CO-1220-EWR-DFW	4:40 PM, Dec 25	5:43 PM, Dec 25	Term C - C85	7:48 PM, Dec 25	8:38 PM, Dec 25	Term E - E9
allegiantair	CO-1220-EWR-DFW	4:40 PM, Dec 25	5:43 PM, Dec 25	Term C - C85	7:48 PM, Dec 25	8:38 PM, Dec 25	Term E - E9
boston	CO-1220-EWR-DFW	4:40 PM, Dec 25	5:43 PM, Dec 25		7:48 PM, Dec 25	8:38 PM, Dec 25	
travelocity	CO-1220-EWR-DFW	Dec 25 - 4:40pm	Dec 25 - 5:26pm	C85	Dec 25 - 7:48pm	Dec 25 - 8:37pm*	E9
orbitz	CO-1220-EWR-DFW	4:40pDec 25	5:26pDec 25	 C85	10:02pDec 25		 E9
weather	CO-1220-EWR-DFW	2011-12-25 04:40 PM			2011-12-25 07:48 PM		
dfw	CO-1220-EWR-DFW				2011-12-25 7:48 pm		E9
ifly	CO-1220-EWR-DFW	2011-12-25 4:40 PM	2011-12-25 5:26 PM		2011-12-25 7:48 PM	2011-12-25 8:55 PM (Estimated)	
mytripandmore	CO-1220-EWR-DFW	4:40pDec 25	5:26pDec 25	 C85	10:02pDec 25		 E9
ua	UA-1250-IAH-SNA	Sun, Dec 25 5:40 PM	Sun, Dec 25 6:10 PM            Delayed	E19	Sun, Dec 25 7:30 PM	Sun, Dec 25 7:46 PM	9
flightexplorer	UA-1250-IAH-SNA		12/25/2011 6:24PM CST			12/25/2011 7:30PM PST	
airtravelcenter	UA-1250-IAH-SNA	12/25/11 5:40 PM (-06:00)			12/25/11 7:30 PM (-08:00)		
myrateplan	UA-1250-IAH-SNA	12/25/11 5:40 PM (-06:00)			12/25/11 7:30 PM (-08:00)		
helloflight	UA-1250-IAH-SNA	12/25/11 5:40 PM (-06:00)			12/25/11 7:30 PM (-08:00)		
flytecomm	UA-1250-IAH-SNA	12/25/11 5:40 PM (-06:00)			12/25/11 7:30 PM (-08:00)		
flightaware	UA-1250-IAH-SNA	2011-12-25 05:40PM CST	2011-12-25 06:25PM CST	 E19 	2011-12-25 06:52PM PST	2011-12-25 07:29PM PST	 9 
wunderground	UA-1250-IAH-SNA	2011-12-25 05:40PM CST	2011-12-25 06:25PM CST	 E19 	2011-12-25 06:52PM PST	2011-12-25 07:29PM PST	 9 
flights	UA-1250-IAH-SNA		2011-12-25 06:10 PM	19		2011-12-25 07:30 PM	9
businesstravellogue	UA-1250-IAH-SNA		2011-12-25 06:10 PM	19		2011-12-25 07:30 PM	9
flylouisville	UA-1250-IAH-SNA		2011-12-25 06:10 PM	19		2011-12-25 07:30 PM	9
flightview	UA-1250-IAH-SNA		6:25 PMDec 25			7:39 PMDec 25	
panynj	UA-1250-IAH-SNA		6:25 PMDec 25			7:39 PMDec 25	
gofox	UA-1250-IAH-SNA		6:25 PMDec 25			7:39 PMDec 25	
foxbusiness	UA-1250-IAH-SNA		6:25 PMDec 25			7:39 PMDec 25	
allegiantair	UA-1250-IAH-SNA		6:25 PMDec 25			7:39 PMDec 25	
boston	UA-1250-IAH-SNA		6:25 PMDec 25			7:39 PMDec 25	
orbitz	UA-1250-IAH-SNA	5:40pDec 25	6:10pDec 25	 E19	8:02pDec 25		 9
flightarrival	UA-1250-IAH-SNA		6:25 PMDec 25			7:39 PMDec 25	
ua	UA-419-SFO-PHX	Sun, Dec 25 6:02 AM	Sun, Dec 25 6:00 AM	94	Sun, Dec 25 8:58 AM	Sun, Dec 25 8:53 AM	5
airtravelcenter	UA-419-SFO-PHX		12/25/11 6:15 AM (-08:00)			12/25/11 8:42 AM (-07:00)	
myrateplan	UA-419-SFO-PHX		12/25/11 6:15 AM (-08:00)			12/25/11 8:42 AM (-07:00)	
helloflight	UA-419-SFO-PHX		12/25/11 6:15 AM (-08:00)			12/25/11 8:42 AM (-07:00)	
flytecomm	UA-419-SFO-PHX		12/25/11 6:15 AM (-08:00)			12/25/11 8:42 AM (-07:00)	
flights	UA-419-SFO-PHX		2011-12-25 06:00 AM	G94		2011-12-25 08:53 AM	5
businesstravellogue	UA-419-SFO-PHX		2011-12-25 06:00 AM	G94		2011-12-25 08:53 AM	5
flylouisville	UA-419-SFO-PHX		2011-12-25 06:00 AM	G94		2011-12-25 08:53 AM	5
flightview	UA-419-SFO-PHX		6:15 AMDec 25			8:53 AMDec 25	
panynj	UA-419-SFO-PHX		6:15 AMDec 25			8:53 AMDec 25	
gofox	UA-419-SFO-PHX		6:15 AMDec 25			8:53 AMDec 25	
foxbusiness	UA-419-SFO-PHX		6:15 AMDec 25			8:53 AMDec 25	
allegiantair	UA-419-SFO-PHX		6:15 AMDec 25			8:53 AMDec 25	
boston	UA-419-SFO-PHX		6:15 AMDec 25			8:53 AMDec 25	
travelocity	UA-419-SFO-PHX	Dec 25 - Not Available	Dec 25 - 6:14am	CHK	Dec 25 - Not Available	Dec 25 - 8:53am	5
orbitz	UA-419-SFO-PHX	6:02aDec 25	6:00aDec 25	 94	8:58aDec 25	8:53aDec 25	 5
weather	UA-419-SFO-PHX	2011-12-25 06:02 AM			2011-12-25 08:58 AM		
mytripandmore	UA-419-SFO-PHX	6:02aDec 25	6:00aDec 25	 94	8:58aDec 25	8:53aDec 25	 5
flightarrival	UA-419-SFO-PHX	2011-12-25 06:02 AM			2011-12-25 08:58 AM		
aa	AA-2364-DFW-ORD	December 25, 2011               05:15 PM    	December 25, 2011               05:14 PM    	 A29	December 25, 2011               07:35 PM    	December 25, 2011               07:16 PM    	 H11A    
flightexplorer	AA-2364-DFW-ORD		12/25/2011 5:27PM CST			12/25/2011 7:14PM CST	
airtravelcenter	AA-2364-DFW-ORD		12/25/11 5:27 PM (-06:00)			12/25/11 7:14 PM (-06:00)	
myrateplan	AA-2364-DFW-ORD		12/25/11 5:27 PM (-06:00)			12/25/11 7:14 PM (-06:00)	
helloflight	AA-2364-DFW-ORD		12/25/11 5:27 PM (-06:00)			12/25/11 7:14 PM (-06:00)	
flytecomm	AA-2364-DFW-ORD		12/25/11 5:27 PM (-06:00)			12/25/11 7:14 PM (-06:00)	
flightaware	AA-2364-DFW-ORD	2011-12-25 05:15PM CST	2011-12-25 05:27PM CST	 A29 	2011-12-25 07:27PM CST	2011-12-25 07:12PM CST	 H11A 
wunderground	AA-2364-DFW-ORD	2011-12-25 05:15PM CST	2011-12-25 05:27PM CST	 A29 	2011-12-25 07:27PM CST	2011-12-25 07:12PM CST	 H11A 
flights	AA-2364-DFW-ORD	05:15 PM  Sun 25-Dec-2011	05:14 PM  Sun 25-Dec-2011	A29	07:35 PM  Sun 25-Dec-2011	07:16 PM  Sun 25-Dec-2011	H11A
businesstravellogue	AA-2364-DFW-ORD	05:15 PM  Sun 25-Dec-2011	05:14 PM  Sun 25-Dec-2011	A29	07:35 PM  Sun 25-Dec-2011	07:16 PM  Sun 25-Dec-2011	H11A
flylouisville	AA-2364-DFW-ORD	05:15 PM  Sun 25-Dec-2011	05:14 PM  Sun 25-Dec-2011	A29	07:35 PM  Sun 25-Dec-2011	07:16 PM  Sun 25-Dec-2011	H11A
flightstats	AA-2364-DFW-ORD	2011-12-25 5:15 PM	2011-12-25 5:14 PM		2011-12-25 7:35 PM	2011-12-25 7:16 PM	
quicktrip	AA-2364-DFW-ORD	2011-12-25 5:15 PM	2011-12-25 5:14 PM		2011-12-25 7:35 PM	2011-12-25 7:16 PM	
world-flight-tracker	AA-2364-DFW-ORD	2011-12-25 5:15 PM	2011-12-25 5:14 PM		2011-12-25 7:35 PM	2011-12-25 7:16 PM	
flightview	AA-2364-DFW-ORD	5:15 PM, Dec 25	5:27 PM, Dec 25	A29	7:35 PM, Dec 25	7:13 PM, Dec 25	H11A
panynj	AA-2364-DFW-ORD	5:15 PM, Dec 25	5:27 PM, Dec 25	A29	7:35 PM, Dec 25	7:13 PM, Dec 25	H11A
gofox	AA-2364-DFW-ORD	5:15 PM, Dec 25	5:27 PM, Dec 25		7:35 PM, Dec 25	7:13 PM, Dec 25	
foxbusiness	AA-2364-DFW-ORD	5:15 PM, Dec 25	5:27 PM, Dec 25	A29	7:35 PM, Dec 25	7:13 PM, Dec 25	H11A
allegiantair	AA-2364-DFW-ORD	5:15 PM, Dec 25	5:27 PM, Dec 25	A29	7:35 PM, Dec 25	7:13 PM, Dec 25	H11A
boston	AA-2364-DFW-ORD	5:15 PM, Dec 25	5:27 PM, Dec 25		7:35 PM, Dec 25	7:13 PM, Dec 25	
travelocity	AA-2364-DFW-ORD	Dec 25 - 5:15pm	Dec 25 - 5:14pm	A29/A	Dec 25 - 7:35pm	Dec 25 - 7:16pm	H11A/T3
orbitz	AA-2364-DFW-ORD	5:15pDec 25	5:14pDec 25	 A29	7:35pDec 25	7:16pDec 25	 H11A
weather	AA-2364-DFW-ORD	2011-12-25 05:15 PM			2011-12-25 07:35 PM		
dfw	AA-2364-DFW-ORD	2011-12-25 5:15 pm		A29			
ord	AA-2364-DFW-ORD	2011-12-25 5:15 PM		A29	2011-12-25 7:35 PM		H11A
usatoday	AA-2364-DFW-ORD	2011-12-25 05:15 PM			2011-12-25 07:35 PM		
mytripandmore	AA-2364-DFW-ORD	Dec 25 - 5:15pm	Dec 25 - 5:14pm	A29/A	Dec 25 - 7:35pm	Dec 25 - 7:16pm	H11A/T3
ua	UA-6152-YOW-IAD	Sun, Dec 25 2:19 PM	Sun, Dec 25 2:19 PM            Delayed	--	Sun, Dec 25 3:59 PM	Sun, Dec 25 4:14 PM	A5C
airtravelcenter	UA-6152-YOW-IAD	12/25/11 2:19 PM (-05:00)			12/25/11 3:59 PM (-05:00)		
myrateplan	UA-6152-YOW-IAD	12/25/11 2:19 PM (-05:00)			12/25/11 3:59 PM (-05:00)		
helloflight	UA-6152-YOW-IAD	12/25/11 2:19 PM (-05:00)			12/25/11 3:59 PM (-05:00)		
flytecomm	UA-6152-YOW-IAD	12/25/11 2:19 PM (-05:00)			12/25/11 3:59 PM (-05:00)		
flights	UA-6152-YOW-IAD		2011-12-25 02:21 PM			2011-12-25 04:14 PM	A5
businesstravellogue	UA-6152-YOW-IAD		2011-12-25 02:21 PM			2011-12-25 04:14 PM	A5
flylouisville	UA-6152-YOW-IAD		2011-12-25 02:21 PM			2011-12-25 04:14 PM	A5
flightview	UA-6152-YOW-IAD		2:54 PMDec 25			4:14 PMDec 25	
panynj	UA-6152-YOW-IAD		2:54 PMDec 25			4:14 PMDec 25	
gofox	UA-6152-YOW-IAD		2:54 PMDec 25			4:14 PMDec 25	
foxbusiness	UA-6152-YOW-IAD		2:54 PMDec 25			4:14 PMDec 25	
allegiantair	UA-6152-YOW-IAD		2:54 PMDec 25			4:14 PMDec 25	
boston	UA-6152-YOW-IAD		2:54 PMDec 25			4:08 PMDec 25	
orbitz	UA-6152-YOW-IAD	2:19pDec 25	2:19pDec 25	 -	3:59pDec 25	4:14pDec 25	 A5C
iad	UA-6152-YOW-IAD				2011-12-25 15:59 	2011-12-25 15:59 	
ua	UA-656-ORD-ALB	Sun, Dec 25 1:14 PM	Sun, Dec 25 1:11 PM            On Time	C26	Sun, Dec 25 4:09 PM	Sun, Dec 25 3:43 PM	A5
flightexplorer	UA-656-ORD-ALB		12/25/2011 1:19PM CST			12/25/2011 3:38PM EST	
airtravelcenter	UA-656-ORD-ALB		12/25/11 1:21 PM (-06:00)			12/25/11 3:38 PM (-05:00)	
myrateplan	UA-656-ORD-ALB		12/25/11 1:21 PM (-06:00)			12/25/11 3:38 PM (-05:00)	
helloflight	UA-656-ORD-ALB		12/25/11 1:21 PM (-06:00)			12/25/11 3:38 PM (-05:00)	
flytecomm	UA-656-ORD-ALB		12/25/11 1:21 PM (-06:00)			12/25/11 3:38 PM (-05:00)	
flightaware	UA-656-ORD-ALB	2011-12-25 01:14PM CST	2011-12-25 01:21PM CST	 C26 	2011-12-25 03:50PM EST	2011-12-25 03:41PM EST	 A5 
wunderground	UA-656-ORD-ALB	2011-12-25 01:14PM CST	2011-12-25 01:21PM CST	 C26 	2011-12-25 03:50PM EST	2011-12-25 03:41PM EST	 A5 
flights	UA-656-ORD-ALB		2011-12-25 01:11 PM	C26		2011-12-25 03:43 PM	A5
businesstravellogue	UA-656-ORD-ALB		2011-12-25 01:11 PM	C26		2011-12-25 03:43 PM	A5
flylouisville	UA-656-ORD-ALB		2011-12-25 01:11 PM	C26		2011-12-25 03:43 PM	A5
flightview	UA-656-ORD-ALB		1:21 PMDec 25			3:43 PMDec 25	
panynj	UA-656-ORD-ALB		1:21 PMDec 25			3:43 PMDec 25	
gofox	UA-656-ORD-ALB		1:21 PMDec 25			3:43 PMDec 25	
foxbusiness	UA-656-ORD-ALB		1:21 PMDec 25			3:43 PMDec 25	
allegiantair	UA-656-ORD-ALB		1:21 PMDec 25			3:43 PMDec 25	
boston	UA-656-ORD-ALB		1:21 PMDec 25			3:49 PMDec 25	
orbitz	UA-656-ORD-ALB	1:14pDec 25	1:11pDec 25	 C26	4:09pDec 25	3:43pDec 25	 A5
ord	UA-656-ORD-ALB	2011-12-25 1:14 PM		C26	2011-12-25 4:09 PM		A5
usatoday	UA-656-ORD-ALB		1:21 PMDec 25			3:49 PMDec 25	
mytripandmore	UA-656-ORD-ALB	1:14pDec 25	1:11pDec 25	 C26	4:09pDec 25	3:43pDec 25	 A5
aa	AA-1998-SAL-DFW	December 25, 2011               09:45 AM    	December 25, 2011               09:39 AM    	 -06-	December 25, 2011               01:20 PM    	December 25, 2011               01:01 PM    	 D37    
airtravelcenter	AA-1998-SAL-DFW		12/25/11 9:50 AM (-06:00)			12/25/11 12:54 PM (-06:00)	
myrateplan	AA-1998-SAL-DFW		12/25/11 9:50 AM (-06:00)			12/25/11 12:54 PM (-06:00)	
helloflight	AA-1998-SAL-DFW		12/25/11 9:50 AM (-06:00)			12/25/11 12:54 PM (-06:00)	
flytecomm	AA-1998-SAL-DFW		12/25/11 9:50 AM (-06:00)			12/25/11 12:54 PM (-06:00)	
flights	AA-1998-SAL-DFW	09:45 AM  Sun 25-Dec-2011	09:39 AM  Sun 25-Dec-2011	-06-	01:20 PM  Sun 25-Dec-2011	01:01 PM  Sun 25-Dec-2011	D37
businesstravellogue	AA-1998-SAL-DFW	09:45 AM  Sun 25-Dec-2011	09:39 AM  Sun 25-Dec-2011	-06-	01:20 PM  Sun 25-Dec-2011	01:01 PM  Sun 25-Dec-2011	D37
flylouisville	AA-1998-SAL-DFW	09:45 AM  Sun 25-Dec-2011	09:39 AM  Sun 25-Dec-2011	-06-	01:20 PM  Sun 25-Dec-2011	01:01 PM  Sun 25-Dec-2011	D37
world-flight-tracker	AA-1998-SAL-DFW	2011-12-25 9:45 AM	2011-12-25 9:39 AM		2011-12-25 1:20 PM	2011-12-25 1:01 PM	
flightview	AA-1998-SAL-DFW	9:45 AM, Dec 25	9:59 AM, Dec 25		1:20 PM, Dec 25	12:51 PM, Dec 25	
panynj	AA-1998-SAL-DFW	9:45 AM, Dec 25	9:59 AM, Dec 25		1:20 PM, Dec 25	12:51 PM, Dec 25	
gofox	AA-1998-SAL-DFW	9:45 AM, Dec 25	9:59 AM, Dec 25		1:20 PM, Dec 25	12:51 PM, Dec 25	
foxbusiness	AA-1998-SAL-DFW	9:45 AM, Dec 25	9:59 AM, Dec 25		1:20 PM, Dec 25	12:51 PM, Dec 25	
allegiantair	AA-1998-SAL-DFW	9:45 AM, Dec 25	9:59 AM, Dec 25		1:20 PM, Dec 25	12:51 PM, Dec 25	
boston	AA-1998-SAL-DFW	9:45 AM, Dec 25	9:59 AM, Dec 25		1:20 PM, Dec 25	12:51 PM, Dec 25	
travelocity	AA-1998-SAL-DFW	Dec 25 - 9:45am	Dec 25 - 9:39am	Not provided by airline	Dec 25 - 1:20pm	Dec 25 - 1:01pm	D37/D
orbitz	AA-1998-SAL-DFW	9:45aDec 25	9:39aDec 25	 06	1:20pDec 25	1:01pDec 25	 D37
weather	AA-1998-SAL-DFW	2011-12-25 09:45 AM			2011-12-25 01:20 PM		
dfw	AA-1998-SAL-DFW				2011-12-25 1:20 pm		D37
usatoday	AA-1998-SAL-DFW	2011-12-25 09:45 AM			2011-12-25 01:20 PM		
mytripandmore	AA-1998-SAL-DFW	9:45aDec 25	9:39aDec 25	 06	1:20pDec 25	1:01pDec 25	 D37
aa	AA-876-ORD-BOS	December 25, 2011               07:05 AM    	December 25, 2011               06:57 AM    	 H14	December 25, 2011               10:15 AM    	December 25, 2011               09:47 AM    	 B33    
flightexplorer	AA-876-ORD-BOS		12/25/2011 7:09AM CST			12/25/2011 9:44AM EST	
airtravelcenter	AA-876-ORD-BOS		12/25/11 7:09 AM (-06:00)			12/25/11 9:44 AM (-05:00)	
myrateplan	AA-876-ORD-BOS		12/25/11 7:09 AM (-06:00)			12/25/11 9:44 AM (-05:00)	
helloflight	AA-876-ORD-BOS		12/25/11 7:09 AM (-06:00)			12/25/11 9:44 AM (-05:00)	
flytecomm	AA-876-ORD-BOS		12/25/11 7:09 AM (-06:00)			12/25/11 9:44 AM (-05:00)	
flightaware	AA-876-ORD-BOS	2011-12-25 07:05AM CST	2011-12-25 07:09AM CST	 H14 	2011-12-25 10:00AM EST	2011-12-25 09:43AM EST	 B33 
wunderground	AA-876-ORD-BOS	2011-12-25 07:05AM CST	2011-12-25 07:09AM CST	 H14 	2011-12-25 10:00AM EST	2011-12-25 09:43AM EST	 B33 
flights	AA-876-ORD-BOS	07:05 AM  Sun 25-Dec-2011	06:57 AM  Sun 25-Dec-2011	H14	10:15 AM  Sun 25-Dec-2011	09:47 AM  Sun 25-Dec-2011	B33
businesstravellogue	AA-876-ORD-BOS	07:05 AM  Sun 25-Dec-2011	06:57 AM  Sun 25-Dec-2011	H14	10:15 AM  Sun 25-Dec-2011	09:47 AM  Sun 25-Dec-2011	B33
flylouisville	AA-876-ORD-BOS	07:05 AM  Sun 25-Dec-2011	06:57 AM  Sun 25-Dec-2011	H14	10:15 AM  Sun 25-Dec-2011	09:47 AM  Sun 25-Dec-2011	B33
flightstats	AA-876-ORD-BOS	2011-12-25 7:05 AM	2011-12-25 6:57 AM		2011-12-25 10:15 AM	2011-12-25 9:47 AM	
quicktrip	AA-876-ORD-BOS	2011-12-25 7:05 AM	2011-12-25 6:57 AM		2011-12-25 10:15 AM	2011-12-25 9:47 AM	
world-flight-tracker	AA-876-ORD-BOS	2011-12-25 7:05 AM	2011-12-25 6:57 AM		2011-12-25 10:15 AM	2011-12-25 9:47 AM	
flightview	AA-876-ORD-BOS	7:05 AM, Dec 25	7:09 AM, Dec 25	H14	10:15 AM, Dec 25	9:47 AM, Dec 25	Terminal B - 33
panynj	AA-876-ORD-BOS	7:05 AM, Dec 25	7:09 AM, Dec 25	H14	10:15 AM, Dec 25	9:47 AM, Dec 25	Terminal B - 33
gofox	AA-876-ORD-BOS	7:05 AM, Dec 25	7:09 AM, Dec 25		10:15 AM, Dec 25	9:47 AM, Dec 25	
foxbusiness	AA-876-ORD-BOS	7:05 AM, Dec 25	7:09 AM, Dec 25	H14	10:15 AM, Dec 25	9:47 AM, Dec 25	Terminal B - 33
allegiantair	AA-876-ORD-BOS	7:05 AM, Dec 25	7:09 AM, Dec 25	H14	10:15 AM, Dec 25	9:47 AM, Dec 25	Terminal B - 33
boston	AA-876-ORD-BOS	7:05 AM, Dec 25	7:09 AM, Dec 25		10:15 AM, Dec 25	9:43 AM, Dec 25	
travelocity	AA-876-ORD-BOS	Dec 25 - 7:05am	Dec 25 - 6:57am	H14/T3	Dec 25 - 10:15am	Dec 25 - 9:47am	B33
orbitz	AA-876-ORD-BOS	7:05aDec 25	6:57aDec 25	 H14	10:15aDec 25	9:47aDec 25	 B33
weather	AA-876-ORD-BOS	2011-12-25 07:05 AM	2011-12-25 07:09 AM		2011-12-25 10:15 AM	2011-12-25 09:38 AM	
ord	AA-876-ORD-BOS	2011-12-25 7:05 AM		H14	2011-12-25 10:15 AM		B33
ifly	AA-876-ORD-BOS	2011-12-25 7:05 AM	2011-12-25 6:57 AM		2011-12-25 10:15 AM	2011-12-25 9:47 AM	
usatoday	AA-876-ORD-BOS	7:05 AM, Dec 25	7:09 AM, Dec 25		10:15 AM, Dec 25	9:43 AM, Dec 25	
ua	UA-1712-SJU-IAH	Sun, Dec 25 5:17 PM	Sun, Dec 25 5:27 PM	36	Sun, Dec 25 8:21 PM	Sun, Dec 25 8:04 PM	E6
airtravelcenter	UA-1712-SJU-IAH	12/25/11 5:17 PM (-04:00)			12/25/11 8:21 PM (-06:00)		
myrateplan	UA-1712-SJU-IAH	12/25/11 5:17 PM (-04:00)			12/25/11 8:21 PM (-06:00)		
helloflight	UA-1712-SJU-IAH	12/25/11 5:17 PM (-04:00)			12/25/11 8:21 PM (-06:00)		
flytecomm	UA-1712-SJU-IAH	12/25/11 5:17 PM (-04:00)			12/25/11 8:21 PM (-06:00)		
flights	UA-1712-SJU-IAH		2011-12-25 05:27 PM	B36		2011-12-25 08:04 PM	6
businesstravellogue	UA-1712-SJU-IAH		2011-12-25 05:27 PM	B36		2011-12-25 08:04 PM	6
flylouisville	UA-1712-SJU-IAH		2011-12-25 05:27 PM	B36		2011-12-25 08:04 PM	6
flightview	UA-1712-SJU-IAH		5:40 PMDec 25			8:04 PMDec 25	
panynj	UA-1712-SJU-IAH		5:40 PMDec 25			8:04 PMDec 25	
gofox	UA-1712-SJU-IAH		5:40 PMDec 25			8:04 PMDec 25	
foxbusiness	UA-1712-SJU-IAH		5:40 PMDec 25			8:04 PMDec 25	
allegiantair	UA-1712-SJU-IAH		5:40 PMDec 25			8:04 PMDec 25	
boston	UA-1712-SJU-IAH		5:40 PMDec 25			8:00 PMDec 25	
travelocity	UA-1712-SJU-IAH	Dec 25 - 5:17pm	Dec 25 - Contact Airline	Not provided by airline	Dec 25 - 8:21pm	Dec 25 - Contact Airline	Not provided by airline
orbitz	UA-1712-SJU-IAH	5:17pDec 25	5:27pDec 25	 36	8:21pDec 25	8:04pDec 25	 E6
weather	UA-1712-SJU-IAH	2011-12-25 05:17 PM			2011-12-25 08:21 PM		
usatoday	UA-1712-SJU-IAH	2011-12-25 05:17 PM			2011-12-25 08:21 PM		
ua	UA-3470-DEN-IND	Sun, Dec 25 6:20 PM	Sun, Dec 25 6:20 PM	B60	Sun, Dec 25 10:48 PM	Sun, Dec 25 10:48 PM	A23
airtravelcenter	UA-3470-DEN-IND		12/25/11 6:30 PM (-07:00)			12/25/11 10:35 PM (-05:00)	
myrateplan	UA-3470-DEN-IND		12/25/11 6:30 PM (-07:00)			12/25/11 10:35 PM (-05:00)	
helloflight	UA-3470-DEN-IND		12/25/11 6:30 PM (-07:00)			12/25/11 10:35 PM (-05:00)	
flytecomm	UA-3470-DEN-IND		12/25/11 6:30 PM (-07:00)			12/25/11 10:35 PM (-05:00)	
flightaware	UA-3470-DEN-IND	2011-12-25 06:20PM MST	2011-12-25 06:30PM MST	 B60 	2011-12-25 10:28PM EST	2011-12-25 10:38PM EST	 A23 
wunderground	UA-3470-DEN-IND	2011-12-25 06:20PM MST	2011-12-25 06:30PM MST	 B60 	2011-12-25 10:28PM EST	2011-12-25 10:38PM EST	 A23 
flights	UA-3470-DEN-IND	06:20 PM  Sun 25-Dec-2011		B60	10:48 PM  Sun 25-Dec-2011		A23
businesstravellogue	UA-3470-DEN-IND	06:20 PM  Sun 25-Dec-2011		B60	10:48 PM  Sun 25-Dec-2011		A23
flylouisville	UA-3470-DEN-IND	06:20 PM  Sun 25-Dec-2011		B60	10:48 PM  Sun 25-Dec-2011		A23
world-flight-tracker	UA-3470-DEN-IND	2011-12-25 6:20 PM	2011-12-25 6:20 PM (Estimated)		2011-12-25 10:48 PM	2011-12-25 10:48 PM (Estimated)	
flightview	UA-3470-DEN-IND	6:20 PM, Dec 25		B60	10:48 PM, Dec 25		A23
panynj	UA-3470-DEN-IND	6:20 PM, Dec 25		B60	10:48 PM, Dec 25		A23
gofox	UA-3470-DEN-IND	6:20 PM, Dec 25			10:48 PM, Dec 25		
foxbusiness	UA-3470-DEN-IND	6:20 PM, Dec 25		B60	10:48 PM, Dec 25		A23
allegiantair	UA-3470-DEN-IND	6:20 PM, Dec 25		B60	10:48 PM, Dec 25		A23
boston	UA-3470-DEN-IND	6:20 PM, Dec 25	Not Available		10:48 PM, Dec 25	Not Available	
travelocity	UA-3470-DEN-IND	Dec 25 - 6:20pm	Dec 25 - Not Available	B60	Dec 25 - 10:48pm	Dec 25 - Not Available	A23
