CO	CO-4237-EWR-DTW	Thu., Dec.29, 2011 12:17 p.m.	Thu., Dec.29, 2011 12:21 p.m.		Thu., Dec.29, 2011 2:24 p.m.	Thu., Dec.29, 2011 2:19 p.m.	
gofox	AA-3716-ATL-ORD	3:35 PM, Dec 29	3:51 PM, Dec 29		4:50 PM, Dec 29	4:30 PM, Dec 29	
foxbusiness	AA-3716-ATL-ORD	3:35 PM, Dec 29	3:51 PM, Dec 29	T10	4:50 PM, Dec 29	4:30 PM, Dec 29	H4
allegiantair	AA-3716-ATL-ORD	3:35 PM, Dec 29	3:51 PM, Dec 29	T10	4:50 PM, Dec 29	4:30 PM, Dec 29	H4
boston	AA-3716-ATL-ORD	3:35 PM, Dec 29	3:51 PM, Dec 29		4:50 PM, Dec 29	4:30 PM, Dec 29	
travelocity	AA-3716-ATL-ORD	Dec 29 - 3:35pm	Dec 29 - 3:32pm	T10	Dec 29 - 4:50pm	Dec 29 - 4:33pm	H4/T3
orbitz	AA-3716-ATL-ORD	3:35pDec 29	3:32pDec 29	 T10	4:50pDec 29	4:33pDec 29	 H4
weather	AA-3716-ATL-ORD	2011-12-29 03:35 PM			2011-12-29 04:50 PM		
ord	AA-3716-ATL-ORD	2011-12-29 3:35 PM		T10	2011-12-29 4:50 PM		H4
ifly	AA-3716-ATL-ORD	2011-12-29 3:35 PM	2011-12-29 3:32 PM		2011-12-29 4:50 PM	2011-12-29 4:33 PM	
usatoday	AA-3716-ATL-ORD	3:35 PM, Dec 29	3:51 PM, Dec 29		4:50 PM, Dec 29	4:30 PM, Dec 29	
CO	CO-1089-IAH-MCO	Thu., Dec.29, 2011 4:01 p.m.	Thu., Dec.29, 2011 4:01 p.m.		Thu., Dec.29, 2011 7:17 p.m.	Thu., Dec.29, 2011 7:15 p.m.	
flightexplorer	CO-1089-IAH-MCO		12/29/2011 4:22PM CST			12/29/2011 7:05PM EST	
airtravelcenter	CO-1089-IAH-MCO	12/29/11 4:01 PM (-06:00)			12/29/11 7:17 PM (-05:00)		
myrateplan	CO-1089-IAH-MCO	12/29/11 4:01 PM (-06:00)			12/29/11 7:17 PM (-05:00)		
helloflight	CO-1089-IAH-MCO	12/29/11 4:01 PM (-06:00)			12/29/11 7:17 PM (-05:00)		
flytecomm	CO-1089-IAH-MCO	12/29/11 4:01 PM (-06:00)			12/29/11 7:17 PM (-05:00)		
flightaware	CO-1089-IAH-MCO	2011-12-29 04:01PM CST	2011-12-29 04:22PM CST	 44 	2011-12-29 07:07PM EST	2011-12-29 07:06PM EST	 36 
wunderground	CO-1089-IAH-MCO	2011-12-29 04:01PM CST	2011-12-29 04:22PM CST	 44 	2011-12-29 07:07PM EST	2011-12-29 07:06PM EST	 36 
flights	CO-1089-IAH-MCO		2011-12-29 04:01 PM	44		2011-12-29 07:15 PM	36
businesstravellogue	CO-1089-IAH-MCO		2011-12-29 04:01 PM	44		2011-12-29 07:15 PM	36
flylouisville	CO-1089-IAH-MCO		2011-12-29 04:01 PM	44		2011-12-29 07:15 PM	36
flightstats	CO-1089-IAH-MCO	2011-12-29 4:01 PM	2011-12-29 4:01 PM		2011-12-29 7:17 PM	2011-12-29 7:15 PM	
quicktrip	CO-1089-IAH-MCO	2011-12-29 4:01 PM	2011-12-29 4:01 PM		2011-12-29 7:17 PM	2011-12-29 7:15 PM	
flightview	CO-1089-IAH-MCO		4:22 PMDec 29			7:15 PMDec 29	
panynj	CO-1089-IAH-MCO		4:22 PMDec 29			7:15 PMDec 29	
gofox	CO-1089-IAH-MCO		4:22 PMDec 29			7:15 PMDec 29	
foxbusiness	CO-1089-IAH-MCO		4:22 PMDec 29			7:15 PMDec 29	
allegiantair	CO-1089-IAH-MCO		4:22 PMDec 29			7:15 PMDec 29	
boston	CO-1089-IAH-MCO		4:22 PMDec 29			7:06 PMDec 29	
orbitz	CO-1089-IAH-MCO	4:01pDec 29	4:01pDec 29	 44	7:17pDec 29	7:15pDec 29	 36
mco	CO-1089-IAH-MCO				2011-12-29 Thu  19:17	2011-12-29 Thu  19:13	36?
ifly	CO-1089-IAH-MCO	2011-12-29 4:01 PM	2011-12-29 4:01 PM		2011-12-29 7:17 PM	2011-12-29 7:15 PM	
mytripandmore	CO-1089-IAH-MCO	4:01pDec 29	4:01pDec 29	 44	7:17pDec 29	7:15pDec 29	 36
flightarrival	CO-1089-IAH-MCO	2011-12-29 4:01 PM	2011-12-29 4:01 PM		2011-12-29 7:17 PM	2011-12-29 7:15 PM	
ua	UA-1547-LAX-CLE	Thu, Dec 29 3:50 PM	Thu, Dec 29 3:49 PM	62	Thu, Dec 29 11:12 PM	Thu, Dec 29 11:22 PM	C08
airtravelcenter	UA-1547-LAX-CLE	12/29/11 3:50 PM (-08:00)			12/29/11 11:12 PM (-05:00)		
myrateplan	UA-1547-LAX-CLE	12/29/11 3:50 PM (-08:00)			12/29/11 11:12 PM (-05:00)		
helloflight	UA-1547-LAX-CLE	12/29/11 3:50 PM (-08:00)			12/29/11 11:12 PM (-05:00)		
flytecomm	UA-1547-LAX-CLE	12/29/11 3:50 PM (-08:00)			12/29/11 11:12 PM (-05:00)		
flightaware	UA-1547-LAX-CLE	2011-12-29 03:50PM PST	2011-12-29 03:59PM PST	 62 	2011-12-29 11:04PM EST	2011-12-29 11:13PM EST	 C8 
wunderground	UA-1547-LAX-CLE	2011-12-29 03:50PM PST	2011-12-29 03:59PM PST	 62 	2011-12-29 11:04PM EST	2011-12-29 11:13PM EST	 C8 
flights	UA-1547-LAX-CLE	03:50 PM  Thu 29-Dec-2011		62	11:12 PM  Thu 29-Dec-2011		C8
businesstravellogue	UA-1547-LAX-CLE	03:50 PM  Thu 29-Dec-2011		62	11:12 PM  Thu 29-Dec-2011		C8
flylouisville	UA-1547-LAX-CLE	03:50 PM  Thu 29-Dec-2011		62	11:12 PM  Thu 29-Dec-2011		C8
world-flight-tracker	UA-1547-LAX-CLE	2011-12-29 3:50 PM	2011-12-29 3:49 PM		2011-12-29 11:12 PM	2011-12-29 11:12 PM (Estimated)	
flightview	UA-1547-LAX-CLE	3:50 PM, Dec 29	3:59 PM, Dec 29		11:12 PM, Dec 29		
panynj	UA-1547-LAX-CLE	3:50 PM, Dec 29	3:59 PM, Dec 29		11:12 PM, Dec 29		
gofox	UA-1547-LAX-CLE	3:50 PM, Dec 29	3:59 PM, Dec 29		11:12 PM, Dec 29		
foxbusiness	UA-1547-LAX-CLE	3:50 PM, Dec 29	3:59 PM, Dec 29		11:12 PM, Dec 29		
allegiantair	UA-1547-LAX-CLE	3:50 PM, Dec 29	3:59 PM, Dec 29		11:12 PM, Dec 29		
boston	UA-1547-LAX-CLE	3:50 PM, Dec 29	3:59 PM, Dec 29		11:12 PM, Dec 29	11:04 PM, Dec 29&nbsp(Estimated)	
travelocity	UA-1547-LAX-CLE	Dec 29 - 3:50pm	Dec 29 - Contact Airline	Not provided by airline	Dec 29 - 11:14pm	Dec 29 - Contact Airline	Not provided by airline
orbitz	UA-1547-LAX-CLE	3:50pDec 29	3:49pDec 29	 62	11:30pDec 29		 C08
weather	UA-1547-LAX-CLE	2011-12-29 03:50 PM			2011-12-29 11:12 PM		
usatoday	UA-1547-LAX-CLE	3:50 PM, Dec 29	3:59 PM, Dec 29		11:12 PM, Dec 29	11:04 PM, Dec 29&nbsp(Estimated)	
mytripandmore	UA-1547-LAX-CLE	3:50pDec 29	3:49pDec 29	 62	11:30pDec 29		 C08
flightarrival	UA-1547-LAX-CLE	2011-12-29 03:50 PM			2011-12-29 11:12 PM		
CO	CO-1220-EWR-DFW	Thu., Dec.29, 2011 4:35 p.m.	Thu., Dec.29, 2011 4:28 p.m.		Thu., Dec.29, 2011 7:43 p.m.	Thu., Dec.29, 2011 7:23 p.m.	
airtravelcenter	CO-1220-EWR-DFW	12/29/11 4:35 PM (-05:00)			12/29/11 7:43 PM (-06:00)		
myrateplan	CO-1220-EWR-DFW	12/29/11 4:35 PM (-05:00)			12/29/11 7:43 PM (-06:00)		
helloflight	CO-1220-EWR-DFW	12/29/11 4:35 PM (-05:00)			12/29/11 7:43 PM (-06:00)		
flytecomm	CO-1220-EWR-DFW	12/29/11 4:35 PM (-05:00)			12/29/11 7:43 PM (-06:00)		
flightaware	CO-1220-EWR-DFW	2011-12-29 04:35PM EST	2011-12-29 04:53PM EST	 C81 	2011-12-29 07:26PM CST	2011-12-29 07:18PM CST	 E8 
wunderground	CO-1220-EWR-DFW	2011-12-29 04:35PM EST	2011-12-29 04:53PM EST	 C81 	2011-12-29 07:26PM CST	2011-12-29 07:18PM CST	 E8 
flights	CO-1220-EWR-DFW		2011-12-29 04:28 PM	81		2011-12-29 07:23 PM	E8
businesstravellogue	CO-1220-EWR-DFW		2011-12-29 04:28 PM	81		2011-12-29 07:23 PM	E8
flylouisville	CO-1220-EWR-DFW		2011-12-29 04:28 PM	81		2011-12-29 07:23 PM	E8
flightstats	CO-1220-EWR-DFW	2011-12-29 4:35 PM	2011-12-29 4:28 PM		2011-12-29 7:43 PM	2011-12-29 7:23 PM	
quicktrip	CO-1220-EWR-DFW	2011-12-29 4:35 PM	2011-12-29 4:28 PM		2011-12-29 7:43 PM	2011-12-29 7:23 PM	
flightview	CO-1220-EWR-DFW		4:54 PMDec 29			7:23 PMDec 29	
panynj	CO-1220-EWR-DFW		4:54 PMDec 29			7:23 PMDec 29	
gofox	CO-1220-EWR-DFW		4:54 PMDec 29			7:23 PMDec 29	
foxbusiness	CO-1220-EWR-DFW		4:54 PMDec 29			7:23 PMDec 29	
allegiantair	CO-1220-EWR-DFW		4:54 PMDec 29			7:23 PMDec 29	
boston	CO-1220-EWR-DFW		4:54 PMDec 29			7:18 PMDec 29	
orbitz	CO-1220-EWR-DFW	4:35pDec 29	4:28pDec 29	 C81	7:43pDec 29	7:23pDec 29	 E8
usatoday	CO-1220-EWR-DFW	2011-12-29 4:35 PM	2011-12-29 4:28 PM		2011-12-29 7:43 PM	2011-12-29 7:23 PM	
mytripandmore	CO-1220-EWR-DFW	4:35pDec 29	4:28pDec 29	 C81	7:43pDec 29	7:23pDec 29	 E8
ua	UA-1250-IAH-SNA	Thu, Dec 29 5:40 PM	Thu, Dec 29 5:43 PM            Delayed	C-36	Thu, Dec 29 7:30 PM	Thu, Dec 29 7:17 PM	9
flightexplorer	UA-1250-IAH-SNA		12/29/2011 5:57PM CST			12/29/2011 6:58PM PST	
airtravelcenter	UA-1250-IAH-SNA	12/29/11 5:40 PM (-06:00)			12/29/11 7:30 PM (-08:00)		
myrateplan	UA-1250-IAH-SNA	12/29/11 5:40 PM (-06:00)			12/29/11 7:30 PM (-08:00)		
helloflight	UA-1250-IAH-SNA	12/29/11 5:40 PM (-06:00)			12/29/11 7:30 PM (-08:00)		
flytecomm	UA-1250-IAH-SNA	12/29/11 5:40 PM (-06:00)			12/29/11 7:30 PM (-08:00)		
flightaware	UA-1250-IAH-SNA	2011-12-29 05:40PM CST	2011-12-29 05:58PM CST	 36 	2011-12-29 06:54PM PST	2011-12-29 06:59PM PST	 9 
wunderground	UA-1250-IAH-SNA	2011-12-29 05:40PM CST	2011-12-29 05:58PM CST	 36 	2011-12-29 06:54PM PST	2011-12-29 06:59PM PST	 9 
flights	UA-1250-IAH-SNA		2011-12-29 05:43 PM	36		2011-12-29 07:30 PM	9
businesstravellogue	UA-1250-IAH-SNA		2011-12-29 05:43 PM	36		2011-12-29 07:30 PM	9
flylouisville	UA-1250-IAH-SNA		2011-12-29 05:43 PM	36		2011-12-29 07:30 PM	9
flightview	UA-1250-IAH-SNA		5:58 PMDec 29			7:02 PMDec 29	
panynj	UA-1250-IAH-SNA		5:58 PMDec 29			7:02 PMDec 29	
gofox	UA-1250-IAH-SNA		5:58 PMDec 29			7:02 PMDec 29	
foxbusiness	UA-1250-IAH-SNA		5:58 PMDec 29			7:02 PMDec 29	
allegiantair	UA-1250-IAH-SNA		5:58 PMDec 29			7:02 PMDec 29	
boston	UA-1250-IAH-SNA		5:58 PMDec 29			7:02 PMDec 29	
orbitz	UA-1250-IAH-SNA	5:40pDec 29	5:43pDec 29	 36	7:04pDec 29		 9
flightwise	UA-1250-IAH-SNA	2011-12-29 05:40PM CST	2011-12-29 05:58PM CST	 36 	2011-12-29 06:54PM PST	2011-12-29 06:59PM PST	 9 
aa	AA-2364-DFW-ORD	December 29, 2011               05:15 PM    	December 29, 2011               05:14 PM    	 A37	December 29, 2011               07:35 PM    	December 29, 2011               07:29 PM    	 K2    
flightexplorer	AA-2364-DFW-ORD		12/29/2011 5:28PM CST			12/29/2011 7:21PM CST	
airtravelcenter	AA-2364-DFW-ORD		12/29/11 5:28 PM (-06:00)			12/29/11 7:21 PM (-06:00)	
myrateplan	AA-2364-DFW-ORD		12/29/11 5:28 PM (-06:00)			12/29/11 7:21 PM (-06:00)	
helloflight	AA-2364-DFW-ORD		12/29/11 5:28 PM (-06:00)			12/29/11 7:21 PM (-06:00)	
flytecomm	AA-2364-DFW-ORD		12/29/11 5:28 PM (-06:00)			12/29/11 7:21 PM (-06:00)	
flightaware	AA-2364-DFW-ORD	2011-12-29 05:15PM CST	2011-12-29 05:28PM CST	 A37 	2011-12-29 07:26PM CST	2011-12-29 07:20PM CST	 K2 
wunderground	AA-2364-DFW-ORD	2011-12-29 05:15PM CST	2011-12-29 05:28PM CST	 A37 	2011-12-29 07:26PM CST	2011-12-29 07:20PM CST	 K2 
flights	AA-2364-DFW-ORD	05:15 PM  Thu 29-Dec-2011	05:14 PM  Thu 29-Dec-2011	A37	07:35 PM  Thu 29-Dec-2011	07:29 PM  Thu 29-Dec-2011	K2
businesstravellogue	AA-2364-DFW-ORD	05:15 PM  Thu 29-Dec-2011	05:14 PM  Thu 29-Dec-2011	A37	07:35 PM  Thu 29-Dec-2011	07:29 PM  Thu 29-Dec-2011	K2
flylouisville	AA-2364-DFW-ORD	05:15 PM  Thu 29-Dec-2011	05:14 PM  Thu 29-Dec-2011	A37	07:35 PM  Thu 29-Dec-2011	07:29 PM  Thu 29-Dec-2011	K2
flightstats	AA-2364-DFW-ORD	2011-12-29 5:15 PM	2011-12-29 5:14 PM		2011-12-29 7:35 PM	2011-12-29 7:29 PM	
quicktrip	AA-2364-DFW-ORD	2011-12-29 5:15 PM	2011-12-29 5:14 PM		2011-12-29 7:35 PM	2011-12-29 7:29 PM	
world-flight-tracker	AA-2364-DFW-ORD	2011-12-29 5:15 PM	2011-12-29 5:14 PM		2011-12-29 7:35 PM	2011-12-29 7:29 PM	
flightview	AA-2364-DFW-ORD	5:15 PM, Dec 29	5:28 PM, Dec 29	A37	7:35 PM, Dec 29	7:24 PM, Dec 29	K2
panynj	AA-2364-DFW-ORD	5:15 PM, Dec 29	5:28 PM, Dec 29	A37	7:35 PM, Dec 29	7:24 PM, Dec 29	K2
gofox	AA-2364-DFW-ORD	5:15 PM, Dec 29	5:28 PM, Dec 29		7:35 PM, Dec 29	7:24 PM, Dec 29	
foxbusiness	AA-2364-DFW-ORD	5:15 PM, Dec 29	5:28 PM, Dec 29	A37	7:35 PM, Dec 29	7:24 PM, Dec 29	K2
allegiantair	AA-2364-DFW-ORD	5:15 PM, Dec 29	5:28 PM, Dec 29	A37	7:35 PM, Dec 29	7:24 PM, Dec 29	K2
boston	AA-2364-DFW-ORD	5:15 PM, Dec 29	5:28 PM, Dec 29		7:35 PM, Dec 29	7:24 PM, Dec 29	
travelocity	AA-2364-DFW-ORD	Dec 29 - 5:15pm	Dec 29 - 5:14pm	A37/A	Dec 29 - 7:35pm	Dec 29 - 7:29pm	K2/T3
orbitz	AA-2364-DFW-ORD	5:15pDec 29	5:14pDec 29	 A37	7:35pDec 29	7:29pDec 29	 K2
weather	AA-2364-DFW-ORD	2011-12-29 05:15 PM			2011-12-29 07:35 PM		
dfw	AA-2364-DFW-ORD	2011-12-29 5:15 pm		A37			
ord	AA-2364-DFW-ORD	2011-12-29 5:15 PM		A37	2011-12-29 7:35 PM		K2
usatoday	AA-2364-DFW-ORD	5:15 PM, Dec 29	5:28 PM, Dec 29		7:35 PM, Dec 29	7:24 PM, Dec 29	
flightarrival	AA-2364-DFW-ORD	5:15 PM, Dec 29	5:28 PM, Dec 29		7:35 PM, Dec 29	7:24 PM, Dec 29	
ua	UA-3775-MIA-IAD	Thu, Dec 29 11:38 AM	Thu, Dec 29 11:46 AM	G11	Thu, Dec 29 2:16 PM	Thu, Dec 29 2:11 PM	D14
flightexplorer	UA-3775-MIA-IAD		12/29/2011 11:59AM EST			12/29/2011 2:09PM EST	
airtravelcenter	UA-3775-MIA-IAD	12/29/11 11:38 AM (-05:00)			12/29/11 2:16 PM (-05:00)		
myrateplan	UA-3775-MIA-IAD	12/29/11 11:38 AM (-05:00)			12/29/11 2:16 PM (-05:00)		
helloflight	UA-3775-MIA-IAD	12/29/11 11:38 AM (-05:00)			12/29/11 2:16 PM (-05:00)		
flytecomm	UA-3775-MIA-IAD	12/29/11 11:38 AM (-05:00)			12/29/11 2:16 PM (-05:00)		
flights	UA-3775-MIA-IAD		2011-12-29 11:46 AM	G11		2011-12-29 02:11 PM	D14
businesstravellogue	UA-3775-MIA-IAD		2011-12-29 11:46 AM	G11		2011-12-29 02:11 PM	D14
flylouisville	UA-3775-MIA-IAD		2011-12-29 11:46 AM	G11		2011-12-29 02:11 PM	D14
flightview	UA-3775-MIA-IAD		11:59 AMDec 29			2:11 PMDec 29	
panynj	UA-3775-MIA-IAD		11:59 AMDec 29			2:11 PMDec 29	
gofox	UA-3775-MIA-IAD		11:59 AMDec 29			2:11 PMDec 29	
foxbusiness	UA-3775-MIA-IAD		11:59 AMDec 29			2:11 PMDec 29	
allegiantair	UA-3775-MIA-IAD		11:59 AMDec 29			2:11 PMDec 29	
boston	UA-3775-MIA-IAD		11:59 AMDec 29			2:04 PMDec 29	
travelocity	UA-3775-MIA-IAD	Dec 29 - Not Available	Dec 29 - 11:58am	G11	Dec 29 - Not Available	Dec 29 - 2:11pm	CHK
orbitz	UA-3775-MIA-IAD	11:38aDec 29	11:46aDec 29	 G11	2:16pDec 29	2:11pDec 29	 D14
weather	UA-3775-MIA-IAD	2011-12-29 11:38 AM			2011-12-29 02:16 PM		
iad	UA-3775-MIA-IAD				2011-12-29 14:16 	2011-12-29 14:06 	
mytripandmore	UA-3775-MIA-IAD	11:38aDec 29	11:46aDec 29	 G11	2:16pDec 29	2:11pDec 29	 D14
flightarrival	UA-3775-MIA-IAD		11:59 AMDec 29			2:04 PMDec 29	
ua	UA-6152-YOW-IAD	Thu, Dec 29 2:19 PM	Thu, Dec 29 2:15 PM            On Time	--	Thu, Dec 29 3:59 PM	Thu, Dec 29 3:54 PM	C26R
airtravelcenter	UA-6152-YOW-IAD	12/29/11 2:19 PM (-05:00)			12/29/11 3:59 PM (-05:00)		
myrateplan	UA-6152-YOW-IAD	12/29/11 2:19 PM (-05:00)			12/29/11 3:59 PM (-05:00)		
helloflight	UA-6152-YOW-IAD	12/29/11 2:19 PM (-05:00)			12/29/11 3:59 PM (-05:00)		
flytecomm	UA-6152-YOW-IAD	12/29/11 2:19 PM (-05:00)			12/29/11 3:59 PM (-05:00)		
flights	UA-6152-YOW-IAD		2011-12-29 02:15 PM			2011-12-29 03:54 PM	C26
businesstravellogue	UA-6152-YOW-IAD		2011-12-29 02:15 PM			2011-12-29 03:54 PM	C26
flylouisville	UA-6152-YOW-IAD		2011-12-29 02:15 PM			2011-12-29 03:54 PM	C26
flightview	UA-6152-YOW-IAD		2:34 PMDec 29			3:54 PMDec 29	
panynj	UA-6152-YOW-IAD		2:34 PMDec 29			3:54 PMDec 29	
gofox	UA-6152-YOW-IAD		2:34 PMDec 29			3:54 PMDec 29	
foxbusiness	UA-6152-YOW-IAD		2:34 PMDec 29			3:54 PMDec 29	
allegiantair	UA-6152-YOW-IAD		2:34 PMDec 29			3:54 PMDec 29	
boston	UA-6152-YOW-IAD		2:34 PMDec 29			3:38 PMDec 29	
orbitz	UA-6152-YOW-IAD	2:19pDec 29	2:15pDec 29	 -	3:59pDec 29	3:54pDec 29	 C26R
iad	UA-6152-YOW-IAD				2011-12-29 15:59 	2011-12-29 15:59 	
mytripandmore	UA-6152-YOW-IAD	2:19pDec 29	2:15pDec 29	 -	3:59pDec 29	3:54pDec 29	 C26R
flightarrival	UA-6152-YOW-IAD		2:34 PMDec 29			3:38 PMDec 29	
ua	UA-656-ORD-ALB	Thu, Dec 29 1:14 PM	Thu, Dec 29 1:07 PM            On Time	C28	Thu, Dec 29 4:09 PM	Thu, Dec 29 3:48 PM	A5
flightexplorer	UA-656-ORD-ALB		12/29/2011 1:16PM CST			12/29/2011 3:43PM EST	
airtravelcenter	UA-656-ORD-ALB		12/29/11 1:17 PM (-06:00)			12/29/11 3:43 PM (-05:00)	
myrateplan	UA-656-ORD-ALB		12/29/11 1:17 PM (-06:00)			12/29/11 3:43 PM (-05:00)	
helloflight	UA-656-ORD-ALB		12/29/11 1:17 PM (-06:00)			12/29/11 3:43 PM (-05:00)	
flytecomm	UA-656-ORD-ALB		12/29/11 1:17 PM (-06:00)			12/29/11 3:43 PM (-05:00)	
flightaware	UA-656-ORD-ALB	2011-12-29 01:14PM CST	2011-12-29 01:17PM CST	 C28 	2011-12-29 03:56PM EST	2011-12-29 03:45PM EST	 A5 
wunderground	UA-656-ORD-ALB	2011-12-29 01:14PM CST	2011-12-29 01:17PM CST	 C28 	2011-12-29 03:56PM EST	2011-12-29 03:45PM EST	 A5 
flights	UA-656-ORD-ALB		2011-12-29 01:07 PM	C28		2011-12-29 03:48 PM	A5
businesstravellogue	UA-656-ORD-ALB		2011-12-29 01:07 PM	C28		2011-12-29 03:48 PM	A5
flylouisville	UA-656-ORD-ALB		2011-12-29 01:07 PM	C28		2011-12-29 03:48 PM	A5
flightview	UA-656-ORD-ALB		1:17 PMDec 29			3:48 PMDec 29	
panynj	UA-656-ORD-ALB		1:17 PMDec 29			3:48 PMDec 29	
gofox	UA-656-ORD-ALB		1:17 PMDec 29			3:48 PMDec 29	
foxbusiness	UA-656-ORD-ALB		1:17 PMDec 29			3:48 PMDec 29	
allegiantair	UA-656-ORD-ALB		1:17 PMDec 29			3:48 PMDec 29	
boston	UA-656-ORD-ALB		1:17 PMDec 29			3:49 PMDec 29	
orbitz	UA-656-ORD-ALB	1:14pDec 29	1:07pDec 29	 C28	4:09pDec 29	3:48pDec 29	 A5
ord	UA-656-ORD-ALB	2011-12-29 1:14 PM		C28	2011-12-29 4:09 PM		A5
flightwise	UA-656-ORD-ALB	2011-12-29 01:14PM CST	2011-12-29 01:17PM CST	 C28 	2011-12-29 03:56PM EST	2011-12-29 03:45PM EST	 A5 
flightarrival	UA-656-ORD-ALB		1:17 PMDec 29			3:49 PMDec 29	
ua	UA-2861-PHL-TPA	Thu, Dec 29 8:30 PM	Thu, Dec 29 8:30 PM	C20	Thu, Dec 29 11:10 PM	Thu, Dec 29 10:41 PM	F90
airtravelcenter	UA-2861-PHL-TPA		12/29/11 8:33 PM (-05:00)			12/29/11 10:41 PM (-05:00)	
myrateplan	UA-2861-PHL-TPA		12/29/11 8:33 PM (-05:00)			12/29/11 10:41 PM (-05:00)	
helloflight	UA-2861-PHL-TPA		12/29/11 8:33 PM (-05:00)			12/29/11 10:41 PM (-05:00)	
flytecomm	UA-2861-PHL-TPA		12/29/11 8:33 PM (-05:00)			12/29/11 10:41 PM (-05:00)	
flights	UA-2861-PHL-TPA	08:30 PM  Thu 29-Dec-2011	08:26 PM  Thu 29-Dec-2011	C20	11:10 PM  Thu 29-Dec-2011	10:41 PM  Thu 29-Dec-2011	F90
businesstravellogue	UA-2861-PHL-TPA	08:30 PM  Thu 29-Dec-2011	08:26 PM  Thu 29-Dec-2011	C20	11:10 PM  Thu 29-Dec-2011	10:41 PM  Thu 29-Dec-2011	F90
flylouisville	UA-2861-PHL-TPA	08:30 PM  Thu 29-Dec-2011	08:26 PM  Thu 29-Dec-2011	C20	11:10 PM  Thu 29-Dec-2011	10:41 PM  Thu 29-Dec-2011	F90
flightstats	UA-2861-PHL-TPA	2011-12-29 8:30 PM	2011-12-29 8:26 PM		2011-12-29 11:10 PM	2011-12-29 10:41 PM	
quicktrip	UA-2861-PHL-TPA	2011-12-29 8:30 PM	2011-12-29 8:26 PM		2011-12-29 11:10 PM	2011-12-29 10:41 PM	
world-flight-tracker	UA-2861-PHL-TPA	2011-12-29 8:30 PM	2011-12-29 8:26 PM		2011-12-29 11:10 PM	2011-12-29 10:41 PM	
flightview	UA-2861-PHL-TPA	8:30 PM, Dec 29	8:34 PM, Dec 29	C20	11:10 PM, Dec 29	10:38 PM, Dec 29	F90
panynj	UA-2861-PHL-TPA	8:30 PM, Dec 29	8:34 PM, Dec 29	C20	11:10 PM, Dec 29	10:38 PM, Dec 29	F90
gofox	UA-2861-PHL-TPA	8:30 PM, Dec 29	8:34 PM, Dec 29		11:10 PM, Dec 29	10:38 PM, Dec 29	
foxbusiness	UA-2861-PHL-TPA	8:30 PM, Dec 29	8:34 PM, Dec 29	C20	11:10 PM, Dec 29	10:38 PM, Dec 29	F90
allegiantair	UA-2861-PHL-TPA	8:30 PM, Dec 29	8:34 PM, Dec 29	C20	11:10 PM, Dec 29	10:38 PM, Dec 29	F90
boston	UA-2861-PHL-TPA	8:30 PM, Dec 29	8:34 PM, Dec 29		11:10 PM, Dec 29	10:38 PM, Dec 29	
travelocity	UA-2861-PHL-TPA	Dec 29 - 8:30pm	Dec 29 - Contact Airline	Not provided by airline	Dec 29 - 11:10pm	Dec 29 - Contact Airline	Not provided by airline
orbitz	UA-2861-PHL-TPA	8:30pDec 29	8:26pDec 29	 -	11:10pDec 29	10:41pDec 29	 -
weather	UA-2861-PHL-TPA	2011-12-29 08:30 PM			2011-12-29 11:10 PM		
aa	AA-876-ORD-BOS	December 29, 2011               07:05 AM    	December 29, 2011               07:08 AM    	 H10	December 29, 2011               10:15 AM    	December 29, 2011               10:08 AM    	 B31    
flightexplorer	AA-876-ORD-BOS		12/29/2011 7:25AM CST			12/29/2011 10:03AM EST	
airtravelcenter	AA-876-ORD-BOS		12/29/11 7:25 AM (-06:00)			12/29/11 10:03 AM (-05:00)	
myrateplan	AA-876-ORD-BOS		12/29/11 7:25 AM (-06:00)			12/29/11 10:03 AM (-05:00)	
helloflight	AA-876-ORD-BOS		12/29/11 7:25 AM (-06:00)			12/29/11 10:03 AM (-05:00)	
flytecomm	AA-876-ORD-BOS		12/29/11 7:25 AM (-06:00)			12/29/11 10:03 AM (-05:00)	
flightaware	AA-876-ORD-BOS	2011-12-29 07:05AM CST	2011-12-29 07:25AM CST	 H10 	2011-12-29 10:02AM EST	2011-12-29 10:04AM EST	 B31 
wunderground	AA-876-ORD-BOS	2011-12-29 07:05AM CST	2011-12-29 07:25AM CST	 H10 	2011-12-29 10:02AM EST	2011-12-29 10:04AM EST	 B31 
flights	AA-876-ORD-BOS	07:05 AM  Thu 29-Dec-2011	07:08 AM  Thu 29-Dec-2011	H10	10:15 AM  Thu 29-Dec-2011	10:08 AM  Thu 29-Dec-2011	B31
businesstravellogue	AA-876-ORD-BOS	07:05 AM  Thu 29-Dec-2011	07:08 AM  Thu 29-Dec-2011	H10	10:15 AM  Thu 29-Dec-2011	10:08 AM  Thu 29-Dec-2011	B31
flylouisville	AA-876-ORD-BOS	07:05 AM  Thu 29-Dec-2011	07:08 AM  Thu 29-Dec-2011	H10	10:15 AM  Thu 29-Dec-2011	10:08 AM  Thu 29-Dec-2011	B31
flightstats	AA-876-ORD-BOS	2011-12-29 7:05 AM	2011-12-29 7:08 AM		2011-12-29 10:15 AM	2011-12-29 10:08 AM	
quicktrip	AA-876-ORD-BOS	2011-12-29 7:05 AM	2011-12-29 7:08 AM		2011-12-29 10:15 AM	2011-12-29 10:08 AM	
