CO	CO-4237-EWR-DTW	Tue., Dec.20, 2011 12:17 p.m.	Tue., Dec.20, 2011 12:12 p.m.		Tue., Dec.20, 2011 2:24 p.m.	Tue., Dec.20, 2011 2:24 p.m.	
flightexplorer	AA-3809-PHX-LAX		12/20/2011 6:18AM MST			12/20/2011 6:19AM PST	
airtravelcenter	AA-3809-PHX-LAX		12/20/11 6:18 AM (-07:00)			12/20/11 6:19 AM (-08:00)	
myrateplan	AA-3809-PHX-LAX		12/20/11 6:18 AM (-07:00)			12/20/11 6:19 AM (-08:00)	
helloflight	AA-3809-PHX-LAX		12/20/11 6:18 AM (-07:00)			12/20/11 6:19 AM (-08:00)	
flytecomm	AA-3809-PHX-LAX		12/20/11 6:18 AM (-07:00)			12/20/11 6:19 AM (-08:00)	
flightaware	AA-3809-PHX-LAX	2011-12-20 06:00AM MST	2011-12-20 06:18AM MST	 2 	2011-12-20 06:09AM PST	2011-12-20 06:15AM PST	 44J 
wunderground	AA-3809-PHX-LAX	2011-12-20 06:00AM MST	2011-12-20 06:18AM MST	 2 	2011-12-20 06:09AM PST	2011-12-20 06:15AM PST	 44J 
flights	AA-3809-PHX-LAX	06:00 AM  Tue 20-Dec-2011	05:54 AM  Tue 20-Dec-2011	2	06:40 AM  Tue 20-Dec-2011	06:22 AM  Tue 20-Dec-2011	44
businesstravellogue	AA-3809-PHX-LAX	06:00 AM  Tue 20-Dec-2011	05:54 AM  Tue 20-Dec-2011	2	06:40 AM  Tue 20-Dec-2011	06:22 AM  Tue 20-Dec-2011	44
flylouisville	AA-3809-PHX-LAX	06:00 AM  Tue 20-Dec-2011	05:54 AM  Tue 20-Dec-2011	2	06:40 AM  Tue 20-Dec-2011	06:22 AM  Tue 20-Dec-2011	44
flightstats	AA-3809-PHX-LAX	2011-12-20 6:00 AM	2011-12-20 5:54 AM		2011-12-20 6:40 AM	2011-12-20 6:22 AM	
quicktrip	AA-3809-PHX-LAX	2011-12-20 6:00 AM	2011-12-20 5:54 AM		2011-12-20 6:40 AM	2011-12-20 6:22 AM	
world-flight-tracker	AA-3809-PHX-LAX	2011-12-20 6:00 AM	2011-12-20 5:54 AM		2011-12-20 6:40 AM	2011-12-20 6:22 AM	
flightview	AA-3809-PHX-LAX	6:00 AM, Dec 20	6:18 AM, Dec 20	Terminal 3 - 2	6:40 AM, Dec 20	6:22 AM, Dec 20	Terminal 4 - 44J
panynj	AA-3809-PHX-LAX	6:00 AM, Dec 20	6:18 AM, Dec 20	Terminal 3 - 2	6:40 AM, Dec 20	6:22 AM, Dec 20	Terminal 4 - 44J
gofox	AA-3809-PHX-LAX	6:00 AM, Dec 20	6:18 AM, Dec 20		6:40 AM, Dec 20	6:22 AM, Dec 20	
foxbusiness	AA-3809-PHX-LAX	6:00 AM, Dec 20	6:18 AM, Dec 20	Terminal 3 - 2	6:40 AM, Dec 20	6:22 AM, Dec 20	Terminal 4 - 44J
allegiantair	AA-3809-PHX-LAX	6:00 AM, Dec 20	6:18 AM, Dec 20	Terminal 3 - 2	6:40 AM, Dec 20	6:22 AM, Dec 20	Terminal 4 - 44J
boston	AA-3809-PHX-LAX	6:00 AM, Dec 20	6:18 AM, Dec 20		6:40 AM, Dec 20	6:16 AM, Dec 20	
travelocity	AA-3809-PHX-LAX	Dec 20 - 6:00am	Dec 20 - 5:54am	2	Dec 20 - 6:40am	Dec 20 - 6:22am	44J/T4
orbitz	AA-3809-PHX-LAX	6:00aDec 20	5:54aDec 20	 2	6:40aDec 20	6:22aDec 20	 44J
weather	AA-3809-PHX-LAX	2011-12-20 06:00 AM			2011-12-20 06:40 AM		
ifly	AA-3809-PHX-LAX	2011-12-20 6:00 AM	2011-12-20 5:54 AM		2011-12-20 6:40 AM	2011-12-20 6:22 AM	
usatoday	AA-3809-PHX-LAX	6:00 AM, Dec 20	6:18 AM, Dec 20		6:40 AM, Dec 20	6:16 AM, Dec 20	
mytripandmore	AA-3809-PHX-LAX	6:00aDec 20	5:54aDec 20	 2	6:40aDec 20	6:22aDec 20	 44J
flightwise	AA-3809-PHX-LAX	2011-12-20 06:00AM MST	2011-12-20 06:18AM MST	 2 	2011-12-20 06:09AM PST	2011-12-20 06:15AM PST	 44J 
flightarrival	AA-3809-PHX-LAX	2011-12-20 06:00 AM			2011-12-20 06:40 AM		
CO	CO-1237-IAH-ORD	Tue., Dec.20, 2011 10:30 a.m.	Tue., Dec.20, 2011 10:35 a.m.		Tue., Dec.20, 2011 1:05 p.m.	Tue., Dec.20, 2011 1:05 p.m.	
flightexplorer	CO-1237-IAH-ORD		12/20/2011 10:57AM CST			12/20/2011 12:51PM CST	
flightexplorer	CO-1237-IAH-ORD		12/20/2011 10:57AM CST			12/20/2011 12:51PM CST	
airtravelcenter	CO-1237-IAH-ORD	12/20/11 10:30 AM (-06:00)			12/20/11 1:05 PM (-06:00)		
myrateplan	CO-1237-IAH-ORD	12/20/11 10:30 AM (-06:00)			12/20/11 1:05 PM (-06:00)		
helloflight	CO-1237-IAH-ORD	12/20/11 10:30 AM (-06:00)			12/20/11 1:05 PM (-06:00)		
flytecomm	CO-1237-IAH-ORD	12/20/11 10:30 AM (-06:00)			12/20/11 1:05 PM (-06:00)		
flightaware	CO-1237-IAH-ORD	2011-12-20 10:30AM CST	2011-12-20 10:58AM CST	 19 	2011-12-20 12:30PM CST	2011-12-20 12:48PM CST	 B2 
flightaware	CO-1237-IAH-ORD	2011-12-20 10:30AM CST	2011-12-20 10:58AM CST	 19 	2011-12-20 12:30PM CST	2011-12-20 12:51PM CST	 B2 
wunderground	CO-1237-IAH-ORD	2011-12-20 10:30AM CST	2011-12-20 10:58AM CST	 19 	2011-12-20 12:30PM CST	2011-12-20 12:48PM CST	 B2 
wunderground	CO-1237-IAH-ORD	2011-12-20 10:30AM CST	2011-12-20 10:58AM CST	 19 	2011-12-20 12:30PM CST	2011-12-20 12:51PM CST	 B2 
flights	CO-1237-IAH-ORD	10:30 AM  Tue 20-Dec-2011		19	01:05 PM  Tue 20-Dec-2011		B2
flights	CO-1237-IAH-ORD	10:30 AM  Tue 20-Dec-2011	10:35 AM  Tue 20-Dec-2011	19	01:05 PM  Tue 20-Dec-2011	01:05 PM  Tue 20-Dec-2011	B2
businesstravellogue	CO-1237-IAH-ORD	10:30 AM  Tue 20-Dec-2011		19	01:05 PM  Tue 20-Dec-2011		B2
businesstravellogue	CO-1237-IAH-ORD	10:30 AM  Tue 20-Dec-2011	10:35 AM  Tue 20-Dec-2011	19	01:05 PM  Tue 20-Dec-2011	01:05 PM  Tue 20-Dec-2011	B2
flylouisville	CO-1237-IAH-ORD	10:30 AM  Tue 20-Dec-2011		19	01:05 PM  Tue 20-Dec-2011		B2
flylouisville	CO-1237-IAH-ORD	10:30 AM  Tue 20-Dec-2011	10:35 AM  Tue 20-Dec-2011	19	01:05 PM  Tue 20-Dec-2011	01:05 PM  Tue 20-Dec-2011	B2
flightstats	CO-1237-IAH-ORD	2011-12-20 10:30 AM	2011-12-20 10:35 AM		2011-12-20 1:05 PM	2011-12-20 1:05 PM	
quicktrip	CO-1237-IAH-ORD	2011-12-20 10:30 AM	2011-12-20 10:35 AM		2011-12-20 1:05 PM	2011-12-20 1:05 PM	
world-flight-tracker	CO-1237-IAH-ORD	2011-12-20 10:30 AM	2011-12-20 10:35 AM		2011-12-20 1:05 PM	2011-12-20 1:01 PM (Estimated)	
world-flight-tracker	CO-1237-IAH-ORD	2011-12-20 10:30 AM	2011-12-20 10:35 AM		2011-12-20 1:05 PM	2011-12-20 1:05 PM	
flightview	CO-1237-IAH-ORD	10:30 AM, Dec 20		Term C - C19	1:05 PM, Dec 20		Term 1 - B2
flightview	CO-1237-IAH-ORD	10:30 AM, Dec 20		Term C - C19	1:05 PM, Dec 20	1:05 PM, Dec 20	Term 1 - B2
panynj	CO-1237-IAH-ORD	10:30 AM, Dec 20		Term C - C19	1:05 PM, Dec 20		Term 1 - B2
panynj	CO-1237-IAH-ORD	10:30 AM, Dec 20		Term C - C19	1:05 PM, Dec 20	1:05 PM, Dec 20	Term 1 - B2
gofox	CO-1237-IAH-ORD	10:30 AM, Dec 20			1:05 PM, Dec 20		
gofox	CO-1237-IAH-ORD	10:30 AM, Dec 20			1:05 PM, Dec 20	1:05 PM, Dec 20	
foxbusiness	CO-1237-IAH-ORD	10:30 AM, Dec 20		Term C - C19	1:05 PM, Dec 20		Term 1 - B2
foxbusiness	CO-1237-IAH-ORD	10:30 AM, Dec 20		Term C - C19	1:05 PM, Dec 20	1:05 PM, Dec 20	Term 1 - B2
allegiantair	CO-1237-IAH-ORD	10:30 AM, Dec 20		Term C - C19	1:05 PM, Dec 20		Term 1 - B2
allegiantair	CO-1237-IAH-ORD	10:30 AM, Dec 20		Term C - C19	1:05 PM, Dec 20	1:05 PM, Dec 20	Term 1 - B2
boston	CO-1237-IAH-ORD	10:30 AM, Dec 20	Not Available		1:05 PM, Dec 20	Not Available	
boston	CO-1237-IAH-ORD	10:30 AM, Dec 20	Not Available		1:05 PM, Dec 20	Not Available	
travelocity	CO-1237-IAH-ORD	Dec 20 - 10:30am	Dec 20 - 10:35am	C-19	Dec 20 - 1:05pm	Dec 20 - 1:01pm*	B2
travelocity	CO-1237-IAH-ORD	Dec 20 - 10:30am	Dec 20 - 10:35am	C-19	Dec 20 - 1:05pm	Dec 20 - 1:05pm	B2
orbitz	CO-1237-IAH-ORD	10:30aDec 20	10:35aDec 20	 19	12:57pDec 20		 B2
orbitz	CO-1237-IAH-ORD	10:30aDec 20	10:35aDec 20	 19	1:05pDec 20	1:05pDec 20	 B2
weather	CO-1237-IAH-ORD	2011-12-20 10:30 AM			2011-12-20 01:05 PM		
usatoday	CO-1237-IAH-ORD	10:30 AM, Dec 20	Not Available		1:05 PM, Dec 20	Not Available	
flightwise	CO-1237-IAH-ORD	2011-12-20 10:30AM CST	2011-12-20 10:58AM CST	 19 	2011-12-20 12:30PM CST	2011-12-20 12:51PM CST	 B2 
flightarrival	CO-1237-IAH-ORD	2011-12-20 10:30 AM	2011-12-20 10:35 AM		2011-12-20 1:05 PM	2011-12-20 1:05 PM	
CO	CO-1447-IAH-SNA	Tue., Dec.20, 2011 9:05 p.m.	Tue., Dec.20, 2011 9:05 p.m.		Tue., Dec.20, 2011 10:49 p.m.	Tue., Dec.20, 2011 10:49 p.m.	
airtravelcenter	CO-1447-IAH-SNA	12/20/11 9:05 PM (-06:00)			12/20/11 10:49 PM (-08:00)		
myrateplan	CO-1447-IAH-SNA	12/20/11 9:05 PM (-06:00)			12/20/11 10:49 PM (-08:00)		
helloflight	CO-1447-IAH-SNA	12/20/11 9:05 PM (-06:00)			12/20/11 10:49 PM (-08:00)		
flytecomm	CO-1447-IAH-SNA	12/20/11 9:05 PM (-06:00)			12/20/11 10:49 PM (-08:00)		
flights	CO-1447-IAH-SNA	2011-12-20 09:05 PM		3	2011-12-20 10:49 PM		9
businesstravellogue	CO-1447-IAH-SNA	2011-12-20 09:05 PM		3	2011-12-20 10:49 PM		9
flylouisville	CO-1447-IAH-SNA	2011-12-20 09:05 PM		3	2011-12-20 10:49 PM		9
flightstats	CO-1447-IAH-SNA	2011-12-20 9:05 PM	2011-12-20 9:05 PM (Estimated)		2011-12-20 10:49 PM	2011-12-20 10:49 PM (Estimated)	
quicktrip	CO-1447-IAH-SNA	2011-12-20 9:05 PM	2011-12-20 9:05 PM (Estimated)		2011-12-20 10:49 PM	2011-12-20 10:49 PM (Estimated)	
flightview	CO-1447-IAH-SNA	9:05 PMDec 20			10:49 PMDec 20		
panynj	CO-1447-IAH-SNA	9:05 PMDec 20			10:49 PMDec 20		
gofox	CO-1447-IAH-SNA	9:05 PMDec 20			10:49 PMDec 20		
foxbusiness	CO-1447-IAH-SNA	9:05 PMDec 20			10:49 PMDec 20		
allegiantair	CO-1447-IAH-SNA	9:05 PMDec 20			10:49 PMDec 20		
boston	CO-1447-IAH-SNA	9:05 PMDec 20			10:49 PMDec 20		
orbitz	CO-1447-IAH-SNA	9:05pDec 20		 E3	10:49pDec 20		 9
ifly	CO-1447-IAH-SNA	2011-12-20 9:05 PM	2011-12-20 9:05 PM (Estimated)		2011-12-20 10:49 PM	2011-12-20 10:49 PM (Estimated)	
usatoday	CO-1447-IAH-SNA	2011-12-20 9:05 PM	2011-12-20 9:05 PM (Estimated)		2011-12-20 10:49 PM	2011-12-20 10:49 PM (Estimated)	
ua	UA-1705-IAH-PHL	Tue, Dec 20 7:15 AM	Tue, Dec 20 7:18 AM	E8	Tue, Dec 20 11:26 AM	Tue, Dec 20 11:22 AM	D3
flightexplorer	UA-1705-IAH-PHL		12/20/2011 7:29AM CST			12/20/2011 11:14AM EST	
airtravelcenter	UA-1705-IAH-PHL	12/20/11 7:15 AM (-06:00)			12/20/11 11:26 AM (-05:00)		
myrateplan	UA-1705-IAH-PHL	12/20/11 7:15 AM (-06:00)			12/20/11 11:26 AM (-05:00)		
helloflight	UA-1705-IAH-PHL	12/20/11 7:15 AM (-06:00)			12/20/11 11:26 AM (-05:00)		
flytecomm	UA-1705-IAH-PHL	12/20/11 7:15 AM (-06:00)			12/20/11 11:26 AM (-05:00)		
flightaware	UA-1705-IAH-PHL	2011-12-20 07:15AM CST	2011-12-20 07:30AM CST	 E8 	2011-12-20 10:57AM EST	2011-12-20 11:03AM EST	 D3 
wunderground	UA-1705-IAH-PHL	2011-12-20 07:15AM CST	2011-12-20 07:30AM CST	 E8 	2011-12-20 10:57AM EST	2011-12-20 11:03AM EST	 D3 
flights	UA-1705-IAH-PHL	07:15 AM  Tue 20-Dec-2011	07:18 AM  Tue 20-Dec-2011	8	11:26 AM  Tue 20-Dec-2011	11:22 AM  Tue 20-Dec-2011	D3
businesstravellogue	UA-1705-IAH-PHL	07:15 AM  Tue 20-Dec-2011	07:18 AM  Tue 20-Dec-2011	8	11:26 AM  Tue 20-Dec-2011	11:22 AM  Tue 20-Dec-2011	D3
flylouisville	UA-1705-IAH-PHL	07:15 AM  Tue 20-Dec-2011	07:18 AM  Tue 20-Dec-2011	8	11:26 AM  Tue 20-Dec-2011	11:22 AM  Tue 20-Dec-2011	D3
world-flight-tracker	UA-1705-IAH-PHL	2011-12-20 7:15 AM	2011-12-20 7:18 AM		2011-12-20 11:26 AM	2011-12-20 11:22 AM	
flightview	UA-1705-IAH-PHL	7:15 AM, Dec 20	7:30 AM, Dec 20	Term C - E8	11:26 AM, Dec 20	11:22 AM, Dec 20	Terminal Conc D - D3
panynj	UA-1705-IAH-PHL	7:15 AM, Dec 20	7:30 AM, Dec 20	Term C - E8	11:26 AM, Dec 20	11:22 AM, Dec 20	Terminal Conc D - D3
gofox	UA-1705-IAH-PHL	7:15 AM, Dec 20	7:30 AM, Dec 20		11:26 AM, Dec 20	11:22 AM, Dec 20	
foxbusiness	UA-1705-IAH-PHL	7:15 AM, Dec 20	7:30 AM, Dec 20	Term C - E8	11:26 AM, Dec 20	11:22 AM, Dec 20	Terminal Conc D - D3
allegiantair	UA-1705-IAH-PHL	7:15 AM, Dec 20	7:30 AM, Dec 20	Term C - E8	11:26 AM, Dec 20	11:22 AM, Dec 20	Terminal Conc D - D3
boston	UA-1705-IAH-PHL	7:15 AM, Dec 20	7:30 AM, Dec 20		11:26 AM, Dec 20	11:11 AM, Dec 20	
travelocity	UA-1705-IAH-PHL	Dec 20 - 7:15am	Dec 20 - Contact Airline	Not provided by airline	Dec 20 - 11:26am	Dec 20 - Contact Airline	Not provided by airline
orbitz	UA-1705-IAH-PHL	7:15aDec 20	7:18aDec 20	 E8	11:26aDec 20	11:22aDec 20	 D3
weather	UA-1705-IAH-PHL	2011-12-20 07:15 AM	2011-12-20 07:30 AM		2011-12-20 11:26 AM	2011-12-20 11:07 AM	
usatoday	UA-1705-IAH-PHL	2011-12-20 07:15 AM	2011-12-20 07:30 AM		2011-12-20 11:26 AM	2011-12-20 11:07 AM	
mytripandmore	UA-1705-IAH-PHL	Dec 20 - 7:15am	Dec 20 - Contact Airline	Not provided by airline	Dec 20 - 11:26am	Dec 20 - Contact Airline	Not provided by airline
flightwise	UA-1705-IAH-PHL	2011-12-20 07:15AM CST	2011-12-20 07:30AM CST	 E8 	2011-12-20 10:57AM EST	2011-12-20 11:03AM EST	 D3 
flightarrival	UA-1705-IAH-PHL	2011-12-20 07:15 AM	2011-12-20 07:30 AM		2011-12-20 11:26 AM	2011-12-20 11:07 AM	
ua	UA-3750-DFW-ORD	Tue, Dec 20 6:00 PM	Tue, Dec 20 7:10 PM            Delayed	E4	Tue, Dec 20 8:17 PM	Tue, Dec 20 9:20 PM	C3
flightexplorer	UA-3750-DFW-ORD	12/20/2011 6:15PM CST			12/20/2011 8:12PM CST		
airtravelcenter	UA-3750-DFW-ORD		12/20/11 6:15 PM (-06:00)			12/20/11 8:12 PM (-06:00)	
myrateplan	UA-3750-DFW-ORD		12/20/11 6:15 PM (-06:00)			12/20/11 8:12 PM (-06:00)	
helloflight	UA-3750-DFW-ORD		12/20/11 6:15 PM (-06:00)			12/20/11 8:12 PM (-06:00)	
flytecomm	UA-3750-DFW-ORD		12/20/11 6:15 PM (-06:00)			12/20/11 8:12 PM (-06:00)	
flights	UA-3750-DFW-ORD	2011-12-20 06:00 PM		E4	2011-12-20 08:17 PM		C3
businesstravellogue	UA-3750-DFW-ORD	2011-12-20 06:00 PM		E4	2011-12-20 08:17 PM		C3
flylouisville	UA-3750-DFW-ORD	2011-12-20 06:00 PM		E4	2011-12-20 08:17 PM		C3
flightview	UA-3750-DFW-ORD	7:10 PMDec 20			9:20 PMDec 20		
panynj	UA-3750-DFW-ORD	7:10 PMDec 20			9:20 PMDec 20		
gofox	UA-3750-DFW-ORD	7:10 PMDec 20			9:20 PMDec 20		
foxbusiness	UA-3750-DFW-ORD	7:10 PMDec 20			9:20 PMDec 20		
allegiantair	UA-3750-DFW-ORD	7:10 PMDec 20			9:20 PMDec 20		
boston	UA-3750-DFW-ORD	7:10 PMDec 20			8:12 PMDec 20		
orbitz	UA-3750-DFW-ORD	6:00pDec 20		 E4	10:23pDec 20		 C3
dfw	UA-3750-DFW-ORD	2011-12-20 6:00 pm		E4			
ord	UA-3750-DFW-ORD	2011-12-20 6:00 PM		E4	2011-12-20 8:17 PM		C4
ord	UA-3750-DFW-ORD	2011-12-20 6:00 PM		E4	2011-12-20 8:17 PM		C3
ua	UA-872-ORD-BWI	Tue, Dec 20 2:30 PM	Tue, Dec 20 2:30 PM            On Time	B11	Tue, Dec 20 5:24 PM	Tue, Dec 20 5:12 PM	D15
flightexplorer	UA-872-ORD-BWI	12/20/2011 2:46PM CST			12/20/2011 5:08PM EST		
airtravelcenter	UA-872-ORD-BWI		12/20/11 2:46 PM (-06:00)			12/20/11 5:08 PM (-05:00)	
myrateplan	UA-872-ORD-BWI		12/20/11 2:46 PM (-06:00)			12/20/11 5:08 PM (-05:00)	
helloflight	UA-872-ORD-BWI		12/20/11 2:46 PM (-06:00)			12/20/11 5:08 PM (-05:00)	
flytecomm	UA-872-ORD-BWI		12/20/11 2:46 PM (-06:00)			12/20/11 5:08 PM (-05:00)	
flightaware	UA-872-ORD-BWI	2011-12-20 02:30PM CST	2011-12-20 02:46PM CST	 B11 	2011-12-20 04:52PM EST	2011-12-20 05:08PM EST	 D15 
wunderground	UA-872-ORD-BWI	2011-12-20 02:30PM CST	2011-12-20 02:46PM CST	 B11 	2011-12-20 04:52PM EST	2011-12-20 05:08PM EST	 D15 
flights	UA-872-ORD-BWI	2011-12-20 02:30 PM		B11	2011-12-20 05:24 PM		D15
businesstravellogue	UA-872-ORD-BWI	2011-12-20 02:30 PM		B11	2011-12-20 05:24 PM		D15
flylouisville	UA-872-ORD-BWI	2011-12-20 02:30 PM		B11	2011-12-20 05:24 PM		D15
flightview	UA-872-ORD-BWI	2:30 PMDec 20			5:12 PMDec 20		
panynj	UA-872-ORD-BWI	2:30 PMDec 20			5:12 PMDec 20		
gofox	UA-872-ORD-BWI	2:30 PMDec 20			5:12 PMDec 20		
foxbusiness	UA-872-ORD-BWI	2:30 PMDec 20			5:12 PMDec 20		
allegiantair	UA-872-ORD-BWI	2:30 PMDec 20			5:12 PMDec 20		
boston	UA-872-ORD-BWI	2:30 PMDec 20			4:52 PMDec 20		
orbitz	UA-872-ORD-BWI	2:30pDec 20		 B11	5:00pDec 20		 D15
ord	UA-872-ORD-BWI	2011-12-20 2:30 PM		B11	2011-12-20 5:24 PM		D15
usatoday	UA-872-ORD-BWI	2:30 PMDec 20			4:52 PMDec 20		
aa	AA-117-JFK-LAX	December 20, 2011               01:55 PM    	December 20, 2011               01:49 PM    	 46	December 20, 2011               05:15 PM    	December 20, 2011               05:01 PM    	 46A    
flightexplorer	AA-117-JFK-LAX		12/20/2011 2:06PM EST			12/20/2011 4:25PM PST	
airtravelcenter	AA-117-JFK-LAX		12/20/11 2:06 PM (-05:00)			12/20/11 4:25 PM (-08:00)	
myrateplan	AA-117-JFK-LAX		12/20/11 2:06 PM (-05:00)			12/20/11 4:25 PM (-08:00)	
helloflight	AA-117-JFK-LAX		12/20/11 2:06 PM (-05:00)			12/20/11 4:25 PM (-08:00)	
flytecomm	AA-117-JFK-LAX		12/20/11 2:06 PM (-05:00)			12/20/11 4:25 PM (-08:00)	
flightaware	AA-117-JFK-LAX	2011-12-20 01:55PM EST	2011-12-20 02:05PM EST	 46 	2011-12-20 04:44PM PST	2011-12-20 04:25PM PST	 46A 
wunderground	AA-117-JFK-LAX	2011-12-20 01:55PM EST	2011-12-20 02:05PM EST	 46 	2011-12-20 04:44PM PST	2011-12-20 04:25PM PST	 46A 
flights	AA-117-JFK-LAX	01:55 PM  Tue 20-Dec-2011	01:49 PM  Tue 20-Dec-2011	C46	05:15 PM  Tue 20-Dec-2011	05:01 PM  Tue 20-Dec-2011	46A
businesstravellogue	AA-117-JFK-LAX	01:55 PM  Tue 20-Dec-2011	01:49 PM  Tue 20-Dec-2011	C46	05:15 PM  Tue 20-Dec-2011	05:01 PM  Tue 20-Dec-2011	46A
flylouisville	AA-117-JFK-LAX	01:55 PM  Tue 20-Dec-2011	01:49 PM  Tue 20-Dec-2011	C46	05:15 PM  Tue 20-Dec-2011	05:01 PM  Tue 20-Dec-2011	46A
flightstats	AA-117-JFK-LAX	2011-12-20 1:55 PM	2011-12-20 1:49 PM		2011-12-20 5:15 PM	2011-12-20 5:01 PM	
quicktrip	AA-117-JFK-LAX	2011-12-20 1:55 PM	2011-12-20 1:49 PM		2011-12-20 5:15 PM	2011-12-20 5:01 PM	
world-flight-tracker	AA-117-JFK-LAX	2011-12-20 1:55 PM	2011-12-20 1:49 PM		2011-12-20 5:15 PM	2011-12-20 5:01 PM	
flightview	AA-117-JFK-LAX	1:55 PM, Dec 20	2:06 PM, Dec 20	Terminal 8 - 46	5:15 PM, Dec 20	5:01 PM, Dec 20	Terminal 4 - 46A
panynj	AA-117-JFK-LAX	1:55 PM, Dec 20	2:06 PM, Dec 20	Terminal 8 - 46	5:15 PM, Dec 20	5:01 PM, Dec 20	Terminal 4 - 46A
gofox	AA-117-JFK-LAX	1:55 PM, Dec 20	2:06 PM, Dec 20		5:15 PM, Dec 20	5:01 PM, Dec 20	
foxbusiness	AA-117-JFK-LAX	1:55 PM, Dec 20	2:06 PM, Dec 20	Terminal 8 - 46	5:15 PM, Dec 20	5:01 PM, Dec 20	Terminal 4 - 46A
allegiantair	AA-117-JFK-LAX	1:55 PM, Dec 20	2:06 PM, Dec 20	Terminal 8 - 46	5:15 PM, Dec 20	5:01 PM, Dec 20	Terminal 4 - 46A
boston	AA-117-JFK-LAX	1:55 PM, Dec 20	2:06 PM, Dec 20		5:15 PM, Dec 20	4:25 PM, Dec 20	
travelocity	AA-117-JFK-LAX	Dec 20 - 1:55pm	Dec 20 - 1:49pm	46/8	Dec 20 - 5:15pm	Dec 20 - 5:01pm	46A/T4
orbitz	AA-117-JFK-LAX	1:55pDec 20	1:49pDec 20	 46	5:15pDec 20	5:01pDec 20	 46A
weather	AA-117-JFK-LAX	2011-12-20 01:55 PM			2011-12-20 05:15 PM		
usatoday	AA-117-JFK-LAX	1:55 PM, Dec 20	2:06 PM, Dec 20		5:15 PM, Dec 20	4:25 PM, Dec 20	
aa	AA-983-DCA-MIA	December 20, 2011               08:25 AM    	December 20, 2011               08:27 AM    	 28	December 20, 2011               11:10 AM    	December 20, 2011               11:09 AM    	 D17    
airtravelcenter	AA-983-DCA-MIA		12/20/11 8:51 AM (-05:00)			12/20/11 11:06 AM (-05:00)	
myrateplan	AA-983-DCA-MIA		12/20/11 8:51 AM (-05:00)			12/20/11 11:06 AM (-05:00)	
helloflight	AA-983-DCA-MIA		12/20/11 8:51 AM (-05:00)			12/20/11 11:06 AM (-05:00)	
flytecomm	AA-983-DCA-MIA		12/20/11 8:51 AM (-05:00)			12/20/11 11:06 AM (-05:00)	
flights	AA-983-DCA-MIA		2011-12-20 08:27 AM	28		2011-12-20 11:09 AM	D17
businesstravellogue	AA-983-DCA-MIA		2011-12-20 08:27 AM	28		2011-12-20 11:09 AM	D17
flylouisville	AA-983-DCA-MIA		2011-12-20 08:27 AM	28		2011-12-20 11:09 AM	D17
flightview	AA-983-DCA-MIA		8:51 AMDec 20			11:09 AMDec 20	
panynj	AA-983-DCA-MIA		8:51 AMDec 20			11:09 AMDec 20	
gofox	AA-983-DCA-MIA		8:51 AMDec 20			11:09 AMDec 20	
foxbusiness	AA-983-DCA-MIA		8:51 AMDec 20			11:09 AMDec 20	
allegiantair	AA-983-DCA-MIA		8:51 AMDec 20			11:09 AMDec 20	
boston	AA-983-DCA-MIA		8:51 AMDec 20			11:04 AMDec 20	
travelocity	AA-983-DCA-MIA	Dec 20 - 8:25am	Dec 20 - 8:27am	28/B	Dec 20 - 11:10am	Dec 20 - 11:09am	D17
orbitz	AA-983-DCA-MIA	8:25aDec 20	8:27aDec 20	 28	11:10aDec 20	11:09aDec 20	 D17
weather	AA-983-DCA-MIA	2011-12-20 08:25 AM	2011-12-20 08:51 AM		2011-12-20 11:10 AM	2011-12-20 11:23 AM	
mia	AA-983-DCA-MIA				11:10A 12-20-11	2011-12-20  11:09A	
mytripandmore	AA-983-DCA-MIA	8:25aDec 20	8:27aDec 20	 28	11:10aDec 20	11:09aDec 20	 D17
aa	AA-2446-LAX-DFW	December 20, 2011               01:10 PM    	December 20, 2011               01:11 PM    	 45	December 20, 2011               06:10 PM    	December 20, 2011               06:03 PM    	 D29    
flightexplorer	AA-2446-LAX-DFW		12/20/2011 1:28PM PST			12/20/2011 6:01PM CST	
airtravelcenter	AA-2446-LAX-DFW		12/20/11 1:28 PM (-08:00)			12/20/11 6:01 PM (-06:00)	
myrateplan	AA-2446-LAX-DFW		12/20/11 1:28 PM (-08:00)			12/20/11 6:01 PM (-06:00)	
helloflight	AA-2446-LAX-DFW		12/20/11 1:28 PM (-08:00)			12/20/11 6:01 PM (-06:00)	
flytecomm	AA-2446-LAX-DFW		12/20/11 1:28 PM (-08:00)			12/20/11 6:01 PM (-06:00)	
flights	AA-2446-LAX-DFW		2011-12-20 01:11 PM	45		2011-12-20 06:03 PM	D29
businesstravellogue	AA-2446-LAX-DFW		2011-12-20 01:11 PM	45		2011-12-20 06:03 PM	D29
flylouisville	AA-2446-LAX-DFW		2011-12-20 01:11 PM	45		2011-12-20 06:03 PM	D29
flightview	AA-2446-LAX-DFW		1:28 PMDec 20			6:03 PMDec 20	
panynj	AA-2446-LAX-DFW		1:28 PMDec 20			6:03 PMDec 20	
gofox	AA-2446-LAX-DFW		1:28 PMDec 20			6:03 PMDec 20	
foxbusiness	AA-2446-LAX-DFW		1:28 PMDec 20			6:03 PMDec 20	
allegiantair	AA-2446-LAX-DFW		1:28 PMDec 20			6:03 PMDec 20	
