CO	CO-4237-EWR-DTW	Fri., Dec.30, 2011 12:17 p.m.	Fri., Dec.30, 2011 12:12 p.m.		Fri., Dec.30, 2011 2:24 p.m.	Fri., Dec.30, 2011 2:16 p.m.	
flightview	UA-2445-ATL-CLT	6:11 PM, Dec 30	7:02 PM, Dec 30		7:29 PM, Dec 30	7:45 PM, Dec 30	
panynj	UA-2445-ATL-CLT	6:11 PM, Dec 30	7:02 PM, Dec 30		7:29 PM, Dec 30	7:45 PM, Dec 30	
gofox	UA-2445-ATL-CLT	6:11 PM, Dec 30	7:02 PM, Dec 30		7:29 PM, Dec 30	7:45 PM, Dec 30	
foxbusiness	UA-2445-ATL-CLT	6:11 PM, Dec 30	7:02 PM, Dec 30		7:29 PM, Dec 30	7:45 PM, Dec 30	
allegiantair	UA-2445-ATL-CLT	6:11 PM, Dec 30	7:02 PM, Dec 30		7:29 PM, Dec 30	7:45 PM, Dec 30	
boston	UA-2445-ATL-CLT	6:11 PM, Dec 30	7:02 PM, Dec 30		7:29 PM, Dec 30	7:45 PM, Dec 30	
travelocity	UA-2445-ATL-CLT	Dec 30 - 6:11pm	Dec 30 - Contact Airline	Not provided by airline	Dec 30 - 7:29pm	Dec 30 - Contact Airline	Not provided by airline
orbitz	UA-2445-ATL-CLT	6:11pDec 30	6:42pDec 30	 -	7:29pDec 30	7:45pDec 30	 -
weather	UA-2445-ATL-CLT	2011-12-30 06:11 PM			2011-12-30 07:29 PM		
mytripandmore	UA-2445-ATL-CLT	6:11pDec 30	6:42pDec 30	 -	7:29pDec 30	7:45pDec 30	 -
ua	UA-2726-FLL-PHL	Fri, Dec 30 4:00 PM	Fri, Dec 30 4:00 PM	E3	Fri, Dec 30 6:46 PM	Fri, Dec 30 6:28 PM	C17
airtravelcenter	UA-2726-FLL-PHL		12/30/11 4:13 PM (-05:00)			12/30/11 6:20 PM (-05:00)	
myrateplan	UA-2726-FLL-PHL		12/30/11 4:13 PM (-05:00)			12/30/11 6:20 PM (-05:00)	
helloflight	UA-2726-FLL-PHL		12/30/11 4:13 PM (-05:00)			12/30/11 6:20 PM (-05:00)	
flytecomm	UA-2726-FLL-PHL		12/30/11 4:13 PM (-05:00)			12/30/11 6:20 PM (-05:00)	
flightaware	UA-2726-FLL-PHL	2011-12-30 04:00PM EST	2011-12-30 04:13PM EST		2011-12-30 06:15PM EST	2011-12-30 06:17PM EST	
wunderground	UA-2726-FLL-PHL	2011-12-30 04:00PM EST	2011-12-30 04:13PM EST		2011-12-30 06:15PM EST	2011-12-30 06:17PM EST	
flights	UA-2726-FLL-PHL	04:00 PM  Fri 30-Dec-2011	03:54 PM  Fri 30-Dec-2011	E3	06:46 PM  Fri 30-Dec-2011	06:28 PM  Fri 30-Dec-2011	C17
businesstravellogue	UA-2726-FLL-PHL	04:00 PM  Fri 30-Dec-2011	03:54 PM  Fri 30-Dec-2011	E3	06:46 PM  Fri 30-Dec-2011	06:28 PM  Fri 30-Dec-2011	C17
flylouisville	UA-2726-FLL-PHL	04:00 PM  Fri 30-Dec-2011	03:54 PM  Fri 30-Dec-2011	E3	06:46 PM  Fri 30-Dec-2011	06:28 PM  Fri 30-Dec-2011	C17
flightstats	UA-2726-FLL-PHL	2011-12-30 4:00 PM	2011-12-30 3:54 PM		2011-12-30 6:46 PM	2011-12-30 6:28 PM	
quicktrip	UA-2726-FLL-PHL	2011-12-30 4:00 PM	2011-12-30 3:54 PM		2011-12-30 6:46 PM	2011-12-30 6:28 PM	
world-flight-tracker	UA-2726-FLL-PHL	2011-12-30 4:00 PM	2011-12-30 3:54 PM		2011-12-30 6:46 PM	2011-12-30 6:28 PM	
flightview	UA-2726-FLL-PHL	4:00 PM, Dec 30	4:13 PM, Dec 30	Terminal 3 - E3	6:46 PM, Dec 30	6:46 PM, Dec 30	C17
panynj	UA-2726-FLL-PHL	4:00 PM, Dec 30	4:13 PM, Dec 30	Terminal 3 - E3	6:46 PM, Dec 30	6:46 PM, Dec 30	C17
gofox	UA-2726-FLL-PHL	4:00 PM, Dec 30	4:13 PM, Dec 30		6:46 PM, Dec 30	6:46 PM, Dec 30	
foxbusiness	UA-2726-FLL-PHL	4:00 PM, Dec 30	4:13 PM, Dec 30	Terminal 3 - E3	6:46 PM, Dec 30	6:46 PM, Dec 30	C17
allegiantair	UA-2726-FLL-PHL	4:00 PM, Dec 30	4:13 PM, Dec 30	Terminal 3 - E3	6:46 PM, Dec 30	6:46 PM, Dec 30	C17
boston	UA-2726-FLL-PHL	4:00 PM, Dec 30	4:13 PM, Dec 30		6:46 PM, Dec 30	6:17 PM, Dec 30	
travelocity	UA-2726-FLL-PHL	Dec 30 - 4:00pm	Dec 30 - Contact Airline	Not provided by airline	Dec 30 - 6:46pm	Dec 30 - Contact Airline	Not provided by airline
orbitz	UA-2726-FLL-PHL	4:00pDec 30	3:54pDec 30	 -	6:46pDec 30	6:28pDec 30	 -
weather	UA-2726-FLL-PHL	2011-12-30 04:00 PM			2011-12-30 06:46 PM		
mytripandmore	UA-2726-FLL-PHL	Dec 30 - 4:00pm	Dec 30 - Contact Airline	Not provided by airline	Dec 30 - 6:46pm	Dec 30 - Contact Airline	Not provided by airline
flightwise	UA-2726-FLL-PHL	2011-12-30 04:00PM EST	2011-12-30 04:13PM EST		2011-12-30 06:15PM EST	2011-12-30 06:17PM EST	
aa	AA-350-TPA-ORD	December 30, 2011               03:20 PM    	December 30, 2011               04:08 PM    	 F78	December 30, 2011               05:15 PM    	December 30, 2011               05:49 PM    	 K9    
airtravelcenter	AA-350-TPA-ORD		12/30/11 4:18 PM (-05:00)			12/30/11 5:42 PM (-06:00)	
myrateplan	AA-350-TPA-ORD		12/30/11 4:18 PM (-05:00)			12/30/11 5:42 PM (-06:00)	
helloflight	AA-350-TPA-ORD		12/30/11 4:18 PM (-05:00)			12/30/11 5:42 PM (-06:00)	
flytecomm	AA-350-TPA-ORD		12/30/11 4:18 PM (-05:00)			12/30/11 5:42 PM (-06:00)	
flights	AA-350-TPA-ORD		2011-12-30 04:08 PM	F78		2011-12-30 05:49 PM	K9
businesstravellogue	AA-350-TPA-ORD		2011-12-30 04:08 PM	F78		2011-12-30 05:49 PM	K9
flylouisville	AA-350-TPA-ORD		2011-12-30 04:08 PM	F78		2011-12-30 05:49 PM	K9
flightview	AA-350-TPA-ORD		4:18 PMDec 30			5:40 PMDec 30	
panynj	AA-350-TPA-ORD		4:18 PMDec 30			5:40 PMDec 30	
gofox	AA-350-TPA-ORD		4:18 PMDec 30			5:40 PMDec 30	
foxbusiness	AA-350-TPA-ORD		4:18 PMDec 30			5:40 PMDec 30	
allegiantair	AA-350-TPA-ORD		4:18 PMDec 30			5:40 PMDec 30	
boston	AA-350-TPA-ORD		4:18 PMDec 30			5:40 PMDec 30	
travelocity	AA-350-TPA-ORD	Dec 30 - 3:20pm	Dec 30 - 4:08pm	F78	Dec 30 - 5:15pm	Dec 30 - 5:49pm	K9/T3
orbitz	AA-350-TPA-ORD	3:20pDec 30	4:08pDec 30	 F78	5:15pDec 30	5:49pDec 30	 K9
weather	AA-350-TPA-ORD	2011-12-30 03:20 PM			2011-12-30 05:15 PM		
ord	AA-350-TPA-ORD	2011-12-30 3:20 PM		F78	2011-12-30 5:15 PM		K9
mytripandmore	AA-350-TPA-ORD	Dec 30 - 3:20pm	Dec 30 - 4:08pm	F78	Dec 30 - 5:15pm	Dec 30 - 5:49pm	K9/T3
flightarrival	AA-350-TPA-ORD		4:18 PMDec 30			5:40 PMDec 30	
CO	CO-1237-IAH-ORD	Fri., Dec.30, 2011 10:30 a.m.	Fri., Dec.30, 2011 10:33 a.m.		Fri., Dec.30, 2011 1:05 p.m.	Fri., Dec.30, 2011 1:01 p.m.	
flightexplorer	CO-1237-IAH-ORD		12/30/2011 10:53AM CST			12/30/2011 12:59PM CST	
airtravelcenter	CO-1237-IAH-ORD	12/30/11 10:30 AM (-06:00)			12/30/11 1:05 PM (-06:00)		
myrateplan	CO-1237-IAH-ORD	12/30/11 10:30 AM (-06:00)			12/30/11 1:05 PM (-06:00)		
helloflight	CO-1237-IAH-ORD	12/30/11 10:30 AM (-06:00)			12/30/11 1:05 PM (-06:00)		
flytecomm	CO-1237-IAH-ORD	12/30/11 10:30 AM (-06:00)			12/30/11 1:05 PM (-06:00)		
flightaware	CO-1237-IAH-ORD	2011-12-30 10:30AM CST	2011-12-30 10:54AM CST	 E8 	2011-12-30 12:27PM CST	2011-12-30 12:56PM CST	 B2 
flightaware	CO-1237-IAH-ORD	2011-12-30 10:30AM CST	2011-12-30 10:54AM CST	 E8 	2011-12-30 12:27PM CST	2011-12-30 12:56PM CST	 B2 
wunderground	CO-1237-IAH-ORD	2011-12-30 10:30AM CST	2011-12-30 10:54AM CST	 E8 	2011-12-30 12:27PM CST	2011-12-30 12:56PM CST	 B2 
wunderground	CO-1237-IAH-ORD	2011-12-30 10:30AM CST	2011-12-30 10:54AM CST	 E8 	2011-12-30 12:27PM CST	2011-12-30 12:56PM CST	 B2 
flights	CO-1237-IAH-ORD		2011-12-30 10:33 AM	8		2011-12-30 01:01 PM	B2
businesstravellogue	CO-1237-IAH-ORD		2011-12-30 10:33 AM	8		2011-12-30 01:01 PM	B2
flylouisville	CO-1237-IAH-ORD		2011-12-30 10:33 AM	8		2011-12-30 01:01 PM	B2
flightstats	CO-1237-IAH-ORD	2011-12-30 10:30 AM	2011-12-30 10:33 AM		2011-12-30 1:05 PM	2011-12-30 1:01 PM	
quicktrip	CO-1237-IAH-ORD	2011-12-30 10:30 AM	2011-12-30 10:33 AM		2011-12-30 1:05 PM	2011-12-30 1:01 PM	
flightview	CO-1237-IAH-ORD		10:54 AMDec 30			1:01 PMDec 30	
panynj	CO-1237-IAH-ORD		10:54 AMDec 30			1:01 PMDec 30	
gofox	CO-1237-IAH-ORD		10:54 AMDec 30			1:01 PMDec 30	
foxbusiness	CO-1237-IAH-ORD		10:54 AMDec 30			1:01 PMDec 30	
allegiantair	CO-1237-IAH-ORD		10:54 AMDec 30			1:01 PMDec 30	
boston	CO-1237-IAH-ORD		10:54 AMDec 30			1:02 PMDec 30	
orbitz	CO-1237-IAH-ORD	10:30aDec 30	10:33aDec 30	 E8	1:05pDec 30	1:01pDec 30	 B2
usatoday	CO-1237-IAH-ORD		10:54 AMDec 30			1:02 PMDec 30	
flightwise	CO-1237-IAH-ORD	2011-12-30 10:30AM CST	2011-12-30 10:54AM CST	 E8 	2011-12-30 12:27PM CST	2011-12-30 12:56PM CST	 B2 
CO	CO-1447-IAH-SNA	Fri., Dec.30, 2011 9:05 p.m.	Fri., Dec.30, 2011 9:05 p.m.		Fri., Dec.30, 2011 10:49 p.m.	Fri., Dec.30, 2011 10:49 p.m.	
myrateplan	CO-1447-IAH-SNA	12/30/11 9:05 PM (-06:00)			12/30/11 10:49 PM (-08:00)		
helloflight	CO-1447-IAH-SNA	12/30/11 9:05 PM (-06:00)			12/30/11 10:49 PM (-08:00)		
flytecomm	CO-1447-IAH-SNA	12/30/11 9:05 PM (-06:00)			12/30/11 10:49 PM (-08:00)		
flights	CO-1447-IAH-SNA	2011-12-30 09:05 PM		10	2011-12-30 10:49 PM		10
businesstravellogue	CO-1447-IAH-SNA	2011-12-30 09:05 PM		10	2011-12-30 10:49 PM		10
flylouisville	CO-1447-IAH-SNA	2011-12-30 09:05 PM		10	2011-12-30 10:49 PM		10
flightstats	CO-1447-IAH-SNA	2011-12-30 9:05 PM	2011-12-30 9:05 PM (Estimated)		2011-12-30 10:49 PM	2011-12-30 10:49 PM (Estimated)	
quicktrip	CO-1447-IAH-SNA	2011-12-30 9:05 PM	2011-12-30 9:05 PM (Estimated)		2011-12-30 10:49 PM	2011-12-30 10:49 PM (Estimated)	
flightview	CO-1447-IAH-SNA	9:05 PMDec 30			10:49 PMDec 30		
panynj	CO-1447-IAH-SNA	9:05 PMDec 30			10:49 PMDec 30		
gofox	CO-1447-IAH-SNA	9:05 PMDec 30			10:49 PMDec 30		
foxbusiness	CO-1447-IAH-SNA	9:05 PMDec 30			10:49 PMDec 30		
allegiantair	CO-1447-IAH-SNA	9:05 PMDec 30			10:49 PMDec 30		
boston	CO-1447-IAH-SNA	9:05 PMDec 30			10:49 PMDec 30		
orbitz	CO-1447-IAH-SNA	9:05pDec 30		 -	10:49pDec 30		 -
flightarrival	CO-1447-IAH-SNA	9:05 PMDec 30			10:49 PMDec 30		
ua	UA-382-ORD-IAD	Fri, Dec 30 8:51 AM	Fri, Dec 30 8:46 AM	C29	Fri, Dec 30 11:37 AM	Fri, Dec 30 11:24 AM	D3
flightexplorer	UA-382-ORD-IAD		12/30/2011 8:57AM CST			12/30/2011 11:20AM EST	
airtravelcenter	UA-382-ORD-IAD		12/30/11 8:58 AM (-06:00)			12/30/11 11:09 AM (-05:00)	
myrateplan	UA-382-ORD-IAD		12/30/11 8:58 AM (-06:00)			12/30/11 11:09 AM (-05:00)	
helloflight	UA-382-ORD-IAD		12/30/11 8:58 AM (-06:00)			12/30/11 11:09 AM (-05:00)	
flytecomm	UA-382-ORD-IAD		12/30/11 8:58 AM (-06:00)			12/30/11 11:09 AM (-05:00)	
flights	UA-382-ORD-IAD		2011-12-30 08:46 AM	C29		2011-12-30 11:24 AM	D3
businesstravellogue	UA-382-ORD-IAD		2011-12-30 08:46 AM	C29		2011-12-30 11:24 AM	D3
flylouisville	UA-382-ORD-IAD		2011-12-30 08:46 AM	C29		2011-12-30 11:24 AM	D3
flightstats	UA-382-ORD-IAD	2011-12-30 8:51 AM	2011-12-30 8:46 AM		2011-12-30 11:37 AM	2011-12-30 11:24 AM	
quicktrip	UA-382-ORD-IAD	2011-12-30 8:51 AM	2011-12-30 8:46 AM		2011-12-30 11:37 AM	2011-12-30 11:24 AM	
flightview	UA-382-ORD-IAD		8:58 AMDec 30			11:24 AMDec 30	
panynj	UA-382-ORD-IAD		8:58 AMDec 30			11:24 AMDec 30	
gofox	UA-382-ORD-IAD		8:58 AMDec 30			11:24 AMDec 30	
foxbusiness	UA-382-ORD-IAD		8:58 AMDec 30			11:24 AMDec 30	
allegiantair	UA-382-ORD-IAD		8:58 AMDec 30			11:24 AMDec 30	
boston	UA-382-ORD-IAD		8:58 AMDec 30			11:21 AMDec 30	
orbitz	UA-382-ORD-IAD	8:51aDec 30	8:46aDec 30	 C29	11:37aDec 30	11:24aDec 30	 D3
weather	UA-382-ORD-IAD	2011-12-30 08:51 AM			2011-12-30 11:37 AM		
ord	UA-382-ORD-IAD	2011-12-30 8:51 AM		C29	2011-12-30 11:37 AM		D3
ifly	UA-382-ORD-IAD	2011-12-30 8:51 AM	2011-12-30 8:46 AM		2011-12-30 11:37 AM	2011-12-30 11:24 AM	
usatoday	UA-382-ORD-IAD	2011-12-30 08:51 AM			2011-12-30 11:37 AM		
ua	UA-1705-IAH-PHL	Fri, Dec 30 7:15 AM	Fri, Dec 30 7:14 AM	C-30	Fri, Dec 30 11:26 AM	Fri, Dec 30 11:13 AM	D3
flightexplorer	UA-1705-IAH-PHL		12/30/2011 7:28AM CST			12/30/2011 10:55AM EST	
airtravelcenter	UA-1705-IAH-PHL		12/30/11 7:28 AM (-06:00)			12/30/11 10:55 AM (-05:00)	
airtravelcenter	UA-1705-IAH-PHL	12/30/11 7:15 AM (-06:00)			12/30/11 11:26 AM (-05:00)		
myrateplan	UA-1705-IAH-PHL		12/30/11 7:28 AM (-06:00)			12/30/11 10:55 AM (-05:00)	
myrateplan	UA-1705-IAH-PHL	12/30/11 7:15 AM (-06:00)			12/30/11 11:26 AM (-05:00)		
helloflight	UA-1705-IAH-PHL		12/30/11 7:28 AM (-06:00)			12/30/11 10:55 AM (-05:00)	
helloflight	UA-1705-IAH-PHL	12/30/11 7:15 AM (-06:00)			12/30/11 11:26 AM (-05:00)		
flytecomm	UA-1705-IAH-PHL		12/30/11 7:28 AM (-06:00)			12/30/11 10:55 AM (-05:00)	
flytecomm	UA-1705-IAH-PHL	12/30/11 7:15 AM (-06:00)			12/30/11 11:26 AM (-05:00)		
flightaware	UA-1705-IAH-PHL	2011-12-30 07:15AM CST	2011-12-30 07:29AM CST	 30 	2011-12-30 10:58AM EST	2011-12-30 11:09AM EST	 D3 
wunderground	UA-1705-IAH-PHL	2011-12-30 07:15AM CST	2011-12-30 07:29AM CST	 30 	2011-12-30 10:58AM EST	2011-12-30 11:09AM EST	 D3 
flights	UA-1705-IAH-PHL	07:15 AM  Fri 30-Dec-2011	07:14 AM  Fri 30-Dec-2011	30	11:26 AM  Fri 30-Dec-2011	11:13 AM  Fri 30-Dec-2011	D3
businesstravellogue	UA-1705-IAH-PHL	07:15 AM  Fri 30-Dec-2011	07:14 AM  Fri 30-Dec-2011	30	11:26 AM  Fri 30-Dec-2011	11:13 AM  Fri 30-Dec-2011	D3
flylouisville	UA-1705-IAH-PHL	07:15 AM  Fri 30-Dec-2011	07:14 AM  Fri 30-Dec-2011	30	11:26 AM  Fri 30-Dec-2011	11:13 AM  Fri 30-Dec-2011	D3
world-flight-tracker	UA-1705-IAH-PHL	2011-12-30 7:15 AM	2011-12-30 7:14 AM		2011-12-30 11:26 AM	2011-12-30 11:13 AM	
flightview	UA-1705-IAH-PHL	7:15 AM, Dec 30	7:29 AM, Dec 30	Term C - C30	11:26 AM, Dec 30	11:13 AM, Dec 30	Terminal Conc D - D3
panynj	UA-1705-IAH-PHL	7:15 AM, Dec 30	7:29 AM, Dec 30	Term C - C30	11:26 AM, Dec 30	11:13 AM, Dec 30	Terminal Conc D - D3
gofox	UA-1705-IAH-PHL	7:15 AM, Dec 30	7:29 AM, Dec 30		11:26 AM, Dec 30	11:13 AM, Dec 30	
foxbusiness	UA-1705-IAH-PHL	7:15 AM, Dec 30	7:29 AM, Dec 30	Term C - C30	11:26 AM, Dec 30	11:13 AM, Dec 30	Terminal Conc D - D3
allegiantair	UA-1705-IAH-PHL	7:15 AM, Dec 30	7:29 AM, Dec 30	Term C - C30	11:26 AM, Dec 30	11:13 AM, Dec 30	Terminal Conc D - D3
boston	UA-1705-IAH-PHL	7:15 AM, Dec 30	7:29 AM, Dec 30		11:26 AM, Dec 30	11:09 AM, Dec 30	
travelocity	UA-1705-IAH-PHL	Dec 30 - 7:15am	Dec 30 - Contact Airline	Not provided by airline	Dec 30 - 11:26am	Dec 30 - Contact Airline	Not provided by airline
orbitz	UA-1705-IAH-PHL	7:15aDec 30	7:14aDec 30	 30	11:26aDec 30	11:13aDec 30	 D3
weather	UA-1705-IAH-PHL	2011-12-30 07:15 AM	2011-12-30 07:29 AM		2011-12-30 11:26 AM	2011-12-30 11:09 AM	
usatoday	UA-1705-IAH-PHL	7:15 AM, Dec 30	7:29 AM, Dec 30		11:26 AM, Dec 30	11:09 AM, Dec 30	
mytripandmore	UA-1705-IAH-PHL	Dec 30 - 7:15am	Dec 30 - Contact Airline	Not provided by airline	Dec 30 - 11:26am	Dec 30 - Contact Airline	Not provided by airline
ua	UA-872-ORD-BWI	Fri, Dec 30 2:30 PM	Fri, Dec 30 3:00 PM            Delayed	C23	Fri, Dec 30 5:24 PM	Fri, Dec 30 5:46 PM	D11
flightexplorer	UA-872-ORD-BWI	12/30/2011 2:30PM CST			12/30/2011 5:24PM EST		
flightexplorer	UA-872-ORD-BWI	12/30/2011 3:17PM CST			12/30/2011 5:41PM EST		
airtravelcenter	UA-872-ORD-BWI		12/30/11 2:35 PM (-06:00)			12/30/11 4:58 PM (-05:00)	
myrateplan	UA-872-ORD-BWI		12/30/11 2:35 PM (-06:00)			12/30/11 4:58 PM (-05:00)	
helloflight	UA-872-ORD-BWI		12/30/11 2:35 PM (-06:00)			12/30/11 4:58 PM (-05:00)	
flytecomm	UA-872-ORD-BWI		12/30/11 2:35 PM (-06:00)			12/30/11 4:58 PM (-05:00)	
flightaware	UA-872-ORD-BWI	2011-12-30 02:30PM CST	2011-12-30 02:30PM CST	 C23 	2011-12-30 04:56PM EST	2011-12-30 04:54PM EST	 D11 
wunderground	UA-872-ORD-BWI	2011-12-30 02:30PM CST	2011-12-30 02:30PM CST	 C23 	2011-12-30 04:56PM EST	2011-12-30 04:54PM EST	 D11 
flights	UA-872-ORD-BWI	2011-12-30 02:30 PM		C23	2011-12-30 05:24 PM		D11
businesstravellogue	UA-872-ORD-BWI	2011-12-30 02:30 PM		C23	2011-12-30 05:24 PM		D11
flylouisville	UA-872-ORD-BWI	2011-12-30 02:30 PM		C23	2011-12-30 05:24 PM		D11
flightview	UA-872-ORD-BWI	3:00 PMDec 30			5:46 PMDec 30		
panynj	UA-872-ORD-BWI	3:00 PMDec 30			5:46 PMDec 30		
gofox	UA-872-ORD-BWI	3:00 PMDec 30			5:46 PMDec 30		
foxbusiness	UA-872-ORD-BWI	3:00 PMDec 30			5:46 PMDec 30		
allegiantair	UA-872-ORD-BWI	3:00 PMDec 30			5:46 PMDec 30		
boston	UA-872-ORD-BWI	2:30 PMDec 30			4:54 PMDec 30		
orbitz	UA-872-ORD-BWI	2:30pDec 30		 C23	6:08pDec 30		 D11
ord	UA-872-ORD-BWI	2011-12-30 2:30 PM		C23	2011-12-30 5:24 PM		D11
aa	AA-117-JFK-LAX	December 30, 2011               01:55 PM    	December 30, 2011               01:53 PM    	 46	December 30, 2011               05:15 PM    	December 30, 2011               05:00 PM    	 42B    
flightexplorer	AA-117-JFK-LAX		12/30/2011 2:11PM EST			12/30/2011 4:52PM PST	
airtravelcenter	AA-117-JFK-LAX		12/30/11 2:11 PM (-05:00)			12/30/11 4:52 PM (-08:00)	
myrateplan	AA-117-JFK-LAX		12/30/11 2:11 PM (-05:00)			12/30/11 4:52 PM (-08:00)	
helloflight	AA-117-JFK-LAX		12/30/11 2:11 PM (-05:00)			12/30/11 4:52 PM (-08:00)	
flytecomm	AA-117-JFK-LAX		12/30/11 2:11 PM (-05:00)			12/30/11 4:52 PM (-08:00)	
flightaware	AA-117-JFK-LAX	2011-12-30 01:55PM EST	2011-12-30 02:10PM EST	 46 	2011-12-30 04:55PM PST	2011-12-30 04:48PM PST	 42B 
wunderground	AA-117-JFK-LAX	2011-12-30 01:55PM EST	2011-12-30 02:10PM EST	 46 	2011-12-30 04:55PM PST	2011-12-30 04:48PM PST	 42B 
flights	AA-117-JFK-LAX	01:55 PM  Fri 30-Dec-2011	01:53 PM  Fri 30-Dec-2011	C46	05:15 PM  Fri 30-Dec-2011	05:00 PM  Fri 30-Dec-2011	42B
businesstravellogue	AA-117-JFK-LAX	01:55 PM  Fri 30-Dec-2011	01:53 PM  Fri 30-Dec-2011	C46	05:15 PM  Fri 30-Dec-2011	05:00 PM  Fri 30-Dec-2011	42B
flylouisville	AA-117-JFK-LAX	01:55 PM  Fri 30-Dec-2011	01:53 PM  Fri 30-Dec-2011	C46	05:15 PM  Fri 30-Dec-2011	05:00 PM  Fri 30-Dec-2011	42B
flightstats	AA-117-JFK-LAX	2011-12-30 1:55 PM	2011-12-30 1:53 PM		2011-12-30 5:15 PM	2011-12-30 5:00 PM	
quicktrip	AA-117-JFK-LAX	2011-12-30 1:55 PM	2011-12-30 1:53 PM		2011-12-30 5:15 PM	2011-12-30 5:00 PM	
world-flight-tracker	AA-117-JFK-LAX	2011-12-30 1:55 PM	2011-12-30 1:53 PM		2011-12-30 5:15 PM	2011-12-30 5:00 PM	
flightview	AA-117-JFK-LAX	1:55 PM, Dec 30	2:11 PM, Dec 30	Terminal 8 - 46	5:15 PM, Dec 30	5:00 PM, Dec 30	Terminal 4 - 42B
panynj	AA-117-JFK-LAX	1:55 PM, Dec 30	2:11 PM, Dec 30	Terminal 8 - 46	5:15 PM, Dec 30	5:00 PM, Dec 30	Terminal 4 - 42B
gofox	AA-117-JFK-LAX	1:55 PM, Dec 30	2:11 PM, Dec 30		5:15 PM, Dec 30	5:00 PM, Dec 30	
foxbusiness	AA-117-JFK-LAX	1:55 PM, Dec 30	2:11 PM, Dec 30	Terminal 8 - 46	5:15 PM, Dec 30	5:00 PM, Dec 30	Terminal 4 - 42B
allegiantair	AA-117-JFK-LAX	1:55 PM, Dec 30	2:11 PM, Dec 30	Terminal 8 - 46	5:15 PM, Dec 30	5:00 PM, Dec 30	Terminal 4 - 42B
boston	AA-117-JFK-LAX	1:55 PM, Dec 30	2:11 PM, Dec 30		5:15 PM, Dec 30	4:48 PM, Dec 30	
travelocity	AA-117-JFK-LAX	Dec 30 - 1:55pm	Dec 30 - 1:53pm	46/8	Dec 30 - 5:15pm	Dec 30 - 5:00pm	42B/T4
orbitz	AA-117-JFK-LAX	1:55pDec 30	1:53pDec 30	 46	5:15pDec 30	5:00pDec 30	 42B
weather	AA-117-JFK-LAX	2011-12-30 01:55 PM			2011-12-30 05:15 PM		
usatoday	AA-117-JFK-LAX	2011-12-30 1:55 PM	2011-12-30 1:53 PM		2011-12-30 5:15 PM	2011-12-30 5:00 PM	
mytripandmore	AA-117-JFK-LAX	1:55pDec 30	1:53pDec 30	 46	5:15pDec 30	5:00pDec 30	 42B
flightwise	AA-117-JFK-LAX	2011-12-30 01:55PM EST	2011-12-30 02:10PM EST	 46 	2011-12-30 04:55PM PST	2011-12-30 04:48PM PST	 42B 
flightarrival	AA-117-JFK-LAX	1:55 PM, Dec 30	2:11 PM, Dec 30		5:15 PM, Dec 30	4:48 PM, Dec 30	
aa	AA-983-DCA-MIA	December 30, 2011               08:25 AM    	December 30, 2011               08:20 AM    	 28	December 30, 2011               11:10 AM    	December 30, 2011               10:48 AM    	 D16    
flightexplorer	AA-983-DCA-MIA		12/30/2011 8:31AM EST			12/30/2011 10:43AM EST	
airtravelcenter	AA-983-DCA-MIA		12/30/11 8:31 AM (-05:00)			12/30/11 10:43 AM (-05:00)	
myrateplan	AA-983-DCA-MIA		12/30/11 8:31 AM (-05:00)			12/30/11 10:43 AM (-05:00)	
helloflight	AA-983-DCA-MIA		12/30/11 8:31 AM (-05:00)			12/30/11 10:43 AM (-05:00)	
flytecomm	AA-983-DCA-MIA		12/30/11 8:31 AM (-05:00)			12/30/11 10:43 AM (-05:00)	
flights	AA-983-DCA-MIA		2011-12-30 08:20 AM	28		2011-12-30 10:48 AM	D16
businesstravellogue	AA-983-DCA-MIA		2011-12-30 08:20 AM	28		2011-12-30 10:48 AM	D16
flylouisville	AA-983-DCA-MIA		2011-12-30 08:20 AM	28		2011-12-30 10:48 AM	D16
flightview	AA-983-DCA-MIA		8:31 AMDec 30			10:48 AMDec 30	
panynj	AA-983-DCA-MIA		8:31 AMDec 30			10:48 AMDec 30	
gofox	AA-983-DCA-MIA		8:31 AMDec 30			10:48 AMDec 30	
foxbusiness	AA-983-DCA-MIA		8:31 AMDec 30			10:48 AMDec 30	
allegiantair	AA-983-DCA-MIA		8:31 AMDec 30			10:48 AMDec 30	
boston	AA-983-DCA-MIA		8:31 AMDec 30			10:41 AMDec 30	
travelocity	AA-983-DCA-MIA	Dec 30 - 8:25am	Dec 30 - 8:20am	28/B	Dec 30 - 11:10am	Dec 30 - 10:48am	D16
orbitz	AA-983-DCA-MIA	8:25aDec 30	8:20aDec 30	 28	11:10aDec 30	10:48aDec 30	 D16
weather	AA-983-DCA-MIA	2011-12-30 08:25 AM	2011-12-30 08:31 AM		2011-12-30 11:10 AM	2011-12-30 10:51 AM	
mia	AA-983-DCA-MIA				11:10A 12-30-11	2011-12-30  10:53A	
flightarrival	AA-983-DCA-MIA		8:31 AMDec 30			10:41 AMDec 30	
ua	UA-555-ORD-MCO	Fri, Dec 30 9:32 AM	Fri, Dec 30 9:29 AM	C27	Fri, Dec 30 1:11 PM	Fri, Dec 30 1:03 PM	44
flightexplorer	UA-555-ORD-MCO		12/30/2011 9:45AM CST			12/30/2011 12:59PM EST	
airtravelcenter	UA-555-ORD-MCO		12/30/11 9:46 AM (-06:00)			12/30/11 1:05 PM (-05:00)	
