ua	UA-479-SAN-SFO	Sun, Jan 1 7:57 PM	Sun, Jan 1 7:57 PM	13	Sun, Jan 1 9:35 PM	Sun, Jan 1 9:35 PM	84
gofox	UA-1083-DEN-CLE	5:35 PM, Jan 01	5:45 PM, Jan 01		10:22 PM, Jan 01	10:10 PM, Jan 01	
foxbusiness	UA-1083-DEN-CLE	5:35 PM, Jan 01	5:45 PM, Jan 01	Terminal Conc B - B18	10:22 PM, Jan 01	10:10 PM, Jan 01	Main Term - C11
allegiantair	UA-1083-DEN-CLE	5:35 PM, Jan 01	5:45 PM, Jan 01	Terminal Conc B - B18	10:22 PM, Jan 01	10:10 PM, Jan 01	Main Term - C11
boston	UA-1083-DEN-CLE	5:35 PM, Jan 01	5:45 PM, Jan 01		10:22 PM, Jan 01	10:07 PM, Jan 01	
orbitz	UA-1083-DEN-CLE	5:35pJan 1	5:31pJan 1	 B18	10:22pJan 1	10:10pJan 1	 C11
weather	UA-1083-DEN-CLE	2012-01-01 05:35 PM			2012-01-01 10:22 PM		
flightwise	UA-1083-DEN-CLE	2012-01-01 05:35PM MST	2012-01-01 05:44PM MST	 B18 	2012-01-01 10:12PM EST	2012-01-01 10:02PM EST	 C11 
ua	UA-6273-SFO-SLC	Sun, Jan 1 1:50 PM	Sun, Jan 1 1:46 PM            On Time	71	Sun, Jan 1 4:41 PM	Sun, Jan 1 4:23 PM	--
airtravelcenter	UA-6273-SFO-SLC	1/1/12 1:50 PM (-08:00)			1/1/12 4:41 PM (-07:00)		
myrateplan	UA-6273-SFO-SLC	1/1/12 1:50 PM (-08:00)			1/1/12 4:41 PM (-07:00)		
helloflight	UA-6273-SFO-SLC	1/1/12 1:50 PM (-08:00)			1/1/12 4:41 PM (-07:00)		
flytecomm	UA-6273-SFO-SLC	1/1/12 1:50 PM (-08:00)			1/1/12 4:41 PM (-07:00)		
flightaware	UA-6273-SFO-SLC	2012-01-01 01:50PM PST	2012-01-01 02:00PM PST	 71 	2012-01-01 04:24PM MST	2012-01-01 04:20PM MST	
wunderground	UA-6273-SFO-SLC	2012-01-01 01:50PM PST	2012-01-01 02:00PM PST	 71 	2012-01-01 04:24PM MST	2012-01-01 04:20PM MST	
flights	UA-6273-SFO-SLC		2012-01-01 01:46 PM	71		2012-01-01 04:23 PM	
businesstravellogue	UA-6273-SFO-SLC		2012-01-01 01:46 PM	71		2012-01-01 04:23 PM	
flylouisville	UA-6273-SFO-SLC		2012-01-01 01:46 PM	71		2012-01-01 04:23 PM	
flightstats	UA-6273-SFO-SLC	2012-01-01 1:50 PM	2012-01-01 1:46 PM		2012-01-01 4:41 PM	2012-01-01 4:23 PM	
quicktrip	UA-6273-SFO-SLC	2012-01-01 1:50 PM	2012-01-01 1:46 PM		2012-01-01 4:41 PM	2012-01-01 4:23 PM	
flightview	UA-6273-SFO-SLC		2:00 PMJan 01			4:23 PMJan 01	
panynj	UA-6273-SFO-SLC		2:00 PMJan 01			4:23 PMJan 01	
gofox	UA-6273-SFO-SLC		2:00 PMJan 01			4:23 PMJan 01	
foxbusiness	UA-6273-SFO-SLC		2:00 PMJan 01			4:23 PMJan 01	
allegiantair	UA-6273-SFO-SLC		2:00 PMJan 01			4:23 PMJan 01	
boston	UA-6273-SFO-SLC		2:00 PMJan 01			4:20 PMJan 01	
orbitz	UA-6273-SFO-SLC	1:50pJan 1		 71	4:41pJan 1		 -
usatoday	UA-6273-SFO-SLC	2012-01-01 1:50 PM	2012-01-01 1:46 PM		2012-01-01 4:41 PM	2012-01-01 4:23 PM	
flightwise	UA-6273-SFO-SLC	2012-01-01 01:50PM PST	2012-01-01 02:00PM PST	 71 	2012-01-01 04:24PM MST	2012-01-01 04:20PM MST	
flightarrival	UA-6273-SFO-SLC	2012-01-01 1:50 PM	2012-01-01 1:46 PM		2012-01-01 4:41 PM	2012-01-01 4:23 PM	
ua	UA-419-IAD-MCO	Sun, Jan 1 5:25 PM	Sun, Jan 1 5:25 PM            On Time	D29	Sun, Jan 1 7:43 PM	Sun, Jan 1 7:52 PM	40
flightexplorer	UA-419-IAD-MCO	1/1/2012 5:25PM EST			1/1/2012 7:47PM EST		
airtravelcenter	UA-419-IAD-MCO		1/1/12 5:43 PM (-05:00)			1/1/12 7:47 PM (-05:00)	
myrateplan	UA-419-IAD-MCO		1/1/12 5:43 PM (-05:00)			1/1/12 7:47 PM (-05:00)	
helloflight	UA-419-IAD-MCO		1/1/12 5:43 PM (-05:00)			1/1/12 7:47 PM (-05:00)	
flytecomm	UA-419-IAD-MCO		1/1/12 5:43 PM (-05:00)			1/1/12 7:47 PM (-05:00)	
flights	UA-419-IAD-MCO	2012-01-01 05:25 PM		D29	2012-01-01 07:43 PM		40
businesstravellogue	UA-419-IAD-MCO	2012-01-01 05:25 PM		D29	2012-01-01 07:43 PM		40
flylouisville	UA-419-IAD-MCO	2012-01-01 05:25 PM		D29	2012-01-01 07:43 PM		40
flightview	UA-419-IAD-MCO	5:25 PMJan 01			7:52 PMJan 01		
panynj	UA-419-IAD-MCO	5:25 PMJan 01			7:52 PMJan 01		
gofox	UA-419-IAD-MCO	5:25 PMJan 01			7:52 PMJan 01		
foxbusiness	UA-419-IAD-MCO	5:25 PMJan 01			7:52 PMJan 01		
allegiantair	UA-419-IAD-MCO	5:25 PMJan 01			7:52 PMJan 01		
boston	UA-419-IAD-MCO	5:25 PMJan 01			7:29 PMJan 01		
orbitz	UA-419-IAD-MCO	5:25pJan 1		 D29	8:01pJan 1		 40
iad	UA-419-IAD-MCO	2012-01-01 17:25 	2012-01-01 17:25 				
mco	UA-419-IAD-MCO				2012-01-01 Sun  19:43		40?
ua	UA-2633-CLT-TPA	Sun, Jan 1 8:05 PM	Sun, Jan 1 8:05 PM	C10	Sun, Jan 1 9:46 PM	Sun, Jan 1 10:03 PM	F86
airtravelcenter	UA-2633-CLT-TPA		1/1/12 8:31 PM (-05:00)			1/1/12 10:00 PM (-05:00)	
myrateplan	UA-2633-CLT-TPA		1/1/12 8:31 PM (-05:00)			1/1/12 10:00 PM (-05:00)	
helloflight	UA-2633-CLT-TPA		1/1/12 8:31 PM (-05:00)			1/1/12 10:00 PM (-05:00)	
flytecomm	UA-2633-CLT-TPA		1/1/12 8:31 PM (-05:00)			1/1/12 10:00 PM (-05:00)	
flightaware	UA-2633-CLT-TPA	2012-01-01 08:05PM EST	2012-01-01 08:31PM EST		2012-01-01 09:17PM EST	2012-01-01 09:51PM EST	
wunderground	UA-2633-CLT-TPA	2012-01-01 08:05PM EST	2012-01-01 08:31PM EST		2012-01-01 09:17PM EST	2012-01-01 09:51PM EST	
flights	UA-2633-CLT-TPA	08:05 PM  Sun 01-Jan-2012	08:06 PM  Sun 01-Jan-2012	C10	09:46 PM  Sun 01-Jan-2012	10:03 PM  Sun 01-Jan-2012	F86
businesstravellogue	UA-2633-CLT-TPA	08:05 PM  Sun 01-Jan-2012	08:06 PM  Sun 01-Jan-2012	C10	09:46 PM  Sun 01-Jan-2012	10:03 PM  Sun 01-Jan-2012	F86
flylouisville	UA-2633-CLT-TPA	08:05 PM  Sun 01-Jan-2012	08:06 PM  Sun 01-Jan-2012	C10	09:46 PM  Sun 01-Jan-2012	10:03 PM  Sun 01-Jan-2012	F86
world-flight-tracker	UA-2633-CLT-TPA	2012-01-01 8:05 PM	2012-01-01 8:06 PM		2012-01-01 9:46 PM	2012-01-01 10:03 PM	
flightview	UA-2633-CLT-TPA	8:05 PM, Jan 01	8:31 PM, Jan 01		9:46 PM, Jan 01	9:57 PM, Jan 01	
panynj	UA-2633-CLT-TPA	8:05 PM, Jan 01	8:31 PM, Jan 01		9:46 PM, Jan 01	9:57 PM, Jan 01	
gofox	UA-2633-CLT-TPA	8:05 PM, Jan 01	8:31 PM, Jan 01		9:46 PM, Jan 01	9:57 PM, Jan 01	
foxbusiness	UA-2633-CLT-TPA	8:05 PM, Jan 01	8:31 PM, Jan 01		9:46 PM, Jan 01	9:57 PM, Jan 01	
allegiantair	UA-2633-CLT-TPA	8:05 PM, Jan 01	8:31 PM, Jan 01		9:46 PM, Jan 01	9:57 PM, Jan 01	
boston	UA-2633-CLT-TPA	8:05 PM, Jan 01	8:31 PM, Jan 01		9:46 PM, Jan 01	9:57 PM, Jan 01	
orbitz	UA-2633-CLT-TPA	8:05pJan 1	8:06pJan 1	 C10	9:46pJan 1	10:03pJan 1	 F86
weather	UA-2633-CLT-TPA	2012-01-01 08:05 PM			2012-01-01 09:46 PM		
usatoday	UA-2633-CLT-TPA	2012-01-01 08:05 PM			2012-01-01 09:46 PM		
mytripandmore	UA-2633-CLT-TPA	8:05pJan 1	8:06pJan 1	 C10	9:46pJan 1	10:03pJan 1	 F86
flightarrival	UA-2633-CLT-TPA	2012-01-01 08:05 PM			2012-01-01 09:46 PM		
aa	AA-1445-ATL-DFW	January 1, 2012               10:55 AM    	January 1, 2012               10:51 AM    	 T11	January 1, 2012               12:30 PM    	January 1, 2012               12:11 PM    	 C24    
flightexplorer	AA-1445-ATL-DFW		1/1/2012 11:12AM EST			1/1/2012 12:09PM CST	
airtravelcenter	AA-1445-ATL-DFW		1/1/12 11:12 AM (-05:00)			1/1/12 12:09 PM (-06:00)	
myrateplan	AA-1445-ATL-DFW		1/1/12 11:12 AM (-05:00)			1/1/12 12:09 PM (-06:00)	
helloflight	AA-1445-ATL-DFW		1/1/12 11:12 AM (-05:00)			1/1/12 12:09 PM (-06:00)	
flytecomm	AA-1445-ATL-DFW		1/1/12 11:12 AM (-05:00)			1/1/12 12:09 PM (-06:00)	
flightaware	AA-1445-ATL-DFW	2012-01-01 10:55AM EST	2012-01-01 11:12AM EST	 T11 	2012-01-01 12:14PM CST	2012-01-01 12:07PM CST	 C24 
wunderground	AA-1445-ATL-DFW	2012-01-01 10:55AM EST	2012-01-01 11:12AM EST	 T11 	2012-01-01 12:14PM CST	2012-01-01 12:07PM CST	 C24 
flights	AA-1445-ATL-DFW	10:55 AM  Sun 01-Jan-2012	10:51 AM  Sun 01-Jan-2012	T11	12:30 PM  Sun 01-Jan-2012	12:11 PM  Sun 01-Jan-2012	C24
businesstravellogue	AA-1445-ATL-DFW	10:55 AM  Sun 01-Jan-2012	10:51 AM  Sun 01-Jan-2012	T11	12:30 PM  Sun 01-Jan-2012	12:11 PM  Sun 01-Jan-2012	C24
flylouisville	AA-1445-ATL-DFW	10:55 AM  Sun 01-Jan-2012	10:51 AM  Sun 01-Jan-2012	T11	12:30 PM  Sun 01-Jan-2012	12:11 PM  Sun 01-Jan-2012	C24
world-flight-tracker	AA-1445-ATL-DFW	2012-01-01 10:55 AM	2012-01-01 10:51 AM		2012-01-01 12:30 PM	2012-01-01 12:11 PM	
flightview	AA-1445-ATL-DFW	10:55 AM, Jan 01	11:12 AM, Jan 01	T11	12:30 PM, Jan 01	12:07 PM, Jan 01	C24
panynj	AA-1445-ATL-DFW	10:55 AM, Jan 01	11:12 AM, Jan 01	T11	12:30 PM, Jan 01	12:07 PM, Jan 01	C24
gofox	AA-1445-ATL-DFW	10:55 AM, Jan 01	11:12 AM, Jan 01		12:30 PM, Jan 01	12:07 PM, Jan 01	
foxbusiness	AA-1445-ATL-DFW	10:55 AM, Jan 01	11:12 AM, Jan 01	T11	12:30 PM, Jan 01	12:07 PM, Jan 01	C24
allegiantair	AA-1445-ATL-DFW	10:55 AM, Jan 01	11:12 AM, Jan 01	T11	12:30 PM, Jan 01	12:07 PM, Jan 01	C24
boston	AA-1445-ATL-DFW	10:55 AM, Jan 01	11:12 AM, Jan 01		12:30 PM, Jan 01	12:07 PM, Jan 01	
orbitz	AA-1445-ATL-DFW	10:55aJan 1		 T11	12:30pJan 1		 C24
weather	AA-1445-ATL-DFW	2012-01-01 10:55 AM			2012-01-01 12:30 PM		
dfw	AA-1445-ATL-DFW				2012-01-01 12:30 pm		C24
flightwise	AA-1445-ATL-DFW	2012-01-01 10:55AM EST	2012-01-01 11:12AM EST	 T11 	2012-01-01 12:14PM CST	2012-01-01 12:07PM CST	 C24 
CO	CO-1054-IAH-EWR	Sun., Jan.01, 2012 9:05 p.m.	Sun., Jan.01, 2012 9:05 p.m.		Sun., Jan.01, 2012 1:24 a.m.	Sun., Jan.01, 2012 1:24 a.m.	
airtravelcenter	CO-1054-IAH-EWR	1/1/12 9:05 PM (-06:00)			1/2/12 1:24 AM (-05:00)		
myrateplan	CO-1054-IAH-EWR	1/1/12 9:05 PM (-06:00)			1/2/12 1:24 AM (-05:00)		
helloflight	CO-1054-IAH-EWR	1/1/12 9:05 PM (-06:00)			1/2/12 1:24 AM (-05:00)		
flytecomm	CO-1054-IAH-EWR	1/1/12 9:05 PM (-06:00)			1/2/12 1:24 AM (-05:00)		
flightaware	CO-1054-IAH-EWR	2012-01-01 09:05PM CST	2012-01-01 09:15PM CST	 E2 	2012-01-01 01:04AM EST	2012-01-01 01:14AM EST	 C85 
wunderground	CO-1054-IAH-EWR	2012-01-01 09:05PM CST	2012-01-01 09:15PM CST	 E2 	2012-01-01 01:04AM EST	2012-01-01 01:14AM EST	 C85 
flights	CO-1054-IAH-EWR	09:05 PM  Sun 01-Jan-2012		2	01:24 AM  Mon 02-Jan-2012		85
businesstravellogue	CO-1054-IAH-EWR	09:05 PM  Sun 01-Jan-2012		2	01:24 AM  Mon 02-Jan-2012		85
flylouisville	CO-1054-IAH-EWR	09:05 PM  Sun 01-Jan-2012		2	01:24 AM  Mon 02-Jan-2012		85
flightstats	CO-1054-IAH-EWR	2012-01-01 9:05 PM	2012-01-01 9:05 PM (Estimated)		2012-01-01 1:24 AM	2012-01-01 1:24 AM (Estimated)	
quicktrip	CO-1054-IAH-EWR	2012-01-01 9:05 PM	2012-01-01 9:05 PM (Estimated)		2012-01-01 1:24 AM	2012-01-01 1:24 AM (Estimated)	
world-flight-tracker	CO-1054-IAH-EWR	2012-01-01 9:05 PM	2012-01-01 9:05 PM (Estimated)		2012-01-01 1:24 AM	2012-01-01 1:24 AM (Estimated)	
flightview	CO-1054-IAH-EWR	9:05 PM, Jan 01		Term C - E2	1:24 AM, Jan 02		Term C - C85
panynj	CO-1054-IAH-EWR	9:05 PM, Jan 01		Term C - E2	1:24 AM, Jan 02		Term C - C85
gofox	CO-1054-IAH-EWR	9:05 PM, Jan 01			1:24 AM, Jan 02		
foxbusiness	CO-1054-IAH-EWR	9:05 PM, Jan 01		Term C - E2	1:24 AM, Jan 02		Term C - C85
allegiantair	CO-1054-IAH-EWR	9:05 PM, Jan 01		Term C - E2	1:24 AM, Jan 02		Term C - C85
boston	CO-1054-IAH-EWR	9:05 PM, Jan 01	Not Available		1:24 AM, Jan 02	Not Available	
orbitz	CO-1054-IAH-EWR	9:05pJan 1		 E2	1:24aJan 2		 C85
weather	CO-1054-IAH-EWR	2012-01-01 09:05 PM			2012-01-01 01:24 AM		
mytripandmore	CO-1054-IAH-EWR	9:05pJan 1		 E2	1:24aJan 2		 C85
flightarrival	CO-1054-IAH-EWR	9:05 PM, Jan 01	Not Available		1:24 AM, Jan 02	Not Available	
ua	UA-3499-CMH-ORD	Sun, Jan 1 7:30 AM	Sun, Jan 1 7:33 AM	--	Sun, Jan 1 7:52 AM	Sun, Jan 1 8:03 AM	B19
airtravelcenter	UA-3499-CMH-ORD		1/1/12 7:59 AM (-05:00)			1/1/12 7:59 AM (-06:00)	
myrateplan	UA-3499-CMH-ORD		1/1/12 7:59 AM (-05:00)			1/1/12 7:59 AM (-06:00)	
helloflight	UA-3499-CMH-ORD		1/1/12 7:59 AM (-05:00)			1/1/12 7:59 AM (-06:00)	
flytecomm	UA-3499-CMH-ORD		1/1/12 7:59 AM (-05:00)			1/1/12 7:59 AM (-06:00)	
flightaware	UA-3499-CMH-ORD	2012-01-01 07:30AM EST	2012-01-01 07:59AM EST		2012-01-01 07:36AM CST	2012-01-01 07:56AM CST	 B19 
wunderground	UA-3499-CMH-ORD	2012-01-01 07:30AM EST	2012-01-01 07:59AM EST		2012-01-01 07:36AM CST	2012-01-01 07:56AM CST	 B19 
flights	UA-3499-CMH-ORD	07:30 AM  Sun 01-Jan-2012	07:33 AM  Sun 01-Jan-2012		07:52 AM  Sun 01-Jan-2012	08:03 AM  Sun 01-Jan-2012	
businesstravellogue	UA-3499-CMH-ORD	07:30 AM  Sun 01-Jan-2012	07:33 AM  Sun 01-Jan-2012		07:52 AM  Sun 01-Jan-2012	08:03 AM  Sun 01-Jan-2012	
flylouisville	UA-3499-CMH-ORD	07:30 AM  Sun 01-Jan-2012	07:33 AM  Sun 01-Jan-2012		07:52 AM  Sun 01-Jan-2012	08:03 AM  Sun 01-Jan-2012	
world-flight-tracker	UA-3499-CMH-ORD	2012-01-01 7:30 AM	2012-01-01 7:33 AM		2012-01-01 7:52 AM	2012-01-01 8:03 AM	
flightview	UA-3499-CMH-ORD	7:30 AM, Jan 01	7:59 AM, Jan 01		7:52 AM, Jan 01	8:03 AM, Jan 01	
panynj	UA-3499-CMH-ORD	7:30 AM, Jan 01	7:59 AM, Jan 01		7:52 AM, Jan 01	8:03 AM, Jan 01	
gofox	UA-3499-CMH-ORD	7:30 AM, Jan 01	7:59 AM, Jan 01		7:52 AM, Jan 01	8:03 AM, Jan 01	
foxbusiness	UA-3499-CMH-ORD	7:30 AM, Jan 01	7:59 AM, Jan 01		7:52 AM, Jan 01	8:03 AM, Jan 01	
allegiantair	UA-3499-CMH-ORD	7:30 AM, Jan 01	7:59 AM, Jan 01		7:52 AM, Jan 01	8:03 AM, Jan 01	
boston	UA-3499-CMH-ORD	7:30 AM, Jan 01	7:59 AM, Jan 01		7:52 AM, Jan 01	7:57 AM, Jan 01	
orbitz	UA-3499-CMH-ORD	7:30aJan 1	7:33aJan 1	 -	7:52aJan 1	8:03aJan 1	 B19
weather	UA-3499-CMH-ORD	2012-01-01 07:30 AM			2012-01-01 07:52 AM		
usatoday	UA-3499-CMH-ORD	2012-01-01 07:30 AM			2012-01-01 07:52 AM		
flightarrival	UA-3499-CMH-ORD	2012-01-01 07:30 AM			2012-01-01 07:52 AM		
ua	UA-597-SEA-SFO	Sun, Jan 1 2:13 PM	Sun, Jan 1 3:59 PM	N16	Sun, Jan 1 4:21 PM	Sun, Jan 1 6:02 PM	84
flightexplorer	UA-597-SEA-SFO		1/1/2012 4:09PM PST			1/1/2012 5:55PM PST	
airtravelcenter	UA-597-SEA-SFO		1/1/12 4:10 PM (-08:00)			1/1/12 5:49 PM (-08:00)	
myrateplan	UA-597-SEA-SFO		1/1/12 4:10 PM (-08:00)			1/1/12 5:49 PM (-08:00)	
helloflight	UA-597-SEA-SFO		1/1/12 4:10 PM (-08:00)			1/1/12 5:49 PM (-08:00)	
flytecomm	UA-597-SEA-SFO		1/1/12 4:10 PM (-08:00)			1/1/12 5:49 PM (-08:00)	
flightaware	UA-597-SEA-SFO	2012-01-01 02:13PM PST	2012-01-01 04:10PM PST	 N16 	2012-01-01 04:20PM PST	2012-01-01 05:55PM PST	 84 
wunderground	UA-597-SEA-SFO	2012-01-01 02:13PM PST	2012-01-01 04:10PM PST	 N16 	2012-01-01 04:20PM PST	2012-01-01 05:55PM PST	 84 
flights	UA-597-SEA-SFO	02:13 PM  Sun 01-Jan-2012	03:59 PM  Sun 01-Jan-2012	16	04:21 PM  Sun 01-Jan-2012	06:02 PM  Sun 01-Jan-2012	84
businesstravellogue	UA-597-SEA-SFO	02:13 PM  Sun 01-Jan-2012	03:59 PM  Sun 01-Jan-2012	16	04:21 PM  Sun 01-Jan-2012	06:02 PM  Sun 01-Jan-2012	84
flylouisville	UA-597-SEA-SFO	02:13 PM  Sun 01-Jan-2012	03:59 PM  Sun 01-Jan-2012	16	04:21 PM  Sun 01-Jan-2012	06:02 PM  Sun 01-Jan-2012	84
world-flight-tracker	UA-597-SEA-SFO	2012-01-01 2:13 PM	2012-01-01 3:59 PM		2012-01-01 4:21 PM	2012-01-01 6:02 PM	
flightview	UA-597-SEA-SFO	2:13 PM, Jan 01	4:10 PM, Jan 01	N16	4:21 PM, Jan 01	6:02 PM, Jan 01	Terminal 3 - 84
panynj	UA-597-SEA-SFO	2:13 PM, Jan 01	4:10 PM, Jan 01	N16	4:21 PM, Jan 01	6:02 PM, Jan 01	Terminal 3 - 84
gofox	UA-597-SEA-SFO	2:13 PM, Jan 01	4:10 PM, Jan 01		4:21 PM, Jan 01	6:02 PM, Jan 01	
foxbusiness	UA-597-SEA-SFO	2:13 PM, Jan 01	4:10 PM, Jan 01	N16	4:21 PM, Jan 01	6:02 PM, Jan 01	Terminal 3 - 84
allegiantair	UA-597-SEA-SFO	2:13 PM, Jan 01	4:10 PM, Jan 01	N16	4:21 PM, Jan 01	6:02 PM, Jan 01	Terminal 3 - 84
boston	UA-597-SEA-SFO	2:13 PM, Jan 01	4:10 PM, Jan 01		4:21 PM, Jan 01	5:56 PM, Jan 01	
orbitz	UA-597-SEA-SFO	2:13pJan 1	3:59pJan 1	 N16	4:21pJan 1	6:02pJan 1	 84
weather	UA-597-SEA-SFO	2012-01-01 02:13 PM			2012-01-01 04:21 PM		
usatoday	UA-597-SEA-SFO	2012-01-01 02:13 PM			2012-01-01 04:21 PM		
aa	AA-10-LAX-JFK	January 1, 2012               09:20 PM    	January 1, 2012     	 49A	January 2, 2012               05:30 AM    	January 2, 2012     	 42    
flightexplorer	AA-10-LAX-JFK		12/31/2011 9:41PM PST			1/1/2012 5:21AM EST	
flightexplorer	AA-10-LAX-JFK	1/1/2012 9:20PM PST			1/2/2012 5:30AM EST		
airtravelcenter	AA-10-LAX-JFK		1/1/12 9:38 PM (-08:00)			1/2/12 5:26 AM (-05:00)	
myrateplan	AA-10-LAX-JFK		1/1/12 9:38 PM (-08:00)			1/2/12 5:26 AM (-05:00)	
helloflight	AA-10-LAX-JFK		1/1/12 9:38 PM (-08:00)			1/2/12 5:26 AM (-05:00)	
flytecomm	AA-10-LAX-JFK		1/1/12 9:38 PM (-08:00)			1/2/12 5:26 AM (-05:00)	
flightaware	AA-10-LAX-JFK	2012-01-01 09:20PM PST	2012-01-01 09:41PM PST	 46A 	2012-01-01 05:22AM EST	2012-01-01 05:17AM EST	 39 
wunderground	AA-10-LAX-JFK	2012-01-01 09:20PM PST	2012-01-01 09:41PM PST	 46A 	2012-01-01 05:22AM EST	2012-01-01 05:17AM EST	 39 
flights	AA-10-LAX-JFK	09:20 PM  Sun 01-Jan-2012		49A	05:30 AM  Mon 02-Jan-2012		C42
businesstravellogue	AA-10-LAX-JFK	09:20 PM  Sun 01-Jan-2012		49A	05:30 AM  Mon 02-Jan-2012		C42
flylouisville	AA-10-LAX-JFK	09:20 PM  Sun 01-Jan-2012		49A	05:30 AM  Mon 02-Jan-2012		C42
flightstats	AA-10-LAX-JFK	2012-01-01 9:20 PM	2012-01-01 9:20 PM (Estimated)		2012-01-01 5:30 AM	2012-01-01 5:30 AM (Estimated)	
quicktrip	AA-10-LAX-JFK	2012-01-01 9:20 PM	2012-01-01 9:20 PM (Estimated)		2012-01-01 5:30 AM	2012-01-01 5:30 AM (Estimated)	
world-flight-tracker	AA-10-LAX-JFK	2012-01-01 9:20 PM	2012-01-01 9:20 PM (Estimated)		2012-01-01 5:30 AM	2012-01-01 5:30 AM (Estimated)	
flightview	AA-10-LAX-JFK	9:20 PM, Jan 01		Terminal 4 - 49A	5:30 AM, Jan 02		Terminal 8 - 42
panynj	AA-10-LAX-JFK	9:20 PM, Jan 01		Terminal 4 - 49A	5:30 AM, Jan 02		Terminal 8 - 42
gofox	AA-10-LAX-JFK	9:20 PM, Jan 01			5:30 AM, Jan 02		
foxbusiness	AA-10-LAX-JFK	9:20 PM, Jan 01		Terminal 4 - 49A	5:30 AM, Jan 02		Terminal 8 - 42
allegiantair	AA-10-LAX-JFK	9:20 PM, Jan 01		Terminal 4 - 49A	5:30 AM, Jan 02		Terminal 8 - 42
boston	AA-10-LAX-JFK	9:20 PM, Jan 01	Not Available		5:30 AM, Jan 02	Not Available	
orbitz	AA-10-LAX-JFK	9:20pJan 1		 49A	5:30aJan 2		 42
weather	AA-10-LAX-JFK	2012-01-01 09:20 PM	2012-01-01 09:41 PM		2012-01-01 05:30 AM	2012-01-01 05:17 AM	
ifly	AA-10-LAX-JFK	2012-01-01 9:20 PM	2012-01-01 9:20 PM (Estimated)		2012-01-01 5:30 AM	2012-01-01 5:30 AM (Estimated)	
usatoday	AA-10-LAX-JFK	2012-01-01 9:20 PM	2012-01-01 9:20 PM (Estimated)		2012-01-01 5:30 AM	2012-01-01 5:30 AM (Estimated)	
flightarrival	AA-10-LAX-JFK	2012-01-01 09:20 PM	2012-01-01 09:41 PM		2012-01-01 05:30 AM	2012-01-01 05:17 AM	
ua	UA-3524-ORD-EWR	Sun, Jan 1 11:10 AM	Sun, Jan 1 11:06 AM            On Time	C6	Sun, Jan 1 2:08 PM	Sun, Jan 1 2:03 PM	16
airtravelcenter	UA-3524-ORD-EWR		1/1/12 11:18 AM (-06:00)			1/1/12 1:46 PM (-05:00)	
myrateplan	UA-3524-ORD-EWR		1/1/12 11:18 AM (-06:00)			1/1/12 1:46 PM (-05:00)	
helloflight	UA-3524-ORD-EWR		1/1/12 11:18 AM (-06:00)			1/1/12 1:46 PM (-05:00)	
flytecomm	UA-3524-ORD-EWR		1/1/12 11:18 AM (-06:00)			1/1/12 1:46 PM (-05:00)	
flightaware	UA-3524-ORD-EWR	2012-01-01 11:10AM CST	2012-01-01 11:17AM CST	 C6 	2012-01-01 01:48PM EST	2012-01-01 01:59PM EST	 16 
flightaware	UA-3524-ORD-EWR	2012-01-01 11:10AM CST	2012-01-01 11:17AM CST	 C6 	2012-01-01 01:48PM EST	2012-01-01 01:59PM EST	 16 
wunderground	UA-3524-ORD-EWR	2012-01-01 11:10AM CST	2012-01-01 11:17AM CST	 C6 	2012-01-01 01:48PM EST	2012-01-01 01:59PM EST	 16 
wunderground	UA-3524-ORD-EWR	2012-01-01 11:10AM CST	2012-01-01 11:17AM CST	 C6 	2012-01-01 01:48PM EST	2012-01-01 01:59PM EST	 16 
flights	UA-3524-ORD-EWR		2012-01-01 11:06 AM	C6		2012-01-01 02:03 PM	16
businesstravellogue	UA-3524-ORD-EWR		2012-01-01 11:06 AM	C6		2012-01-01 02:03 PM	16
flylouisville	UA-3524-ORD-EWR		2012-01-01 11:06 AM	C6		2012-01-01 02:03 PM	16
flightview	UA-3524-ORD-EWR		11:18 AMJan 01			2:03 PMJan 01	
panynj	UA-3524-ORD-EWR		11:18 AMJan 01			2:03 PMJan 01	
gofox	UA-3524-ORD-EWR		11:18 AMJan 01			2:03 PMJan 01	
foxbusiness	UA-3524-ORD-EWR		11:18 AMJan 01			2:03 PMJan 01	
allegiantair	UA-3524-ORD-EWR		11:18 AMJan 01			2:03 PMJan 01	
boston	UA-3524-ORD-EWR		11:18 AMJan 01			1:59 PMJan 01	
orbitz	UA-3524-ORD-EWR	11:10aJan 1		 C6	2:08pJan 1		 16
orbitz	UA-3524-ORD-EWR	11:10aJan 1	11:06aJan 1	 C6	2:08pJan 1	2:03pJan 1	 16
ord	UA-3524-ORD-EWR	2012-01-01 11:10 AM		C6	2012-01-01 2:08 PM		16
flightarrival	UA-3524-ORD-EWR		11:18 AMJan 01			1:59 PMJan 01	
aa	AA-1072-MFE-DFW	January 1, 2012               03:55 PM    	January 1, 2012               04:08 PM    		January 1, 2012               05:30 PM    	January 1, 2012               05:34 PM    	 A35    
flightexplorer	AA-1072-MFE-DFW		1/1/2012 4:17PM CST			1/1/2012 5:31PM CST	
airtravelcenter	AA-1072-MFE-DFW		1/1/12 4:17 PM (-06:00)			1/1/12 5:31 PM (-06:00)	
myrateplan	AA-1072-MFE-DFW		1/1/12 4:17 PM (-06:00)			1/1/12 5:31 PM (-06:00)	
