akaname,inspectionid,city,state,results,longitude,latitude,inspectiondate,risk,location,license,facilitytype,address,inspectiontype,dbaname,zip
wendys,1576013,chicago,il,pass,-87.68113125,41.9686192,20150923,risk 1 (high),(41.968619203948315,2405945,restaurant,2053 w lawrence ave,license,wendys properties,60625
cuba 312,1932830,chicago,il,pass,-87.68065079,41.94330118,20160616,risk 3 (low),(41.943301180423724,2411344,restaurant,2054 w roscoe st,license,cuba 312,60618
i have a dream learning daycare center ii,1932827,chicago,il,pass,-87.66747206,41.75019366,20160616,risk 1 (high),(41.75019365776985,2428021,daycare above and under 2 years,1741-1749 w 79th st,canvass,i have a dream learning daycare center ii,60620
kokos mediterranean grill,1932826,chicago,il,fail,-87.67211595,41.89610267,20160616,risk 1 (high),(41.89610267284695,2293013,restaurant,1760 w chicago ave,canvass,kokos mediterranean grill,60622
chicago live poultry,1932825,chicago,il,pass,-87.689757,41.99838462,20160616,risk 2 (medium),(41.99838462464786,82227,butcher,6421 n western ave,complaint,chicago live poultry,60645
kanela cafe,1932828,chicago,il,pass,-87.65121094,41.940826,20160616,risk 1 (high),(41.94082600285433,2078723,restaurant,3231 n clark,canvass re-inspection,kanela cafe,60657
franks n dawgs,1932946,chicago,il,out of business,-87.65499361,41.91498953,20160616,risk 1 (high),(41.91498953039437,2094329,restaurant,1863 n clybourn ave,canvass,franks n dawgs,60614
dirk fish & gourmet shop,1932823,chicago,il,pass,-87.66089422,41.91893142,20160616,risk 1 (high),(41.91893142402569,1334155,grocery store,2070 n clybourn ave,canvass,dirk fish & gourmet shop inc,60614
subway,1932822,chicago,il,pass,-87.67192543,41.92521233,20160616,risk 1 (high),(41.92521232759425,2033051,restaurant,1730 w fullerton ave,canvass re-inspection,subway,60614
le pain quotidien,1781226,chicago,il,pass,-87.62453094,41.8825402,20160616,risk 1 (high),(41.88254020245772,2350156,restaurant,20 n michigan ave,canvass,le pain quotidien,60602
petes market,1932820,chicago,il,pass,-87.70357973,41.78911255,20160616,risk 1 (high),(41.789112548016774,36823,grocery store,5724 s kedzie ave,canvass,petes market,60629
cuba 312,1932821,chicago,il,pass,-87.68065079,41.94330118,20160616,risk 1 (high),(41.943301180423724,2348660,restaurant,2054 w roscoe st,canvass,cuba 312,60618
living good coffee,1937652,chicago,il,not ready,-87.76465559,41.93848854,20160616,risk 3 (low),(41.93848853900507,2469551,grocery store,5515 w belmont ave,license,living good coffee,60641
golden grain bakery/cafe,1932814,chicago,il,pass w/ conditions,-87.71263166,41.9685185,20160616,risk 1 (high),(41.968518497633795,2288717,restaurant,3342 w lawrence ave,canvass re-inspection,golden grain bakery and donuts corporation,60625
salonica restaurant,1932815,chicago,il,pass,-87.59018904,41.79161998,20160616,risk 1 (high),(41.79161998052027,19347,restaurant,1438 e 57th st,canvass re-inspection,salonica restaurant,60637
learn together grow together child development c,1932813,chicago,il,pass,-87.6514644,41.7142405,20160616,risk 1 (high),(41.714240500986136,2384887,daycare above and under 2 years,1126 w 99th st,canvass,learn together grow together child development cen,60643
la sirena clandestina,1932812,chicago,il,pass,-87.6520301,41.88685112,20160616,risk 1 (high),(41.886851115667795,5012,restaurant,954 w fulton market,canvass re-inspection,la sirena clandestina,60607
popeyes chicken & biscuits,1932810,chicago,il,pass,-87.58577278,41.73591611,20160615,risk 2 (medium),(41.73591610860575,1963422,restaurant,8732 s stony island ave,canvass,popeyes chicken & biscuits,60617
chinese kitchen and sushi,1932809,chicago,il,pass,-87.63746078,41.83827011,20160615,risk 1 (high),(41.83827010545886,2313773,restaurant,420-422 w 31st st,canvass re-inspection,chinese kitchen and sushi,60616
big sams food mart & cellular,1386224,chicago,il,pass w/ conditions,-87.62008844,41.75820844,20150622,risk 2 (medium),(41.75820844474927,2230584,grocery store,133 e 75th st,complaint,big sams food mart & cellular,60619
hot dog,1932807,chicago,il,fail,-87.66782239,41.97284252,20160615,risk 1 (high),(41.97284251510629,2385472,restaurant,5009 n clark st,canvass,hot g dog,60640
chipotle mexican grill,1932806,chicago,il,pass,-87.65503926,41.9397865,20160615,risk 1 (high),(41.93978650135143,1355794,restaurant,1025 w belmont ave,canvass,chipotle mexican grill,60657
chablays express & catering,1932804,chicago,il,fail,-87.68364378,41.77387125,20160615,risk 1 (high),(41.773871250304225,2314797,restaurant,6558 s western ave,canvass,chablays express & catering,60636
emerald isle,1932803,chicago,il,pass,-87.81574842,42.00237737,20160615,risk 1 (high),(42.0023773668331,1576613,restaurant,6684-6686 n northwest hwy,canvass re-inspection,emerald isle,60631
dunkin donuts/baskin robbins,1932800,chicago,il,out of business,-87.60417487,41.73676764,20160615,risk 2 (medium),(41.73676764308971,1823780,restaurant,814 e 87th st,canvass,dunkin donuts/baskin robbins,60619
thai aroma,1779217,chicago,il,pass,-87.65289438,41.95798395,20160615,risk 1 (high),(41.957983952158955,1909730,restaurant,4142 n broadway,complaint re-inspection,thai aroma inc,60613
kings bowl,1932802,chicago,il,pass,-87.64645269,41.90856014,20160615,risk 1 (high),(41.90856013536843,2391427,restaurant,1500 n clybourn st,canvass re-inspection,kings bowl,60610
smallfry,1932795,chicago,il,pass,-87.70319925,41.92663503,20160615,risk 1 (high),(41.92663502691596,2469627,restaurant,2489 n milwaukee ave,license,smallfry chicago,60647
potbelly sandwich shop,1932805,chicago,il,pass,-87.7323202,41.95348915,20160615,risk 1 (high),(41.953489149800056,2418678,restaurant,4185 w irving park rd,complaint,potbelly sandwich shop,60641
el morelense,1932797,chicago,il,pass,-87.8172596,41.93803297,20160615,risk 1 (high),(41.93803296673745,2469650,restaurant,7616 w belmont ave,license re-inspection,el morelense,60634
la cazuela restaurant,1932801,chicago,il,pass,-87.67371086,42.00727086,20160615,risk 1 (high),(42.007270860380864,1144342,restaurant,6922 n clark st,canvass,la cazuela restaurant,60626
pizzeria calzone,1932799,chicago,il,fail,-87.70336738,41.98786036,20160615,risk 1 (high),(41.98786035580833,1803745,restaurant,5858 n lincoln ave,canvass,pizzeria calzone,60659
su nueva casa del gallo bravo,1932793,chicago,il,pass,-87.72135178,41.96842385,20160615,risk 1 (high),(41.968423847600164,2308713,restaurant,3714 w lawrence ave,canvass re-inspection,su nueva casa del gallo bravo,60625
mary anns foodtini,1932792,chicago,il,out of business,-87.60468653,41.7370237,20160615,risk 2 (medium),(41.73702370117447,2358884,restaurant,8649 s cottage grove,canvass,mary anns foodtini,60619
standing passengers inc.,1932798,chicago,il,pass,-87.66472119,41.89622326,20160615,risk 2 (medium),(41.896223263877324,2446708,restaurant,1458 w chicago ave,license,standing passengers inc.,60642
noodles etc,1932791,chicago,il,pass,-87.59345688,41.79136762,20160615,risk 1 (high),(41.79136761733113,1047724,restaurant,1333 e 57th st,canvass re-inspection,noodles etc,60637
little vines childcare center,1932789,chicago,il,fail,-87.64330122,41.71925798,20160615,risk 1 (high),(41.71925798007173,2283491,daycare above and under 2 years,9600 s halsted st,license,little vines childcare center,60628
khosan & taylor,1932788,chicago,il,pass,-87.654464,41.86956302,20160615,risk 1 (high),(41.86956301634025,2391339,restaurant,1104 w taylor st,canvass,khosan & taylor,60607
zaleski & horvath marketcafe,1932787,chicago,il,pass,-87.59386259,41.79136324,20160615,risk 1 (high),(41.79136323943426,2049909,restaurant,1323 e 57th st,complaint re-inspection,zaleski & horvath marketcafe,60637
lemons enterprises inc.,1932784,chicago,il,pass,-87.61779767,41.75825081,20160615,risk 1 (high),(41.7582508065721,34368,restaurant,311 e 75th st,canvass,lemons enterprises inc.,60619
family den,1932783,chicago,il,fail,-87.5856895,41.73204914,20160615,risk 1 (high),(41.73204913540182,2240254,restaurant,8940-8944 s stony island ave,canvass,family den,60617
frontera grill,1932782,chicago,il,pass,-87.63094921,41.8904973,20160615,risk 1 (high),(41.89049729980384,2278794,restaurant,443 - 447 n clark st,suspected food poisoning,frontera grill/toplobampo,60654
kiddie kottage,1932781,chicago,il,fail,-87.67222985,41.73577102,20160615,risk 1 (high),(41.735771015426245,2215506,daycare (2 - 6 years),1946 w 87th st,license,kiddie kottage,60620
princeton foods,1791214,chicago,il,fail,-87.62994825,41.68534505,20160615,risk 2 (medium),(41.6853450490904,2354138,grocery store,256 w 115th st,complaint,princeton foods,60628
allende restaurant #2,1932780,chicago,il,pass,-87.64439905,41.92247791,20160615,risk 1 (high),(41.922477913374195,1357345,restaurant,2221 n lincoln ave,canvass re-inspection,allende restaurant #2,60614
mc cann day care center,1932779,chicago,il,pass,-87.58581842,41.73830089,20160615,risk 1 (high),(41.738300894823446,2215665,daycare (2 - 6 years),8612 s stony island ave,license,mc cann day care center,60617
south loop market,1932776,chicago,il,pass w/ conditions,-87.63471047,41.87672216,20160615,risk 1 (high),(41.876722160510816,2098754,grocery store,235 w van buren st,canvass,south loop market,60607
kanela breakfast club,1932775,chicago,il,pass,-87.61438468,41.89111833,20160615,risk 1 (high),(41.891118332731956,2359087,restaurant,500 n lake shore dr,canvass,kanela breakfast club,60611
florence g. heller jcc,1578626,chicago,il,pass,-87.64297833,41.94126758,20151007,risk 1 (high),(41.94126757722519,2215712,daycare above and under 2 years,524 w melrose st,license,florence g. heller jcc,60657
salonica restaurant,1932777,chicago,il,pass w/ conditions,-87.59018904,41.79161998,20160615,risk 1 (high),(41.79161998052027,19347,restaurant,1438 e 57th st,canvass,salonica restaurant,60637
lake point market,1932772,chicago,il,out of business,-87.61410753,41.89127929,20160615,risk 1 (high),(41.89127929349215,1985443,grocery store,505 n lake shore dr,canvass,lake point market,60611
billys grill,1932774,chicago,il,pass,-87.71437418,41.74101286,20160615,risk 1 (high),(41.74101286491123,5960,restaurant,3711 w columbus ave,complaint,billys grill,60652
chez moi,1932773,chicago,il,pass,-87.64872471,41.92008219,20160615,risk 1 (high),(41.92008219079211,968,restaurant,2100 n halsted st,canvass re-inspection,chez moi,60614
j + l family learning daycare center,1932771,chicago,il,fail,-87.62773602,41.68225833,20160615,risk 1 (high),(41.68225833336412,2220707,daycare above and under 2 years,11638-11640 s wentworth ave,canvass,j + l family learning daycare center,60628
brindille,1932770,chicago,il,pass,-87.63127921,41.89182683,20160615,risk 1 (high),(41.89182682768055,2087734,restaurant,534 n clark st,canvass,brindille,60654
supermercado los cuates,1932769,chicago,il,pass,-87.73591571,41.77110727,20160615,risk 1 (high),(41.77110726848157,2442346,grocery store,4531-4535 w marquette rd,canvass,supermercado los cuates,60629
ay chiwowa,1559416,chicago,il,no entry,-87.63618117,41.89645686,20150622,risk 1 (high),(41.89645685790188,2233263,restaurant,311 w chicago ave,canvass,ay chiwowa,60654
ronnys original steak house,1781225,chicago,il,pass,-87.63101045,41.88458627,20160615,risk 1 (high),(41.88458626715456,1069683,restaurant,100 w randolph st,complaint,ronnys original steak house,60601
blue door farm stand too,1932768,chicago,il,pass,-87.64658724,41.91809714,20160615,risk 1 (high),(41.91809714268833,2428971,restaurant,711 w armitage ave,canvass re-inspection,blue door farm stand too,60614
roditys restaurant,1932767,chicago,il,pass,-87.64740622,41.8784832,20160615,risk 1 (high),(41.878483200196115,8507,restaurant,222 s halsted st,canvass re-inspection,roditys restaurant,60661
sola restaurant,1779216,chicago,il,no entry,-87.67780411,41.95223787,20160614,risk 1 (high),(41.9522378735577,2379860,restaurant,1939-1943 w byron st,canvass,sola restaurant,60613
shaws crab house,1932759,chicago,il,pass,-87.62707477,41.88997109,20160614,risk 1 (high),(41.889971085414004,9278,restaurant,21 e hubbard st,complaint re-inspection,shaws crab house,60611
golden fish,1932760,chicago,il,pass,-87.60650259,41.81332208,20160614,risk 1 (high),(41.81332207930693,1330297,restaurant,4457 s cottage grove ave,canvass,golden fish,60653
la scarola,1932757,chicago,il,pass,-87.64691989,41.89108321,20160614,risk 1 (high),(41.89108321085335,61460,restaurant,721 w grand ave,canvass re-inspection,la scarola,60654
marcellos market & deli,1419008,chicago,il,not ready,-87.63101045,41.88458627,20150518,risk 1 (high),(41.88458626715456,2398980,restaurant,100 w randolph st,license,marcellos market & deli,60601
giordanos,1932761,chicago,il,fail,-87.65555382,41.93999836,20160614,risk 1 (high),(41.939998356700194,2412587,restaurant,1036-1040 w belmont ave,canvass,giordanos on belmont,60657
whiner beer company,1746282,chicago,il,not ready,-87.66028326,41.81060129,20160614,risk 3 (low),(41.81060129421089,2428009,liquor,1400 w 46th st,license,whiner beer company,60609
nighthawk,1932756,chicago,il,pass,-87.71349831,41.96791407,20160614,risk 2 (medium),(41.9679140724935,2340649,restaurant,4744 n kimball ave,license,nighthawk,60625
burger king,1932755,chicago,il,pass,-87.74276777,41.79828531,20160614,risk 2 (medium),(41.79828531153699,2368743,restaurant,5211 s cicero ave,short form complaint,burger king #3386,60632
starbucks (main floor),1932758,chicago,il,pass w/ conditions,-87.83916756,41.98118072,20160614,risk 2 (medium),(41.98118072487806,2278129,restaurant,8500 w bryn mawr ave,canvass,renaissance chicago ohare hotel,60631
fanfares catering,1932753,chicago,il,pass,-87.60520404,41.72215179,20160614,risk 1 (high),(41.72215178539514,1578473,restaurant,742 e 95th st,canvass,fanfares catering,60619
benchmark,1932739,chicago,il,pass,-87.63480392,41.90947419,20160614,risk 1 (high),(41.90947418881767,2027137,restaurant,1508-1510 n wells st,complaint,benchmark bar & grill,60610
babylon food and cafe,1932754,chicago,il,pass,-87.70159761,41.98708903,20160614,risk 1 (high),(41.9870890263283,2333793,restaurant,5809 n lincoln ave,canvass,babylon food and cafe,60659
chicago kernel gourmet popcorn & more,1932748,chicago,il,out of business,-87.62747261,41.87541493,20160614,risk 2 (medium),(41.87541493209854,2271266,restaurant,511 s state st,canvass,chicago kernel gourmet popcorn & more,60605
,1752230,chicago,il,fail,-87.67003082,41.98875114,20160614,risk 2 (medium),(41.988751139322524,2419562,restaurant,5910 n clark st,canvass,mamina kuhinja,60660
giant,1932746,chicago,il,pass,-87.7073727,41.91728802,20160614,risk 1 (high),(41.91728802065993,2442932,restaurant,3209 w armitage ave,license,giant,60647
epic burger,1932745,chicago,il,pass,-87.62747312,41.87531384,20160614,risk 2 (medium),(41.875313842367994,1904806,restaurant,517 s state st,canvass,epic burger,60605
nighthawk,1932751,chicago,il,pass,-87.71349831,41.96791407,20160614,risk 2 (medium),(41.9679140724935,2340650,restaurant,4744 n kimball ave,license,nighthawk,60625
,1932749,chicago,il,fail,-87.61336681,41.7072122,20160614,risk 1 (high),(41.707212200212126,2320043,restaurant,409 e 103rd st,complaint,3 jjjs better taste jamaican jerk restaurant,60628
pastoral,1781224,chicago,il,fail,-87.62616146,41.88561898,20160614,risk 1 (high),(41.885618984652936,1820903,restaurant,53 e lake st,complaint,pastoral,60601
badou senegalese cuisine,1932743,chicago,il,fail,-87.68254052,42.01935461,20160614,risk 1 (high),(42.019354611240104,2183957,restaurant,2055 w howard st,canvass,badou senegalese cuisine,60645
italian fiesta pizzeria inc,1932735,chicago,il,pass,-87.59237387,41.80979548,20160614,risk 1 (high),(41.80979548271692,31035,restaurant,1400 e 47th dr,canvass,italian fiesta pizzeria inc,60653
ema,1932733,chicago,il,pass,-87.6309448,41.8909354,20160614,risk 1 (high),(41.89093540406077,2452176,restaurant,74 w illinois st,license,ema,60654
graham elliot bistro,1773211,chicago,il,fail,-87.64900872,41.88427123,20160614,risk 1 (high),(41.88427122892852,2142681,restaurant,841 w randolph st fl,canvass,geb,60607
la palapa inc.,1932731,chicago,il,fail,-87.67538617,41.83231584,20160614,risk 1 (high),(41.83231583815303,1885084,restaurant,2000 w 34th st,complaint,la palapa inc.,60608
chinese #1 kitchen,1932736,chicago,il,pass,-87.70322295,41.78707418,20160614,risk 1 (high),(41.78707418389442,2120075,restaurant,5833 s kedzie ave,canvass,chinese #1 kitchen,60629
grk greek kitchen,1932726,chicago,il,pass,-87.63383891,41.87678483,20160614,risk 1 (high),(41.87678483144558,2341133,restaurant,400 s wells st,canvass,grk greek kitchen,60607
kellys pub,1932732,chicago,il,fail,-87.65300408,41.92163662,20160614,risk 1 (high),(41.92163661876611,349,restaurant,949 w webster ave,canvass,kellys pub,60614
perfect beginnings child development center,1932727,chicago,il,pass,-87.65901955,41.67768507,20160614,risk 1 (high),(41.677685065833224,2385784,daycare above and under 2 years,1500 w 119th st,canvass re-inspection,perfect beginnings child development center,60643
jerky jerk,1752229,chicago,il,pass,-87.66132071,41.99807015,20160614,risk 1 (high),(41.99807015118323,2232338,restaurant,1217 w devon ave,canvass re-inspection,jerky jerk,60660
giant,1932723,chicago,il,pass,-87.7073727,41.91728802,20160614,risk 1 (high),(41.91728802065993,2442931,restaurant,3209 w armitage ave,license,giant,60647
latin school of chicago lower school,1932724,chicago,il,not ready,-87.63003388,41.91038842,20160614,risk 1 (high),(41.91038842164898,2470308,restaurant,1531 n dearborn pkwy,license,handcut foods llc,60610
zias lago vista,1779215,chicago,il,fail,-87.66882564,41.95118641,20160614,risk 1 (high),(41.95118641238087,2221636,restaurant,3817-3819 n ashland ave,canvass,zias lago vista,60613
latin school of chicago lower school,1932719,chicago,il,pass w/ conditions,-87.63003388,41.91038842,20160614,risk 1 (high),(41.91038842164898,2354268,restaurant,1531 n dearborn pkwy,canvass,latin school of chicago,60610
fresh to go (main floor),1932722,chicago,il,pass,-87.83916756,41.98118072,20160614,risk 3 (low),(41.98118072487806,2278128,grocery store,8500 w bryn mawr ave,canvass,renaissance chicago ohare hotel,60631
old country buffet,1932717,chicago,il,pass,-87.78988086,41.9237502,20160614,risk 1 (high),(41.92375020104243,21793,restaurant,6560 w fullerton ave,complaint re-inspection,old country buffet,60707
frank meats patty,1932716,chicago,il,out of business,-87.69806831,41.94267996,20160614,risk 2 (medium),(41.94267996160201,2374125,restaurant,3324 n california ave,canvass,frank meats patty,60618
redhot ranch,1932712,chicago,il,fail,-87.66844527,41.93775888,20160614,risk 2 (medium),(41.937758881866735,2240624,restaurant,3057 n ashland ave,complaint,redhot ranch,60657
pinstripes,1932714,chicago,il,pass w/ conditions,-87.61634773,41.89096573,20160614,risk 1 (high),(41.89096572790968,2298672,restaurant,435 e illinois st,canvass,pinstripes,60611
orbit room chicago,1932711,chicago,il,no entry,-87.69757532,41.93562554,20160614,risk 1 (high),(41.935625542674586,1772245,restaurant,2957-2959 n california ave,canvass,orbit room chicago,60618
protein bar,1932680,chicago,il,pass,-87.63120054,41.8889586,20160614,risk 1 (high),(41.88895860442257,2079748,restaurant,352 n clark st,canvass,protein bar,60654
merlas kitchen,1932718,chicago,il,pass,-87.71340796,41.97595236,20160614,risk 1 (high),(41.97595235572225,1980376,restaurant,5207 n kimball ave,canvass,merlas kitchen,60625
panera bread,1932715,chicago,il,fail,-87.70963133,41.99191947,20160614,risk 1 (high),(41.99191947239194,1475890,restaurant,6059 n lincoln ave,canvass,panera bread,60659
mago grill & cantina,1932710,chicago,il,fail,,,20160614,risk 3 (low),,2423996,restaurant,1010 s delano west ct,license,mago grill & cantina,60605
left coast food + juice,1932708,chicago,il,pass,-87.66094552,41.93400462,20160614,risk 1 (high),(41.93400462046093,2447012,restaurant,2870-2878 n lincoln ave,license re-inspection,left coast food + juice,60657
oberois indian food & grocery inc.,1932707,chicago,il,not ready,-87.63387183,41.83809812,20160614,risk 1 (high),(41.83809812111012,2463281,grocery store,255 w 31st st,license re-inspection,oberois indian food & grocery inc.,60616
,1746280,chicago,il,fail,-87.63927208,41.82365514,20160614,risk 1 (high),(41.82365514125402,2378880,restaurant,514 w pershing rd,license,the ballpark pub,60609
mago grill & cantina,1932706,chicago,il,fail,,,20160614,risk 1 (high),,2423995,restaurant,1010 s delano west ct,license,mago grill & cantina,60605
new archview restaurant inc,1932709,chicago,il,pass,-87.67740468,41.83069228,20160614,risk 1 (high),(41.83069228369247,1726,restaurant,3480 s archer ave,complaint,new archview restaurant inc,60608
el morelense,1932702,chicago,il,fail,-87.8172596,41.93803297,20160614,risk 1 (high),(41.93803296673745,2469650,restaurant,7616 w belmont ave,license re-inspection,el morelense,60634
la haciendita taqueria,1932705,chicago,il,fail,-87.70743369,41.80818631,20160614,risk 1 (high),(41.80818630754135,1479601,restaurant,3322 w 47th st,complaint,la haciendita taqueria inc,60632
falafel island,1932704,chicago,il,pass w/ conditions,-87.62685551,41.87961078,20160614,risk 1 (high),(41.87961077820512,2437922,restaurant,24 e adams st,canvass,falafel island,60603
gilt bar,1932700,chicago,il,not ready,-87.63526545,41.88926054,20160614,risk 3 (low),(41.88926053865928,2269632,mobile food preparer,228-230 w kinzie st,license,doughnut vault,60654
positive kids positive futures learning academy,1932698,chicago,il,no entry,-87.59865828,41.76219617,20160614,risk 1 (high),(41.76219616956896,2411378,daycare 2 yrs to 12 yrs,1049 e 73rd st,canvass,positive kids positive futures learning academy,60619
detour 2 discovery day school,1932660,chicago,il,pass,-87.62541063,41.85540975,20160613,risk 1 (high),(41.85540975342332,2215784,daycare above and under 2 years,2001 s wabash ave,license,detour 2 discovery day school,60616
la unika de michoacam,1516322,chicago,il,pass,-87.7318746,41.7786605,20150618,risk 2 (medium),(41.77866050373662,2358545,restaurant,4344 w 63rd st,license,la unika de michoacam,60629
reggie pizza,1932693,chicago,il,pass,-87.63353977,41.8765621,20160614,risk 1 (high),(41.87656209838564,1494369,restaurant,411 s wells st,canvass,reggie pizza,60607
georgis catering/nic & buddies deli,1932697,chicago,il,pass,-87.76153685,41.77692357,20160614,risk 1 (high),(41.77692357061871,69016,restaurant,6339 s central ave,canvass re-inspection,georgis catering,60638
1492 cuban fusion inc,1932692,chicago,il,pass,-87.69271466,41.91015015,20160614,risk 1 (high),(41.91015014519043,2470418,restaurant,2615 w north ave,license,1492 cuban fusion inc,60647
starbucks coffee,1932694,chicago,il,pass,-87.61754059,41.89094362,20160614,risk 2 (medium),(41.89094361522157,2411612,grocery store,401 e illinois st,complaint,target store t-3207,60611
hashbrowns,1932690,chicago,il,pass,-87.63432059,41.90353562,20160614,risk 3 (low),(41.90353561893021,2457661,restaurant,1149-1155 n wells st,license,hashbrowns on wells,60610
flaming wok & grill,1932695,chicago,il,fail,-87.64773276,41.89910985,20160614,risk 1 (high),(41.89910984731563,2358905,restaurant,903 n halsted st,complaint,flaming wok & grill,60642
,1746279,chicago,il,fail,-87.63927208,41.82365514,20160614,risk 1 (high),(41.82365514125402,2378879,restaurant,514 w pershing rd,license,the ballpark pub,60609
rainforest learning center,1932615,chicago,il,pass,-87.62722406,41.86500783,20160613,risk 1 (high),(41.86500783111907,2215834,daycare above and under 2 years,1325 s state st,canvass,rainforest learning center,60605
petterinos banquet,1781223,chicago,il,fail,-87.62979798,41.8845918,20160614,risk 1 (high),(41.88459179633138,1069820,restaurant,50 w randolph st,canvass,petterinos,60601
starbucks coffee #2929,1932687,chicago,il,pass,-87.7103231,41.9923449,20160614,risk 2 (medium),(41.99234490246529,1422751,restaurant,6075 n lincoln ave,canvass,starbucks coffee #2929,60659
sweet mandy bs llc,1932689,chicago,il,pass,-87.65873545,41.92176672,20160614,risk 1 (high),(41.92176672461661,2379479,bakery,1208 w webster ave,canvass,sweet mandy bs llc,60614
au bon pain,1932686,chicago,il,pass,-87.69879442,41.97634621,20160614,risk 1 (high),(41.976346214823515,2196553,restaurant,5215 n california ave,canvass,au bon pain,60625
el mercado food mart,1779214,chicago,il,pass,-87.66397805,41.95096537,20160614,risk 1 (high),(41.95096536985835,3850,grocery store,3767 n southport ave,canvass,rodolfo di sapio,60613
salernos nautical playpen,1932684,chicago,il,fail,-87.60767903,41.83618736,20160614,risk 3 (low),(41.836187355486274,2469655,liquor,3155 s lakeshore dr,license,salernos nautical playpen,60616
mikes place,1932688,chicago,il,fail,-87.69001159,42.00853185,20160614,risk 1 (high),(42.008531846278935,24902,restaurant,6977 n western ave,canvass,mikes place,60645
sushi para x,1932573,chicago,il,fail,-87.64298721,41.93272875,20160610,risk 1 (high),(41.932728746124646,2004104,restaurant,543 w diversey ave,canvass,sushi  para  x  inc.,60614
7-eleven #33496c,1932681,chicago,il,pass w/ conditions,-87.62747463,41.87501057,20160614,risk 2 (medium),(41.87501057316559,1970111,convenience store,535 s state st,canvass,7-eleven #33496c,60605
hashbrowns,1932679,chicago,il,pass,-87.63432059,41.90353562,20160614,risk 1 (high),(41.90353561893021,2252854,restaurant,1149-1155 n wells st,canvass,hashbrowns on wells,60610
taco burrito king,1932675,chicago,il,pass,-87.63354314,41.8766979,20160614,risk 1 (high),(41.876697903610385,2103985,restaurant,405 s wells st,canvass,taco burrito king,60607
bellonas chicago style pizza,1932678,chicago,il,pass,-87.71505149,41.96099495,20160614,risk 2 (medium),(41.96099494638974,1194787,restaurant,3447 w montrose ave,canvass,bellonas pizza,60618
sweet potato patch,1932673,chicago,il,pass,-87.76687934,41.89494199,20160614,risk 1 (high),(41.89494199271389,2469535,restaurant,5638 w chicago ave,license re-inspection,sweet potato patch inc,60651
taqueria villa,1932677,chicago,il,pass,-87.70222876,41.77887569,20160614,risk 1 (high),(41.77887569454626,26483,restaurant,3139 w 63rd st,canvass,taqueria villa,60629
soho house,1932672,chicago,il,pass,-87.6484324,41.8835571,20160614,risk 1 (high),(41.883557097965046,2307956,restaurant,113-125 n green st,canvass re-inspection,soho house,60607
joie de vine,1932670,chicago,il,no entry,-87.67390933,41.97986594,20160613,risk 2 (medium),(41.97986594183583,1227272,restaurant,1744 w balmoral ave,canvass,joie de vine,60640
chipotle mexican grill,1584198,chicago,il,pass,-87.66825941,41.93270303,20151110,risk 1 (high),(41.93270303163393,2109272,restaurant,2809 n ashland ave,complaint,chipotle mexican grill,60657
luckys sandwich company,1932668,chicago,il,pass,-87.65517564,41.94532486,20160613,risk 1 (high),(41.94532485896477,1479950,restaurant,3472 n clark st,complaint,luckys sandwich company,60657
devil  dawgs,1932669,chicago,il,pass w/ conditions,-87.65332859,41.92131183,20160613,risk 1 (high),(41.92131183470468,2002919,restaurant,2147 n sheffield ave,canvass,devil  dawgs,60614
jeffery sub,1932667,chicago,il,pass,-87.57539888,41.76635936,20160613,risk 2 (medium),(41.766359356037384,2002586,restaurant,2020 e 71st st,canvass,jeffery sub,60649
lou malnatis pizzeria,1932666,chicago,il,pass,-87.62737565,41.87169869,20160613,risk 1 (high),(41.8716986890444,1909010,restaurant,805 s state st,canvass,lou malnatis pizzeria,60605
jets public house,1932665,chicago,il,fail,-87.78427522,41.99337576,20160613,risk 1 (high),(41.993375763055695,1591573,restaurant,6148 n milwaukee ave,canvass,jets public house,60646
pine street kitchen,1932762,chicago,il,not ready,-87.62410246,41.88935425,20160613,risk 1 (high),(41.88935425192819,2452160,restaurant,401 n michigan ave,license,eurest dining,60611
el senor sombrero,1932664,chicago,il,pass w/ conditions,-87.72344374,41.79799187,20160613,risk 1 (high),(41.797991869962225,1168722,restaurant,5220 s pulaski rd,canvass,j & c/el senor sombrero,60632
,1584183,chicago,il,out of business,-87.72233581,41.77877254,20151110,risk 2 (medium),(41.7787725408632,1823538,grocery store,3950-52 w 63rd st,canvass,panaderia don juan # 2,60629
tortorices pizza,1932662,chicago,il,pass w/ conditions,-87.65354073,41.93253445,20160613,risk 1 (high),(41.932534449726276,2391218,restaurant,953 w diversey pkwy,canvass,tortorices pizza,60614
,1932659,chicago,il,fail,-87.60523691,41.74600079,20160613,risk 2 (medium),(41.74600078952823,2358835,restaurant,8154 s cottage grove ave,complaint,steak hoagy sweet & more inc,60619
picnic at osterman beach house,1752226,chicago,il,fail,-87.65356907,41.98599498,20160613,risk 2 (medium),(41.98599498299817,2087970,restaurant,5701 n lake shore dr,canvass,picnic,60660
lanas restaurant,1746278,chicago,il,pass,-87.64970295,41.77978407,20160613,risk 2 (medium),(41.779784072879195,2437925,restaurant,1000 w 63rd st,canvass,lanas restaurant inc,60621
subway,1781222,chicago,il,pass,-87.62640835,41.88502983,20160613,risk 1 (high),(41.88502983462608,1801470,restaurant,166 n wabash ave,canvass,subway,60601
